상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,좌석수
2017-12-07,01관,"09:30,  꾼(디지털),  6,000원","12:30,  꾼(디지털),  9,000원","15:00,  꾼(디지털),  9,000원","17:30,  꾼(디지털),  9,000원","20:00,  꾼(디지털),  9,000원","22:30,  꾼(디지털)",,,,,149
2017-12-07,02관,"09:50,  반드시 잡는다(디지털),  6,000원","12:10,  반드시 잡는다(디지털)","14:35,  반드시 잡는다(디지털),  9,000원","17:00,  반드시 잡는다(디지털)","19:25,  반드시 잡는다(디지털)","21:50,  반드시 잡는다(디지털),  9,000원",,,,,91
2017-12-07,03관,"09:40,  메리와 마녀의 꽃(디지털더빙),  6,000원","11:50,  메리와 마녀의 꽃(디지털더빙)","14:10,  메리와 마녀의 꽃(디지털)","16:20,  메리와 마녀의 꽃(디지털),  9,000원","18:40,  메리와 마녀의 꽃(디지털),  9,000원","21:00,  메리와 마녀의 꽃(디지털),  9,000원","23:15,  꾼(디지털)",,,,83
2017-12-07,04관,"09:10,  어쌔신: 더 비기닝(디지털)","11:40,  뽀로로 극장판 공룡섬 대모험(디지털),  9,000원",,"15:20,  뽀로로 극장판 공룡섬 대모험(디지털),  9,000원","17:15,  어쌔신: 더 비기닝(디지털),  9,000원","19:45,  러브레터(디지털)","22:15,  어쌔신: 더 비기닝(디지털)",,,,73
2017-12-07,05관,"09:15,  기억의 밤(디지털)","11:30,  러브레터(디지털),  9,000원","13:50,  기억의 밤(디지털),  9,000원","16:10,  기억의 밤(디지털),  9,000원","18:30,  기억의 밤(디지털)","20:50,  기억의 밤(디지털)","23:10,  기억의 밤(디지털)",,,,106
2017-12-08,01관,"10:00,  꾼(디지털),  6,000원","12:30,  꾼(디지털),  9,000원","15:00,  꾼(디지털),  7,000원","17:30,  꾼(디지털),  9,000원","20:00,  꾼(디지털),  9,000원","22:30,  꾼(디지털),  7,000원",,,,,149
2017-12-08,02관,"09:45,  반드시 잡는다(디지털),  6,000원","12:10,  반드시 잡는다(디지털)","14:35,  반드시 잡는다(디지털)","17:00,  반드시 잡는다(디지털)","19:25,  반드시 잡는다(디지털)","21:50,  반드시 잡는다(디지털),  9,000원",,,,,91
2017-12-08,03관,"09:40,  메리와 마녀의 꽃(디지털더빙),  5,000원","11:50,  메리와 마녀의 꽃(디지털더빙)","14:10,  메리와 마녀의 꽃(디지털),  7,000원","16:20,  메리와 마녀의 꽃(디지털),  9,000원","18:40,  메리와 마녀의 꽃(디지털)","21:00,  메리와 마녀의 꽃(디지털),  9,000원","23:15,  꾼(디지털),  8,000원",,,,83
2017-12-08,04관,"09:15,  어쌔신: 더 비기닝(디지털)","11:40,  뽀로로 극장판 공룡섬 대모험(디지털),  9,000원","13:30,  뽀로로 극장판 공룡섬 대모험(디지털),  9,000원","15:20,  뽀로로 극장판 공룡섬 대모험(디지털),  9,000원","17:05,  뽀로로 극장판 공룡섬 대모험(디지털),  9,000원","18:50,  러브레터(디지털)","21:15,  어쌔신: 더 비기닝(디지털),  9,000원",,,,73
2017-12-08,05관,"09:05,  기억의 밤(디지털),  6,000원","11:25,  러브레터(디지털),  9,000원","13:50,  기억의 밤(디지털)","16:10,  기억의 밤(디지털),  9,000원","18:30,  기억의 밤(디지털),  7,000원","20:50,  기억의 밤(디지털),  9,000원","23:10,  기억의 밤(디지털)",,,,106
2017-12-09,01관,"09:10,  꾼(디지털)","11:40,  뽀로로 극장판 공룡섬 대모험(디지털),  9,000원",,"16:05,  꾼(디지털),  9,000원","18:30,  꾼(디지털),  9,000원","21:00,  꾼(디지털),  9,000원",,,,,149
2017-12-09,02관,"10:00,  반드시 잡는다(디지털),  6,000원","12:30,  뽀로로 극장판 공룡섬 대모험(디지털),  9,000원","14:20,  꾼(디지털),  9,000원","17:10,  뽀로로 극장판 공룡섬 대모험(디지털),  9,000원","19:30,  꾼(디지털),  9,000원","22:00,  반드시 잡는다(디지털),  9,000원",,,,,91
2017-12-09,03관,"09:45,  메리와 마녀의 꽃(디지털더빙),  6,000원","12:20,  어쌔신: 더 비기닝(디지털),  9,000원","15:00,  기억의 밤(디지털),  9,000원","17:30,  기억의 밤(디지털),  9,000원","19:55,  기억의 밤(디지털),  9,000원","22:30,  어쌔신: 더 비기닝(디지털),  9,000원",,,,,83
2017-12-09,04관,"10:20,  뽀로로 극장판 공룡섬 대모험(디지털),  6,000원","12:10,  러브레터(디지털)","14:30,  뽀로로 극장판 공룡섬 대모험(디지털),  9,000원","16:20,  뽀로로 극장판 공룡섬 대모험(디지털),  9,000원","18:20,  뽀로로 극장판 공룡섬 대모험(디지털),  9,000원","20:20,  러브레터(디지털),  9,000원","23:00,  꾼(디지털),  8,000원",,,,73
2017-12-09,05관,"09:10,  기억의 밤(디지털),  6,000원","11:25,  메리와 마녀의 꽃(디지털더빙),  7,000원","13:40,  메리와 마녀의 꽃(디지털),  9,000원","15:50,  메리와 마녀의 꽃(디지털),  9,000원","18:00,  메리와 마녀의 꽃(디지털),  9,000원","20:10,  메리와 마녀의 꽃(디지털),  9,000원","22:20,  메리와 마녀의 꽃(디지털),  9,000원",,,,106
2017-12-10,01관,"09:40,  꾼(디지털),  6,000원","12:20,  뽀로로 극장판 공룡섬 대모험(디지털),  9,000원","14:15,  뽀로로 극장판 공룡섬 대모험(디지털),  9,000원","16:10,  뽀로로 극장판 공룡섬 대모험(디지털),  9,000원","18:00,  꾼(디지털),  9,000원","20:30,  꾼(디지털),  9,000원","23:00,  꾼(디지털),  8,000원",,,,149
2017-12-10,02관,"09:30,  기억의 밤(디지털),  6,000원","11:50,  꾼(디지털),  9,000원","14:20,  꾼(디지털),  9,000원","16:50,  기억의 밤(디지털),  9,000원","19:20,  꾼(디지털),  9,000원","21:50,  기억의 밤(디지털),  9,000원",,,,,91
2017-12-10,03관,"09:15,  반드시 잡는다(디지털),  6,000원","11:35,  어쌔신: 더 비기닝(디지털),  9,000원","13:55,  기억의 밤(디지털),  9,000원","16:10,  어쌔신: 더 비기닝(디지털),  9,000원","18:30,  반드시 잡는다(디지털),  9,000원","20:50,  어쌔신: 더 비기닝(디지털),  9,000원","23:10,  반드시 잡는다(디지털),  8,000원",,,,83
2017-12-10,04관,"09:50,  뽀로로 극장판 공룡섬 대모험(디지털),  6,000원","11:35,  뽀로로 극장판 공룡섬 대모험(디지털),  9,000원","13:20,  뽀로로 극장판 공룡섬 대모험(디지털),  9,000원","15:10,  뽀로로 극장판 공룡섬 대모험(디지털),  9,000원","17:10,  러브레터(디지털),  9,000원","19:40,  기억의 밤(디지털),  9,000원","22:00,  러브레터(디지털)",,,,73
2017-12-10,05관,"10:30,  메리와 마녀의 꽃(디지털더빙),  6,000원","12:40,  메리와 마녀의 꽃(디지털더빙),  9,000원","14:50,  메리와 마녀의 꽃(디지털),  9,000원","17:00,  메리와 마녀의 꽃(디지털),  9,000원","19:10,  메리와 마녀의 꽃(디지털),  9,000원","21:20,  메리와 마녀의 꽃(디지털),  9,000원",,,,,106
2017-12-11,01관,"10:00,  꾼(디지털),  6,000원","12:30,  꾼(디지털)","15:00,  꾼(디지털),  9,000원","17:25,  꾼(디지털),  9,000원","19:50,  꾼(디지털),  7,000원","22:15,  꾼(디지털),  9,000원",,,,,149
2017-12-11,02관,"10:30,  뽀로로 극장판 공룡섬 대모험(디지털),  6,000원","12:15,  뽀로로 극장판 공룡섬 대모험(디지털)","14:00,  뽀로로 극장판 공룡섬 대모험(디지털),  9,000원","15:45,  뽀로로 극장판 공룡섬 대모험(디지털),  9,000원","17:45,  기억의 밤(디지털),  9,000원","20:00,  기억의 밤(디지털),  9,000원","22:20,  반드시 잡는다(디지털)",,,,91
2017-12-11,03관,"09:40,  어쌔신: 더 비기닝(디지털),  6,000원","12:00,  반드시 잡는다(디지털),  9,000원","14:20,  반드시 잡는다(디지털),  9,000원","16:45,  뽀로로 극장판 공룡섬 대모험(디지털),  9,000원","18:40,  반드시 잡는다(디지털),  9,000원","21:10,  어쌔신: 더 비기닝(디지털)",,,,,83
2017-12-11,04관,"10:10,  기억의 밤(디지털),  6,000원","12:25,  기억의 밤(디지털),  9,000원","14:50,  메리와 마녀의 꽃(디지털)","17:00,  러브레터(디지털)","19:30,  어쌔신: 더 비기닝(디지털),  9,000원","21:50,  러브레터(디지털)",,,,,73
2017-12-11,05관,"09:30,  메리와 마녀의 꽃(디지털더빙)","11:40,  메리와 마녀의 꽃(디지털더빙)","13:50,  메리와 마녀의 꽃(디지털더빙)","16:00,  메리와 마녀의 꽃(디지털),  9,000원","18:10,  메리와 마녀의 꽃(디지털)","20:20,  메리와 마녀의 꽃(디지털),  7,000원","22:30,  기억의 밤(디지털)",,,,106
2017-12-12,01관,"10:00,  꾼(디지털),  6,000원","12:30,  꾼(디지털),  9,000원","15:00,  꾼(디지털),  9,000원","17:25,  꾼(디지털),  9,000원","19:50,  꾼(디지털),  9,000원","22:15,  꾼(디지털)",,,,,149
2017-12-12,02관,"10:30,  뽀로로 극장판 공룡섬 대모험(디지털),  6,000원","12:15,  뽀로로 극장판 공룡섬 대모험(디지털),  9,000원","14:00,  뽀로로 극장판 공룡섬 대모험(디지털),  9,000원","15:45,  뽀로로 극장판 공룡섬 대모험(디지털),  9,000원","17:45,  기억의 밤(디지털)","20:00,  기억의 밤(디지털),  9,000원","22:20,  반드시 잡는다(디지털)",,,,91
2017-12-12,03관,"09:40,  어쌔신: 더 비기닝(디지털),  6,000원","12:00,  반드시 잡는다(디지털),  9,000원","14:20,  반드시 잡는다(디지털),  9,000원","16:45,  뽀로로 극장판 공룡섬 대모험(디지털),  9,000원","18:40,  반드시 잡는다(디지털)","21:10,  어쌔신: 더 비기닝(디지털)",,,,,83
2017-12-12,04관,"10:10,  기억의 밤(디지털),  6,000원","12:25,  기억의 밤(디지털)","14:50,  메리와 마녀의 꽃(디지털),  9,000원","17:00,  러브레터(디지털)","19:30,  어쌔신: 더 비기닝(디지털),  9,000원","21:50,  러브레터(디지털)",,,,,73
2017-12-12,05관,"09:30,  메리와 마녀의 꽃(디지털더빙),  6,000원","11:40,  메리와 마녀의 꽃(디지털더빙)","13:50,  메리와 마녀의 꽃(디지털더빙)","16:00,  메리와 마녀의 꽃(디지털)","18:10,  메리와 마녀의 꽃(디지털),  9,000원","20:20,  메리와 마녀의 꽃(디지털)","22:30,  기억의 밤(디지털),  9,000원",,,,106
2017-12-14,01관,"10:10,  강철비(디지털),  6,000원","13:00,  강철비(디지털),  7,000원","15:50,  강철비(디지털),  7,000원","18:40,  강철비(디지털),  7,000원","21:30,  강철비(디지털),  9,000원",,,,,,149
2017-12-14,02관,"09:30,  뽀로로 극장판 공룡섬 대모험(디지털),  6,000원","11:20,  뽀로로 극장판 공룡섬 대모험(디지털),  7,000원","13:10,  뽀로로 극장판 공룡섬 대모험(디지털),  7,000원","15:00,  뽀로로 극장판 공룡섬 대모험(디지털)","16:50,  강철비(디지털),  9,000원","19:40,  스타워즈: 라스트 제다이(디지털),  9,000원","22:40,  스타워즈: 라스트 제다이(디지털),  9,000원",,,,91
2017-12-14,03관,"10:00,  메리와 마녀의 꽃(디지털더빙),  6,000원","12:10,  메리와 마녀의 꽃(디지털더빙),  9,000원","14:25,  강철비(디지털),  7,000원","17:15,  메리와 마녀의 꽃(디지털),  7,000원","19:30,  강철비(디지털),  7,000원","22:20,  강철비(디지털)",,,,,83
2017-12-14,04관,"10:50,  꾼(디지털),  6,000원","13:20,  어쌔신: 더 비기닝(디지털)","15:40,  꾼(디지털)","18:10,  기억의 밤(디지털),  7,000원","20:30,  강철비(디지털),  7,000원",,,,,,73
2017-12-14,05관,"09:20,  스타워즈: 라스트 제다이(디지털),  6,000원","12:20,  스타워즈: 라스트 제다이(디지털),  9,000원","15:20,  스타워즈: 라스트 제다이(디지털)","18:20,  스타워즈: 라스트 제다이(디지털),  9,000원","21:20,  스타워즈: 라스트 제다이(디지털),  9,000원",,,,,,106
2017-12-15,01관,"09:10,  스타워즈: 라스트 제다이(디지털),  5,000원","12:30,  강철비(디지털),  7,000원","15:20,  강철비(디지털),  9,000원","18:15,  강철비(디지털),  9,000원","21:15,  강철비(디지털),  9,000원",,,,,,149
2017-12-15,02관,"10:30,  강철비(디지털),  6,000원","13:20,  강철비(디지털),  9,000원","16:20,  강철비(디지털),  7,000원","19:20,  강철비(디지털),  9,000원","22:20,  강철비(디지털),  7,000원",,,,,,91
2017-12-15,03관,"09:25,  메리와 마녀의 꽃(디지털),  5,000원","11:40,  뽀로로 극장판 공룡섬 대모험(디지털),  7,000원","13:30,  뽀로로 극장판 공룡섬 대모험(디지털),  7,000원","15:15,  뽀로로 극장판 공룡섬 대모험(디지털),  7,000원","17:00,  스타워즈: 라스트 제다이(디지털),  9,000원","20:00,  스타워즈: 라스트 제다이(디지털),  9,000원","22:55,  스타워즈: 라스트 제다이(디지털),  9,000원",,,,83
2017-12-15,04관,"09:25,  메리와 마녀의 꽃(디지털),  5,000원","11:55,  메리와 마녀의 꽃(디지털더빙),  9,000원","14:10,  강철비(디지털),  7,000원","17:10,  꾼(디지털),  9,000원","19:40,  기억의 밤(디지털),  9,000원","22:00,  어쌔신: 더 비기닝(디지털)",,,,,73
2017-12-15,05관,"09:40,  스타워즈: 라스트 제다이(디지털),  6,000원","12:45,  스타워즈: 라스트 제다이(디지털)","15:50,  스타워즈: 라스트 제다이(디지털),  9,000원","18:50,  스타워즈: 라스트 제다이(디지털),  9,000원","21:55,  스타워즈: 라스트 제다이(디지털),  9,000원",,,,,,106
2017-12-16,01관,"09:30,  강철비(디지털),  6,000원","12:20,  강철비(디지털),  9,000원","15:20,  강철비(디지털),  9,000원","18:10,  강철비(디지털),  9,000원","21:10,  강철비(디지털),  9,000원",,,,,,149
2017-12-16,02관,"10:20,  스타워즈: 라스트 제다이(디지털),  6,000원","13:25,  스타워즈: 라스트 제다이(디지털),  9,000원","16:30,  스타워즈: 라스트 제다이(디지털),  9,000원","19:35,  스타워즈: 라스트 제다이(디지털),  9,000원","22:40,  스타워즈: 라스트 제다이(디지털),  9,000원",,,,,,91
2017-12-16,03관,"09:40,  뽀로로 극장판 공룡섬 대모험(디지털),  6,000원","11:25,  뽀로로 극장판 공룡섬 대모험(디지털),  9,000원","13:10,  뽀로로 극장판 공룡섬 대모험(디지털),  9,000원","15:00,  뽀로로 극장판 공룡섬 대모험(디지털),  7,000원","16:50,  메리와 마녀의 꽃(디지털더빙),  9,000원","19:05,  꾼(디지털),  9,000원","21:30,  스타워즈: 라스트 제다이(디지털),  9,000원",,,,83
2017-12-16,04관,"10:00,  메리와 마녀의 꽃(디지털더빙),  6,000원","12:10,  뽀로로 극장판 공룡섬 대모험(디지털),  9,000원","14:00,  뽀로로 극장판 공룡섬 대모험(디지털),  7,000원","15:50,  메리와 마녀의 꽃(디지털),  9,000원","18:00,  기억의 밤(디지털),  9,000원","20:15,  강철비(디지털),  9,000원","23:10,  강철비(디지털),  7,000원",,,,73
2017-12-16,05관,"10:30,  강철비(디지털),  6,000원","13:30,  강철비(디지털),  9,000원","16:20,  강철비(디지털),  9,000원","19:15,  강철비(디지털),  9,000원","22:20,  강철비(디지털),  7,000원",,,,,,106
2017-12-17,01관,"09:30,  강철비(디지털),  6,000원","12:30,  강철비(디지털),  7,000원","15:30,  강철비(디지털),  9,000원","18:30,  강철비(디지털),  7,000원","21:30,  강철비(디지털),  7,000원",,,,,,149
2017-12-17,02관,"10:20,  스타워즈: 라스트 제다이(디지털),  6,000원","13:25,  스타워즈: 라스트 제다이(디지털),  9,000원","16:35,  스타워즈: 라스트 제다이(디지털),  9,000원","19:40,  스타워즈: 라스트 제다이(디지털),  9,000원","22:40,  스타워즈: 라스트 제다이(디지털)",,,,,,91
