상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,좌석수
2018-06-30,GS관,"09:40,  탐정: 리턴즈(디지털)",,"14:20,  탐정: 리턴즈(디지털)","16:40,  탐정: 리턴즈(디지털),  10,000원","19:00,  탐정: 리턴즈(디지털)","21:15,  탐정: 리턴즈(디지털)","23:30,  탐정: 리턴즈(디지털)",,,164
2018-06-30,02관,"09:30,  허스토리(디지털)","11:50,  오션스8(디지털)","14:05,  허스토리(디지털)","16:25,  오션스8(디지털),  10,000원","18:40,  허스토리(디지털)","21:00,  오션스8(디지털)","23:20,  허스토리(디지털),  7,000원",,,119
2018-06-30,03관,"10:20,  독전(디지털)","12:50,  탐정: 리턴즈(디지털)","15:10,  독전(디지털),  10,000원","17:40,  탐정: 리턴즈(디지털)","20:00,  독전(디지털),  10,000원","22:30,  탐정: 리턴즈(디지털)",,,,82
2018-06-30,GH관,"10:40,  마녀(디지털),  6,000원","13:10,  마녀(디지털)","15:40,  마녀(디지털),  10,000원","18:10,  마녀(디지털)","20:40,  마녀(디지털),  10,000원","23:10,  마녀(디지털),  7,000원",,,,164
2018-07-01,GS관,"09:40,  탐정: 리턴즈(디지털)","12:00,  탐정: 리턴즈(디지털)","14:20,  탐정: 리턴즈(디지털),  8,000원","16:40,  탐정: 리턴즈(디지털),  8,000원","19:00,  탐정: 리턴즈(디지털)","21:15,  탐정: 리턴즈(디지털)","23:30,  탐정: 리턴즈(디지털)",,,164
2018-07-01,02관,"09:30,  허스토리(디지털)","11:50,  오션스8(디지털)","14:05,  허스토리(디지털)","16:25,  오션스8(디지털)","18:40,  허스토리(디지털)","21:00,  오션스8(디지털)","23:20,  허스토리(디지털)",,,119
2018-07-01,03관,"10:20,  독전(디지털)","12:50,  탐정: 리턴즈(디지털)","15:10,  독전(디지털)","17:40,  탐정: 리턴즈(디지털),  8,000원","20:00,  독전(디지털)","22:30,  탐정: 리턴즈(디지털),  7,000원",,,,82
2018-07-01,GH관,"10:40,  마녀(디지털),  6,000원","13:10,  마녀(디지털)","15:40,  마녀(디지털),  8,000원","18:10,  마녀(디지털)","20:40,  마녀(디지털)","23:10,  마녀(디지털),  7,000원",,,,164
2018-07-02,GS관,"09:40,  탐정: 리턴즈(디지털),  6,000원","11:55,  탐정: 리턴즈(디지털)","14:10,  탐정: 리턴즈(디지털)","16:25,  탐정: 리턴즈(디지털),  10,000원","18:40,  탐정: 리턴즈(디지털)","20:55,  탐정: 리턴즈(디지털)","23:10,  탐정: 리턴즈(디지털)",,,164
2018-07-02,02관,"09:50,  허스토리(디지털)","12:10,  오션스8(디지털)","14:20,  허스토리(디지털)","16:40,  오션스8(디지털),  10,000원","18:50,  마녀(디지털)","21:15,  오션스8(디지털)","23:25,  허스토리(디지털)",,,119
2018-07-02,03관,"10:55,  독전(디지털),  6,000원","13:20,  탐정: 리턴즈(디지털)","15:35,  독전(디지털)","18:00,  독전(디지털)","20:25,  독전(디지털)","22:50,  독전(디지털)",,,,82
2018-07-02,GH관,"10:15,  마녀(디지털)","12:40,  마녀(디지털)","15:05,  마녀(디지털),  10,000원","17:30,  마녀(디지털),  10,000원","19:55,  마녀(디지털)","22:20,  마녀(디지털)",,,,164
2018-07-03,GS관,"09:40,  탐정: 리턴즈(디지털)","11:55,  탐정: 리턴즈(디지털)","14:10,  탐정: 리턴즈(디지털)","16:25,  탐정: 리턴즈(디지털),  10,000원","18:40,  탐정: 리턴즈(디지털)","20:55,  탐정: 리턴즈(디지털)","23:10,  탐정: 리턴즈(디지털),  7,000원",,,164
2018-07-03,02관,"09:50,  허스토리(디지털)","12:10,  오션스8(디지털)","14:20,  허스토리(디지털)","16:40,  오션스8(디지털),  10,000원","18:50,  마녀(디지털)","21:15,  오션스8(디지털)","23:25,  허스토리(디지털)",,,119
2018-07-03,03관,"10:55,  독전(디지털)","13:20,  탐정: 리턴즈(디지털)","15:35,  독전(디지털)","18:00,  독전(디지털),  10,000원","20:25,  독전(디지털)","22:50,  독전(디지털)",,,,82
2018-07-03,GH관,"10:15,  마녀(디지털)","12:40,  마녀(디지털),  8,000원","15:05,  마녀(디지털)","17:30,  마녀(디지털)","19:55,  마녀(디지털)","22:20,  마녀(디지털)",,,,164
2018-07-04,GS관,"09:40,  탐정: 리턴즈(디지털)","11:55,  탐정: 리턴즈(디지털)","14:10,  탐정: 리턴즈(디지털)","16:25,  탐정: 리턴즈(디지털)","18:40,  탐정: 리턴즈(디지털)","20:55,  탐정: 리턴즈(디지털)","23:10,  탐정: 리턴즈(디지털),  7,000원",,,164
2018-07-04,02관,"09:50,  허스토리(디지털)","12:10,  오션스8(디지털)","14:20,  허스토리(디지털)","16:40,  오션스8(디지털)","18:50,  마녀(디지털)","21:15,  오션스8(디지털)","23:25,  허스토리(디지털)",,,119
2018-07-04,03관,"10:55,  독전(디지털)","13:20,  탐정: 리턴즈(디지털)","15:35,  독전(디지털),  10,000원","18:00,  독전(디지털)","20:25,  독전(디지털)","22:50,  독전(디지털)",,,,82
2018-07-04,GH관,"10:15,  마녀(디지털)","12:40,  마녀(디지털)","15:05,  마녀(디지털),  10,000원","17:30,  마녀(디지털)","19:55,  마녀(디지털)","22:20,  마녀(디지털)",,,,164
2018-07-05,GS관,"10:30,  탐정: 리턴즈(디지털)","12:45,  탐정: 리턴즈(디지털),  8,000원","15:00,  탐정: 리턴즈(디지털),  10,000원","17:15,  탐정: 리턴즈(디지털)","19:30,  탐정: 리턴즈(디지털)","21:45,  탐정: 리턴즈(디지털)",,,,164
