상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,좌석수
2019-10-07,02관,,"18:10,  기생충(디지털),  5,000원",,,,,,131
2019-10-08,01관,"10:50,  조커(디지털)","13:15,  퍼펙트맨(디지털)","15:35,  극한직업(디지털),  5,000원","17:50,  기생충(디지털),  5,000원","20:25,  퍼펙트맨(디지털)","22:45,  조커(디지털),  9,000원",,83
2019-10-08,02관,"10:00,  가장 보통의 연애(디지털)","12:15,  가장 보통의 연애(디지털)","14:30,  조커(디지털)","17:00,  가장 보통의 연애(디지털),  9,000원","19:15,  조커(디지털),  9,000원","21:45,  가장 보통의 연애(디지털),  9,000원",,131
2019-10-09,01관,"09:20,  가장 보통의 연애(디지털),  7,000원","11:35,  제미니 맨(디지털),  9,000원","13:50,  조커(디지털),  9,000원","16:10,  제미니 맨(디지털),  9,000원","18:30,  가장 보통의 연애(디지털),  9,000원","20:45,  제미니 맨(디지털)","23:05,  가장 보통의 연애(디지털),  9,000원",83
2019-10-09,02관,"10:10,  조커(디지털),  8,000원","12:30,  조커(디지털),  9,000원","14:50,  가장 보통의 연애(디지털),  9,000원","17:05,  조커(디지털),  9,000원","19:25,  조커(디지털),  9,000원","21:50,  조커(디지털),  9,000원","24:20,  조커(디지털)",131
2019-10-10,01관,"09:00,  가장 보통의 연애(디지털),  7,000원","11:15,  제미니 맨(디지털)","13:30,  조커(디지털),  9,000원","15:55,  제미니 맨(디지털),  9,000원","18:15,  가장 보통의 연애(디지털),  9,000원","20:35,  제미니 맨(디지털),  9,000원","23:25,  가장 보통의 연애(디지털),  9,000원",83
2019-10-10,02관,"10:00,  조커(디지털),  7,000원","12:20,  조커(디지털),  9,000원","14:40,  가장 보통의 연애(디지털),  5,000원","16:55,  조커(디지털)","19:15,  조커(디지털),  9,000원","21:35,  조커(디지털),  9,000원","23:55,  조커(디지털),  9,000원",131
2019-10-11,01관,"09:00,  가장 보통의 연애(디지털),  7,000원","11:15,  제미니 맨(디지털),  7,000원","13:30,  조커(디지털),  9,000원","15:55,  제미니 맨(디지털),  5,000원","18:15,  가장 보통의 연애(디지털),  9,000원","20:35,  제미니 맨(디지털),  9,000원","22:55,  가장 보통의 연애(디지털),  9,000원",83
2019-10-11,02관,"10:00,  조커(디지털),  6,000원","12:20,  조커(디지털),  9,000원","14:40,  가장 보통의 연애(디지털),  9,000원","16:55,  조커(디지털),  9,000원","19:15,  조커(디지털),  9,000원","21:35,  조커(디지털),  9,000원","23:55,  조커(디지털),  9,000원",131
2019-10-12,01관,"09:00,  가장 보통의 연애(디지털),  7,000원","11:15,  제미니 맨(디지털),  9,000원","13:30,  조커(디지털),  9,000원","15:55,  조커(디지털),  9,000원","18:15,  가장 보통의 연애(디지털),  9,000원","20:35,  제미니 맨(디지털),  9,000원","22:55,  가장 보통의 연애(디지털),  9,000원",83
2019-10-12,02관,"10:00,  조커(디지털),  7,000원","12:20,  조커(디지털),  9,000원","14:40,  가장 보통의 연애(디지털),  9,000원","16:55,  조커(디지털),  9,000원","19:15,  조커(디지털),  9,000원","21:35,  조커(디지털),  9,000원","23:55,  조커(디지털),  9,000원",131
2019-10-13,01관,"09:00,  가장 보통의 연애(디지털),  7,000원","11:15,  제미니 맨(디지털),  9,000원","13:30,  조커(디지털),  9,000원","15:55,  조커(디지털)",,"20:35,  가장 보통의 연애(디지털),  9,000원","22:55,  가장 보통의 연애(디지털),  9,000원",83
2019-10-13,02관,"10:00,  조커(디지털)","12:20,  조커(디지털)","14:40,  가장 보통의 연애(디지털),  9,000원","16:55,  조커(디지털),  9,000원","19:15,  조커(디지털),  9,000원","21:35,  조커(디지털),  9,000원","23:55,  조커(디지털),  7,000원",131
2019-10-14,01관,"09:30,  가장 보통의 연애(디지털),  7,000원","11:40,  제미니 맨(디지털)","13:55,  가장 보통의 연애(디지털),  9,000원","16:10,  가장 보통의 연애(디지털),  9,000원","18:25,  가장 보통의 연애(디지털),  9,000원","20:40,  가장 보통의 연애(디지털),  9,000원","23:00,  가장 보통의 연애(디지털),  9,000원",83
2019-10-14,02관,"10:00,  조커(디지털),  7,000원","12:20,  조커(디지털),  9,000원","14:40,  조커(디지털),  9,000원","17:00,  조커(디지털),  9,000원","19:20,  조커(디지털),  9,000원","21:40,  조커(디지털),  9,000원","24:00,  조커(디지털),  9,000원",131
2019-10-15,01관,"09:30,  가장 보통의 연애(디지털),  7,000원","11:40,  제미니 맨(디지털),  9,000원","13:55,  가장 보통의 연애(디지털),  9,000원","16:10,  가장 보통의 연애(디지털),  9,000원","18:25,  가장 보통의 연애(디지털),  9,000원","20:40,  가장 보통의 연애(디지털),  9,000원","23:00,  가장 보통의 연애(디지털),  9,000원",83
2019-10-15,02관,"10:00,  조커(디지털),  7,000원","12:20,  조커(디지털),  7,000원","14:40,  조커(디지털),  9,000원","17:00,  조커(디지털),  9,000원","19:20,  조커(디지털),  9,000원","21:40,  조커(디지털),  9,000원","24:00,  조커(디지털),  7,000원",131
2019-10-16,01관,"10:00,  조커(디지털),  7,000원","12:25,  제미니 맨(디지털)","14:40,  조커(디지털),  9,000원","17:00,  조커(디지털),  9,000원","19:20,  조커(디지털),  9,000원","21:40,  조커(디지털),  9,000원","24:10,  조커(디지털)",83
2019-10-16,02관,"09:30,  가장 보통의 연애(디지털),  7,000원","11:40,  가장 보통의 연애(디지털),  9,000원","13:55,  가장 보통의 연애(디지털)","16:10,  가장 보통의 연애(디지털),  9,000원","18:25,  가장 보통의 연애(디지털),  9,000원","20:40,  가장 보통의 연애(디지털),  9,000원","23:00,  가장 보통의 연애(디지털),  9,000원",131
2019-10-17,01관,"09:20,  조커(디지털)","11:40,  두번할까요(디지털),  9,000원","13:55,  가장 보통의 연애(디지털),  9,000원","16:10,  두번할까요(디지털),  9,000원","18:25,  가장 보통의 연애(디지털),  9,000원","20:40,  조커(디지털),  9,000원","23:00,  조커(디지털),  9,000원",83
2019-10-17,02관,"10:00,  말레피센트 2(디지털),  7,000원","12:20,  조커(디지털),  9,000원","14:40,  말레피센트 2(디지털),  9,000원","17:00,  조커(디지털),  9,000원","19:20,  말레피센트 2(디지털),  9,000원","21:40,  말레피센트 2(디지털),  9,000원","24:00,  말레피센트 2(디지털)",131
2019-10-18,01관,"09:20,  조커(디지털)","11:40,  두번할까요(디지털),  9,000원","13:55,  가장 보통의 연애(디지털),  9,000원","16:10,  두번할까요(디지털),  9,000원","18:25,  가장 보통의 연애(디지털),  5,000원","20:40,  조커(디지털),  9,000원","23:00,  조커(디지털),  9,000원",83
2019-10-18,02관,"10:00,  말레피센트 2(디지털)","12:20,  조커(디지털),  9,000원","14:40,  말레피센트 2(디지털),  9,000원","17:00,  조커(디지털),  9,000원","19:20,  말레피센트 2(디지털),  9,000원","21:40,  말레피센트 2(디지털),  9,000원","24:00,  말레피센트 2(디지털),  9,000원",131
2019-10-19,01관,"09:20,  조커(디지털),  7,000원","11:40,  두번할까요(디지털)","13:55,  가장 보통의 연애(디지털),  9,000원","16:10,  가장 보통의 연애(디지털),  9,000원","18:25,  가장 보통의 연애(디지털),  9,000원","20:40,  조커(디지털),  9,000원","23:00,  조커(디지털),  9,000원",83
2019-10-19,02관,"10:00,  말레피센트 2(디지털),  7,000원","12:20,  조커(디지털),  9,000원","14:40,  말레피센트 2(디지털),  9,000원","17:00,  조커(디지털),  9,000원","19:20,  말레피센트 2(디지털),  9,000원","21:40,  말레피센트 2(디지털),  9,000원","24:00,  말레피센트 2(디지털),  9,000원",131
2019-10-20,01관,"09:20,  조커(디지털),  7,000원","11:40,  두번할까요(디지털)","13:55,  가장 보통의 연애(디지털),  9,000원","16:10,  가장 보통의 연애(디지털),  9,000원","18:25,  가장 보통의 연애(디지털),  9,000원","20:40,  조커(디지털),  9,000원","23:00,  조커(디지털),  9,000원",83
2019-10-20,02관,"10:00,  말레피센트 2(디지털),  7,000원","12:20,  조커(디지털),  9,000원","14:40,  말레피센트 2(디지털),  9,000원","17:00,  조커(디지털),  9,000원","19:20,  말레피센트 2(디지털),  9,000원","21:40,  말레피센트 2(디지털),  9,000원","24:00,  말레피센트 2(디지털)",131
2019-10-21,01관,"09:20,  조커(디지털),  7,000원","11:40,  두번할까요(디지털)","13:55,  가장 보통의 연애(디지털),  9,000원","16:10,  가장 보통의 연애(디지털),  9,000원","18:25,  가장 보통의 연애(디지털),  9,000원","20:40,  조커(디지털),  9,000원","23:00,  가장 보통의 연애(디지털),  9,000원",83
2019-10-21,02관,"10:00,  말레피센트 2(디지털)","12:20,  조커(디지털),  9,000원","14:40,  말레피센트 2(디지털),  9,000원","17:00,  조커(디지털)","19:20,  말레피센트 2(디지털),  9,000원","21:40,  말레피센트 2(디지털),  9,000원","23:55,  조커(디지털),  7,000원",131
2019-10-22,01관,"09:20,  조커(디지털),  7,000원","11:40,  두번할까요(디지털)","13:55,  가장 보통의 연애(디지털),  5,000원","16:10,  가장 보통의 연애(디지털),  9,000원","18:25,  가장 보통의 연애(디지털),  7,000원","20:40,  조커(디지털),  9,000원","23:00,  가장 보통의 연애(디지털)",83
2019-10-22,02관,"10:00,  말레피센트 2(디지털),  7,000원","12:20,  조커(디지털),  9,000원","14:40,  말레피센트 2(디지털),  9,000원","17:00,  조커(디지털),  9,000원","19:20,  말레피센트 2(디지털),  9,000원","21:40,  말레피센트 2(디지털),  9,000원","23:55,  조커(디지털)",131
2019-10-23,01관,"09:00,  람보 : 라스트 워(디지털),  7,000원","11:00,  말레피센트 2(디지털),  7,000원","13:20,  더 킹: 헨리 5세(디지털),  9,000원","16:00,  조커(디지털),  9,000원","18:20,  가장 보통의 연애(디지털),  9,000원","20:30,  더 킹: 헨리 5세(디지털),  9,000원","23:10,  람보 : 라스트 워(디지털)",83
2019-10-23,02관,"10:00,  82년생 김지영(디지털),  7,000원","12:20,  가장 보통의 연애(디지털),  9,000원","14:35,  82년생 김지영(디지털),  9,000원","17:00,  82년생 김지영(디지털),  9,000원","19:20,  82년생 김지영(디지털),  9,000원","21:35,  82년생 김지영(디지털),  9,000원","23:50,  82년생 김지영(디지털),  9,000원",131
2019-10-24,01관,"09:00,  람보 : 라스트 워(디지털)","11:00,  말레피센트 2(디지털),  7,000원","13:20,  더 킹: 헨리 5세(디지털),  9,000원","16:00,  조커(디지털),  9,000원","18:20,  가장 보통의 연애(디지털),  9,000원","20:30,  더 킹: 헨리 5세(디지털)","23:10,  조커(디지털),  9,000원",83
2019-10-24,02관,"10:00,  82년생 김지영(디지털),  7,000원","12:20,  가장 보통의 연애(디지털),  9,000원","14:35,  82년생 김지영(디지털),  9,000원","17:00,  82년생 김지영(디지털)","19:20,  82년생 김지영(디지털),  9,000원","21:35,  82년생 김지영(디지털),  9,000원","23:50,  82년생 김지영(디지털)",131
2019-10-25,01관,"09:00,  람보 : 라스트 워(디지털)","11:00,  말레피센트 2(디지털),  7,000원","13:20,  조커(디지털),  9,000원","15:45,  가장 보통의 연애(디지털),  9,000원","18:00,  가장 보통의 연애(디지털),  9,000원","20:20,  가장 보통의 연애(디지털),  9,000원","22:40,  더 킹: 헨리 5세(디지털),  9,000원",83
2019-10-25,02관,"10:00,  82년생 김지영(디지털),  7,000원","12:20,  82년생 김지영(디지털),  9,000원","14:35,  82년생 김지영(디지털),  9,000원","17:00,  82년생 김지영(디지털),  9,000원","19:20,  82년생 김지영(디지털),  9,000원","21:35,  82년생 김지영(디지털),  9,000원","23:50,  82년생 김지영(디지털),  9,000원",131
2019-10-26,01관,"09:30,  람보 : 라스트 워(디지털)","11:30,  가장 보통의 연애(디지털),  9,000원","13:45,  조커(디지털),  9,000원","16:05,  말레피센트 2(디지털),  9,000원","18:25,  가장 보통의 연애(디지털),  9,000원","20:40,  조커(디지털),  9,000원","23:05,  더 킹: 헨리 5세(디지털),  9,000원",83
2019-10-26,02관,"10:00,  82년생 김지영(디지털),  7,000원","12:20,  82년생 김지영(디지털),  9,000원","14:40,  82년생 김지영(디지털),  9,000원","17:00,  82년생 김지영(디지털),  9,000원","19:20,  82년생 김지영(디지털),  9,000원","21:40,  82년생 김지영(디지털),  9,000원","24:00,  82년생 김지영(디지털),  9,000원",131
2019-10-27,01관,"09:00,  람보 : 라스트 워(디지털),  7,000원","11:00,  가장 보통의 연애(디지털),  7,000원","13:15,  조커(디지털),  7,000원","15:40,  말레피센트 2(디지털),  9,000원","18:00,  가장 보통의 연애(디지털),  9,000원","20:20,  조커(디지털),  9,000원","22:45,  더 킹: 헨리 5세(디지털)",83
2019-10-27,02관,"10:00,  82년생 김지영(디지털),  7,000원","12:20,  82년생 김지영(디지털),  9,000원","14:40,  82년생 김지영(디지털),  9,000원","17:00,  82년생 김지영(디지털),  9,000원","19:20,  82년생 김지영(디지털),  9,000원","21:40,  82년생 김지영(디지털),  9,000원","24:00,  82년생 김지영(디지털),  9,000원",131
2019-10-28,01관,"09:20,  가장 보통의 연애(디지털),  7,000원","11:30,  조커(디지털)","13:50,  말레피센트 2(디지털)","16:10,  가장 보통의 연애(디지털),  9,000원","18:25,  말레피센트 2(디지털),  9,000원","20:45,  조커(디지털),  9,000원","23:05,  더 킹: 헨리 5세(디지털),  9,000원",83
2019-10-28,02관,"10:00,  82년생 김지영(디지털),  7,000원","12:25,  82년생 김지영(디지털),  9,000원","14:40,  82년생 김지영(디지털),  9,000원","17:00,  82년생 김지영(디지털),  7,000원","19:15,  82년생 김지영(디지털),  9,000원","21:30,  82년생 김지영(디지털),  9,000원","23:45,  82년생 김지영(디지털),  9,000원",131
2019-10-29,01관,"09:20,  가장 보통의 연애(디지털)","11:30,  조커(디지털),  9,000원","13:50,  말레피센트 2(디지털)","16:10,  가장 보통의 연애(디지털),  9,000원","18:25,  말레피센트 2(디지털),  9,000원","20:45,  조커(디지털),  9,000원","23:05,  더 킹: 헨리 5세(디지털),  7,000원",83
2019-10-29,02관,"10:00,  82년생 김지영(디지털),  7,000원","12:25,  82년생 김지영(디지털),  9,000원","14:40,  82년생 김지영(디지털),  9,000원","17:00,  82년생 김지영(디지털),  9,000원","19:15,  82년생 김지영(디지털),  9,000원","21:30,  82년생 김지영(디지털),  9,000원","23:45,  82년생 김지영(디지털),  9,000원",131
2019-10-30,01관,"09:00,  날씨의 아이(디지털),  7,000원","11:10,  82년생 김지영(디지털),  9,000원","13:30,  날씨의 아이(디지털),  5,000원","15:45,  82년생 김지영(디지털),  9,000원","18:10,  82년생 김지영(디지털),  5,000원","20:40,  터미네이터: 다크 페이트(디지털),  5,000원","23:10,  82년생 김지영(디지털)",83
2019-10-30,02관,"09:30,  터미네이터: 다크 페이트(디지털),  7,000원","12:00,  터미네이터: 다크 페이트(디지털),  7,000원","14:30,  터미네이터: 다크 페이트(디지털),  9,000원","17:00,  날씨의 아이(디지털),  5,000원","19:10,  터미네이터: 다크 페이트(디지털),  5,000원","21:40,  82년생 김지영(디지털),  9,000원","24:00,  터미네이터: 다크 페이트(디지털),  9,000원",131
2019-10-31,01관,"09:00,  날씨의 아이(디지털),  7,000원","11:10,  82년생 김지영(디지털),  9,000원","13:30,  82년생 김지영(디지털),  9,000원","15:45,  터미네이터: 다크 페이트(디지털),  5,000원","18:15,  터미네이터: 다크 페이트(디지털),  9,000원","20:45,  터미네이터: 다크 페이트(디지털),  9,000원","23:15,  터미네이터: 다크 페이트(디지털),  9,000원",83
