상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,12회,좌석수
2018-01-18,03관,,"12:20,  쥬만지: 새로운 세계(디지털),  9,000원","14:50,  쥬만지: 새로운 세계(디지털),  9,000원","17:20,  그것만이 내 세상(디지털),  9,000원","19:55,  그것만이 내 세상(디지털),  9,000원","22:30,  그것만이 내 세상(디지털),  9,000원",,,,,,,140
2018-01-18,04관,"10:20,  메이즈 러너: 데스 큐어(디지털),  6,000원","13:15,  메이즈 러너: 데스 큐어(디지털),  9,000원","16:10,  메이즈 러너: 데스 큐어(디지털),  9,000원","19:05,  메이즈 러너: 데스 큐어(디지털),  9,000원",,,,,,,,,140
2018-01-18,05관,"09:00,  메이즈 러너: 데스 큐어(디지털),  6,000원","12:00,  메이즈 러너: 데스 큐어(디지털),  9,000원","15:00,  메이즈 러너: 데스 큐어(디지털),  9,000원","18:00,  메이즈 러너: 데스 큐어(디지털),  9,000원","21:00,  메이즈 러너: 데스 큐어(디지털),  9,000원","24:00,  메이즈 러너: 데스 큐어(디지털),  7,000원",,,,,,,146
2018-01-18,06관,"10:00,  그것만이 내 세상(디지털),  6,000원","13:00,  그것만이 내 세상(디지털),  9,000원","15:40,  그것만이 내 세상(디지털),  9,000원","18:15,  그것만이 내 세상(디지털),  9,000원","20:50,  그것만이 내 세상(디지털),  9,000원","23:30,  그것만이 내 세상(디지털),  7,000원",,,,,,,146
2018-01-18,08관,,"11:50,  페르디난드(디지털더빙),  9,000원","14:10,  메이즈 러너: 데스 큐어(디지털),  9,000원","17:05,  강철비(디지털),  9,000원","19:55,  메이즈 러너: 데스 큐어(디지털),  9,000원","22:50,  강철비(디지털),  7,000원",,,,,,,91
2018-01-18,09관,"10:00,  쏘아올린 불꽃, 밑에서 볼까? 옆에서 볼까?(디지털),  6,000원",,,"15:55,  다키스트 아워(디지털),  9,000원","18:35,  다키스트 아워(디지털),  9,000원","21:20,  그것만이 내 세상(디지털),  9,000원","23:55,  그것만이 내 세상(디지털),  7,000원",,,,,,91
2018-01-18,10관,"09:30,  1987(디지털),  6,000원","12:10,  1987(디지털),  9,000원","14:50,  1987(디지털),  9,000원","17:30,  1987(디지털),  9,000원","20:10,  1987(디지털),  9,000원","23:10,  1987(디지털),  7,000원",,,,,,,91
2018-01-19,03관,"09:50,  쥬만지: 새로운 세계(디지털),  6,000원","12:20,  쥬만지: 새로운 세계(디지털),  9,000원","14:50,  쥬만지: 새로운 세계(디지털),  9,000원","17:20,  그것만이 내 세상(디지털),  9,000원","19:55,  그것만이 내 세상(디지털),  9,000원","22:30,  그것만이 내 세상(디지털),  9,000원",,,,,,,140
2018-01-19,04관,"10:20,  메이즈 러너: 데스 큐어(디지털),  6,000원","13:15,  메이즈 러너: 데스 큐어(디지털),  9,000원","16:10,  메이즈 러너: 데스 큐어(디지털),  9,000원","19:05,  메이즈 러너: 데스 큐어(디지털),  9,000원","22:00,  메이즈 러너: 데스 큐어(디지털),  9,000원","24:55,  메이즈 러너: 데스 큐어(디지털),  9,000원",,,,,,,140
2018-01-19,05관,"09:00,  메이즈 러너: 데스 큐어(디지털),  6,000원","12:00,  메이즈 러너: 데스 큐어(디지털),  9,000원","15:00,  메이즈 러너: 데스 큐어(디지털),  9,000원","18:00,  메이즈 러너: 데스 큐어(디지털),  9,000원","21:00,  메이즈 러너: 데스 큐어(디지털),  10,000원","24:00,  메이즈 러너: 데스 큐어(디지털),  9,000원",,,,,,,146
2018-01-19,06관,"10:00,  그것만이 내 세상(디지털),  6,000원","13:00,  그것만이 내 세상(디지털),  9,000원","15:40,  그것만이 내 세상(디지털),  9,000원","18:15,  그것만이 내 세상(디지털),  9,000원","20:50,  그것만이 내 세상(디지털),  9,000원",,,,,,,,146
2018-01-19,08관,,,"14:10,  메이즈 러너: 데스 큐어(디지털),  9,000원","17:05,  강철비(디지털),  9,000원","19:55,  메이즈 러너: 데스 큐어(디지털),  10,000원","22:50,  강철비(디지털),  9,000원",,,,,,,91
2018-01-19,09관,,"12:05,  리틀 뱀파이어(디지털더빙),  7,000원","14:00,  리틀 뱀파이어(디지털더빙),  7,000원","15:55,  다키스트 아워(디지털),  9,000원","18:35,  다키스트 아워(디지털),  9,000원","21:15,  그것만이 내 세상(디지털),  9,000원",,,,,,,91
2018-01-19,10관,"09:30,  1987(디지털),  6,000원","12:10,  1987(디지털),  9,000원","14:50,  1987(디지털),  9,000원","17:30,  1987(디지털),  9,000원","20:10,  1987(디지털),  9,000원","23:10,  1987(디지털),  9,000원",,,,,,,91
2018-01-20,03관,"09:20,  그것만이 내 세상(디지털),  6,000원","11:55,  그것만이 내 세상(디지털),  9,000원","14:35,  그것만이 내 세상(디지털),  9,000원","17:15,  그것만이 내 세상(디지털),  9,000원","19:50,  그것만이 내 세상(디지털),  9,000원","22:30,  그것만이 내 세상(디지털),  9,000원","25:10,  그것만이 내 세상(디지털),  8,000원",,,,,,140
2018-01-20,04관,"09:00,  메이즈 러너: 데스 큐어(디지털),  6,000원","12:05,  메이즈 러너: 데스 큐어(디지털),  9,000원","15:10,  메이즈 러너: 데스 큐어(디지털),  9,000원","18:20,  메이즈 러너: 데스 큐어(디지털),  9,000원","21:20,  메이즈 러너: 데스 큐어(디지털),  9,000원","24:20,  메이즈 러너: 데스 큐어(디지털),  8,000원",,,,,,,140
2018-01-20,05관,"10:00,  메이즈 러너: 데스 큐어(디지털),  6,000원","13:10,  메이즈 러너: 데스 큐어(디지털),  9,000원","16:15,  메이즈 러너: 데스 큐어(디지털),  9,000원","19:20,  메이즈 러너: 데스 큐어(디지털),  9,000원","22:25,  메이즈 러너: 데스 큐어(디지털),  9,000원",,,,,,,,146
2018-01-20,06관,"08:50,  다키스트 아워(디지털),  6,000원",,"14:30,  다키스트 아워(디지털),  9,000원","17:20,  다운사이징(디지털),  9,000원","20:15,  다키스트 아워(디지털),  9,000원","23:00,  다운사이징(디지털),  8,000원",,,,,,,146
2018-01-20,08관,,,"12:55,  쥬만지: 새로운 세계(디지털),  9,000원","15:25,  쥬만지: 새로운 세계(디지털),  9,000원","17:55,  강철비(디지털),  9,000원","20:45,  강철비(디지털),  9,000원","23:40,  메이즈 러너: 데스 큐어(디지털),  8,000원",,,,,,91
2018-01-20,09관,"09:30,  페르디난드(디지털더빙),  6,000원","12:00,  페르디난드(디지털더빙),  9,000원","14:20,  그것만이 내 세상(디지털),  9,000원","16:50,  그것만이 내 세상(디지털),  9,000원","19:30,  그것만이 내 세상(디지털),  9,000원","22:00,  다운사이징(디지털),  9,000원",,,,,,,91
2018-01-20,10관,"08:40,  1987(디지털),  6,000원","11:20,  1987(디지털),  9,000원","14:00,  1987(디지털),  9,000원","16:40,  1987(디지털),  9,000원","19:20,  1987(디지털),  9,000원","22:00,  1987(디지털),  9,000원","24:50,  1987(디지털),  8,000원",,,,,,91
2018-01-21,03관,"09:10,  그것만이 내 세상(디지털),  6,000원","11:45,  그것만이 내 세상(디지털),  9,000원","14:25,  그것만이 내 세상(디지털),  9,000원","17:05,  그것만이 내 세상(디지털),  9,000원","19:40,  그것만이 내 세상(디지털),  9,000원","22:20,  그것만이 내 세상(디지털),  9,000원",,,,,,,140
2018-01-21,04관,"09:00,  메이즈 러너: 데스 큐어(디지털),  6,000원","12:05,  메이즈 러너: 데스 큐어(디지털),  9,000원","15:10,  메이즈 러너: 데스 큐어(디지털),  9,000원","18:20,  메이즈 러너: 데스 큐어(디지털),  9,000원","21:20,  메이즈 러너: 데스 큐어(디지털),  9,000원",,,,,,,,140
2018-01-21,05관,"10:00,  메이즈 러너: 데스 큐어(디지털),  6,000원","13:10,  메이즈 러너: 데스 큐어(디지털),  9,000원","16:15,  메이즈 러너: 데스 큐어(디지털),  9,000원","19:20,  메이즈 러너: 데스 큐어(디지털),  9,000원","22:25,  메이즈 러너: 데스 큐어(디지털),  9,000원",,,,,,,,146
2018-01-21,06관,"09:30,  코코(디지털더빙),  6,000원","12:15,  코코(디지털더빙),  9,000원","14:55,  코코(디지털더빙),  9,000원","17:40,  코코(디지털),  9,000원","20:20,  코코(디지털),  9,000원","23:00,  코코(디지털),  8,000원",,,,,,,146
2018-01-21,08관,"09:20,  페르디난드(디지털더빙),  6,000원",,"14:30,  다운사이징(디지털),  9,000원","17:20,  강철비(디지털),  9,000원","20:10,  쥬만지: 새로운 세계(디지털),  9,000원","22:40,  강철비(디지털),  9,000원",,,,,,,91
2018-01-21,09관,,"10:50,  다키스트 아워(디지털),  9,000원","13:35,  리틀 뱀파이어(디지털더빙),  9,000원","15:40,  다키스트 아워(디지털),  9,000원","18:20,  그것만이 내 세상(디지털),  9,000원","21:00,  그것만이 내 세상(디지털),  9,000원","23:35,  쥬만지: 새로운 세계(디지털),  8,000원",,,,,,91
2018-01-21,10관,"08:40,  1987(디지털),  6,000원","11:20,  1987(디지털),  9,000원","14:00,  1987(디지털),  9,000원","16:40,  1987(디지털),  9,000원","19:20,  1987(디지털),  9,000원","22:00,  1987(디지털),  9,000원","24:50,  1987(디지털),  8,000원",,,,,,91
2018-01-22,03관,"09:50,  메이즈 러너: 데스 큐어(디지털),  6,000원",,"15:45,  메이즈 러너: 데스 큐어(디지털),  9,000원","18:45,  메이즈 러너: 데스 큐어(디지털),  9,000원","21:45,  메이즈 러너: 데스 큐어(디지털),  9,000원",,,,,,,,140
2018-01-22,04관,"09:15,  메이즈 러너: 데스 큐어(디지털),  6,000원","12:10,  메이즈 러너: 데스 큐어(디지털),  9,000원","15:15,  메이즈 러너: 데스 큐어(디지털),  9,000원","18:15,  메이즈 러너: 데스 큐어(디지털),  9,000원","21:15,  메이즈 러너: 데스 큐어(디지털),  9,000원","24:15,  메이즈 러너: 데스 큐어(디지털),  7,000원",,,,,,,140
