상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,좌석수
2018-06-15,01관,"09:00,  쥬라기 월드: 폴른 킹덤(디지털),  6,000원","11:40,  쥬라기 월드: 폴른 킹덤(디지털)","14:20,  쥬라기 월드: 폴른 킹덤(디지털)","17:00,  쥬라기 월드: 폴른 킹덤(디지털)","19:40,  쥬라기 월드: 폴른 킹덤(디지털),  9,000원","22:20,  쥬라기 월드: 폴른 킹덤(디지털),  8,000원",,,143
2018-06-15,02관,"09:15,  탐정: 리턴즈(디지털),  6,000원","11:45,  탐정: 리턴즈(디지털),  9,000원","14:15,  탐정: 리턴즈(디지털),  9,000원","16:45,  탐정: 리턴즈(디지털),  9,000원","19:20,  탐정: 리턴즈(디지털),  9,000원","21:55,  탐정: 리턴즈(디지털),  9,000원",,,120
2018-06-15,03관,"10:30,  쥬라기 월드: 폴른 킹덤(디지털)","13:20,  쥬라기 월드: 폴른 킹덤(디지털),  9,000원","16:00,  쥬라기 월드: 폴른 킹덤(디지털),  9,000원","18:40,  쥬라기 월드: 폴른 킹덤(디지털),  9,000원","21:20,  쥬라기 월드: 폴른 킹덤(디지털),  9,000원","24:00,  쥬라기 월드: 폴른 킹덤(디지털),  6,000원",,,246
2018-06-15,04관,"10:00,  탐정: 리턴즈(디지털),  6,000원","12:30,  탐정: 리턴즈(디지털),  5,000원","15:00,  탐정: 리턴즈(디지털),  9,000원","17:30,  탐정: 리턴즈(디지털),  9,000원","20:00,  탐정: 리턴즈(디지털),  9,000원","22:30,  탐정: 리턴즈(디지털),  8,000원",,,137
2018-06-15,05관,"09:50,  오션스8(디지털),  6,000원","12:15,  오션스8(디지털),  9,000원","14:40,  오션스8(디지털),  9,000원","17:05,  오션스8(디지털),  9,000원","19:30,  오션스8(디지털),  9,000원","21:55,  오션스8(디지털),  9,000원",,,137
2018-06-15,06관,"09:40,  쥬라기 월드: 폴른 킹덤(디지털),  6,000원","12:20,  쥬라기 월드: 폴른 킹덤(디지털),  9,000원","15:00,  쥬라기 월드: 폴른 킹덤(디지털)","17:40,  쥬라기 월드: 폴른 킹덤(디지털),  9,000원","20:20,  쥬라기 월드: 폴른 킹덤(디지털),  9,000원","23:00,  쥬라기 월드: 폴른 킹덤(디지털),  8,000원",,,142
2018-06-15,07관,"09:00,  극장판 포켓몬스터DP - 디아루가 VS 펄기아 VS 다크라이(디지털더빙)","11:05,  토니스토리2: 고철왕국의 친구들(디지털더빙),  9,000원","13:00,  극장판 포켓몬스터DP - 디아루가 VS 펄기아 VS 다크라이(디지털더빙)","15:05,  오션스8(디지털),  7,000원","17:30,  오션스8(디지털),  9,000원","19:55,  오션스8(디지털),  9,000원","22:40,  오션스8(디지털),  8,000원",,142
2018-06-15,08관,"09:20,  독전(디지털),  6,000원","11:55,  독전(디지털),  9,000원","14:30,  독전(디지털),  9,000원","17:05,  독전(디지털),  9,000원","19:40,  독전(디지털),  9,000원","22:15,  독전(디지털),  8,000원",,,124
2018-06-16,01관,"09:00,  쥬라기 월드: 폴른 킹덤(디지털),  6,000원","11:40,  쥬라기 월드: 폴른 킹덤(디지털),  9,000원","14:20,  쥬라기 월드: 폴른 킹덤(디지털),  9,000원","17:00,  쥬라기 월드: 폴른 킹덤(디지털),  9,000원","19:40,  쥬라기 월드: 폴른 킹덤(디지털),  9,000원","22:20,  쥬라기 월드: 폴른 킹덤(디지털),  8,000원",,,143
2018-06-16,02관,"09:00,  탐정: 리턴즈(디지털),  6,000원","11:30,  탐정: 리턴즈(디지털),  9,000원","14:00,  탐정: 리턴즈(디지털),  9,000원","16:30,  탐정: 리턴즈(디지털),  9,000원","19:00,  탐정: 리턴즈(디지털),  9,000원","21:30,  탐정: 리턴즈(디지털),  9,000원",,,120
