상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,좌석수
2015-01-01,01관,"10:10,  내일을 위한 시간(디지털),  8,000원","12:00,  클라우즈 오브 실스마리아(디지털),  9,000원","14:15,  내일을 위한 시간(디지털),  9,000원","16:05,  클라우즈 오브 실스마리아(디지털),  9,000원","18:25,  클라우즈 오브 실스마리아(디지털),  9,000원","20:45,  내일을 위한 시간(디지털),  9,000원",,,,293
2015-01-01,02관,"10:00,  클라우즈 오브 실스마리아(디지털),  8,000원","12:20,  꾸뻬씨의 행복여행(디지털),  9,000원","14:35,  무드 인디고(디지털),  9,000원","16:25,  맵 투 더 스타(디지털),  9,000원","18:35,  자전거 탄 소년(필름),  9,000원","20:20,  마미(디지털),  9,000원",,,,72
2015-01-02,01관,"10:10,  내일을 위한 시간(디지털),  7,000원","12:00,  클라우즈 오브 실스마리아(디지털),  8,000원","14:15,  내일을 위한 시간(디지털),  9,000원","16:05,  클라우즈 오브 실스마리아(디지털),  9,000원","18:25,  클라우즈 오브 실스마리아(디지털),  9,000원","20:45,  내일을 위한 시간(디지털),  9,000원",,,,293
2015-01-02,02관,"10:00,  클라우즈 오브 실스마리아(디지털),  7,000원","12:20,  꾸뻬씨의 행복여행(디지털),  8,000원","14:35,  무드 인디고(디지털),  9,000원","16:25,  맵 투 더 스타(디지털),  9,000원","18:35,  자전거 탄 소년(필름),  9,000원","20:20,  마미(디지털),  9,000원",,,,72
2015-01-03,01관,"10:10,  내일을 위한 시간(디지털),  8,000원","12:00,  클라우즈 오브 실스마리아(디지털),  9,000원","14:15,  내일을 위한 시간(디지털),  9,000원","16:05,  클라우즈 오브 실스마리아(디지털),  9,000원","18:25,  클라우즈 오브 실스마리아(디지털),  9,000원","20:45,  내일을 위한 시간(디지털),  9,000원",,,,293
2015-01-03,02관,"10:00,  클라우즈 오브 실스마리아(디지털),  8,000원","12:20,  꾸뻬씨의 행복여행(디지털),  9,000원","14:35,  무드 인디고(디지털),  9,000원","16:25,  맵 투 더 스타(디지털),  9,000원","18:35,  자전거 탄 소년(필름),  9,000원","20:20,  마미(디지털),  9,000원",,,,72
2015-01-04,01관,"10:10,  내일을 위한 시간(디지털),  8,000원","12:00,  클라우즈 오브 실스마리아(디지털),  9,000원","14:15,  내일을 위한 시간(디지털),  9,000원","16:05,  클라우즈 오브 실스마리아(디지털),  9,000원","18:25,  클라우즈 오브 실스마리아(디지털),  9,000원","20:45,  내일을 위한 시간(디지털),  9,000원",,,,293
2015-01-04,02관,"10:00,  클라우즈 오브 실스마리아(디지털),  8,000원","12:20,  꾸뻬씨의 행복여행(디지털),  9,000원","14:35,  무드 인디고(디지털),  9,000원","16:25,  맵 투 더 스타(디지털),  9,000원","18:35,  자전거 탄 소년(필름),  9,000원","20:20,  마미(디지털),  9,000원",,,,72
2015-01-05,01관,"10:10,  내일을 위한 시간(디지털),  7,000원","12:00,  클라우즈 오브 실스마리아(디지털),  8,000원","14:15,  내일을 위한 시간(디지털),  8,000원","16:05,  클라우즈 오브 실스마리아(디지털),  8,000원","18:25,  클라우즈 오브 실스마리아(디지털),  8,000원","20:45,  내일을 위한 시간(디지털),  8,000원",,,,293
2015-01-05,02관,"10:00,  클라우즈 오브 실스마리아(디지털),  7,000원","12:20,  꾸뻬씨의 행복여행(디지털),  8,000원","14:35,  무드 인디고(디지털),  8,000원","16:25,  맵 투 더 스타(디지털),  8,000원","18:35,  내일을 위한 시간(디지털),  8,000원","20:20,  마미(디지털),  8,000원",,,,72
