상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,좌석수
2015-01-01,01관,"09:35,  마다가스카의 펭귄(디지털더빙),  4,000원","11:35,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  7,000원","13:15,  마다가스카의 펭귄(디지털더빙),  7,000원","15:10,  숲속으로(디지털),  7,000원","17:40,  마다가스카의 펭귄(디지털더빙),  7,000원","19:30,  호빗: 다섯 군대 전투(디지털),  7,000원",,,181
2015-01-01,02관,"08:50,  국제시장(디지털),  4,000원","11:20,  숲속으로(디지털),  7,000원","13:40,  국제시장(디지털),  7,000원","16:05,  상의원(디지털),  7,000원","18:30,  국제시장(디지털),  7,000원","20:55,  국제시장(디지털),  7,000원",,,164
2015-01-01,영진위독립영화전용관,"09:10,  다이빙벨(디지털),  4,000원","10:45,  님아, 그 강을 건너지 마오(디지털),  7,000원","12:30,  쿼바디스(디지털),  7,000원","14:35,  민우씨 오는 날(디지털),  5,000원","15:25,  님아, 그 강을 건너지 마오(디지털),  7,000원","17:10,  쿼바디스(디지털),  7,000원","19:50,  님아, 그 강을 건너지 마오(디지털),  7,000원",,127
2015-01-02,01관,"09:35,  마다가스카의 펭귄(디지털더빙),  4,000원","11:35,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  7,000원","13:15,  마다가스카의 펭귄(디지털더빙),  7,000원","15:10,  숲속으로(디지털),  7,000원","17:40,  마다가스카의 펭귄(디지털더빙),  7,000원","19:30,  호빗: 다섯 군대 전투(디지털),  7,000원",,,181
2015-01-02,02관,"08:50,  국제시장(디지털),  4,000원","11:20,  숲속으로(디지털),  7,000원","13:40,  국제시장(디지털),  7,000원","16:05,  상의원(디지털),  7,000원","18:30,  국제시장(디지털),  7,000원","20:55,  국제시장(디지털),  7,000원",,,164
2015-01-02,영진위독립영화전용관,"09:10,  다이빙벨(디지털),  4,000원","10:45,  님아, 그 강을 건너지 마오(디지털),  5,000원","12:30,  쿼바디스(디지털),  5,000원","14:35,  민우씨 오는 날(디지털),  5,000원","15:25,  님아, 그 강을 건너지 마오(디지털),  5,000원","17:10,  쿼바디스(디지털),  5,000원","19:50,  님아, 그 강을 건너지 마오(디지털),  5,000원",,127
2015-01-03,01관,"09:35,  마다가스카의 펭귄(디지털더빙),  4,000원","11:35,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  7,000원","13:15,  마다가스카의 펭귄(디지털더빙),  7,000원","15:10,  숲속으로(디지털),  7,000원","17:40,  마다가스카의 펭귄(디지털더빙),  7,000원","19:30,  호빗: 다섯 군대 전투(디지털),  7,000원",,,181
2015-01-03,02관,"08:50,  국제시장(디지털),  4,000원","11:20,  숲속으로(디지털),  7,000원","13:40,  국제시장(디지털),  7,000원","16:05,  국제시장(디지털),  7,000원","18:30,  국제시장(디지털),  7,000원","20:55,  국제시장(디지털),  7,000원",,,164
2015-01-03,영진위독립영화전용관,"09:10,  다이빙벨(디지털),  4,000원","10:45,  님아, 그 강을 건너지 마오(디지털),  7,000원","12:30,  쿼바디스(디지털),  7,000원","14:35,  민우씨 오는 날(디지털),  5,000원","15:25,  님아, 그 강을 건너지 마오(디지털),  7,000원","17:10,  쿼바디스(디지털),  7,000원","19:50,  님아, 그 강을 건너지 마오(디지털),  7,000원",,127
2015-01-04,01관,"09:35,  마다가스카의 펭귄(디지털더빙),  4,000원","11:35,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  7,000원","13:15,  마다가스카의 펭귄(디지털더빙),  7,000원","15:10,  숲속으로(디지털),  7,000원","17:40,  마다가스카의 펭귄(디지털더빙),  7,000원","19:30,  호빗: 다섯 군대 전투(디지털),  7,000원",,,181
