상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,12회,13회,14회,좌석수
2017-05-18,01관,"19:40,  킹 아서: 제왕의 검(디지털),  5,000원",,,,,,,,,,,,,,58
2017-05-19,01관,"15:00,  보안관(디지털),  5,000원","18:30,  보안관(디지털),  5,000원",,,,,,,,,,,,,58
2017-05-19,02관,"15:00,  보안관(디지털),  5,000원","19:00,  불한당: 나쁜 놈들의 세상(디지털),  5,000원",,,,,,,,,,,,,43
2017-05-20,01관,"10:00,  킹 아서: 제왕의 검(디지털),  5,000원","12:30,  부니베어: 브램블의 신비한 모험(디지털더빙),  5,000원","14:20,  킹 아서: 제왕의 검(디지털),  5,000원","16:50,  겟 아웃(디지털),  5,000원","19:20,  불한당: 나쁜 놈들의 세상(디지털),  5,000원",,,,,,,,,,58
2017-05-20,02관,"10:30,  보안관(디지털),  5,000원","12:50,  불한당: 나쁜 놈들의 세상(디지털),  5,000원","15:10,  킹 아서: 제왕의 검(디지털),  5,000원","17:40,  보안관(디지털),  5,000원","20:00,  겟 아웃(디지털),  5,000원",,,,,,,,,,43
2017-05-21,01관,"10:00,  킹 아서: 제왕의 검(디지털),  5,000원","12:30,  부니베어: 브램블의 신비한 모험(디지털더빙),  5,000원","14:20,  킹 아서: 제왕의 검(디지털),  5,000원","16:50,  겟 아웃(디지털),  5,000원","19:20,  불한당: 나쁜 놈들의 세상(디지털),  5,000원",,,,,,,,,,58
2017-05-21,02관,"10:30,  보안관(디지털),  5,000원","12:50,  불한당: 나쁜 놈들의 세상(디지털),  5,000원","15:10,  킹 아서: 제왕의 검(디지털),  5,000원","17:40,  보안관(디지털),  5,000원","20:00,  겟 아웃(디지털),  5,000원",,,,,,,,,,43
2017-05-22,01관,"10:00,  부니베어: 브램블의 신비한 모험(디지털더빙)","11:50,  킹 아서: 제왕의 검(디지털)","14:20,  킹 아서: 제왕의 검(디지털),  5,000원","16:50,  겟 아웃(디지털),  5,000원","19:20,  불한당: 나쁜 놈들의 세상(디지털),  5,000원",,,,,,,,,,58
2017-05-22,02관,"10:30,  부니베어: 브램블의 신비한 모험(디지털더빙)","12:20,  불한당: 나쁜 놈들의 세상(디지털),  5,000원","14:40,  킹 아서: 제왕의 검(디지털)","17:10,  보안관(디지털)","19:30,  겟 아웃(디지털),  5,000원",,,,,,,,,,43
2017-05-23,01관,"10:00,  부니베어: 브램블의 신비한 모험(디지털더빙)","11:50,  킹 아서: 제왕의 검(디지털),  5,000원","14:20,  킹 아서: 제왕의 검(디지털),  5,000원","16:50,  겟 아웃(디지털),  5,000원","19:20,  불한당: 나쁜 놈들의 세상(디지털),  5,000원",,,,,,,,,,58
2017-05-23,02관,"10:30,  부니베어: 브램블의 신비한 모험(디지털더빙)","12:20,  불한당: 나쁜 놈들의 세상(디지털),  5,000원","14:40,  킹 아서: 제왕의 검(디지털),  5,000원","17:10,  보안관(디지털),  5,000원","19:30,  겟 아웃(디지털),  5,000원",,,,,,,,,,43
2017-05-24,01관,"10:00,  보스 베이비(디지털더빙),  5,000원","12:00,  킹 아서: 제왕의 검(디지털)","14:30,  부니베어: 브램블의 신비한 모험(디지털더빙)","16:30,  캐리비안의 해적: 죽은 자는 말이 없다(3D 디지털),  8,000원","19:10,  킹 아서: 제왕의 검(디지털),  5,000원",,,,,,,,,,58
2017-05-24,02관,"10:30,  보안관(디지털),  5,000원","12:50,  불한당: 나쁜 놈들의 세상(디지털),  5,000원","15:10,  보스 베이비(디지털더빙),  5,000원","17:20,  겟 아웃(디지털),  5,000원","19:50,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원",,,,,,,,,,43
2017-05-25,01관,"10:00,  킹 아서: 제왕의 검(디지털)","12:30,  보스 베이비(디지털더빙),  5,000원","14:40,  불한당: 나쁜 놈들의 세상(디지털),  5,000원","17:10,  겟 아웃(디지털)","19:50,  캐리비안의 해적: 죽은 자는 말이 없다(3D 디지털),  8,000원",,,,,,,,,,58
2017-05-25,02관,"10:30,  보안관(디지털),  5,000원","12:50,  부니베어: 브램블의 신비한 모험(디지털더빙)","15:00,  겟 아웃(디지털)","17:30,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원","20:10,  인카네이트(디지털),  5,000원",,,,,,,,,,43
2017-05-26,01관,"10:00,  부니베어: 브램블의 신비한 모험(디지털더빙)","12:00,  보스 베이비(디지털더빙)","14:10,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원","16:50,  불한당: 나쁜 놈들의 세상(디지털),  5,000원","19:20,  캐리비안의 해적: 죽은 자는 말이 없다(3D 디지털),  8,000원","22:00,  겟 아웃(디지털),  5,000원",,,,,,,,,58
2017-05-26,02관,"10:20,  보안관(디지털),  5,000원","12:40,  불한당: 나쁜 놈들의 세상(디지털),  5,000원","15:00,  킹 아서: 제왕의 검(디지털),  5,000원","17:30,  보스 베이비(디지털더빙),  5,000원","19:40,  인카네이트(디지털),  5,000원","21:40,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원",,,,,,,,,43
2017-05-27,01관,"10:00,  부니베어: 브램블의 신비한 모험(디지털더빙),  5,000원","12:00,  보스 베이비(디지털더빙),  5,000원","14:20,  캐리비안의 해적: 죽은 자는 말이 없다(3D 디지털),  8,000원","16:50,  겟 아웃(디지털),  5,000원","19:30,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원","22:10,  불한당: 나쁜 놈들의 세상(디지털),  5,000원",,,,,,,,,58
2017-05-27,02관,"10:30,  불한당: 나쁜 놈들의 세상(디지털),  5,000원","12:50,  킹 아서: 제왕의 검(디지털),  5,000원","15:30,  보스 베이비(디지털더빙),  5,000원","17:40,  보안관(디지털),  5,000원","19:50,  인카네이트(디지털),  5,000원","21:40,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원",,,,,,,,,43
2017-05-28,01관,"10:00,  부니베어: 브램블의 신비한 모험(디지털더빙),  5,000원","11:50,  보스 베이비(디지털더빙),  5,000원","13:50,  킹 아서: 제왕의 검(디지털),  5,000원","16:20,  캐리비안의 해적: 죽은 자는 말이 없다(3D 디지털),  8,000원","19:00,  불한당: 나쁜 놈들의 세상(디지털),  5,000원",,,,,,,,,,58
2017-05-28,02관,"10:30,  보안관(디지털)","12:50,  보스 베이비(디지털더빙),  5,000원","15:00,  인카네이트(디지털),  5,000원","17:00,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원","19:40,  겟 아웃(디지털),  5,000원",,,,,,,,,,43
2017-05-29,01관,"10:00,  부니베어: 브램블의 신비한 모험(디지털더빙),  5,000원","12:30,  킹 아서: 제왕의 검(디지털),  5,000원","16:00,  겟 아웃(디지털)","19:00,  대립군(디지털),  0원","21:40,  캐리비안의 해적: 죽은 자는 말이 없다(3D 디지털),  8,000원",,,,,,,,,,58
2017-05-29,02관,"10:30,  보스 베이비(디지털더빙),  5,000원","13:00,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원","16:20,  불한당: 나쁜 놈들의 세상(디지털),  0원","19:10,  대립군(디지털),  0원","21:50,  인카네이트(디지털),  5,000원",,,,,,,,,,43
2017-05-30,01관,"10:00,  부니베어: 브램블의 신비한 모험(디지털더빙)","12:30,  불한당: 나쁜 놈들의 세상(디지털),  5,000원","15:30,  킹 아서: 제왕의 검(디지털)","18:30,  인카네이트(디지털),  5,000원","20:30,  캐리비안의 해적: 죽은 자는 말이 없다(3D 디지털),  8,000원",,,,,,,,,,58
2017-05-30,02관,"10:30,  킹 아서: 제왕의 검(디지털),  5,000원","13:20,  보스 베이비(디지털더빙),  5,000원","15:20,  겟 아웃(디지털),  5,000원","18:00,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원","20:50,  불한당: 나쁜 놈들의 세상(디지털),  5,000원",,,,,,,,,,43
2017-05-31,01관,"09:30,  보스 베이비(디지털더빙)","11:30,  대립군(디지털),  4,000원","14:00,  캐리비안의 해적: 죽은 자는 말이 없다(3D 디지털),  7,000원","16:30,  부니베어: 브램블의 신비한 모험(디지털더빙),  4,000원","18:40,  원더 우먼(3D 디지털),  7,000원","21:30,  킹 아서: 제왕의 검(디지털),  4,000원",,,,,,,,,58
2017-05-31,02관,"09:30,  불한당: 나쁜 놈들의 세상(디지털),  4,000원","11:50,  원더 우먼(디지털),  4,000원","14:30,  겟 아웃(디지털)","17:00,  인카네이트(디지털),  4,000원","18:50,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  4,000원","21:40,  대립군(디지털),  4,000원",,,,,,,,,43
2017-06-01,01관,"10:30,  파워배틀 와치카: 와치가면의 역습(디지털),  5,000원","13:00,  보스 베이비(디지털더빙),  5,000원",,,,,,,,,,,,,58
2017-06-01,02관,"11:00,  대립군(디지털),  5,000원","13:40,  보스 베이비(디지털더빙),  5,000원","15:40,  원더 우먼(디지털),  5,000원","18:30,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원","21:00,  대립군(디지털),  5,000원",,,,,,,,,,43
2017-06-02,01관,"10:00,  캐리비안의 해적: 죽은 자는 말이 없다(3D 디지털),  8,000원","13:00,  대립군(디지털),  5,000원","16:00,  보스 베이비(디지털더빙),  5,000원","18:30,  원더 우먼(3D 디지털),  8,000원","21:30,  겟 아웃(디지털),  5,000원",,,,,,,,,,58
2017-06-02,02관,"10:30,  원더 우먼(디지털),  5,000원","13:40,  파워배틀 와치카: 와치가면의 역습(디지털)","16:10,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원","19:00,  노무현입니다(디지털),  5,000원","21:20,  대립군(디지털),  5,000원",,,,,,,,,,43
2017-06-03,01관,"10:00,  보스 베이비(디지털더빙),  5,000원","12:10,  대립군(디지털),  5,000원","14:50,  캐리비안의 해적: 죽은 자는 말이 없다(3D 디지털),  8,000원","17:30,  원더 우먼(3D 디지털),  8,000원","20:20,  노무현입니다(디지털),  5,000원","22:40,  대립군(디지털),  5,000원",,,,,,,,,58
2017-06-03,02관,"10:00,  캐리비안의 해적: 죽은 자는 말이 없다(디지털),  5,000원","12:30,  파워배틀 와치카: 와치가면의 역습(디지털),  5,000원","14:20,  노무현입니다(디지털),  5,000원","16:40,  보스 베이비(디지털더빙),  5,000원","18:50,  원더 우먼(디지털),  5,000원","21:40,  겟 아웃(디지털),  5,000원",,,,,,,,,43
2017-06-04,01관,"10:00,  대립군(디지털),  5,000원","12:40,  파워배틀 와치카: 와치가면의 역습(디지털),  5,000원","14:40,  캐리비안의 해적: 죽은 자는 말이 없다(3D 디지털),  8,000원","17:30,  노무현입니다(디지털),  5,000원","20:00,  원더 우먼(3D 디지털),  8,000원",,,,,,,,,,58
