상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,좌석수
2015-01-01,01관,"11:00,  쿼바디스(디지털),  9,000원","13:10,  민우씨 오는 날(디지털),  5,000원","14:00,  목숨(디지털),  9,000원","16:00,  빌리 엘리어트 뮤지컬 라이브(디지털),  20,000원","20:00,  무드 인디고(디지털),  9,000원",,,138
2015-01-01,02관,"11:00,  내일을 위한 시간(디지털),  9,000원","13:00,  마미(디지털),  9,000원","15:40,  하울의 움직이는 성(디지털),  9,000원","18:00,  내일을 위한 시간(디지털),  9,000원","20:00,  사랑에 대한 모든 것(디지털),  9,000원",,,138
2015-01-02,01관,"11:00,  쿼바디스(디지털),  8,000원","13:10,  목숨(디지털),  8,000원","15:30,  빌리 엘리어트 뮤지컬 라이브(디지털),  20,000원","19:00,  민우씨 오는 날(디지털),  5,000원","20:00,  무드 인디고(디지털),  9,000원",,,138
2015-01-02,02관,"10:40,  맵 투 더 스타(디지털),  8,000원","12:50,  사랑에 대한 모든 것(디지털),  8,000원","15:10,  마미(디지털),  9,000원","17:50,  하울의 움직이는 성(디지털),  9,000원","20:10,  내일을 위한 시간(디지털),  9,000원",,,138
2015-01-03,01관,"10:40,  쿼바디스(디지털),  9,000원","12:40,  무드 인디고(디지털),  9,000원","14:30,  목숨(디지털),  9,000원","16:30,  빌리 엘리어트 뮤지컬 라이브(디지털),  20,000원","20:00,  무드 인디고(디지털),  9,000원",,,138
2015-01-03,02관,"10:40,  마미(디지털),  9,000원","13:30,  사랑에 대한 모든 것(디지털),  9,000원","15:50,  하울의 움직이는 성(디지털),  9,000원","18:10,  내일을 위한 시간(디지털),  9,000원","20:10,  사랑에 대한 모든 것(디지털),  9,000원",,,138
2015-01-04,01관,"11:00,  님아, 그 강을 건너지 마오(디지털),  9,000원","12:45,  목숨(디지털),  9,000원","14:40,  빌리 엘리어트 뮤지컬 라이브(디지털),  20,000원","18:00,  무드 인디고(디지털),  9,000원","20:00,  쿼바디스(디지털),  9,000원",,,138
2015-01-04,02관,"10:40,  사랑에 대한 모든 것(디지털),  9,000원","13:10,  하울의 움직이는 성(디지털),  9,000원","15:30,  내일을 위한 시간(디지털),  9,000원","17:30,  사랑에 대한 모든 것(디지털),  9,000원","20:00,  마미(디지털),  9,000원",,,138
2015-01-05,01관,"11:00,  무드 인디고(디지털),  8,000원","13:00,  하울의 움직이는 성(디지털),  8,000원","15:30,  목숨(디지털),  8,000원","17:30,  쿼바디스(디지털),  8,000원","20:00,  무드 인디고(디지털),  8,000원",,,138
2015-01-05,02관,"10:40,  맵 투 더 스타(디지털),  8,000원","12:50,  사랑에 대한 모든 것(디지털),  8,000원","15:20,  내일을 위한 시간(디지털),  8,000원","17:20,  마미(디지털),  8,000원","20:00,  사랑에 대한 모든 것(디지털),  8,000원",,,138
2015-01-06,01관,"11:00,  쿼바디스(디지털),  8,000원","13:10,  하울의 움직이는 성(디지털),  8,000원","15:30,  목숨(디지털),  8,000원","17:30,  무드 인디고(디지털),  8,000원","19:30,  빌리 엘리어트 뮤지컬 라이브(디지털),  20,000원",,,138
2015-01-06,02관,"10:40,  사랑에 대한 모든 것(디지털),  8,000원","13:05,  무드 인디고(디지털),  8,000원","15:00,  마미(디지털),  8,000원","17:40,  사랑에 대한 모든 것(디지털),  8,000원","20:00,  내일을 위한 시간(디지털),  8,000원",,,138
2015-01-07,01관,"11:00,  쿼바디스(디지털),  8,000원","13:30,  목숨(디지털),  8,000원","15:30,  빌리 엘리어트 뮤지컬 라이브(디지털),  20,000원","19:00,  민우씨 오는 날(디지털),  5,000원","20:00,  무드 인디고(디지털),  8,000원",,,138
2015-01-07,02관,"10:40,  사랑에 대한 모든 것(디지털),  8,000원","13:00,  내일을 위한 시간(디지털),  8,000원","15:00,  하울의 움직이는 성(디지털),  8,000원","17:20,  마미(디지털),  8,000원","20:00,  사랑에 대한 모든 것(디지털),  8,000원",,,138
2015-01-08,01관,"11:00,  자유의 언덕(디지털),  8,000원","12:40,  경주(디지털),  8,000원","16:00,  목숨(디지털),  8,000원","18:00,  쿼바디스(디지털),  7,000원","20:00,  한공주(디지털),  8,000원",,,138
2015-01-08,02관,"11:00,  사랑에 대한 모든 것(디지털),  8,000원","13:30,  바티칸 뮤지엄(3D 디지털),  13,000원","15:00,  인터스텔라(디지털),  8,000원","18:10,  내일을 위한 시간(디지털),  8,000원","20:00,  하울의 움직이는 성(디지털),  8,000원",,,138
2015-01-09,01관,"11:00,  족구왕(디지털),  8,000원","13:10,  목숨(디지털),  8,000원","15:10,  도희야(디지털),  9,000원","17:30,  민우씨 오는 날(디지털),  5,000원","18:20,  자유의 언덕(디지털),  9,000원","20:00,  쿼바디스(디지털),  9,000원",,138
2015-01-09,02관,"10:40,  마미(디지털),  8,000원","13:20,  인터스텔라(디지털),  8,000원","16:30,  하울의 움직이는 성(디지털),  9,000원","18:50,  바티칸 뮤지엄(3D 디지털),  13,000원","20:20,  내일을 위한 시간(디지털),  9,000원",,,138
2015-01-10,01관,"10:40,  한공주(디지털),  9,000원","12:50,  목숨(디지털),  9,000원","14:40,  하울의 움직이는 성(디지털),  9,000원","17:00,  빌리 엘리어트 뮤지컬 라이브(디지털),  20,000원","20:20,  무드 인디고(디지털),  9,000원",,,138
2015-01-10,02관,"10:40,  마미(디지털),  9,000원","13:20,  내일을 위한 시간(디지털),  9,000원","15:20,  바티칸 뮤지엄(3D 더빙),  13,000원","17:00,  사랑에 대한 모든 것(디지털),  9,000원","19:30,  바티칸 뮤지엄(3D 더빙),  13,000원",,,138
2015-01-11,01관,"10:40,  족구왕(디지털),  9,000원","12:40,  하울의 움직이는 성(디지털),  9,000원","15:00,  빌리 엘리어트 뮤지컬 라이브(디지털),  20,000원","18:20,  무드 인디고(디지털),  9,000원","20:20,  쿼바디스(디지털),  9,000원",,,138
2015-01-11,02관,"11:00,  내일을 위한 시간(디지털),  9,000원","14:00,  바티칸 뮤지엄(3D 더빙),  13,000원","15:30,  사랑에 대한 모든 것(디지털),  9,000원","18:00,  바티칸 뮤지엄(3D 더빙),  13,000원","19:30,  인터스텔라(디지털),  9,000원",,,138
2015-01-12,01관,"11:00,  쿼바디스(디지털)","13:05,  경주(디지털),  8,000원","15:50,  목숨(디지털),  8,000원","17:45,  도희야(디지털),  8,000원","20:00,  한공주(디지털),  8,000원",,,138
2015-01-12,02관,"11:00,  사랑에 대한 모든 것(디지털),  8,000원","14:00,  바티칸 뮤지엄(3D 더빙),  13,000원","15:30,  하울의 움직이는 성(디지털),  8,000원","18:00,  바티칸 뮤지엄(3D 더빙),  13,000원","19:30,  인터스텔라(디지털),  8,000원",,,138
2015-01-13,01관,"11:00,  경주(디지털),  8,000원","14:00,  목숨(디지털),  8,000원","16:00,  도희야(디지털),  8,000원","18:30,  자유의 언덕(디지털),  8,000원","20:00,  쿼바디스(디지털),  8,000원",,,138
2015-01-13,02관,"11:00,  내일을 위한 시간(디지털),  8,000원","13:00,  바티칸 뮤지엄(3D 더빙),  13,000원","15:00,  인터스텔라(디지털),  8,000원","18:30,  바티칸 뮤지엄(3D 더빙),  13,000원","20:00,  사랑에 대한 모든 것(디지털),  8,000원",,,138
2015-01-14,01관,"11:00,  쿼바디스(디지털)","13:05,  족구왕(디지털),  8,000원","15:10,  하울의 움직이는 성(디지털),  8,000원","17:30,  무드 인디고(디지털),  8,000원","19:30,  빌리 엘리어트 뮤지컬 라이브(디지털),  20,000원",,,138
2015-01-14,02관,"11:00,  마미(디지털),  8,000원","13:40,  바티칸 뮤지엄(3D 더빙),  13,000원","15:30,  사랑에 대한 모든 것(디지털),  8,000원","18:00,  내일을 위한 시간(디지털),  8,000원","20:00,  바티칸 뮤지엄(3D 더빙),  13,000원",,,138
2015-01-15,01관,"11:00,  미라클 여행기(디지털),  8,000원","12:50,  경주(디지털),  8,000원","15:40,  목숨(디지털),  8,000원","17:40,  쿼바디스(디지털),  8,000원","20:00,  미라클 여행기(디지털),  8,000원",,,138
2015-01-15,02관,"10:40,  아메리칸 셰프(디지털),  8,000원","13:00,  바티칸 뮤지엄(3D 더빙),  13,000원","14:30,  사랑에 대한 모든 것(디지털),  8,000원","16:50,  바티칸 뮤지엄(3D 더빙),  13,000원","18:20,  아이 킬드 마이 마더(디지털),  8,000원","20:20,  이별까지 7일(디지털),  8,000원",,138
2015-01-16,01관,"11:00,  자유의 언덕(디지털),  8,000원","12:40,  목숨(디지털),  8,000원","15:00,  쿼바디스(디지털),  9,000원","18:00,  미라클 여행기(디지털),  9,000원","20:00,  한공주(디지털),  8,000원",,,138
2015-01-16,02관,"11:00,  내일을 위한 시간(디지털),  8,000원","13:00,  이별까지 7일(디지털),  8,000원","15:15,  바티칸 뮤지엄(3D 더빙),  13,000원","16:40,  아이 킬드 마이 마더(디지털),  9,000원","18:35,  바티칸 뮤지엄(3D 더빙),  13,000원","20:00,  아메리칸 셰프(디지털),  9,000원",,138
2015-01-17,01관,"11:00,  무드 인디고(디지털),  9,000원","13:00,  하울의 움직이는 성(디지털),  9,000원","15:30,  빌리 엘리어트 뮤지컬 라이브(디지털),  20,000원","19:30,  미라클 여행기(디지털),  9,000원",,,,138
2015-01-17,02관,"11:00,  아이 킬드 마이 마더(디지털),  9,000원","13:00,  바티칸 뮤지엄(3D 더빙),  13,000원","14:30,  이별까지 7일(디지털),  9,000원","17:00,  아메리칸 셰프(디지털),  9,000원","19:30,  사랑에 대한 모든 것(디지털),  9,000원",,,138
2015-01-18,01관,"11:00,  무드 인디고(디지털),  9,000원","13:00,  하울의 움직이는 성(디지털),  9,000원","15:30,  빌리 엘리어트 뮤지컬 라이브(디지털),  20,000원","19:30,  무드 인디고(디지털),  9,000원",,,,138
2015-01-18,02관,"11:00,  아메리칸 셰프(디지털),  9,000원","13:20,  내일을 위한 시간(디지털),  9,000원","15:30,  바티칸 뮤지엄(3D 더빙),  13,000원","17:00,  사랑에 대한 모든 것(디지털),  9,000원","19:30,  아이 킬드 마이 마더(디지털),  9,000원",,,138
2015-01-19,01관,"11:00,  미라클 여행기(디지털)","12:50,  한공주(디지털),  8,000원","15:10,  목숨(디지털),  8,000원","17:10,  경주(디지털)","20:00,  쿼바디스(디지털),  8,000원",,,138
2015-01-19,02관,"10:40,  이별까지 7일(디지털)","13:00,  바티칸 뮤지엄(3D 더빙),  13,000원","14:25,  아메리칸 셰프(디지털),  8,000원","16:40,  사랑에 대한 모든 것(디지털),  8,000원","19:00,  바티칸 뮤지엄(3D 더빙),  13,000원","20:20,  아이 킬드 마이 마더(디지털),  8,000원",,138
2015-01-20,01관,"11:00,  족구왕(디지털)","13:30,  목숨(디지털),  8,000원","16:00,  쿼바디스(디지털),  8,000원","18:30,  자유의 언덕(디지털),  8,000원","20:00,  미라클 여행기(디지털),  8,000원",,,138
2015-01-20,02관,"10:40,  아이 킬드 마이 마더(디지털),  8,000원","12:30,  사랑에 대한 모든 것(디지털),  8,000원","14:50,  바티칸 뮤지엄(3D 더빙),  13,000원","16:10,  내일을 위한 시간(디지털),  8,000원","18:05,  아메리칸 셰프(디지털),  8,000원","20:20,  바티칸 뮤지엄(3D 더빙),  13,000원",,138
2015-01-21,01관,"11:00,  무드 인디고(디지털),  8,000원","13:00,  목숨(디지털),  8,000원","15:00,  마미(디지털),  8,000원","17:35,  무드 인디고(디지털),  8,000원","19:30,  인터스텔라(디지털),  8,000원",,,138
2015-01-21,02관,"11:00,  내일을 위한 시간(디지털),  5,000원","12:50,  이별까지 7일(디지털),  8,000원","15:00,  바티칸 뮤지엄(3D 더빙),  13,000원","16:20,  아메리칸 셰프(디지털),  8,000원","18:30,  아이 킬드 마이 마더(디지털),  8,000원","20:20,  사랑에 대한 모든 것(디지털),  8,000원",,138
2015-01-22,01관,"11:00,  경주(디지털),  8,000원","14:00,  목숨(디지털),  6,000원","16:00,  워낭소리(디지털),  8,000원","17:40,  두 개의 문(디지털),  8,000원","20:00,  미라클 여행기(디지털),  8,000원",,,138
2015-01-22,02관,"10:40,  이별까지 7일(디지털),  8,000원","12:55,  바티칸 뮤지엄(3D 더빙),  13,000원","14:20,  사랑에 대한 모든 것(디지털),  8,000원","16:40,  아이 킬드 마이 마더(디지털),  8,000원","18:35,  바티칸 뮤지엄(3D 더빙),  13,000원","20:00,  미스터 터너(디지털),  8,000원",,138
2015-01-23,01관,"11:00,  자유의 언덕(디지털),  8,000원","12:25,  말하는 건축가(디지털),  8,000원","14:20,  길위에서(디지털),  9,000원","16:25,  트루맛쇼(필름),  9,000원","17:55,  쿼바디스(디지털),  9,000원","20:00,  워낭소리(디지털)",,138
2015-01-23,02관,"11:00,  나이팅게일(디지털),  5,000원","13:30,  이별까지 7일(디지털),  8,000원","15:45,  바티칸 뮤지엄(3D 더빙),  13,000원","17:10,  미스터 터너(디지털),  9,000원","20:00,  아메리칸 셰프(디지털),  9,000원",,,138
2015-01-24,01관,"10:40,  인터스텔라(디지털),  9,000원","13:50,  워낭소리(디지털),  9,000원","15:25,  아이 킬드 마이 마더(디지털),  9,000원","17:25,  마미(디지털),  9,000원","20:00,  무드 인디고(디지털),  9,000원",,,138
2015-01-24,02관,"11:00,  이별까지 7일(디지털),  9,000원","13:15,  바티칸 뮤지엄(3D 더빙),  13,000원","14:40,  내일을 위한 시간(디지털),  9,000원","16:30,  아메리칸 셰프(디지털),  9,000원","18:40,  바티칸 뮤지엄(3D 더빙),  13,000원","20:00,  사랑에 대한 모든 것(디지털),  9,000원",,138
2015-01-25,01관,"11:00,  아이 킬드 마이 마더(디지털),  9,000원","12:55,  무드 인디고(디지털),  9,000원","14:50,  마미(디지털),  9,000원","17:30,  아이 킬드 마이 마더(디지털),  9,000원","19:30,  인터스텔라(디지털),  9,000원",,,138
2015-01-25,02관,"11:00,  사랑에 대한 모든 것(디지털),  9,000원","13:20,  내일을 위한 시간(디지털),  9,000원","15:10,  바티칸 뮤지엄(3D 더빙),  13,000원","16:30,  아메리칸 셰프(디지털),  9,000원","18:40,  바티칸 뮤지엄(3D 더빙),  13,000원","20:00,  미스터 터너(디지털),  9,000원",,138
2015-01-26,01관,"11:00,  경주(디지털),  8,000원","13:45,  족구왕(디지털),  8,000원","15:50,  길위에서(디지털),  8,000원","18:00,  두 개의 문(디지털),  8,000원","20:00,  말하는 건축가(디지털),  8,000원",,,138
2015-01-26,02관,"10:50,  아이 킬드 마이 마더(디지털),  8,000원","12:45,  바티칸 뮤지엄(3D 더빙),  13,000원","14:05,  이별까지 7일(디지털),  8,000원","16:20,  사랑에 대한 모든 것(디지털),  8,000원","18:40,  바티칸 뮤지엄(3D 더빙),  13,000원","20:00,  아메리칸 셰프(디지털),  8,000원",,138
2015-01-27,01관,"11:00,  말하는 건축가(디지털),  8,000원","12:50,  워낭소리(디지털)","14:25,  목숨(디지털)","16:15,  미라클 여행기(디지털),  8,000원","18:00,  쿼바디스(디지털),  8,000원","20:00,  트루맛쇼(필름),  8,000원",,138
2015-01-27,02관,"11:00,  내일을 위한 시간(디지털),  8,000원","13:00,  아메리칸 셰프(디지털),  8,000원","15:30,  바티칸 뮤지엄(3D 더빙),  13,000원","17:00,  미스터 터너(디지털),  8,000원","20:00,  제네시스: 세상의 소금(디지털),  0원",,,138
2015-01-28,01관,"11:00,  한공주(디지털),  8,000원","13:10,  무드 인디고(디지털),  8,000원","15:00,  마미(디지털),  8,000원","17:35,  아이 킬드 마이 마더(디지털),  8,000원","19:30,  인터스텔라(디지털),  8,000원",,,138
2015-01-28,02관,"11:00,  이별까지 7일(디지털),  8,000원","13:15,  아메리칸 셰프(디지털),  8,000원","15:25,  바티칸 뮤지엄(3D 더빙),  13,000원","16:45,  내일을 위한 시간(디지털),  8,000원","18:40,  바티칸 뮤지엄(3D 더빙),  13,000원","20:00,  빅 아이즈(디지털),  8,000원",,138
2015-01-29,01관,"11:00,  트루맛쇼(필름)","12:30,  쿼바디스(디지털),  8,000원","14:35,  목숨(디지털),  8,000원","16:30,  워낭소리(디지털)","18:05,  말하는 건축가(디지털),  8,000원","20:00,  두 개의 문(디지털),  8,000원",,138
2015-01-29,02관,"11:00,  미스터 터너(디지털),  8,000원","13:50,  빅 아이즈(디지털),  8,000원","16:00,  바티칸 뮤지엄(3D 더빙),  13,000원","17:30,  아메리칸 셰프(디지털),  8,000원","20:00,  트라이브(디지털),  8,000원",,,138
