상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,좌석수
2015-01-01,01관,"11:00,  맵 투 더 스타(디지털)","13:00,  님아, 그 강을 건너지 마오(디지털),  7,000원","14:40,  마미(디지털),  7,000원","17:10,  님아, 그 강을 건너지 마오(디지털),  7,000원","18:40,  꾸뻬씨의 행복여행(디지털),  7,000원","20:40,  내일을 위한 시간(디지털)",,,,144
2015-01-02,01관,"11:00,  하이킥 엔젤스(디지털),  6,000원","12:40,  님아, 그 강을 건너지 마오(디지털)","14:20,  무드 인디고(디지털),  7,000원","16:00,  님아, 그 강을 건너지 마오(디지털),  6,000원","17:40,  맵 투 더 스타(디지털),  6,000원","20:00,  피아노(디지털),  7,000원",,,,144
2015-01-03,01관,"11:00,  님아, 그 강을 건너지 마오(디지털)","12:40,  쿼바디스(디지털),  6,000원","14:30,  꾸뻬씨의 행복여행(디지털),  7,000원","16:30,  님아, 그 강을 건너지 마오(디지털),  7,000원","18:10,  퐁네프의 연인들(디지털),  7,000원","20:20,  목숨(디지털),  7,000원",,,,144
2015-01-04,01관,"11:00,  내일을 위한 시간(디지털),  5,000원","12:50,  님아, 그 강을 건너지 마오(디지털),  7,000원","14:30,  하울의 움직이는 성(더빙),  6,000원","16:40,  님아, 그 강을 건너지 마오(디지털),  7,000원","18:20,  마미(디지털),  7,000원","20:50,  하이킥 엔젤스(디지털),  6,000원",,,,144
2015-01-05,01관,"13:00,  님아, 그 강을 건너지 마오(디지털)","14:30,  마미(디지털),  6,000원","17:00,  내일을 위한 시간(디지털),  7,000원",,,,,,,144
2015-01-06,01관,"13:00,  꾸뻬씨의 행복여행(디지털),  6,000원","15:00,  맵 투 더 스타(디지털),  7,000원","16:50,  님아, 그 강을 건너지 마오(디지털),  7,000원","18:30,  마미(디지털)",,,,,,144
2015-01-07,01관,"11:00,  하울의 움직이는 성(필름),  6,000원","13:00,  무드 인디고(디지털),  7,000원","14:40,  목숨(디지털),  6,000원","16:30,  님아, 그 강을 건너지 마오(디지털),  7,000원","18:30,  내일을 위한 시간(디지털),  6,000원","20:10,  맵 투 더 스타(디지털),  6,000원",,,,144
2015-01-08,01관,"11:00,  하이킥 엔젤스(디지털),  6,000원","13:00,  님아, 그 강을 건너지 마오(디지털),  7,000원","14:40,  내일을 위한 시간(디지털),  7,000원","16:30,  무드 인디고(디지털),  7,000원","18:20,  나의 사적인 여자친구(디지털),  6,000원","20:10,  쿼바디스(디지털),  7,000원",,,,144
2015-01-09,01관,"11:00,  맵 투 더 스타(디지털),  6,000원","13:00,  님아, 그 강을 건너지 마오(디지털),  7,000원","14:40,  목숨(디지털),  7,000원","16:30,  님아, 그 강을 건너지 마오(디지털),  7,000원","18:20,  피아노(디지털),  7,000원","20:20,  하이킥 엔젤스(디지털),  6,000원",,,,144
2015-01-10,01관,"10:30,  마미(디지털),  7,000원","13:00,  님아, 그 강을 건너지 마오(디지털),  7,000원","14:40,  하울의 움직이는 성(더빙),  7,000원","16:40,  님아, 그 강을 건너지 마오(디지털),  7,000원","18:20,  내일을 위한 시간(디지털),  7,000원","20:00,  무드 인디고(디지털),  7,000원",,,,144
2015-01-11,01관,"11:00,  나의 사적인 여자친구(디지털),  7,000원","13:00,  님아, 그 강을 건너지 마오(디지털),  7,000원","14:30,  마미(디지털),  7,000원","17:00,  님아, 그 강을 건너지 마오(디지털),  7,000원","18:40,  꾸뻬씨의 행복여행(디지털),  7,000원","20:40,  맵 투 더 스타(디지털),  6,000원",,,,144
2015-01-12,01관,"11:00,  마미(디지털)","13:30,  맵 투 더 스타(디지털),  7,000원","15:30,  바티칸 뮤지엄(디지털),  7,000원","16:40,  내일을 위한 시간(디지털),  7,000원","18:30,  개를 훔치는 완벽한 방법(디지털),  7,000원","20:30,  나의 사적인 여자친구(디지털),  6,000원",,,,144
2015-01-13,01관,"11:00,  맵 투 더 스타(디지털),  6,000원","13:00,  무드 인디고(디지털),  6,000원","15:00,  개를 훔치는 완벽한 방법(디지털),  7,000원","17:00,  바티칸 뮤지엄(디지털),  6,000원","18:20,  설해(디지털),  6,000원","20:30,  하이킥 엔젤스(디지털),  6,000원",,,,144
2015-01-14,01관,"11:00,  설해(디지털),  7,000원","13:00,  나의 사적인 여자친구(디지털),  6,000원","15:00,  개를 훔치는 완벽한 방법(디지털),  7,000원","17:00,  님아, 그 강을 건너지 마오(디지털),  7,000원","18:20,  내일을 위한 시간(디지털),  6,000원",,,,,144
2015-01-15,01관,"18:30,  이별까지 7일(디지털),  7,000원","20:40,  미라클 여행기(디지털),  6,000원",,,,,,,,144
2015-01-16,01관,"11:00,  나의 사적인 여자친구(디지털),  6,000원","13:00,  바티칸 뮤지엄(디지털),  6,000원","14:30,  미라클 여행기(디지털),  6,000원","16:00,  마미(디지털),  7,000원","18:30,  개를 훔치는 완벽한 방법(디지털),  7,000원","20:30,  설해(디지털),  7,000원",,,,144
2015-01-17,01관,"11:00,  무드 인디고(디지털),  7,000원","13:00,  개를 훔치는 완벽한 방법(디지털),  7,000원","15:00,  바티칸 뮤지엄(디지털),  7,000원","16:20,  개를 훔치는 완벽한 방법(디지털),  7,000원","18:20,  이별까지 7일(디지털),  7,000원","20:40,  꾸뻬씨의 행복여행(디지털),  7,000원",,,,144
2015-01-18,01관,"11:00,  꾸뻬씨의 행복여행(디지털),  7,000원","13:00,  개를 훔치는 완벽한 방법(디지털),  7,000원","15:00,  이별까지 7일(디지털),  7,000원","17:10,  님아, 그 강을 건너지 마오(디지털),  7,000원","18:40,  개를 훔치는 완벽한 방법(디지털),  7,000원","20:40,  바티칸 뮤지엄(디지털),  7,000원",,,,144
2015-01-19,01관,"11:00,  개를 훔치는 완벽한 방법(디지털),  7,000원","13:00,  설해(디지털),  6,000원","15:00,  나의 사적인 여자친구(디지털),  6,000원","17:00,  내일을 위한 시간(디지털),  7,000원","18:40,  개를 훔치는 완벽한 방법(디지털),  7,000원","20:40,  미라클 여행기(디지털),  7,000원",,,,144
2015-01-20,01관,"11:00,  미라클 여행기(디지털)","12:40,  바티칸 뮤지엄(디지털),  7,000원","14:00,  개를 훔치는 완벽한 방법(디지털),  7,000원","16:20,  설해(디지털),  7,000원","18:30,  이별까지 7일(디지털),  6,000원","20:30,  나의 사적인 여자친구(디지털),  7,000원",,,,144
2015-01-21,01관,"11:00,  설해(디지털),  6,000원","13:00,  유아 낫 유(디지털),  7,000원","15:00,  내일을 위한 시간(디지털),  7,000원","16:40,  님아, 그 강을 건너지 마오(디지털),  7,000원","18:20,  바티칸 뮤지엄(디지털),  7,000원","19:30,  개를 훔치는 완벽한 방법(디지털),  7,000원",,,,144
2015-01-22,01관,"15:00,  유아 낫 유(디지털),  7,000원","16:50,  아이 킬드 마이 마더(디지털),  7,000원","18:30,  개를 훔치는 완벽한 방법(디지털),  7,000원","20:30,  바티칸 뮤지엄(디지털)",,,,,,144
2015-01-24,01관,"11:00,  개를 훔치는 완벽한 방법(디지털),  7,000원","13:00,  아이 킬드 마이 마더(디지털),  7,000원","14:40,  꾸뻬씨의 행복여행(디지털),  7,000원","16:50,  개를 훔치는 완벽한 방법(디지털),  7,000원","19:00,  바티칸 뮤지엄(디지털),  7,000원","20:20,  미라클 여행기(디지털),  7,000원",,,,144
2015-01-25,01관,"11:00,  유아 낫 유(디지털),  7,000원","13:00,  개를 훔치는 완벽한 방법(디지털),  7,000원","15:10,  이별까지 7일(디지털),  6,000원","17:20,  님아, 그 강을 건너지 마오(디지털),  7,000원","19:00,  개를 훔치는 완벽한 방법(디지털),  7,000원",,,,,144
2015-01-26,01관,"19:00,  개를 훔치는 완벽한 방법(디지털),  7,000원","21:00,  바티칸 뮤지엄(디지털),  6,000원",,,,,,,,144
2015-01-27,01관,"11:00,  미라클 여행기(디지털),  7,000원","12:40,  이별까지 7일(디지털),  6,000원","15:00,  님아, 그 강을 건너지 마오(디지털),  7,000원","16:30,  꾸뻬씨의 행복여행(디지털)","18:40,  개를 훔치는 완벽한 방법(디지털),  6,000원","20:40,  아이 킬드 마이 마더(디지털),  6,000원",,,,144
2015-01-28,01관,"11:00,  유아 낫 유(디지털),  6,000원","13:00,  개를 훔치는 완벽한 방법(디지털),  7,000원","15:00,  바티칸 뮤지엄(디지털),  7,000원","16:30,  이별까지 7일(디지털),  6,000원","18:40,  꾸뻬씨의 행복여행(디지털),  7,000원","20:40,  나의 사적인 여자친구(디지털),  6,000원",,,,144
2015-01-29,01관,"11:00,  이별까지 7일(디지털),  6,000원","13:10,  아이 킬드 마이 마더(디지털),  6,000원","15:00,  유아 낫 유(디지털),  7,000원","16:50,  님아, 그 강을 건너지 마오(디지털),  7,000원","18:30,  빅 아이즈(디지털),  6,000원","20:20,  개를 훔치는 완벽한 방법(디지털),  7,000원",,,,144
2015-01-30,01관,"12:00,  바티칸 뮤지엄(디지털),  6,000원","13:20,  미라클 여행기(디지털),  7,000원","15:00,  님아, 그 강을 건너지 마오(디지털),  7,000원","16:40,  유아 낫 유(디지털),  7,000원","18:40,  개를 훔치는 완벽한 방법(디지털),  7,000원",,,,,144
2015-01-31,01관,"11:00,  꾸뻬씨의 행복여행(디지털),  7,000원","13:10,  개를 훔치는 완벽한 방법(디지털),  7,000원","15:30,  님아, 그 강을 건너지 마오(디지털),  7,000원","17:00,  빅 아이즈(디지털),  7,000원","19:00,  유아 낫 유(디지털),  7,000원",,,,,144
2015-02-01,01관,"17:00,  빅 아이즈(디지털),  7,000원","13:10,  아이 킬드 마이 마더(디지털),  7,000원","15:00,  나의 사적인 여자친구(디지털),  7,000원","11:00,  이별까지 7일(디지털),  7,000원","19:00,  개를 훔치는 완벽한 방법(디지털),  7,000원",,,,,144
2015-02-02,01관,"11:00,  님아, 그 강을 건너지 마오(디지털)","12:40,  유아 낫 유(디지털),  7,000원","14:30,  개를 훔치는 완벽한 방법(디지털),  7,000원","16:30,  빅 아이즈(디지털),  7,000원","18:30,  아메리칸 셰프(디지털),  7,000원","20:30,  바티칸 뮤지엄(디지털),  6,000원",,,,144
2015-02-03,01관,"11:00,  아메리칸 셰프(디지털),  6,000원","13:00,  아이 킬드 마이 마더(디지털),  6,000원","15:00,  님아, 그 강을 건너지 마오(디지털),  6,000원","16:30,  개를 훔치는 완벽한 방법(디지털),  7,000원","18:30,  유아 낫 유(디지털),  7,000원","20:20,  미라클 여행기(디지털)",,,,144
2015-02-04,01관,"11:00,  유아 낫 유(디지털),  6,000원","13:00,  개를 훔치는 완벽한 방법(디지털),  6,000원","15:00,  빅 아이즈(디지털),  7,000원","16:50,  아메리칸 셰프(디지털),  7,000원","18:50,  바티칸 뮤지엄(디지털),  7,000원","20:00,  아이 킬드 마이 마더(디지털),  6,000원",,,,144
2015-02-05,01관,"11:00,  오마르(디지털),  6,000원","13:00,  바티칸 뮤지엄(디지털),  6,000원","14:20,  유아 낫 유(디지털),  7,000원","16:10,  님아, 그 강을 건너지 마오(디지털),  7,000원",,,,,,144
2015-02-06,01관,"10:30,  서유기 : 모험의 시작(디지털),  6,000원","12:30,  아메리칸 셰프(디지털),  7,000원","14:30,  빅 아이즈(디지털),  7,000원","16:20,  유아 낫 유(디지털),  6,000원",,,,,,144
2015-02-07,01관,"11:00,  누구에게나 찬란한(디지털)","13:00,  마담 프루스트의 비밀정원(디지털),  7,000원","15:00,  야간비행(디지털),  6,000원","17:00,  60만번의 트라이(디지털),  6,000원","19:00,  누구에게나 찬란한(디지털),  7,000원",,,,,144
2015-02-08,01관,"11:00,  마담 프루스트의 비밀정원(디지털),  6,000원","13:00,  야간비행(디지털),  7,000원","15:00,  60만번의 트라이(디지털),  7,000원","17:00,  누구에게나 찬란한(디지털),  6,000원","19:00,  마담 프루스트의 비밀정원(디지털),  7,000원",,,,,144
2015-02-09,01관,"11:00,  야간비행(디지털),  6,000원","13:00,  60만번의 트라이(디지털),  6,000원","15:00,  누구에게나 찬란한(디지털),  7,000원","17:00,  마담 프루스트의 비밀정원(디지털),  7,000원","19:00,  야간비행(디지털),  7,000원",,,,,144
2015-02-10,01관,"11:00,  60만번의 트라이(디지털),  6,000원","13:00,  누구에게나 찬란한(디지털),  6,000원","15:00,  마담 프루스트의 비밀정원(디지털),  7,000원","16:50,  야간비행(디지털),  6,000원","19:00,  누구에게나 찬란한(디지털),  5,000원",,,,,144
2015-02-11,01관,"11:00,  마담 프루스트의 비밀정원(디지털),  6,000원","13:00,  60만번의 트라이(디지털),  7,000원","15:00,  야간비행(디지털),  7,000원","17:00,  누구에게나 찬란한(디지털),  6,000원","19:00,  60만번의 트라이(디지털),  6,000원",,,,,144
2015-02-12,01관,"11:00,  아메리칸 셰프(디지털),  7,000원","13:00,  갓 헬프 더 걸(디지털),  6,000원","15:00,  폭스캐처(디지털),  7,000원","17:20,  백설공주 살인사건(디지털),  7,000원","19:30,  마담 프루스트의 비밀정원(디지털),  7,000원",,,,,144
2015-02-13,01관,"11:00,  빅 아이즈(디지털),  7,000원","13:00,  서유기 : 모험의 시작(디지털),  6,000원","15:00,  개를 훔치는 완벽한 방법(디지털),  6,000원","17:00,  오마르(디지털),  6,000원","18:40,  아메리칸 셰프(디지털),  6,000원","20:40,  바티칸 뮤지엄(디지털),  6,000원",,,,144
2015-02-14,01관,"11:00,  갓 헬프 더 걸(디지털),  7,000원","13:00,  폭스캐처(디지털),  7,000원","15:20,  오마르(디지털),  7,000원","17:00,  유아 낫 유(디지털),  7,000원","18:50,  빅 아이즈(디지털),  7,000원","20:40,  서유기 : 모험의 시작(디지털),  7,000원",,,,144
2015-02-15,01관,"11:00,  백설공주 살인사건(디지털)","13:10,  님아, 그 강을 건너지 마오(디지털)","14:40,  개를 훔치는 완벽한 방법(디지털),  7,000원","16:40,  아메리칸 셰프(디지털),  7,000원","18:40,  폭스캐처(디지털),  7,000원",,,,,144
2015-02-16,01관,"13:30,  백설공주 살인사건(디지털),  6,000원","15:40,  갓 헬프 더 걸(디지털),  6,000원","17:40,  서유기 : 모험의 시작(디지털),  7,000원","19:40,  폭스캐처(디지털),  7,000원",,,,,,144
2015-02-17,01관,"11:00,  오마르(디지털),  6,000원","13:00,  아이 킬드 마이 마더(디지털),  7,000원","14:50,  아메리칸 셰프(디지털),  7,000원","17:00,  님아, 그 강을 건너지 마오(디지털)","18:40,  꿈보다 해몽(디지털),  6,000원","20:30,  서유기 : 모험의 시작(디지털),  6,000원",,,,144
