상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,좌석수
2016-06-01,01관,"22:00,  킹콩(필름)",,,,,,,,312
2016-06-03,01관,"13:00,  아가씨(디지털)","19:00,  아가씨(디지털),  6,000원",,,,,,,312
2016-06-04,01관,"13:00,  아가씨(디지털)",,,,,,,,312
2016-06-05,01관,"10:00,  아가씨(디지털)","13:00,  아가씨(디지털),  6,000원","16:00,  아가씨(디지털),  9,000원",,"19:00,  아가씨(디지털),  6,000원",,,,312
2016-06-06,01관,"10:00,  아가씨(디지털)","13:00,  아가씨(디지털)","16:00,  아가씨(디지털)","19:00,  아가씨(디지털),  6,000원",,,,,312
2016-06-07,01관,"10:00,  아가씨(디지털),  6,000원","13:00,  아가씨(디지털),  6,000원","16:00,  아가씨(디지털)","19:00,  아가씨(디지털)",,,,,312
2016-06-08,01관,"10:00,  아가씨(디지털),  6,000원","13:00,  아가씨(디지털)","16:00,  아가씨(디지털),  6,000원","19:00,  아가씨(디지털),  6,000원",,,,,312
2016-06-09,01관,"10:00,  아가씨(디지털)","13:00,  아가씨(디지털)","16:00,  아가씨(디지털)","19:00,  아가씨(디지털),  6,000원",,,,,312
2016-06-10,01관,"10:00,  아가씨(디지털)","13:00,  아가씨(디지털)","16:00,  아가씨(디지털)","19:00,  아가씨(디지털),  6,000원",,,,,312
2016-06-11,01관,"10:00,  아가씨(디지털),  6,000원","13:00,  아가씨(디지털)","16:00,  아가씨(디지털),  6,000원","19:00,  아가씨(디지털),  6,000원",,,,,312
2016-06-12,01관,"10:00,  아가씨(디지털),  6,000원","13:00,  아가씨(디지털)","16:00,  아가씨(디지털),  6,000원","19:00,  아가씨(디지털),  6,000원",,,,,312
2016-06-13,01관,"10:00,  아가씨(디지털)","13:00,  아가씨(디지털)","16:00,  아가씨(디지털),  6,000원","19:00,  아가씨(디지털),  6,000원",,,,,312
2016-06-14,01관,"10:00,  아가씨(디지털)","13:00,  아가씨(디지털),  9,000원","16:00,  아가씨(디지털),  6,000원","19:00,  아가씨(디지털),  6,000원",,,,,312
2016-06-15,01관,"10:00,  아가씨(디지털)","13:00,  아가씨(디지털)","16:00,  아가씨(디지털)","19:00,  아가씨(디지털),  6,000원",,,,,312
2016-06-16,01관,"10:00,  닌자터틀 : 어둠의 히어로(디지털)","16:00,  닌자터틀 : 어둠의 히어로(디지털)",,,,,,,312
2016-06-17,01관,"10:00,  닌자터틀 : 어둠의 히어로(디지털)","16:00,  닌자터틀 : 어둠의 히어로(디지털),  6,000원",,,,,,,312
2016-06-18,01관,"10:00,  닌자터틀 : 어둠의 히어로(디지털),  6,000원","16:00,  닌자터틀 : 어둠의 히어로(디지털),  6,000원",,,,,,,312
2016-06-19,01관,"10:00,  닌자터틀 : 어둠의 히어로(디지털),  6,000원","16:00,  특별수사: 사형수의 편지(디지털)",,,,,,,312
