상영일자,상영관,1회,2회,3회,4회,5회,좌석수
2015-10-07,01관,"23:00,  킹콩(필름)",,,,,109
2015-10-08,01관,"09:30,  탐정 : 더 비기닝(디지털)","11:40,  성난 변호사(디지털)","14:10,  탐정 : 더 비기닝(디지털)","16:20,  성난 변호사(디지털)","18:50,  탐정 : 더 비기닝(디지털),  5,000원",109
2015-10-09,01관,,"09:30,  성난 변호사(디지털)",,"14:10,  성난 변호사(디지털),  5,000원","18:50,  성난 변호사(디지털),  5,000원",109
2015-10-10,01관,"09:30,  탐정 : 더 비기닝(디지털)","11:40,  성난 변호사(디지털)","14:10,  탐정 : 더 비기닝(디지털),  5,000원","16:20,  성난 변호사(디지털),  5,000원","18:50,  탐정 : 더 비기닝(디지털)",109
2015-10-11,01관,"09:30,  성난 변호사(디지털)","12:00,  탐정 : 더 비기닝(디지털),  5,000원","14:10,  성난 변호사(디지털),  5,000원","16:40,  탐정 : 더 비기닝(디지털),  5,000원","18:50,  성난 변호사(디지털),  5,000원",109
2015-10-13,01관,"09:30,  탐정 : 더 비기닝(디지털),  5,000원","11:40,  성난 변호사(디지털)","14:10,  탐정 : 더 비기닝(디지털),  5,000원","16:20,  성난 변호사(디지털)","18:50,  탐정 : 더 비기닝(디지털),  5,000원",109
2015-10-14,01관,"09:30,  성난 변호사(디지털)","12:00,  탐정 : 더 비기닝(디지털)","14:10,  성난 변호사(디지털),  5,000원","16:40,  탐정 : 더 비기닝(디지털)","18:50,  성난 변호사(디지털),  5,000원",109
2015-10-15,01관,"09:30,  탐정 : 더 비기닝(디지털)","11:50,  성난 변호사(디지털),  5,000원","14:30,  탐정 : 더 비기닝(디지털)","16:50,  성난 변호사(디지털)","19:30,  탐정 : 더 비기닝(디지털),  5,000원",109
2015-10-16,01관,"09:30,  성난 변호사(디지털)","12:10,  탐정 : 더 비기닝(디지털),  5,000원","14:30,  성난 변호사(디지털),  5,000원","17:10,  탐정 : 더 비기닝(디지털),  5,000원","19:30,  성난 변호사(디지털),  5,000원",109
2015-10-17,01관,"09:30,  탐정 : 더 비기닝(디지털),  5,000원","11:50,  성난 변호사(디지털),  5,000원","14:30,  탐정 : 더 비기닝(디지털),  5,000원","16:50,  성난 변호사(디지털),  5,000원","19:30,  탐정 : 더 비기닝(디지털),  5,000원",109
2015-10-18,01관,"09:30,  성난 변호사(디지털),  5,000원","12:10,  탐정 : 더 비기닝(디지털),  5,000원","14:30,  성난 변호사(디지털),  5,000원","17:10,  탐정 : 더 비기닝(디지털),  5,000원","19:30,  성난 변호사(디지털),  5,000원",109
2015-10-20,01관,"09:30,  탐정 : 더 비기닝(디지털)","11:50,  성난 변호사(디지털),  5,000원","14:30,  탐정 : 더 비기닝(디지털),  5,000원","16:50,  성난 변호사(디지털),  5,000원","19:30,  탐정 : 더 비기닝(디지털),  5,000원",109
2015-10-21,01관,"09:30,  성난 변호사(디지털)","12:10,  탐정 : 더 비기닝(디지털)","14:30,  성난 변호사(디지털)","17:10,  탐정 : 더 비기닝(디지털),  5,000원","19:30,  성난 변호사(디지털),  5,000원",109
2015-10-22,01관,"09:30,  특종: 량첸살인기(디지털),  5,000원","12:00,  더 폰(디지털),  5,000원","14:20,  특종: 량첸살인기(디지털),  5,000원","16:50,  더 폰(디지털),  5,000원","19:10,  특종: 량첸살인기(디지털),  5,000원",109
2015-10-23,01관,"09:30,  더 폰(디지털),  5,000원","11:50,  특종: 량첸살인기(디지털),  5,000원","14:20,  더 폰(디지털),  5,000원","16:40,  특종: 량첸살인기(디지털)","19:10,  더 폰(디지털),  5,000원",109
2015-10-24,01관,"09:30,  특종: 량첸살인기(디지털),  5,000원","12:00,  더 폰(디지털),  5,000원","14:20,  특종: 량첸살인기(디지털),  5,000원","16:50,  더 폰(디지털),  5,000원","19:10,  특종: 량첸살인기(디지털),  5,000원",109
2015-10-25,01관,"09:30,  더 폰(디지털),  5,000원","11:50,  특종: 량첸살인기(디지털),  5,000원","14:20,  더 폰(디지털),  5,000원","16:40,  특종: 량첸살인기(디지털),  5,000원","19:10,  더 폰(디지털),  5,000원",109
2015-10-27,01관,"09:30,  특종: 량첸살인기(디지털)","12:00,  더 폰(디지털),  5,000원","14:20,  특종: 량첸살인기(디지털),  5,000원","16:50,  더 폰(디지털),  5,000원","19:10,  특종: 량첸살인기(디지털),  5,000원",109
2015-10-28,01관,"09:30,  더 폰(디지털),  5,000원","11:50,  특종: 량첸살인기(디지털)","14:20,  더 폰(디지털),  5,000원","16:40,  특종: 량첸살인기(디지털),  5,000원","19:10,  더 폰(디지털),  5,000원",109
2015-10-29,01관,"09:30,  특종: 량첸살인기(디지털),  5,000원","12:00,  더 폰(디지털),  5,000원","14:25,  그놈이다(디지털),  5,000원","16:45,  그놈이다(디지털),  5,000원","19:00,  특종: 량첸살인기(디지털),  5,000원",109
2015-10-30,01관,"09:30,  더 폰(디지털),  5,000원","11:50,  특종: 량첸살인기(디지털),  5,000원","14:25,  그놈이다(디지털),  5,000원","16:45,  그놈이다(디지털),  5,000원","19:00,  더 폰(디지털),  5,000원",109
2015-10-31,01관,"09:30,  그놈이다(디지털),  5,000원","11:45,  특종: 량첸살인기(디지털),  5,000원","14:20,  그놈이다(디지털),  5,000원","16:35,  더 폰(디지털),  5,000원","19:00,  그놈이다(디지털),  5,000원",109
2015-11-01,01관,"09:30,  그놈이다(디지털),  5,000원","11:45,  특종: 량첸살인기(디지털),  5,000원","14:20,  그놈이다(디지털),  5,000원","16:35,  더 폰(디지털),  5,000원","19:00,  그놈이다(디지털),  5,000원",109
2015-11-03,01관,"09:30,  특종: 량첸살인기(디지털),  5,000원","12:00,  더 폰(디지털),  5,000원","14:25,  그놈이다(디지털),  5,000원","16:45,  그놈이다(디지털),  5,000원","19:00,  특종: 량첸살인기(디지털),  5,000원",109
2015-11-04,01관,"09:30,  더 폰(디지털),  5,000원","11:50,  특종: 량첸살인기(디지털),  5,000원","14:25,  그놈이다(디지털),  5,000원","16:45,  그놈이다(디지털),  5,000원","19:00,  더 폰(디지털),  5,000원",109
2015-11-05,01관,"09:30,  특종: 량첸살인기(디지털),  5,000원","12:05,  더 폰(디지털),  5,000원","14:30,  검은 사제들(디지털),  5,000원","16:50,  그놈이다(디지털),  5,000원","19:10,  검은 사제들(디지털),  5,000원",109
2015-11-06,01관,"09:30,  특종: 량첸살인기(디지털),  5,000원","12:05,  더 폰(디지털),  5,000원","14:30,  검은 사제들(디지털),  5,000원","16:50,  그놈이다(디지털),  5,000원","19:10,  검은 사제들(디지털),  5,000원",109
2015-11-07,01관,"09:30,  특종: 량첸살인기(디지털),  5,000원","12:05,  더 폰(디지털),  5,000원","14:30,  검은 사제들(디지털),  5,000원","16:50,  그놈이다(디지털),  5,000원","19:10,  검은 사제들(디지털),  5,000원",109
2015-11-08,01관,"09:30,  특종: 량첸살인기(디지털),  5,000원","12:05,  더 폰(디지털),  5,000원","14:30,  검은 사제들(디지털),  5,000원","16:50,  그놈이다(디지털),  5,000원","19:10,  검은 사제들(디지털),  5,000원",109
2015-11-10,01관,"09:30,  특종: 량첸살인기(디지털)","12:05,  더 폰(디지털),  5,000원","14:30,  검은 사제들(디지털),  5,000원","16:50,  그놈이다(디지털),  5,000원","19:10,  검은 사제들(디지털),  5,000원",109
2015-11-11,01관,"09:30,  특종: 량첸살인기(디지털),  5,000원","12:05,  더 폰(디지털),  5,000원","14:30,  검은 사제들(디지털),  5,000원","16:50,  그놈이다(디지털),  5,000원","19:10,  검은 사제들(디지털),  5,000원",109
2015-11-12,01관,"09:30,  특종: 량첸살인기(디지털)","12:00,  그놈이다(디지털),  5,000원","14:20,  검은 사제들(디지털),  5,000원","16:40,  더 폰(디지털),  5,000원","19:00,  007 스펙터(디지털),  5,000원",109
2015-11-13,01관,"09:30,  검은 사제들(디지털),  5,000원","11:50,  그놈이다(디지털),  5,000원","14:10,  007 스펙터(디지털),  5,000원","17:00,  검은 사제들(디지털),  5,000원","19:20,  007 스펙터(디지털),  5,000원",109
2015-11-14,01관,"09:30,  검은 사제들(디지털),  5,000원","11:50,  그놈이다(디지털),  5,000원","14:10,  007 스펙터(디지털),  5,000원","17:00,  검은 사제들(디지털),  5,000원","19:20,  007 스펙터(디지털),  5,000원",109
2015-11-15,01관,"09:30,  검은 사제들(디지털),  5,000원","11:50,  그놈이다(디지털),  5,000원","14:10,  007 스펙터(디지털),  5,000원","17:00,  검은 사제들(디지털),  5,000원","19:20,  007 스펙터(디지털),  5,000원",109
2015-11-17,01관,"09:30,  어네스트와 셀레스틴(디지털더빙)","11:35,  그놈이다(디지털),  5,000원","14:05,  앙: 단팥 인생 이야기(디지털),  0원","16:25,  007 스펙터(디지털),  5,000원","19:15,  검은 사제들(디지털),  5,000원",109
2015-11-18,01관,"09:30,  어네스트와 셀레스틴(디지털더빙),  0원","11:35,  그놈이다(디지털),  5,000원","14:05,  앙: 단팥 인생 이야기(디지털),  0원","16:25,  007 스펙터(디지털),  5,000원","19:15,  검은 사제들(디지털),  5,000원",109
2015-11-19,01관,"09:30,  토토의 움직이는 숲(디지털더빙)","11:35,  검은 사제들(디지털)","14:05,  컬러풀 웨딩즈(디지털)","16:20,  내부자들(디지털),  5,000원","19:10,  007 스펙터(디지털),  5,000원",109
2015-11-20,01관,"09:30,  토토의 움직이는 숲(디지털더빙),  0원","11:35,  검은 사제들(디지털),  5,000원","14:05,  컬러풀 웨딩즈(디지털),  0원","16:20,  007 스펙터(디지털),  5,000원","19:10,  내부자들(디지털),  5,000원",109
2015-11-21,01관,"09:30,  내부자들(디지털),  5,000원","12:00,  검은 사제들(디지털),  5,000원","14:10,  007 스펙터(디지털),  5,000원","17:00,  내부자들(디지털),  5,000원","19:30,  007 스펙터(디지털),  5,000원",109
2015-11-22,01관,"09:30,  내부자들(디지털),  5,000원","12:00,  검은 사제들(디지털),  5,000원","14:10,  내부자들(디지털),  5,000원","16:40,  007 스펙터(디지털),  5,000원","19:30,  내부자들(디지털),  5,000원",109
2015-11-24,01관,"09:30,  개를 훔치는 완벽한 방법(디지털),  0원","11:45,  007 스펙터(디지털),  5,000원","14:35,  비긴 어게인(디지털),  0원","16:50,  검은 사제들(디지털),  5,000원","19:10,  내부자들(디지털),  5,000원",109
2015-11-25,01관,"09:30,  개를 훔치는 완벽한 방법(디지털),  0원","11:45,  내부자들(디지털),  5,000원","14:25,  비긴 어게인(디지털),  0원","16:40,  검은 사제들(디지털),  5,000원","19:00,  007 스펙터(디지털),  5,000원",109
2015-11-26,01관,"09:30,  뮨: 달의 요정(디지털더빙),  0원","11:25,  내부자들(디지털),  5,000원","14:25,  님아, 그 강을 건너지 마오(디지털),  0원","16:40,  도리화가(디지털),  5,000원","19:10,  내부자들(디지털),  5,000원",109
2015-11-27,01관,"09:30,  뮨: 달의 요정(디지털더빙),  0원","11:50,  내부자들(디지털),  5,000원","14:35,  님아, 그 강을 건너지 마오(디지털),  0원","16:40,  내부자들(디지털),  5,000원","19:20,  도리화가(디지털),  5,000원",109
2015-11-28,01관,"09:30,  도리화가(디지털),  5,000원","11:40,  내부자들(디지털),  5,000원","14:20,  도리화가(디지털),  5,000원","16:40,  도리화가(디지털),  5,000원","19:10,  내부자들(디지털),  5,000원",109
2015-11-29,01관,"09:30,  도리화가(디지털),  5,000원","11:40,  내부자들(디지털),  5,000원","14:20,  도리화가(디지털),  5,000원","16:40,  내부자들(디지털),  5,000원","19:20,  도리화가(디지털),  5,000원",109
2015-12-01,01관,"09:30,  도리화가(디지털),  5,000원","11:40,  내부자들(디지털),  5,000원","14:20,  도리화가(디지털),  5,000원","16:40,  내부자들(디지털),  5,000원","19:20,  도리화가(디지털),  5,000원",109
2015-12-02,01관,"09:30,  도리화가(디지털),  5,000원","11:40,  내부자들(디지털),  5,000원","14:20,  도리화가(디지털),  5,000원","16:40,  내부자들(디지털),  5,000원","19:20,  도리화가(디지털),  5,000원",109
2015-12-03,01관,"09:30,  내부자들(디지털),  5,000원","12:00,  도리화가(디지털),  5,000원","14:20,  내부자들(디지털),  5,000원","16:50,  열정같은소리하고있네(디지털),  5,000원","19:10,  내부자들(디지털),  5,000원",109
2015-12-04,01관,"09:30,  내부자들(디지털),  5,000원","12:00,  열정같은소리하고있네(디지털),  5,000원","14:20,  내부자들(디지털),  5,000원","16:50,  도리화가(디지털),  5,000원","19:10,  내부자들(디지털),  5,000원",109
2015-12-05,01관,"09:30,  도리화가(디지털),  5,000원","11:50,  열정같은소리하고있네(디지털),  5,000원","14:10,  내부자들(디지털),  5,000원","16:40,  내부자들(디지털),  5,000원","19:10,  내부자들(디지털),  5,000원",109
2015-12-06,01관,"09:30,  도리화가(디지털),  5,000원","11:50,  열정같은소리하고있네(디지털),  5,000원","14:10,  내부자들(디지털),  5,000원","16:40,  내부자들(디지털),  5,000원","19:10,  내부자들(디지털),  5,000원",109
2015-12-08,01관,"09:30,  내부자들(디지털),  5,000원","12:00,  도리화가(디지털),  5,000원","14:20,  내부자들(디지털),  5,000원","16:50,  열정같은소리하고있네(디지털),  5,000원","19:10,  내부자들(디지털),  5,000원",109
2015-12-09,01관,"09:30,  내부자들(디지털),  5,000원","12:00,  열정같은소리하고있네(디지털),  5,000원","14:20,  내부자들(디지털),  5,000원","16:50,  도리화가(디지털),  5,000원","19:10,  내부자들(디지털),  5,000원",109
2015-12-10,01관,"09:30,  도리화가(디지털),  5,000원","12:00,  열정같은소리하고있네(디지털),  5,000원","14:30,  내부자들(디지털),  5,000원","17:00,  열정같은소리하고있네(디지털),  5,000원","19:20,  내부자들(디지털),  5,000원",109
2015-12-11,01관,"09:30,  열정같은소리하고있네(디지털),  5,000원","12:00,  내부자들(디지털),  5,000원","14:30,  도리화가(디지털),  5,000원","16:50,  열정같은소리하고있네(디지털),  5,000원","19:10,  내부자들(디지털),  5,000원",109
2015-12-12,01관,"09:30,  열정같은소리하고있네(디지털),  5,000원","11:50,  도리화가(디지털),  5,000원","14:10,  내부자들(디지털),  5,000원","16:40,  열정같은소리하고있네(디지털),  5,000원","19:00,  내부자들(디지털),  5,000원",109
2015-12-13,01관,"09:30,  도리화가(디지털),  5,000원","11:50,  열정같은소리하고있네(디지털),  5,000원","14:10,  내부자들(디지털),  5,000원","16:40,  내부자들(디지털),  5,000원","19:10,  열정같은소리하고있네(디지털),  5,000원",109
2015-12-15,01관,"09:30,  열정같은소리하고있네(디지털),  5,000원","11:50,  도리화가(디지털),  5,000원","14:10,  내부자들(디지털),  5,000원","16:40,  열정같은소리하고있네(디지털),  5,000원","19:00,  내부자들(디지털),  5,000원",109
2015-12-16,01관,"09:30,  히말라야(디지털),  5,000원","11:50,  대호(디지털),  5,000원","14:30,  히말라야(디지털),  5,000원","16:50,  대호(디지털),  5,000원","19:30,  히말라야(디지털),  5,000원",109
2015-12-17,01관,"09:30,  대호(디지털),  5,000원","12:10,  히말라야(디지털),  5,000원","14:35,  대호(디지털),  5,000원","17:15,  히말라야(디지털),  5,000원","19:40,  대호(디지털),  5,000원",109
2015-12-18,01관,"09:30,  히말라야(디지털),  5,000원","11:55,  대호(디지털),  5,000원","14:35,  히말라야(디지털),  5,000원","17:00,  대호(디지털),  5,000원","19:40,  히말라야(디지털),  5,000원",109
2015-12-19,01관,"09:30,  히말라야(디지털),  5,000원","11:55,  대호(디지털),  5,000원","14:35,  히말라야(디지털),  5,000원","17:00,  대호(디지털),  5,000원","19:40,  히말라야(디지털),  5,000원",109
2015-12-20,01관,"09:30,  대호(디지털),  5,000원","12:10,  히말라야(디지털),  5,000원","14:35,  히말라야(디지털),  5,000원","17:00,  히말라야(디지털),  5,000원","19:25,  대호(디지털),  5,000원",109
2015-12-22,01관,"09:30,  히말라야(디지털),  5,000원","11:55,  대호(디지털),  5,000원","14:35,  히말라야(디지털),  5,000원","17:00,  대호(디지털),  5,000원","19:40,  히말라야(디지털),  5,000원",109
2015-12-23,01관,"09:30,  대호(디지털),  5,000원","12:10,  히말라야(디지털),  5,000원","14:35,  대호(디지털),  5,000원","17:15,  히말라야(디지털),  5,000원","19:40,  대호(디지털),  5,000원",109
2015-12-24,01관,"09:30,  히말라야(디지털),  5,000원","11:55,  대호(디지털),  5,000원","14:35,  히말라야(디지털),  5,000원","17:00,  대호(디지털),  5,000원","19:40,  히말라야(디지털),  5,000원",109
2015-12-25,01관,"09:30,  대호(디지털),  5,000원","12:10,  히말라야(디지털),  5,000원","14:35,  대호(디지털),  5,000원","17:15,  히말라야(디지털),  5,000원","19:40,  히말라야(디지털),  5,000원",109
2015-12-26,01관,"09:30,  히말라야(디지털),  5,000원","11:55,  대호(디지털),  5,000원","14:35,  히말라야(디지털),  5,000원","17:00,  대호(디지털),  5,000원","19:40,  히말라야(디지털),  5,000원",109
2015-12-27,01관,"10:00,  히말라야(디지털),  5,000원","12:25,  대호(디지털),  5,000원","15:00,  히말라야(디지털),  5,000원","17:20,  히말라야(디지털),  5,000원","19:45,  대호(디지털),  5,000원",109
2015-12-29,01관,"09:30,  대호(디지털),  5,000원","12:10,  히말라야(디지털),  5,000원","14:35,  히말라야(디지털),  5,000원","17:00,  대호(디지털),  5,000원","19:40,  히말라야(디지털),  5,000원",109
2015-12-30,01관,"09:30,  조선마술사(디지털),  5,000원","11:55,  히말라야(디지털),  5,000원","14:20,  조선마술사(디지털),  5,000원","16:45,  대호(디지털),  5,000원","19:25,  히말라야(디지털),  5,000원",109
2015-12-31,01관,"09:40,  조선마술사(디지털),  5,000원","12:05,  대호(디지털),  5,000원","14:45,  히말라야(디지털),  5,000원","17:10,  조선마술사(디지털),  5,000원","19:35,  히말라야(디지털),  5,000원",109
2016-01-02,01관,"09:40,  대호(디지털),  5,000원","12:20,  셜록: 유령신부(디지털),  5,000원","14:40,  히말라야(디지털),  5,000원","17:05,  조선마술사(디지털),  5,000원","19:30,  히말라야(디지털),  5,000원",109
2016-01-03,01관,"09:40,  대호(디지털),  5,000원","12:20,  조선마술사(디지털),  5,000원","14:45,  히말라야(디지털),  5,000원","17:10,  히말라야(디지털),  5,000원","19:35,  셜록: 유령신부(디지털),  5,000원",109
2016-01-05,01관,"09:40,  조선마술사(디지털),  5,000원","12:05,  대호(디지털),  5,000원","14:45,  히말라야(디지털),  5,000원","17:10,  셜록: 유령신부(디지털),  5,000원","19:30,  히말라야(디지털),  5,000원",109
2016-01-06,01관,"09:40,  셜록: 유령신부(디지털),  5,000원","12:00,  히말라야(디지털),  5,000원","14:25,  히말라야(디지털),  5,000원","16:50,  조선마술사(디지털),  5,000원","19:15,  대호(디지털),  5,000원",109
2016-01-07,01관,"09:40,  조선마술사(디지털),  5,000원","12:05,  히말라야(디지털),  5,000원","14:30,  조선마술사(디지털),  5,000원","16:55,  셜록: 유령신부(디지털),  5,000원","19:15,  히말라야(디지털),  5,000원",109
2016-01-08,01관,"09:40,  히말라야(디지털),  5,000원","12:05,  조선마술사(디지털),  5,000원","14:30,  히말라야(디지털),  5,000원","16:55,  조선마술사(디지털),  5,000원","19:20,  셜록: 유령신부(디지털),  5,000원",109
2016-01-09,01관,"09:40,  히말라야(디지털),  5,000원","12:05,  조선마술사(디지털),  5,000원","14:30,  셜록: 유령신부(디지털),  5,000원","16:50,  조선마술사(디지털),  5,000원","19:15,  히말라야(디지털),  5,000원",109
2016-01-10,01관,"09:40,  히말라야(디지털),  5,000원","12:05,  셜록: 유령신부(디지털),  5,000원","14:25,  조선마술사(디지털),  5,000원","16:50,  히말라야(디지털),  5,000원","19:15,  조선마술사(디지털),  5,000원",109
2016-01-12,01관,"09:40,  히말라야(디지털),  5,000원","12:05,  조선마술사(디지털),  5,000원","14:30,  히말라야(디지털),  5,000원","16:55,  조선마술사(디지털),  5,000원","19:20,  셜록: 유령신부(디지털),  5,000원",109
2016-01-13,01관,"09:40,  셜록: 유령신부(디지털)","12:00,  히말라야(디지털),  5,000원","14:25,  조선마술사(디지털),  5,000원","16:50,  히말라야(디지털),  5,000원","19:15,  조선마술사(디지털),  5,000원",109
2016-01-14,01관,"10:00,  조선마술사(디지털),  5,000원","12:25,  그날의 분위기(디지털),  5,000원","14:30,  조선마술사(디지털),  5,000원","16:55,  히말라야(디지털),  5,000원","19:20,  셜록: 유령신부(디지털),  5,000원",109
2016-01-15,01관,"10:00,  셜록: 유령신부(디지털),  5,000원","12:20,  조선마술사(디지털),  5,000원","14:45,  히말라야(디지털),  5,000원","17:10,  조선마술사(디지털),  5,000원","19:35,  그날의 분위기(디지털),  5,000원",109
2016-01-16,01관,"10:00,  셜록: 유령신부(디지털),  5,000원","12:20,  조선마술사(디지털),  5,000원","14:45,  그날의 분위기(디지털),  5,000원","16:50,  조선마술사(디지털),  5,000원","19:15,  히말라야(디지털),  5,000원",109
