상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,좌석수
2018-02-09,01관,,,,"15:00,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","18:00,  염력(디지털),  6,000원","21:00,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원",,,,,142
2018-02-09,02관,,,,"15:10,  염력(디지털),  6,000원","18:00,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","21:00,  염력(디지털),  6,000원",,,,,59
2018-02-10,01관,"10:00,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","12:20,  염력(디지털),  6,000원","14:20,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","16:40,  염력(디지털),  6,000원",,,,,,,142
2018-02-10,02관,"10:10,  염력(디지털),  6,000원","12:10,  겨울왕국의 무민(디지털더빙),  5,000원","13:50,  아기돼지 3형제와 쿵푸랜드(디지털더빙),  6,000원","15:20,  겨울왕국의 무민(디지털더빙),  6,000원","17:00,  아기돼지 3형제와 쿵푸랜드(디지털더빙),  6,000원",,,,,,59
2018-02-11,01관,"10:00,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","12:20,  염력(디지털),  6,000원","14:20,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","16:40,  염력(디지털),  6,000원","18:50,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","21:10,  올 더 머니(디지털),  6,000원",,,,,142
2018-02-11,02관,"10:10,  염력(디지털),  6,000원","12:10,  겨울왕국의 무민(디지털더빙),  6,000원","13:50,  아기돼지 3형제와 쿵푸랜드(디지털더빙),  6,000원","15:20,  겨울왕국의 무민(디지털더빙),  6,000원","17:00,  아기돼지 3형제와 쿵푸랜드(디지털더빙),  6,000원","18:30,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","20:50,  올 더 머니(디지털),  6,000원",,,,59
2018-02-12,01관,"10:00,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","12:20,  염력(디지털),  6,000원","14:20,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","16:40,  염력(디지털),  5,000원","18:50,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","21:20,  올 더 머니(디지털),  6,000원",,,,,142
2018-02-12,02관,"10:10,  염력(디지털)","12:10,  겨울왕국의 무민(디지털더빙)","13:50,  아기돼지 3형제와 쿵푸랜드(디지털더빙),  6,000원","15:20,  겨울왕국의 무민(디지털더빙)","17:00,  아기돼지 3형제와 쿵푸랜드(디지털더빙),  6,000원","18:30,  조선명탐정: 흡혈괴마의 비밀(디지털)","20:50,  올 더 머니(디지털),  6,000원",,,,59
2018-02-13,01관,"10:00,  조선명탐정: 흡혈괴마의 비밀(디지털)","12:20,  염력(디지털)","14:20,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","16:40,  염력(디지털),  6,000원","18:50,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","21:20,  올 더 머니(디지털),  6,000원",,,,,142
2018-02-13,02관,"10:10,  염력(디지털)","12:10,  겨울왕국의 무민(디지털더빙)","13:50,  아기돼지 3형제와 쿵푸랜드(디지털더빙)","15:20,  겨울왕국의 무민(디지털더빙),  6,000원","17:00,  아기돼지 3형제와 쿵푸랜드(디지털더빙),  6,000원","18:30,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","20:50,  올 더 머니(디지털)",,,,59
2018-02-14,01관,"09:50,  염력(디지털)","11:50,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","14:05,  골든슬럼버(디지털)","16:10,  흥부: 글로 세상을 바꾼 자(디지털),  6,000원","18:10,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","20:25,  골든슬럼버(디지털),  6,000원","22:30,  흥부: 글로 세상을 바꾼 자(디지털),  6,000원",,,,142
2018-02-14,02관,"10:00,  아기돼지 3형제와 쿵푸랜드(디지털더빙)","11:25,  겨울왕국의 무민(디지털더빙),  6,000원","13:05,  블랙 팬서(디지털),  6,000원","15:35,  블랙 팬서(디지털)","18:05,  흥부: 글로 세상을 바꾼 자(디지털),  6,000원","20:20,  블랙 팬서(디지털),  6,000원","22:55,  골든슬럼버(디지털),  6,000원",,,,59
2018-02-15,01관,"10:00,  블랙 팬서(디지털),  6,000원","12:35,  흥부: 글로 세상을 바꾼 자(디지털),  6,000원","14:40,  블랙 팬서(디지털),  6,000원","17:15,  골든슬럼버(디지털),  6,000원","19:25,  블랙 팬서(디지털),  6,000원","22:00,  골든슬럼버(디지털),  6,000원","00:10,  블랙 팬서(디지털),  6,000원",,,,142
2018-02-15,02관,"09:40,  염력(디지털),  5,000원","11:40,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","14:00,  아기돼지 3형제와 쿵푸랜드(디지털더빙),  6,000원","15:30,  블랙 팬서(디지털),  6,000원","18:05,  올 더 머니(디지털),  6,000원","20:40,  흥부: 글로 세상을 바꾼 자(디지털),  6,000원","22:45,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원",,,,59
2018-02-16,01관,"10:00,  블랙 팬서(디지털),  6,000원","12:35,  흥부: 글로 세상을 바꾼 자(디지털),  6,000원","14:40,  블랙 팬서(디지털),  6,000원","17:15,  골든슬럼버(디지털),  6,000원","19:25,  블랙 팬서(디지털),  6,000원","22:00,  골든슬럼버(디지털),  6,000원","23:59,  블랙 팬서(디지털),  6,000원",,,,142
2018-02-16,02관,"09:40,  골든슬럼버(디지털),  6,000원","11:50,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","14:10,  아기돼지 3형제와 쿵푸랜드(디지털더빙),  6,000원","15:40,  블랙 팬서(디지털),  6,000원","18:15,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","20:30,  블랙 팬서(디지털),  6,000원","23:00,  흥부: 글로 세상을 바꾼 자(디지털),  6,000원",,,,59
2018-02-17,01관,"10:00,  블랙 팬서(디지털),  6,000원","12:35,  흥부: 글로 세상을 바꾼 자(디지털),  6,000원","14:40,  블랙 팬서(디지털),  6,000원","17:15,  골든슬럼버(디지털),  6,000원","19:25,  블랙 팬서(디지털),  6,000원","22:00,  흥부: 글로 세상을 바꾼 자(디지털),  6,000원","23:59,  골든슬럼버(디지털),  6,000원",,,,142
2018-02-17,02관,"09:40,  염력(디지털),  6,000원","11:40,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","14:00,  겨울왕국의 무민(디지털더빙),  6,000원","15:40,  블랙 팬서(디지털),  6,000원","18:15,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","20:30,  블랙 팬서(디지털),  6,000원","23:05,  블랙 팬서(디지털),  6,000원",,,,59
2018-02-18,01관,"10:00,  블랙 팬서(디지털),  6,000원","12:35,  흥부: 글로 세상을 바꾼 자(디지털),  6,000원","14:40,  블랙 팬서(디지털),  6,000원","17:15,  골든슬럼버(디지털),  6,000원","19:25,  블랙 팬서(디지털),  6,000원","22:00,  골든슬럼버(디지털),  6,000원","23:59,  흥부: 글로 세상을 바꾼 자(디지털)",,,,142
2018-02-18,02관,"09:40,  골든슬럼버(디지털),  6,000원","11:50,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","14:10,  아기돼지 3형제와 쿵푸랜드(디지털더빙),  6,000원","15:40,  블랙 팬서(디지털),  6,000원","18:15,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","20:30,  블랙 팬서(디지털),  6,000원","23:00,  올 더 머니(디지털),  6,000원",,,,59
2018-02-19,01관,"10:00,  골든슬럼버(디지털),  6,000원","12:10,  흥부: 글로 세상을 바꾼 자(디지털),  6,000원","14:10,  블랙 팬서(디지털),  6,000원","16:40,  골든슬럼버(디지털),  5,000원","18:50,  블랙 팬서(디지털),  6,000원","21:25,  흥부: 글로 세상을 바꾼 자(디지털),  6,000원",,,,,142
2018-02-19,02관,"10:10,  염력(디지털),  6,000원","12:10,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","14:25,  골든슬럼버(디지털),  6,000원","16:30,  겨울왕국의 무민(디지털더빙)","18:10,  올 더 머니(디지털),  6,000원","20:40,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원",,,,,59
