상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,좌석수
2016-05-05,01관,"15:00,  철원기행(디지털),  9,000원","13:00,  비틀즈: 하드 데이즈 나이트(디지털),  9,000원",,,,,,50
2016-05-06,01관,"13:00,  비틀즈: 하드 데이즈 나이트(디지털),  9,000원","17:00,  비틀즈: 하드 데이즈 나이트(디지털),  9,000원",,,,,,50
2016-05-07,01관,"11:00,  철원기행(디지털),  8,000원","15:30,  철원기행(디지털),  9,000원",,,,,,50
2016-05-08,01관,"11:00,  철원기행(디지털),  8,000원","15:30,  철원기행(디지털),  9,000원",,,,,,50
2016-05-09,01관,"11:00,  철원기행(디지털),  8,000원","16:00,  철원기행(디지털),  9,000원",,,,,,50
2016-05-10,01관,"13:00,  파리의 한국남자(디지털),  6,000원","17:00,  파리의 한국남자(디지털)",,,,,,50
2016-05-11,01관,"13:00,  파리의 한국남자(디지털)","17:00,  파리의 한국남자(디지털)",,,,,,50
2016-05-12,01관,"10:50,  히어 애프터(디지털),  8,000원",,,,,,,50
2016-05-13,01관,"10:50,  히어 애프터(디지털),  8,000원",,,,,,,50
2016-05-14,01관,"10:50,  히어 애프터(디지털),  8,000원",,,,,,,50
2016-05-15,01관,"10:50,  히어 애프터(디지털)",,,,,,,50
2016-05-16,01관,"10:50,  히어 애프터(디지털)",,,,,,,50
2016-05-17,01관,"11:00,  파리의 한국남자(디지털)","15:00,  파리의 한국남자(디지털)",,,,,,50
2016-05-18,01관,"11:00,  파리의 한국남자(디지털)","15:00,  파리의 한국남자(디지털)",,,,,,50
2016-05-19,01관,"11:00,  히어 애프터(디지털)",,,,,,,50
2016-05-20,01관,"11:00,  부모님과 이혼하는 방법(디지털)",,,,,,,50
2016-05-21,01관,"11:00,  부모님과 이혼하는 방법(디지털),  8,000원",,,,,,,50
2016-05-22,01관,"11:00,  철원기행(디지털),  8,000원",,,,,,,50
2016-05-23,01관,"11:00,  파리의 한국남자(디지털)","15:00,  파리의 한국남자(디지털)",,,,,,50
2016-05-24,01관,"11:00,  파리의 한국남자(디지털)","17:00,  타이밍(디지털)",,,,,,50
2016-05-25,01관,"11:00,  드롭박스(디지털)",,,,,,,50
2016-05-26,01관,"11:00,  드롭박스(디지털)",,,,,,,50
2016-05-27,01관,"11:00,  드롭박스(디지털)",,,,,,,50
2016-05-28,01관,"11:00,  달에 부는 바람(디지털)",,,,,,,50
2016-05-29,01관,"10:50,  드롭박스(디지털),  8,000원",,,,,,,50
2016-05-30,01관,"11:00,  드롭박스(디지털),  8,000원",,,,,,,50
2016-05-31,01관,"10:30,  드롭박스(디지털)","15:50,  파리의 한국남자(디지털)",,,,,,50
2016-06-01,01관,"10:30,  드롭박스(디지털)","15:50,  파리의 한국남자(디지털)",,,,,,50
2016-06-02,01관,"11:00,  철원기행(디지털)",,,,,,,50
2016-06-03,01관,"11:00,  아가씨(디지털),  8,000원",,,,,,,50
2016-06-04,01관,"11:00,  철원기행(디지털)",,,,,,,50
2016-06-05,01관,"11:00,  부모님과 이혼하는 방법(디지털),  8,000원",,,,,,,50
2016-06-06,01관,"11:00,  부모님과 이혼하는 방법(디지털),  8,000원",,,,,,,50
2016-06-07,01관,"13:50,  드롭박스(디지털),  9,000원","11:00,  아가씨(디지털),  8,000원",,,,,,50
2016-06-08,01관,"11:00,  아가씨(디지털)","19:30,  아가씨(디지털)",,,,,,50
2016-06-09,01관,"10:30,  아가씨(디지털)",,,,,,,50
2016-06-10,01관,"10:30,  아가씨(디지털)",,,,,,,50
2016-06-11,01관,"11:00,  부모님과 이혼하는 방법(디지털)",,,,,,,50
2016-06-12,01관,"11:00,  유아 어글리 투(디지털),  8,000원",,,,,,,50
2016-06-13,01관,"11:00,  달에 부는 바람(디지털)",,,,,,,50
2016-06-14,01관,"11:00,  피아니스트(디지털),  8,000원",,,,,,,50
2016-06-15,01관,"11:00,  달에 부는 바람(디지털)",,,,,,,50
2016-06-16,01관,"10:30,  우리들(디지털)",,,,,,,50
2016-06-17,01관,"11:00,  우리들(디지털)",,,,,,,50
2016-06-18,01관,"11:00,  우리들(디지털),  8,000원",,,,,,,50
2016-06-19,01관,"11:00,  소녀와 여자(디지털),  8,000원",,,,,,,50
2016-06-20,01관,"11:00,  소녀와 여자(디지털)",,,,,,,50
2016-06-21,01관,"10:30,  우리들(디지털)",,,,,,,50
2016-06-22,01관,"10:30,  우리들(디지털),  8,000원",,,,,,,50
2016-06-23,01관,"11:00,  레나(디지털)","13:00,  레나(디지털)","15:00,  레나(디지털)","17:00,  레나(디지털),  9,000원",,,,50
