상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,좌석수
2016-10-06,01관,"22:00,  킹콩(필름)","24:00,  킹콩(필름)",,,,,,,,62
2016-10-06,02관,"22:00,  킹콩(필름)",,,,,,,,,35
2016-10-07,01관,"10:30,  아수라(디지털)",,,,,,,,,62
2016-10-07,02관,"10:30,  아수라(디지털)","11:00,  아수라(디지털),  5,000원",,,,,,,,35
2016-10-12,01관,"14:30,  아수라(디지털),  5,000원","19:00,  아수라(디지털),  5,000원",,,,,,,,62
2016-10-13,01관,"14:30,  럭키(디지털),  5,000원","17:00,  럭키(디지털),  5,000원","19:30,  럭키(디지털),  5,000원",,,,,,,62
2016-10-13,02관,"14:30,  아수라(디지털),  5,000원","17:00,  아수라(디지털),  5,000원","19:30,  아수라(디지털),  5,000원",,,,,,,35
2016-10-14,01관,"10:00,  럭키(디지털),  5,000원","13:00,  럭키(디지털),  5,000원","16:00,  럭키(디지털),  5,000원","19:00,  럭키(디지털),  5,000원",,,,,,62
2016-10-14,02관,"10:00,  아수라(디지털),  5,000원","13:00,  아수라(디지털),  5,000원","16:00,  아수라(디지털),  5,000원","19:00,  아수라(디지털),  5,000원",,,,,,35
2016-10-15,01관,"10:00,  럭키(디지털),  5,000원","13:00,  럭키(디지털),  5,000원","16:00,  럭키(디지털),  5,000원","19:00,  럭키(디지털),  5,000원",,,,,,62
2016-10-15,02관,"10:00,  아수라(디지털),  5,000원","13:00,  아수라(디지털),  5,000원","16:00,  아수라(디지털),  5,000원","19:00,  아수라(디지털),  5,000원",,,,,,35
2016-10-16,01관,"10:00,  럭키(디지털),  5,000원","13:00,  럭키(디지털),  5,000원","16:00,  럭키(디지털),  5,000원","19:00,  럭키(디지털),  5,000원",,,,,,62
2016-10-16,02관,"10:00,  아수라(디지털),  5,000원","13:00,  아수라(디지털),  5,000원","16:00,  아수라(디지털),  5,000원","19:00,  아수라(디지털),  5,000원",,,,,,35
2016-10-17,01관,"10:30,  럭키(디지털),  5,000원","12:40,  럭키(디지털),  5,000원","15:10,  아수라(디지털),  5,000원","18:40,  럭키(디지털),  5,000원","21:00,  럭키(디지털),  5,000원",,,,,62
2016-10-17,02관,"11:00,  토마스와 친구들: 용감한 기관차와 괴물소동(디지털더빙)","13:00,  럭키(디지털),  5,000원","15:30,  토마스와 친구들: 용감한 기관차와 괴물소동(디지털더빙)","18:00,  럭키(디지털),  5,000원","20:30,  아수라(디지털)",,,,,35
2016-10-18,01관,"10:30,  극장판 프리파라 모두 모여라! 프리즘☆투어즈(디지털)","12:40,  럭키(디지털),  5,000원","15:10,  아수라(디지털),  5,000원","18:40,  럭키(디지털),  5,000원","21:00,  럭키(디지털),  5,000원",,,,,62
2016-10-18,02관,"11:00,  토마스와 친구들: 용감한 기관차와 괴물소동(디지털더빙)","12:30,  극장판 프리파라 모두 모여라! 프리즘☆투어즈(디지털)","15:30,  토마스와 친구들: 용감한 기관차와 괴물소동(디지털더빙),  5,000원","18:30,  아수라(디지털),  5,000원","21:10,  아수라(디지털),  5,000원",,,,,35
2016-10-19,01관,"10:30,  극장판 프리파라 모두 모여라! 프리즘☆투어즈(디지털)","12:40,  럭키(디지털),  5,000원","15:10,  아수라(디지털),  5,000원","18:40,  럭키(디지털),  5,000원","21:00,  럭키(디지털),  5,000원",,,,,62
2016-10-19,02관,"11:00,  토마스와 친구들: 용감한 기관차와 괴물소동(디지털더빙),  5,000원","12:30,  극장판 프리파라 모두 모여라! 프리즘☆투어즈(디지털),  5,000원","15:30,  토마스와 친구들: 용감한 기관차와 괴물소동(디지털더빙),  5,000원","18:30,  아수라(디지털),  5,000원","21:10,  아수라(디지털),  5,000원",,,,,35
2016-10-20,01관,"11:00,  걷기왕(디지털),  5,000원","13:10,  극장판 프리파라 모두 모여라! 프리즘☆투어즈(디지털)","15:30,  아수라(디지털),  5,000원","18:20,  걷기왕(디지털),  5,000원","20:50,  럭키(디지털),  5,000원",,,,,62
2016-10-20,02관,"10:30,  극장판 프리파라 모두 모여라! 프리즘☆투어즈(디지털),  5,000원","12:40,  토마스와 친구들: 용감한 기관차와 괴물소동(디지털더빙)","15:10,  인페르노(디지털),  5,000원","18:40,  인페르노(디지털),  5,000원","21:10,  걷기왕(디지털),  5,000원",,,,,35
2016-10-21,01관,"11:00,  걷기왕(디지털),  5,000원","13:10,  극장판 프리파라 모두 모여라! 프리즘☆투어즈(디지털)","15:30,  아수라(디지털),  5,000원","18:40,  걷기왕(디지털),  5,000원","20:50,  럭키(디지털),  5,000원",,,,,62
2016-10-21,02관,"10:30,  극장판 프리파라 모두 모여라! 프리즘☆투어즈(디지털),  5,000원","12:40,  토마스와 친구들: 용감한 기관차와 괴물소동(디지털더빙),  5,000원","15:10,  인페르노(디지털),  5,000원","18:40,  인페르노(디지털),  5,000원","21:10,  걷기왕(디지털),  5,000원",,,,,35
2016-10-22,01관,"10:30,  걷기왕(디지털),  5,000원","13:10,  극장판 프리파라 모두 모여라! 프리즘☆투어즈(디지털),  5,000원","15:30,  아수라(디지털),  5,000원","18:40,  걷기왕(디지털),  5,000원","20:50,  럭키(디지털),  5,000원",,,,,62
2016-10-22,02관,"10:30,  극장판 프리파라 모두 모여라! 프리즘☆투어즈(디지털),  5,000원","12:40,  토마스와 친구들: 용감한 기관차와 괴물소동(디지털더빙),  5,000원","15:10,  인페르노(디지털),  5,000원","18:40,  인페르노(디지털),  5,000원","21:10,  걷기왕(디지털),  5,000원",,,,,35
2016-10-23,01관,"11:00,  걷기왕(디지털),  5,000원","13:10,  극장판 프리파라 모두 모여라! 프리즘☆투어즈(디지털),  5,000원","15:30,  아수라(디지털),  5,000원","18:40,  걷기왕(디지털),  5,000원","20:50,  럭키(디지털),  5,000원",,,,,62
2016-10-23,02관,"10:30,  극장판 프리파라 모두 모여라! 프리즘☆투어즈(디지털),  5,000원","12:40,  토마스와 친구들: 용감한 기관차와 괴물소동(디지털더빙),  5,000원","15:10,  인페르노(디지털),  5,000원","18:40,  인페르노(디지털),  5,000원","21:10,  걷기왕(디지털),  5,000원",,,,,35
2016-10-24,01관,"10:30,  극장판 프리파라 모두 모여라! 프리즘☆투어즈(디지털),  5,000원","12:30,  토마스와 친구들: 용감한 기관차와 괴물소동(디지털더빙),  5,000원","14:00,  인페르노(디지털),  5,000원","16:30,  인페르노(디지털),  5,000원","19:00,  걷기왕(디지털),  5,000원","21:00,  럭키(디지털),  5,000원",,,,62
2016-10-24,02관,"11:00,  걷기왕(디지털),  5,000원","12:40,  극장판 프리파라 모두 모여라! 프리즘☆투어즈(디지털)","14:20,  아수라(디지털),  5,000원","16:40,  걷기왕(디지털),  5,000원","18:30,  럭키(디지털),  5,000원","20:40,  럭키(디지털),  5,000원",,,,35
2016-10-25,01관,"10:30,  극장판 프리파라 모두 모여라! 프리즘☆투어즈(디지털)","12:30,  토마스와 친구들: 용감한 기관차와 괴물소동(디지털더빙)","14:00,  인페르노(디지털)","16:30,  인페르노(디지털),  5,000원","19:00,  걷기왕(디지털),  5,000원","21:00,  럭키(디지털),  5,000원",,,,62
2016-10-25,02관,"10:30,  걷기왕(디지털),  5,000원","12:20,  극장판 프리파라 모두 모여라! 프리즘☆투어즈(디지털)","14:10,  아수라(디지털),  5,000원","16:40,  걷기왕(디지털),  5,000원","18:30,  럭키(디지털),  5,000원","20:40,  럭키(디지털),  5,000원",,,,35
2016-10-26,01관,"10:00,  닥터 스트레인지(디지털),  5,000원","13:00,  토마스와 친구들: 용감한 기관차와 괴물소동(디지털더빙)","14:30,  닥터 스트레인지(디지털),  5,000원","16:50,  럭키(디지털),  5,000원","19:00,  닥터 스트레인지(3D 디지털),  8,000원","21:10,  닥터 스트레인지(3D 디지털),  8,000원",,,,62
2016-10-26,02관,"10:30,  극장판 프리파라 모두 모여라! 프리즘☆투어즈(디지털)","12:50,  혼숨(디지털)","15:00,  걷기왕(디지털),  5,000원","17:00,  혼숨(디지털),  5,000원","18:50,  럭키(디지털),  5,000원","21:00,  럭키(디지털),  5,000원",,,,35
2016-10-27,01관,"10:00,  닥터 스트레인지(디지털),  5,000원","12:30,  와와의 학교 가는 날(디지털),  5,000원","17:00,  럭키(디지털),  5,000원","19:10,  닥터 스트레인지(3D 디지털),  8,000원","21:20,  닥터 스트레인지(3D 디지털),  8,000원",,,,,62
2016-10-27,02관,"10:30,  극장판 프리파라 모두 모여라! 프리즘☆투어즈(디지털)","12:50,  혼숨(디지털),  5,000원","15:00,  걷기왕(디지털),  5,000원","17:10,  혼숨(디지털),  5,000원","19:00,  럭키(디지털),  5,000원","21:10,  럭키(디지털),  5,000원",,,,35
2016-10-28,01관,"10:00,  닥터 스트레인지(디지털),  5,000원","12:40,  와와의 학교 가는 날(디지털),  5,000원","14:30,  닥터 스트레인지(3D 디지털),  8,000원","16:50,  럭키(디지털),  5,000원","19:10,  닥터 스트레인지(3D 디지털),  8,000원","21:20,  닥터 스트레인지(디지털),  5,000원",,,,62
2016-10-28,02관,"10:10,  극장판 프리파라 모두 모여라! 프리즘☆투어즈(디지털)","12:00,  혼숨(디지털)","13:50,  걷기왕(디지털),  5,000원","17:10,  혼숨(디지털),  5,000원","19:00,  럭키(디지털),  5,000원","21:10,  럭키(디지털),  5,000원",,,,35
2016-10-29,01관,"10:00,  닥터 스트레인지(디지털),  5,000원","12:40,  와와의 학교 가는 날(디지털),  5,000원","14:30,  닥터 스트레인지(3D 디지털),  8,000원","16:50,  럭키(디지털),  5,000원","19:10,  닥터 스트레인지(3D 디지털),  8,000원","21:20,  닥터 스트레인지(디지털),  5,000원",,,,62
2016-10-29,02관,"10:30,  극장판 프리파라 모두 모여라! 프리즘☆투어즈(디지털),  5,000원","12:50,  혼숨(디지털),  5,000원","15:00,  걷기왕(디지털),  5,000원","17:10,  혼숨(디지털),  5,000원","19:00,  럭키(디지털),  5,000원","21:10,  럭키(디지털),  5,000원",,,,35
2016-10-30,01관,"10:00,  닥터 스트레인지(디지털),  5,000원","12:40,  와와의 학교 가는 날(디지털),  5,000원","14:30,  닥터 스트레인지(3D 디지털),  8,000원","16:50,  럭키(디지털),  5,000원","19:10,  닥터 스트레인지(3D 디지털),  8,000원","21:20,  닥터 스트레인지(디지털),  5,000원",,,,62
2016-10-30,02관,"10:30,  극장판 프리파라 모두 모여라! 프리즘☆투어즈(디지털),  5,000원","12:50,  혼숨(디지털),  5,000원","15:00,  걷기왕(디지털),  5,000원","17:10,  혼숨(디지털),  5,000원","19:00,  럭키(디지털),  5,000원","21:10,  럭키(디지털),  5,000원",,,,35
2016-10-31,01관,"10:00,  닥터 스트레인지(디지털),  5,000원","12:40,  와와의 학교 가는 날(디지털),  5,000원","14:30,  닥터 스트레인지(디지털),  5,000원","16:50,  럭키(디지털),  5,000원","19:10,  닥터 스트레인지(3D 디지털),  8,000원","21:40,  닥터 스트레인지(3D 디지털),  8,000원",,,,62
2016-10-31,02관,"10:30,  걷기왕(디지털),  5,000원","12:50,  혼숨(디지털),  5,000원","14:40,  럭키(디지털),  5,000원","17:00,  혼숨(디지털),  5,000원","18:50,  럭키(디지털),  5,000원","21:10,  럭키(디지털),  5,000원",,,,35
2016-11-01,01관,"10:00,  닥터 스트레인지(디지털),  5,000원","12:40,  와와의 학교 가는 날(디지털),  3,000원","14:30,  닥터 스트레인지(디지털),  5,000원","16:50,  럭키(디지털),  5,000원","19:10,  닥터 스트레인지(3D 디지털),  8,000원","21:40,  닥터 스트레인지(3D 디지털),  8,000원",,,,62
2016-11-01,02관,"10:30,  걷기왕(디지털),  5,000원","12:50,  혼숨(디지털),  5,000원","14:40,  럭키(디지털),  5,000원","17:00,  혼숨(디지털),  5,000원","18:50,  럭키(디지털),  5,000원","21:10,  럭키(디지털),  5,000원",,,,35
2016-11-02,01관,"10:00,  닥터 스트레인지(디지털)","12:40,  와와의 학교 가는 날(디지털),  3,000원","14:30,  닥터 스트레인지(디지털),  5,000원","16:50,  럭키(디지털)","19:10,  닥터 스트레인지(3D 디지털),  8,000원","21:40,  닥터 스트레인지(3D 디지털),  8,000원",,,,62
2016-11-02,02관,"10:30,  걷기왕(디지털),  5,000원","12:50,  혼숨(디지털)","14:40,  럭키(디지털),  5,000원","17:00,  혼숨(디지털)","18:50,  럭키(디지털),  5,000원","21:10,  럭키(디지털),  5,000원",,,,35
2016-11-03,01관,"10:00,  닥터 스트레인지(디지털),  5,000원","12:50,  램스(디지털)","14:40,  닥터 스트레인지(디지털),  5,000원","16:50,  극장판 파워레인저: 닌자포스 VS 트레인포스 닌자 인 원더랜드(디지털더빙)","19:10,  닥터 스트레인지(3D 디지털),  8,000원","21:40,  닥터 스트레인지(3D 디지털),  8,000원",,,,62
2016-11-03,02관,"10:30,  두 번째 스물(디지털)","13:00,  혼숨(디지털),  5,000원","14:50,  램스(디지털)","16:40,  두 번째 스물(디지털)","18:50,  럭키(디지털),  5,000원","21:10,  럭키(디지털),  5,000원",,,,35
2016-11-04,01관,"09:40,  닥터 스트레인지(디지털),  5,000원","12:50,  램스(디지털),  5,000원","14:40,  닥터 스트레인지(디지털),  5,000원","16:50,  극장판 파워레인저: 닌자포스 VS 트레인포스 닌자 인 원더랜드(디지털더빙),  5,000원","19:10,  닥터 스트레인지(3D 디지털),  8,000원","21:40,  닥터 스트레인지(3D 디지털),  8,000원",,,,62
2016-11-04,02관,"10:30,  두 번째 스물(디지털),  5,000원","13:00,  혼숨(디지털),  5,000원","14:50,  램스(디지털),  5,000원","16:40,  두 번째 스물(디지털),  5,000원","18:50,  럭키(디지털),  5,000원","21:10,  럭키(디지털),  5,000원",,,,35
2016-11-05,01관,"10:00,  닥터 스트레인지(디지털),  5,000원","12:20,  극장판 프리파라 모두 모여라! 프리즘☆투어즈(디지털),  5,000원","14:30,  닥터 스트레인지(3D 디지털),  8,000원","16:50,  럭키(디지털),  5,000원","19:10,  닥터 스트레인지(3D 디지털),  8,000원","21:40,  닥터 스트레인지(디지털),  5,000원",,,,62
2016-11-05,02관,"11:00,  극장판 파워레인저: 닌자포스 VS 트레인포스 닌자 인 원더랜드(디지털더빙),  5,000원","12:50,  혼숨(디지털),  5,000원","14:40,  램스(디지털),  5,000원","16:30,  두 번째 스물(디지털),  5,000원","18:50,  럭키(디지털),  5,000원","21:10,  럭키(디지털),  5,000원",,,,35
2016-11-06,01관,"10:00,  닥터 스트레인지(디지털),  5,000원","12:20,  극장판 프리파라 모두 모여라! 프리즘☆투어즈(디지털),  5,000원","14:30,  닥터 스트레인지(3D 디지털),  8,000원","16:50,  럭키(디지털),  5,000원","19:10,  닥터 스트레인지(3D 디지털),  8,000원","21:40,  닥터 스트레인지(디지털),  5,000원",,,,62
2016-11-06,02관,"11:00,  극장판 파워레인저: 닌자포스 VS 트레인포스 닌자 인 원더랜드(디지털더빙),  5,000원","12:50,  혼숨(디지털),  5,000원","14:40,  램스(디지털),  5,000원","16:30,  두 번째 스물(디지털),  5,000원","18:50,  럭키(디지털),  5,000원","21:10,  럭키(디지털),  5,000원",,,,35
2016-11-07,01관,"10:00,  닥터 스트레인지(디지털),  5,000원","12:50,  램스(디지털)","14:40,  닥터 스트레인지(디지털),  5,000원","16:50,  극장판 파워레인저: 닌자포스 VS 트레인포스 닌자 인 원더랜드(디지털더빙),  5,000원","19:10,  닥터 스트레인지(3D 디지털),  8,000원","21:40,  닥터 스트레인지(3D 디지털),  8,000원",,,,62
2016-11-07,02관,"10:30,  두 번째 스물(디지털),  5,000원","13:00,  혼숨(디지털)","14:50,  램스(디지털)","16:40,  두 번째 스물(디지털),  5,000원","18:50,  럭키(디지털),  5,000원","21:10,  럭키(디지털),  5,000원",,,,35
