상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,좌석수
2016-03-25,01관,"22:00,  킹콩(필름)",,,,,,,,,99
2016-03-29,01관,"22:00,  킹콩(필름)",,,,,,,,,99
2016-03-30,01관,"14:20,  대배우(디지털)","17:00,  대배우(디지털),  5,000원","19:30,  대배우(디지털),  5,000원",,,,,,,99
2016-03-31,01관,,,"15:20,  배트맨 대 슈퍼맨: 저스티스의 시작(디지털),  5,000원","18:30,  대배우(디지털),  5,000원","20:50,  배트맨 대 슈퍼맨: 저스티스의 시작(디지털),  5,000원",,,,,99
2016-04-01,01관,,,,"18:30,  대배우(디지털),  5,000원","20:50,  배트맨 대 슈퍼맨: 저스티스의 시작(디지털),  5,000원",,,,,99
2016-04-02,01관,"10:00,  배트맨 대 슈퍼맨: 저스티스의 시작(디지털),  5,000원","13:00,  대배우(디지털),  5,000원","15:20,  배트맨 대 슈퍼맨: 저스티스의 시작(디지털),  5,000원","18:30,  대배우(디지털),  5,000원","20:50,  배트맨 대 슈퍼맨: 저스티스의 시작(디지털),  5,000원",,,,,99
2016-04-03,01관,"10:00,  대배우(디지털),  5,000원","12:20,  배트맨 대 슈퍼맨: 저스티스의 시작(디지털),  5,000원","15:20,  배트맨 대 슈퍼맨: 저스티스의 시작(디지털),  5,000원","18:30,  대배우(디지털),  5,000원",,,,,,99
2016-04-06,01관,"10:00,  배트맨 대 슈퍼맨: 저스티스의 시작(디지털),  5,000원",,,"18:30,  대배우(디지털),  5,000원","20:50,  배트맨 대 슈퍼맨: 저스티스의 시작(디지털),  5,000원",,,,,99
2016-04-07,01관,,"13:00,  독수리 에디(디지털),  5,000원","15:20,  대배우(디지털),  5,000원",,,,,,,99
2016-04-08,01관,"09:30,  배트맨 대 슈퍼맨: 저스티스의 시작(디지털),  5,000원",,,,"19:00,  독수리 에디(디지털),  5,000원","21:10,  배트맨 대 슈퍼맨: 저스티스의 시작(디지털),  5,000원",,,,99
2016-04-09,01관,"09:30,  배트맨 대 슈퍼맨: 저스티스의 시작(디지털),  5,000원",,"14:30,  독수리 에디(디지털),  5,000원",,"18:40,  독수리 에디(디지털),  5,000원","20:50,  배트맨 대 슈퍼맨: 저스티스의 시작(디지털),  5,000원",,,,99
2016-04-10,01관,,"13:50,  독수리 에디(디지털),  5,000원","16:00,  대배우(디지털),  5,000원","18:10,  독수리 에디(디지털),  5,000원",,,,,,99
2016-04-13,01관,"10:00,  시간이탈자(디지털),  5,000원","12:10,  독수리 에디(디지털),  5,000원","14:20,  해어화(디지털),  5,000원","16:40,  시간이탈자(디지털),  5,000원","18:50,  해어화(디지털),  5,000원","21:10,  시간이탈자(디지털),  5,000원",,,,99
2016-04-14,01관,,,"14:20,  해어화(디지털),  5,000원","16:40,  시간이탈자(디지털),  5,000원","18:50,  해어화(디지털),  5,000원","21:10,  시간이탈자(디지털),  5,000원",,,,99
2016-04-15,01관,,"12:10,  독수리 에디(디지털),  5,000원","14:20,  해어화(디지털),  5,000원","16:40,  시간이탈자(디지털),  5,000원","18:50,  해어화(디지털),  5,000원","21:10,  시간이탈자(디지털),  5,000원",,,,99
2016-04-16,01관,,"12:10,  독수리 에디(디지털),  5,000원","14:20,  해어화(디지털),  5,000원","16:40,  시간이탈자(디지털),  5,000원","18:50,  해어화(디지털),  5,000원","21:10,  시간이탈자(디지털),  5,000원",,,,99
2016-04-17,01관,"10:00,  시간이탈자(디지털),  5,000원","12:10,  독수리 에디(디지털),  5,000원","14:20,  해어화(디지털),  5,000원","16:40,  시간이탈자(디지털),  5,000원","18:50,  해어화(디지털),  5,000원","21:10,  시간이탈자(디지털),  5,000원",,,,99
2016-04-20,01관,"10:00,  시간이탈자(디지털),  5,000원","12:10,  위대한 소원(디지털),  5,000원","14:10,  해어화(디지털),  5,000원",,"18:40,  위대한 소원(디지털),  5,000원","20:40,  독수리 에디(디지털),  5,000원",,,,99
2016-04-21,01관,"10:00,  시간이탈자(디지털),  5,000원","12:10,  위대한 소원(디지털),  5,000원","14:10,  해어화(디지털),  5,000원",,"18:40,  독수리 에디(디지털),  5,000원","20:50,  위대한 소원(디지털),  5,000원",,,,99
2016-04-22,01관,"10:00,  시간이탈자(디지털),  5,000원","12:10,  위대한 소원(디지털),  5,000원",,,"18:40,  위대한 소원(디지털),  5,000원","20:40,  독수리 에디(디지털),  5,000원",,,,99
2016-04-23,01관,,,"13:15,  해어화(디지털),  5,000원","15:35,  극장판 프랭키와 친구들: 생명의 나무(디지털),  5,000원","17:05,  시간이탈자(디지털),  5,000원","19:10,  독수리 에디(디지털),  5,000원","21:10,  위대한 소원(디지털),  5,000원",,,99
2016-04-24,01관,,"11:30,  위대한 소원(디지털),  5,000원","13:30,  극장판 프랭키와 친구들: 생명의 나무(디지털),  5,000원","15:00,  해어화(디지털),  5,000원","17:15,  시간이탈자(디지털),  5,000원","19:20,  위대한 소원(디지털),  5,000원","21:10,  독수리 에디(디지털),  5,000원",,,99
2016-04-27,01관,"09:30,  위대한 소원(디지털)","11:20,  캡틴 아메리카: 시빌 워(디지털)","14:10,  극장판 프랭키와 친구들: 생명의 나무(디지털)","15:50,  캡틴 아메리카: 시빌 워(디지털),  5,000원","19:00,  해어화(디지털),  5,000원","21:30,  캡틴 아메리카: 시빌 워(디지털),  5,000원",,,,99
2016-04-28,01관,"09:30,  캡틴 아메리카: 시빌 워(디지털),  5,000원","12:15,  위대한 소원(디지털),  5,000원","14:05,  캡틴 아메리카: 시빌 워(디지털),  5,000원","16:50,  시간이탈자(디지털),  5,000원","19:00,  극장판 프랭키와 친구들: 생명의 나무(디지털),  5,000원","20:30,  캡틴 아메리카: 시빌 워(디지털),  5,000원",,,,99
2016-04-29,01관,"10:30,  극장판 프랭키와 친구들: 생명의 나무(디지털),  5,000원","12:10,  캡틴 아메리카: 시빌 워(디지털)","15:00,  위대한 소원(디지털),  5,000원","16:50,  캡틴 아메리카: 시빌 워(디지털),  5,000원","19:40,  캡틴 아메리카: 시빌 워(디지털),  5,000원",,,,,99
2016-04-30,01관,"09:30,  캡틴 아메리카: 시빌 워(디지털),  5,000원","12:25,  극장판 프랭키와 친구들: 생명의 나무(디지털),  5,000원","14:00,  캡틴 아메리카: 시빌 워(디지털),  5,000원","16:45,  위대한 소원(디지털),  5,000원","18:30,  시간이탈자(디지털),  5,000원","20:40,  캡틴 아메리카: 시빌 워(디지털),  5,000원",,,,99
2016-05-01,01관,"09:30,  캡틴 아메리카: 시빌 워(디지털),  5,000원","12:20,  극장판 프랭키와 친구들: 생명의 나무(디지털),  5,000원","13:50,  캡틴 아메리카: 시빌 워(디지털),  5,000원","16:40,  위대한 소원(디지털),  5,000원","18:35,  캡틴 아메리카: 시빌 워(디지털),  5,000원","21:20,  해어화(디지털),  5,000원",,,,99
2016-05-04,01관,"09:30,  캡틴 아메리카: 시빌 워(디지털)","12:10,  위대한 소원(디지털)","14:00,  다이노소어 어드벤처 : 백악기 공룡대백과(디지털더빙)","15:50,  캡틴 아메리카: 시빌 워(디지털),  5,000원","18:40,  매직브러시(디지털),  5,000원","20:20,  캡틴 아메리카: 시빌 워(디지털),  5,000원",,,,99
2016-05-05,01관,"09:30,  매직브러시(디지털),  5,000원","11:10,  캡틴 아메리카: 시빌 워(디지털),  5,000원","14:00,  다이노소어 어드벤처 : 백악기 공룡대백과(디지털더빙),  5,000원","15:50,  캡틴 아메리카: 시빌 워(디지털),  5,000원","18:40,  매직브러시(디지털),  5,000원","20:20,  캡틴 아메리카: 시빌 워(디지털),  5,000원",,,,99
2016-05-06,01관,"09:30,  캡틴 아메리카: 시빌 워(디지털),  5,000원","12:20,  다이노소어 어드벤처 : 백악기 공룡대백과(디지털더빙),  5,000원","14:00,  캡틴 아메리카: 시빌 워(디지털),  5,000원","16:50,  매직브러시(디지털),  5,000원","18:30,  위대한 소원(디지털),  5,000원","20:20,  캡틴 아메리카: 시빌 워(디지털),  5,000원",,,,99
