상영일자,상영관,1회,2회,3회,4회,5회,6회,좌석수
2015-01-01,01관,"13:10,  마미(디지털),  8,000원","15:50,  무드 인디고(디지털),  8,000원","17:40,  마미(디지털),  8,000원","20:20,  무드 인디고(디지털),  8,000원",,,112
2015-01-01,02관,"14:00,  쿼바디스(디지털),  8,000원","16:00,  님아, 그 강을 건너지 마오(디지털),  8,000원","18:30,  쿼바디스(디지털),  8,000원","20:30,  님아, 그 강을 건너지 마오(디지털),  8,000원",,,136
2015-01-01,03관,"13:20,  클라우즈 오브 실스마리아(디지털),  8,000원","15:40,  내일을 위한 시간(디지털),  8,000원","17:30,  클라우즈 오브 실스마리아(디지털),  8,000원","20:00,  꾸뻬씨의 행복여행(디지털),  8,000원",,,98
2015-01-02,01관,"13:10,  마미(디지털),  8,000원","15:50,  무드 인디고(디지털),  8,000원","17:40,  마미(디지털),  8,000원","20:20,  무드 인디고(디지털),  8,000원",,,112
2015-01-02,02관,"14:00,  쿼바디스(디지털),  8,000원","16:00,  님아, 그 강을 건너지 마오(디지털),  8,000원","18:30,  쿼바디스(디지털),  8,000원","20:30,  님아, 그 강을 건너지 마오(디지털),  8,000원",,,136
2015-01-02,03관,"13:20,  클라우즈 오브 실스마리아(디지털),  8,000원","15:40,  내일을 위한 시간(디지털),  8,000원","17:30,  클라우즈 오브 실스마리아(디지털),  8,000원","20:00,  꾸뻬씨의 행복여행(디지털),  8,000원",,,98
2015-01-03,01관,"13:10,  마미(디지털),  8,000원","15:50,  무드 인디고(디지털),  8,000원","17:40,  마미(디지털),  8,000원","20:20,  무드 인디고(디지털),  8,000원",,,112
2015-01-03,02관,"14:00,  쿼바디스(디지털),  8,000원","16:00,  님아, 그 강을 건너지 마오(디지털),  8,000원","18:30,  쿼바디스(디지털),  8,000원","20:30,  님아, 그 강을 건너지 마오(디지털),  8,000원",,,136
2015-01-03,03관,"13:20,  클라우즈 오브 실스마리아(디지털),  8,000원","15:40,  내일을 위한 시간(디지털),  8,000원","17:30,  클라우즈 오브 실스마리아(디지털),  8,000원","20:00,  꾸뻬씨의 행복여행(디지털),  8,000원",,,98
2015-01-04,01관,"13:10,  마미(디지털),  8,000원","15:50,  무드 인디고(디지털),  8,000원","17:40,  마미(디지털),  8,000원","20:20,  무드 인디고(디지털),  8,000원",,,112
2015-01-04,02관,"14:00,  쿼바디스(디지털),  8,000원","16:00,  님아, 그 강을 건너지 마오(디지털),  8,000원","18:30,  쿼바디스(디지털),  8,000원","20:30,  님아, 그 강을 건너지 마오(디지털),  8,000원",,,136
2015-01-04,03관,"13:20,  클라우즈 오브 실스마리아(디지털),  8,000원","15:40,  내일을 위한 시간(디지털),  8,000원","17:30,  클라우즈 오브 실스마리아(디지털),  8,000원","20:00,  꾸뻬씨의 행복여행(디지털),  8,000원",,,98
2015-01-06,01관,"13:10,  마미(디지털),  6,000원","15:50,  무드 인디고(디지털),  6,000원","17:40,  마미(디지털),  6,000원","20:20,  무드 인디고(디지털),  6,000원",,,112
2015-01-06,02관,"14:00,  쿼바디스(디지털),  6,000원","16:00,  님아, 그 강을 건너지 마오(디지털),  6,000원","18:30,  쿼바디스(디지털),  6,000원","20:30,  님아, 그 강을 건너지 마오(디지털),  6,000원",,,136
2015-01-06,03관,"13:20,  클라우즈 오브 실스마리아(디지털),  6,000원","15:40,  내일을 위한 시간(디지털),  6,000원","17:30,  클라우즈 오브 실스마리아(디지털),  6,000원","20:00,  꾸뻬씨의 행복여행(디지털),  6,000원",,,98
2015-01-07,01관,"13:10,  마미(디지털),  6,000원","15:50,  무드 인디고(디지털),  6,000원","17:40,  마미(디지털),  6,000원","20:20,  무드 인디고(디지털),  6,000원",,,112
2015-01-07,02관,"14:00,  님아, 그 강을 건너지 마오(디지털),  6,000원","16:00,  쿼바디스(디지털),  6,000원","18:20,  님아, 그 강을 건너지 마오(디지털),  6,000원","20:10,  쿼바디스(디지털),  6,000원",,,136
2015-01-07,03관,"13:20,  클라우즈 오브 실스마리아(디지털),  6,000원","15:40,  내일을 위한 시간(디지털),  6,000원","17:30,  클라우즈 오브 실스마리아(디지털),  6,000원","20:00,  꾸뻬씨의 행복여행(디지털),  6,000원",,,98
2015-01-08,01관,"13:20,  아메리칸 셰프(디지털),  6,000원","15:30,  나의 사적인 여자친구(디지털),  6,000원","17:40,  아메리칸 셰프(디지털),  6,000원","19:50,  클라우즈 오브 실스마리아(디지털),  6,000원",,,112
2015-01-08,02관,"14:00,  쿼바디스(디지털),  6,000원","16:00,  님아, 그 강을 건너지 마오(디지털),  6,000원","18:30,  쿼바디스(디지털),  6,000원","20:30,  님아, 그 강을 건너지 마오(디지털),  6,000원",,,136
