10회,11회,1회,2회,3회,4회,5회,6회,7회,8회,9회,상영관,상영일자,좌석수
,,"10:10,  인생 후르츠(디지털),  5,000원","12:00,  연연풍진(디지털),  7,000원",,"14:10,  보통사람들(디지털),  6,000원","17:00,  악마는 프라다를 입는다(디지털),  6,000원","19:30,  하우스 오브 스피리트(필름),  6,000원",,,,시네마테크관,2019-01-01,212
,,"10:20,  더 파티(디지털),  5,000원","12:00,  로마(디지털),  7,000원","14:40,  미스터 스마일(디지털),  7,000원","16:40,  이차크의 행복한 바이올린(디지털),  7,000원","18:30,  레인보우: 나의 사랑(디지털),  7,000원","20:20,  부다페스트 로큰롤(디지털),  7,000원",,,,소극장,2019-01-01,212
,,"09:10,  PMC: 더 벙커(디지털),  5,000원","11:35,  그린치(디지털),  7,000원","13:25,  범블비(디지털),  7,000원","15:40,  PMC: 더 벙커(디지털),  7,000원","18:05,  스윙키즈(디지털),  7,000원","20:40,  보헤미안 랩소디(디지털),  7,000원",,,,중극장,2019-01-01,413
,,"12:30,  다영씨(디지털),  7,000원","13:50,  천당의 밤과 안개(디지털),  14,000원","18:10,  버블 패밀리(디지털),  7,000원",,,"20:00,  척화영웅(디지털),  0원",,,,인디플러스 영화의 전당,2019-01-01,36
,,"10:20,  러빙 빈센트 : 비하인드 에디션(디지털),  5,000원","12:30,  동년왕사(디지털),  7,000원","15:10,  인생 후르츠(디지털),  7,000원",,"17:00,  죽어야 사는 여자(디지털),  6,000원","20:00,  챔프(필름),  6,000원",,,,시네마테크관,2019-01-02,212
,,"10:00,  레인보우: 나의 사랑(디지털),  5,000원","11:50,  부다페스트 로큰롤(디지털),  7,000원","14:10,  로마(디지털),  7,000원","16:50,  미스터 스마일(디지털),  7,000원","18:50,  이차크의 행복한 바이올린(디지털),  7,000원","20:40,  갈매기(디지털),  7,000원",,,,소극장,2019-01-02,212
,,,"12:00,  PMC: 더 벙커(디지털),  7,000원","14:30,  마약왕(디지털),  7,000원","17:10,  범블비(디지털),  7,000원","19:40,  PMC: 더 벙커(디지털),  7,000원",,,,,중극장,2019-01-02,413
,,"13:30,  두 번째 겨울(디지털),  5,000원","15:00,  어른이 되면(디지털),  7,000원","17:00,  아메리카 타운(디지털),  7,000원","19:00,  다영씨(디지털),  7,000원","20:20,  버블 패밀리(디지털),  7,000원",,,,,인디플러스 영화의 전당,2019-01-02,36
,,"10:50,  동년왕사(디지털),  7,000원","13:30,  인생 후르츠(디지털),  7,000원","15:20,  러빙 빈센트 : 비하인드 에디션(디지털),  7,000원",,"17:30,  어댑테이션(디지털),  6,000원","20:00,  잃어버린 전주곡(디지털),  6,000원",,,,시네마테크관,2019-01-03,212
,,"10:30,  더 파티(디지털),  5,000원","12:10,  레토(디지털),  7,000원","14:40,  레인보우: 나의 사랑(디지털),  7,000원","16:30,  부다페스트 로큰롤(디지털),  7,000원","18:50,  미스터 스마일(디지털),  7,000원","20:50,  이차크의 행복한 바이올린(디지털),  7,000원",,,,소극장,2019-01-03,212
,,"09:40,  PMC: 더 벙커(디지털),  5,000원","12:10,  범블비(디지털),  7,000원","14:30,  스윙키즈(디지털),  7,000원","17:10,  PMC: 더 벙커(디지털),  7,000원","19:40,  범블비(디지털),  7,000원",,,,,중극장,2019-01-03,413
,,"12:00,  어른이 되면(디지털),  7,000원","14:00,  버블 패밀리(디지털),  7,000원","15:40,  다영씨(디지털),  7,000원","17:00,  두 번째 겨울(디지털),  7,000원","18:30,  천당의 밤과 안개(디지털),  14,000원",,,,,인디플러스 영화의 전당,2019-01-03,36
,,"10:40,  러빙 빈센트 : 비하인드 에디션(디지털),  7,000원","12:50,  연연풍진(디지털),  7,000원",,"15:00,  미드나잇 카우보이(디지털),  6,000원","17:40,  맨하탄(디지털),  6,000원","20:00,  야생 갈대(필름),  6,000원",,,,시네마테크관,2019-01-04,212
,,"10:30,  로마(디지털),  6,000원","13:10,  레토(디지털),  7,000원","15:40,  로마(디지털),  7,000원","18:20,  미스터 스마일(디지털),  7,000원","20:20,  로마(디지털),  7,000원",,,,,소극장,2019-01-04,212
,,"09:30,  범블비(디지털),  5,000원","11:45,  그린치(디지털),  7,000원","13:35,  마약왕(디지털),  7,000원","16:15,  범블비(디지털),  7,000원","18:30,  그린치(디지털),  7,000원","20:20,  스윙키즈(디지털),  7,000원",,,,중극장,2019-01-04,413
,,"14:00,  다영씨(디지털),  6,000원","15:20,  두 번째 겨울(디지털),  7,000원","16:50,  아메리카 타운(디지털),  5,000원","18:50,  버블 패밀리(디지털),  7,000원","20:30,  어른이 되면(디지털),  7,000원",,,,,인디플러스 영화의 전당,2019-01-04,36
,,"10:50,  연연풍진(디지털),  7,000원",,,"13:00,  1900년(디지털),  6,000원","19:30,  매디슨 카운티의 다리(디지털),  6,000원",,,,,시네마테크관,2019-01-05,212
,,"10:50,  이차크의 행복한 바이올린(디지털),  7,000원","12:40,  미스터 스마일(디지털),  7,000원","14:40,  레토(디지털),  7,000원","17:10,  레인보우: 나의 사랑(디지털),  7,000원","19:00,  더 파티(디지털),  7,000원","20:40,  부다페스트 로큰롤(디지털),  7,000원",,,,소극장,2019-01-05,212
,,"09:20,  그린치(디지털),  5,000원","11:10,  범블비(디지털),  7,000원","13:25,  스윙키즈(디지털),  7,000원","16:00,  말모이(디지털),  7,000원",,"20:50,  PMC: 더 벙커(디지털),  7,000원",,,,중극장,2019-01-05,413
,,"11:30,  두 번째 겨울(디지털),  7,000원","13:00,  버블 패밀리(디지털),  7,000원","14:40,  다영씨(디지털),  7,000원","16:00,  어른이 되면(디지털),  7,000원","18:00,  아메리카 타운(디지털),  7,000원",,,,,인디플러스 영화의 전당,2019-01-05,36
,,"11:00,  러빙 빈센트 : 비하인드 에디션(디지털),  7,000원","13:10,  인생 후르츠(디지털),  7,000원",,"15:00,  통행증(필름),  6,000원","18:30,  율리시즈의 시선 (필름),  6,000원",,,,,시네마테크관,2019-01-06,212
,,"10:10,  로마(디지털),  5,000원","12:50,  미스터 스마일(디지털),  7,000원","14:50,  로마(디지털),  7,000원","17:30,  레토(디지털),  7,000원","20:00,  로마(디지털),  7,000원",,,,,소극장,2019-01-06,212
,,"09:40,  범블비(디지털),  6,000원","12:00,  마약왕(디지털),  7,000원","14:40,  PMC: 더 벙커(디지털),  7,000원","17:10,  말모이(디지털),  7,000원","20:00,  보헤미안 랩소디(디지털),  7,000원",,,,,중극장,2019-01-06,413
,,"11:30,  어른이 되면(디지털),  6,000원","13:30,  천당의 밤과 안개(디지털),  10,000원","17:50,  버블 패밀리(디지털),  7,000원","19:30,  다영씨(디지털),  7,000원",,,,,,인디플러스 영화의 전당,2019-01-06,36
,,,"12:00,  조용한 가족(디지털),  0원","14:30,  꽃잎(디지털),  0원","16:30,  인정사정 볼 것 없다(디지털),  0원","19:00,  결혼이야기(디지털),  0원",,,,,시네마테크관,2019-01-07,212
,,"10:50,  더 파티(디지털),  7,000원","12:30,  레인보우: 나의 사랑(디지털),  7,000원","14:20,  부다페스트 로큰롤(디지털),  7,000원","16:40,  미스터 스마일(디지털),  7,000원","18:40,  이차크의 행복한 바이올린(디지털),  7,000원","20:30,  레토(디지털),  7,000원",,,,소극장,2019-01-07,212
,,"09:40,  범블비(디지털),  5,000원","12:00,  스윙키즈(디지털),  7,000원","14:40,  PMC: 더 벙커(디지털),  7,000원","17:10,  마약왕(디지털),  7,000원",,,,,,중극장,2019-01-07,413
,,"13:30,  어른이 되면(디지털),  7,000원","15:30,  아메리카 타운(디지털),  7,000원","17:30,  다영씨(디지털),  5,000원",,,,,,,인디플러스 영화의 전당,2019-01-07,36
,,"10:50,  인생 후르츠(디지털),  7,000원","12:40,  동년왕사(디지털),  7,000원",,"15:20,  디어헌터(디지털),  6,000원","19:00,  예수의 마지막 유혹(디지털),  6,000원",,,,,시네마테크관,2019-01-08,212
,,"10:40,  레인보우: 나의 사랑(디지털),  7,000원","12:30,  레토(디지털),  7,000원","15:00,  이차크의 행복한 바이올린(디지털),  7,000원","16:50,  레인보우: 나의 사랑(디지털),  7,000원","18:40,  미스터 스마일(디지털),  7,000원","20:40,  부다페스트 로큰롤(디지털),  7,000원",,,,소극장,2019-01-08,212
,,"09:20,  그린치(디지털),  5,000원","11:10,  PMC: 더 벙커(디지털),  7,000원","13:35,  범블비(디지털),  7,000원","15:50,  스윙키즈(디지털),  7,000원","18:25,  그린치(디지털),  7,000원","20:20,  보헤미안 랩소디(디지털),  7,000원",,,,중극장,2019-01-08,413
,,"13:30,  두 번째 겨울(디지털),  6,000원",,"16:20,  어른이 되면(디지털),  7,000원","18:20,  버블 패밀리(디지털),  7,000원",,"20:00,  샹그리라의 야생마 (디지털),  0원",,,,인디플러스 영화의 전당,2019-01-08,36
,,"10:40,  연연풍진(디지털),  7,000원","12:50,  러빙 빈센트 : 비하인드 에디션(디지털),  7,000원","15:00,  인생 후르츠(디지털),  7,000원","16:50,  소피의 선택(디지털),  6,000원","20:00,  악마는 프라다를 입는다(디지털),  6,000원",,,,,시네마테크관,2019-01-09,212
,,"10:40,  이차크의 행복한 바이올린(디지털),  7,000원","12:30,  더 파티(디지털),  7,000원","14:10,  레토(디지털),  7,000원","16:40,  부다페스트 로큰롤(디지털),  7,000원","19:00,  레인보우: 나의 사랑(디지털),  7,000원","20:50,  미스터 스마일(디지털),  7,000원",,,,소극장,2019-01-09,212
,,"09:30,  말모이(디지털),  5,000원","12:10,  내안의 그놈(디지털),  7,000원","14:40,  말모이(디지털),  7,000원","17:20,  내안의 그놈(디지털),  7,000원","19:50,  말모이(디지털),  7,000원",,,,,중극장,2019-01-09,413
,,,"14:10,  천당의 밤과 안개(디지털),  10,000원","18:30,  어른이 되면(디지털),  7,000원","20:30,  다영씨(디지털),  5,000원",,,,,,인디플러스 영화의 전당,2019-01-09,36
,,"09:30,  러빙 빈센트 : 비하인드 에디션(디지털),  5,000원","11:40,  연연풍진(디지털),  7,000원","13:50,  인생 후르츠(디지털),  7,000원","15:40,  이차크의 행복한 바이올린(디지털),  7,000원","20:00,  보통사람들(디지털),  6,000원",,,,,시네마테크관,2019-01-10,212
,,"10:00,  미스터 스마일(디지털),  5,000원","12:00,  레토(디지털),  7,000원","14:30,  그린 북(디지털),  7,000원","17:00,  레인보우: 나의 사랑(디지털),  7,000원","18:50,  더 파티(디지털),  7,000원","20:30,  그린 북(디지털),  7,000원",,,,소극장,2019-01-10,212
,,"09:30,  내안의 그놈(디지털),  5,000원","12:00,  말모이(디지털),  7,000원","14:40,  PMC: 더 벙커(디지털),  7,000원","17:10,  말모이(디지털),  7,000원","19:50,  내안의 그놈(디지털),  7,000원",,,,,중극장,2019-01-10,413
,,"14:00,  아메리카 타운(디지털),  7,000원","16:00,  버블 패밀리(디지털),  0원","17:40,  두 번째 겨울(디지털),  7,000원",,"20:30,  어른이 되면(디지털),  7,000원",,,,,인디플러스 영화의 전당,2019-01-10,36
,,"09:50,  이차크의 행복한 바이올린(디지털),  5,000원","11:40,  인생 후르츠(디지털),  7,000원",,"13:30,  매디슨 카운티의 다리(디지털),  6,000원","17:00,  죽어야 사는 여자(디지털),  6,000원","19:30,  어댑테이션(디지털),  6,000원",,,,시네마테크관,2019-01-11,212
,,"10:10,  레인보우: 나의 사랑(디지털),  5,000원","12:00,  미스터 스마일(디지털),  7,000원","14:00,  그린 북(디지털),  7,000원",,"19:50,  레토(디지털),  7,000원",,,,,소극장,2019-01-11,212
,,"09:30,  말모이(디지털),  6,000원","12:10,  내안의 그놈(디지털),  7,000원","14:40,  범블비(디지털),  7,000원","17:00,  내안의 그놈(디지털),  7,000원","19:40,  말모이(디지털),  7,000원",,,,,중극장,2019-01-11,413
,,,"14:20,  천당의 밤과 안개(디지털),  14,000원","18:40,  어른이 되면(디지털),  7,000원",,,,,,,인디플러스 영화의 전당,2019-01-11,36
,,"09:50,  인생 후르츠(디지털),  6,000원","11:40,  이차크의 행복한 바이올린(디지털),  7,000원",,"13:30,  리스본의 미스터리(디지털),  6,000원","19:30,  하우스 오브 스피리트(필름),  6,000원",,,,,시네마테크관,2019-01-12,212
,,"11:00,  로마(디지털),  7,000원","13:40,  더 파티(디지털),  7,000원","15:20,  레토(디지털),  7,000원","17:50,  그린 북(디지털),  7,000원","20:20,  로마(디지털),  7,000원",,,,,소극장,2019-01-12,212
