상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,12회,13회,14회,15회,16회,좌석수
2015-01-01,01관,"10:30,  기술자들(디지털),  7,000원","12:40,  기술자들(디지털),  7,000원","14:50,  기술자들(디지털),  7,000원","17:00,  국제시장(디지털 영문자막),  7,000원","19:20,  국제시장(디지털 영문자막),  7,000원","21:40,  국제시장(디지털 영문자막),  7,000원",,,,,,,,,,,95
2015-01-02,01관,"10:30,  기술자들(디지털)","12:40,  기술자들(디지털),  7,000원","14:50,  기술자들(디지털),  7,000원","17:20,  국제시장(디지털 영문자막),  7,000원","19:30,  국제시장(디지털 영문자막),  7,000원","21:50,  국제시장(디지털 영문자막),  7,000원",,,,,,,,,,,95
2015-01-03,01관,"10:30,  기술자들(디지털),  5,000원","12:40,  기술자들(디지털),  7,000원","14:50,  기술자들(디지털),  7,000원","17:20,  국제시장(디지털 영문자막),  7,000원","19:30,  국제시장(디지털 영문자막),  7,000원","21:50,  국제시장(디지털 영문자막),  7,000원",,,,,,,,,,,95
2015-01-04,01관,"10:30,  기술자들(디지털),  5,000원","12:40,  기술자들(디지털),  7,000원","14:50,  기술자들(디지털),  7,000원","17:20,  국제시장(디지털 영문자막),  7,000원","19:30,  국제시장(디지털 영문자막),  7,000원","21:50,  국제시장(디지털 영문자막),  7,000원",,,,,,,,,,,95
2015-01-05,01관,"10:30,  기술자들(디지털),  5,000원","12:40,  기술자들(디지털),  7,000원","14:50,  기술자들(디지털),  7,000원","17:20,  국제시장(디지털 영문자막),  7,000원","19:30,  국제시장(디지털 영문자막),  7,000원","21:50,  국제시장(디지털 영문자막),  7,000원",,,,,,,,,,,95
2015-01-06,01관,"10:30,  기술자들(디지털)","12:40,  기술자들(디지털),  7,000원","14:50,  기술자들(디지털),  7,000원","17:20,  국제시장(디지털 영문자막),  7,000원","19:30,  국제시장(디지털 영문자막),  7,000원","21:50,  국제시장(디지털 영문자막),  7,000원",,,,,,,,,,,95
2015-01-07,01관,"11:00,  국제시장(디지털 영문자막),  5,000원","13:20,  국제시장(디지털 영문자막),  7,000원","15:40,  국제시장(디지털 영문자막),  7,000원","18:00,  국제시장(디지털 영문자막),  7,000원","20:20,  님아, 그 강을 건너지 마오(디지털),  7,000원","22:00,  님아, 그 강을 건너지 마오(디지털),  7,000원",,,,,,,,,,,95
2015-01-08,01관,"11:00,  국제시장(디지털 영문자막),  5,000원","13:20,  국제시장(디지털 영문자막),  7,000원","15:40,  국제시장(디지털 영문자막),  7,000원","18:00,  국제시장(디지털 영문자막),  7,000원","20:20,  님아, 그 강을 건너지 마오(디지털),  7,000원","22:00,  님아, 그 강을 건너지 마오(디지털),  7,000원",,,,,,,,,,,95
2015-01-09,01관,"11:00,  국제시장(디지털 영문자막)","13:20,  국제시장(디지털 영문자막),  7,000원","15:40,  국제시장(디지털 영문자막),  7,000원","18:00,  국제시장(디지털 영문자막),  7,000원","20:20,  님아, 그 강을 건너지 마오(디지털),  7,000원","22:00,  님아, 그 강을 건너지 마오(디지털),  7,000원","23:40,  더 테너 리리코 스핀토(디지털)",,,,,,,,,,95
2015-01-10,01관,"11:00,  국제시장(디지털 영문자막),  5,000원","13:20,  국제시장(디지털 영문자막),  7,000원","15:40,  국제시장(디지털 영문자막),  7,000원","18:00,  국제시장(디지털 영문자막),  7,000원","20:20,  님아, 그 강을 건너지 마오(디지털),  7,000원","22:00,  님아, 그 강을 건너지 마오(디지털),  7,000원",,,,,,,,,,,95
2015-01-11,01관,"11:00,  국제시장(디지털 영문자막),  5,000원","13:20,  국제시장(디지털 영문자막),  7,000원","15:40,  국제시장(디지털 영문자막),  7,000원","18:00,  국제시장(디지털 영문자막),  7,000원","20:20,  님아, 그 강을 건너지 마오(디지털),  7,000원","22:00,  님아, 그 강을 건너지 마오(디지털),  7,000원",,,,,,,,,,,95
2015-01-12,01관,"11:00,  국제시장(디지털 영문자막),  5,000원","13:20,  국제시장(디지털 영문자막),  7,000원","15:40,  국제시장(디지털 영문자막),  7,000원","18:00,  국제시장(디지털 영문자막),  7,000원","20:20,  님아, 그 강을 건너지 마오(디지털),  7,000원","22:00,  님아, 그 강을 건너지 마오(디지털),  7,000원",,,,,,,,,,,95
2015-01-13,01관,"11:00,  국제시장(디지털 영문자막)","13:20,  국제시장(디지털 영문자막),  7,000원","15:40,  국제시장(디지털 영문자막),  7,000원","18:00,  국제시장(디지털 영문자막),  7,000원","20:20,  님아, 그 강을 건너지 마오(디지털),  7,000원","22:00,  님아, 그 강을 건너지 마오(디지털),  7,000원",,,,,,,,,,,95
2015-01-14,01관,"10:00,  국제시장(디지털 영문자막),  5,000원","12:20,  국제시장(디지털 영문자막),  7,000원","14:40,  국제시장(디지털 영문자막),  7,000원","17:00,  오늘의 연애(디지털),  7,000원","19:20,  오늘의 연애(디지털),  7,000원","21:40,  오늘의 연애(디지털),  7,000원",,,,,,,,,,,95
2015-01-15,01관,"07:00,  더 테너 리리코 스핀토(디지털)","10:00,  국제시장(디지털 영문자막),  7,000원","12:20,  오늘의 연애(디지털),  7,000원","14:40,  국제시장(디지털 영문자막),  7,000원","17:00,  오늘의 연애(디지털),  7,000원","19:20,  국제시장(디지털 영문자막),  7,000원","21:40,  오늘의 연애(디지털),  7,000원",,,,,,,,,,95
2015-01-16,01관,"07:00,  더 테너 리리코 스핀토(디지털)","10:00,  오늘의 연애(디지털),  7,000원","12:20,  국제시장(디지털 영문자막),  7,000원","14:40,  오늘의 연애(디지털),  7,000원","17:00,  국제시장(디지털 영문자막),  7,000원","19:20,  오늘의 연애(디지털),  7,000원","21:40,  국제시장(디지털 영문자막),  7,000원",,,,,,,,,,95
2015-01-17,01관,"07:00,  더 테너 리리코 스핀토(디지털)","10:00,  국제시장(디지털 영문자막),  7,000원","12:20,  국제시장(디지털 영문자막),  7,000원","14:40,  국제시장(디지털 영문자막),  7,000원","17:00,  오늘의 연애(디지털),  7,000원","19:20,  오늘의 연애(디지털),  7,000원","21:40,  오늘의 연애(디지털),  7,000원",,,,,,,,,,95
2015-01-18,01관,"07:00,  더 테너 리리코 스핀토(디지털)","10:00,  오늘의 연애(디지털),  7,000원","12:20,  국제시장(디지털 영문자막),  7,000원","14:40,  오늘의 연애(디지털),  7,000원","17:00,  국제시장(디지털 영문자막),  7,000원","19:20,  오늘의 연애(디지털),  7,000원","21:40,  국제시장(디지털 영문자막),  7,000원",,,,,,,,,,95
2015-01-19,01관,"10:00,  국제시장(디지털 영문자막),  7,000원","12:20,  국제시장(디지털 영문자막),  7,000원","14:40,  국제시장(디지털 영문자막),  7,000원","17:00,  오늘의 연애(디지털),  7,000원","19:20,  오늘의 연애(디지털),  7,000원","21:40,  오늘의 연애(디지털),  7,000원",,,,,,,,,,,95
