상영일자,상영관,1회,2회,3회,4회,5회,6회,좌석수
2017-03-22,01관,"22:00,  킹콩(필름)",,,,,,52
2017-03-22,02관,"22:00,  킹콩(필름)",,,,,,47
2017-04-06,01관,"23:00,  킹콩(필름)",,,,,,52
2017-04-06,02관,"23:00,  킹콩(필름)",,,,,,47
2017-04-12,01관,"18:00,  분노의 질주: 더 익스트림(디지털),  5,000원","20:50,  분노의 질주: 더 익스트림(디지털),  5,000원",,,,,52
2017-04-12,02관,"18:30,  라이프(디지털),  5,000원",,,,,,47
2017-04-13,01관,"10:00,  슈퍼 버드(디지털더빙),  5,000원","15:40,  슈퍼 버드(디지털더빙)",,,,,52
2017-04-13,02관,"10:20,  라이프(디지털),  5,000원","18:40,  어느날(디지털),  5,000원",,,,,47
2017-04-14,01관,"10:00,  슈퍼 버드(디지털더빙)","15:40,  슈퍼 버드(디지털더빙),  5,000원",,,,,52
2017-04-14,02관,"10:20,  라이프(디지털),  5,000원","18:40,  어느날(디지털),  5,000원",,,,,47
2017-04-15,01관,"10:00,  슈퍼 버드(디지털더빙),  5,000원","15:40,  슈퍼 버드(디지털더빙),  5,000원",,,,,52
2017-04-15,02관,"10:20,  라이프(디지털),  5,000원","18:40,  어느날(디지털),  5,000원",,,,,47
2017-04-16,01관,"10:00,  슈퍼 버드(디지털더빙),  5,000원","15:40,  슈퍼 버드(디지털더빙),  5,000원",,,,,52
2017-04-16,02관,"10:20,  라이프(디지털),  5,000원","18:40,  어느날(디지털),  5,000원",,,,,47
2017-04-17,01관,"10:00,  분노의 질주: 더 익스트림(디지털),  5,000원","13:00,  분노의 질주: 더 익스트림(디지털),  5,000원","18:30,  분노의 질주: 더 익스트림(디지털),  5,000원","21:00,  분노의 질주: 더 익스트림(디지털),  5,000원",,,52
2017-04-17,02관,"10:20,  어느날(디지털),  5,000원","16:30,  어느날(디지털),  5,000원","21:20,  라이프(디지털),  5,000원",,,,47
2017-04-18,01관,"10:00,  분노의 질주: 더 익스트림(디지털),  5,000원","13:00,  분노의 질주: 더 익스트림(디지털),  5,000원","18:30,  분노의 질주: 더 익스트림(디지털),  5,000원","21:00,  분노의 질주: 더 익스트림(디지털),  5,000원",,,52
2017-04-18,02관,"10:20,  어느날(디지털),  5,000원","16:30,  어느날(디지털),  5,000원","21:20,  라이프(디지털)",,,,47
2017-04-19,01관,"10:00,  분노의 질주: 더 익스트림(디지털),  5,000원","13:00,  분노의 질주: 더 익스트림(디지털),  5,000원","18:30,  분노의 질주: 더 익스트림(디지털),  5,000원","21:00,  분노의 질주: 더 익스트림(디지털),  5,000원",,,52
2017-04-19,02관,"10:20,  어느날(디지털),  5,000원","16:30,  어느날(디지털),  5,000원","21:20,  라이프(디지털)",,,,47
2017-04-20,01관,"10:00,  파워레인져스: 더 비기닝(디지털)","12:30,  파워레인져스: 더 비기닝(디지털),  5,000원","17:10,  파워레인져스: 더 비기닝(디지털),  5,000원","19:30,  파워레인져스: 더 비기닝(디지털),  5,000원",,,52
2017-04-20,02관,"09:40,  어느날(디지털),  5,000원","16:40,  분노의 질주: 더 익스트림(디지털),  5,000원","21:20,  분노의 질주: 더 익스트림(디지털),  5,000원",,,,47
2017-04-21,01관,"10:00,  파워레인져스: 더 비기닝(디지털)","12:30,  파워레인져스: 더 비기닝(디지털),  5,000원","17:10,  파워레인져스: 더 비기닝(디지털),  5,000원","19:30,  파워레인져스: 더 비기닝(디지털),  5,000원",,,52
2017-04-21,02관,"09:40,  어느날(디지털)","16:40,  분노의 질주: 더 익스트림(디지털),  5,000원","21:20,  분노의 질주: 더 익스트림(디지털),  5,000원",,,,47
2017-04-22,01관,"10:00,  슈퍼 버드(디지털더빙),  5,000원","14:10,  파워레인져스: 더 비기닝(디지털),  5,000원","16:40,  파워레인져스: 더 비기닝(디지털),  5,000원","19:10,  파워레인져스: 더 비기닝(디지털),  5,000원","21:30,  파워레인져스: 더 비기닝(디지털),  5,000원",,52
2017-04-22,02관,"10:00,  라이프(디지털),  5,000원","14:30,  분노의 질주: 더 익스트림(디지털),  5,000원","17:00,  분노의 질주: 더 익스트림(디지털),  5,000원","19:30,  분노의 질주: 더 익스트림(디지털),  5,000원",,,47
2017-04-23,01관,"10:00,  슈퍼 버드(디지털더빙),  5,000원","14:10,  파워레인져스: 더 비기닝(디지털),  5,000원","16:40,  파워레인져스: 더 비기닝(디지털),  5,000원","19:10,  파워레인져스: 더 비기닝(디지털),  5,000원","21:30,  파워레인져스: 더 비기닝(디지털),  5,000원",,52
2017-04-23,02관,"10:00,  라이프(디지털),  5,000원","14:30,  분노의 질주: 더 익스트림(디지털),  5,000원","17:00,  분노의 질주: 더 익스트림(디지털),  5,000원","19:30,  분노의 질주: 더 익스트림(디지털),  5,000원",,,47
2017-04-24,01관,"10:00,  슈퍼 버드(디지털더빙),  5,000원","14:10,  파워레인져스: 더 비기닝(디지털)","16:40,  파워레인져스: 더 비기닝(디지털)","19:10,  파워레인져스: 더 비기닝(디지털),  5,000원","21:30,  파워레인져스: 더 비기닝(디지털)",,52
