상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,12회,좌석수
2018-08-02,01관,"10:15,  신과함께-인과 연(디지털),  6,000원","13:10,  신과함께-인과 연(디지털),  6,000원","15:45,  신과함께-인과 연(디지털),  6,000원","18:20,  신과함께-인과 연(디지털),  6,000원",,,,,,,,,61
2018-08-02,02관,"10:15,  신과함께-인과 연(디지털),  6,000원","12:50,  극장판 헬로카봇 : 백악기 시대(디지털),  6,000원","14:25,  인랑(디지털),  6,000원","17:00,  극장판 헬로카봇 : 백악기 시대(디지털),  6,000원","18:40,  인랑(디지털),  6,000원",,,,,,,,34
2018-08-03,01관,"09:50,  극장판 헬로카봇 : 백악기 시대(디지털),  6,000원","11:35,  신과함께-인과 연(디지털),  6,000원","14:15,  극장판 헬로카봇 : 백악기 시대(디지털),  6,000원","16:00,  인랑(디지털),  6,000원","18:40,  신과함께-인과 연(디지털),  6,000원","21:20,  인랑(디지털),  6,000원",,,,,,,61
2018-08-03,02관,"10:00,  신과함께-인과 연(디지털),  6,000원","12:40,  인랑(디지털),  6,000원","15:20,  신과함께-인과 연(디지털),  6,000원","18:00,  인랑(디지털),  6,000원","20:40,  신과함께-인과 연(디지털),  6,000원",,,,,,,,34
2018-08-04,01관,"09:50,  극장판 헬로카봇 : 백악기 시대(디지털),  6,000원","11:35,  신과함께-인과 연(디지털),  6,000원","14:15,  극장판 헬로카봇 : 백악기 시대(디지털),  6,000원","16:00,  인랑(디지털),  6,000원","18:40,  신과함께-인과 연(디지털),  6,000원","21:20,  인랑(디지털),  6,000원",,,,,,,61
2018-08-04,02관,"10:00,  신과함께-인과 연(디지털),  6,000원","12:40,  인랑(디지털),  6,000원","15:20,  신과함께-인과 연(디지털),  6,000원","18:00,  인랑(디지털),  6,000원","20:40,  신과함께-인과 연(디지털),  6,000원",,,,,,,,34
2018-08-05,01관,"09:50,  신과함께-인과 연(디지털),  6,000원","12:30,  인랑(디지털),  6,000원","15:10,  신과함께-인과 연(디지털),  6,000원","17:50,  인랑(디지털),  6,000원","20:30,  신과함께-인과 연(디지털),  6,000원",,,,,,,,61
2018-08-05,02관,"10:00,  극장판 헬로카봇 : 백악기 시대(디지털),  6,000원","11:45,  신과함께-인과 연(디지털),  6,000원","14:25,  극장판 헬로카봇 : 백악기 시대(디지털),  6,000원","16:10,  신과함께-인과 연(디지털),  6,000원","18:50,  인랑(디지털),  6,000원",,,,,,,,34
2018-08-06,01관,"09:50,  신과함께-인과 연(디지털),  6,000원","12:30,  인랑(디지털),  6,000원","15:10,  신과함께-인과 연(디지털),  6,000원","17:50,  인랑(디지털),  6,000원","20:30,  신과함께-인과 연(디지털),  6,000원",,,,,,,,61
2018-08-06,02관,"10:00,  극장판 헬로카봇 : 백악기 시대(디지털),  6,000원","11:45,  신과함께-인과 연(디지털),  6,000원","14:25,  극장판 헬로카봇 : 백악기 시대(디지털),  6,000원","16:10,  신과함께-인과 연(디지털),  6,000원","18:50,  인랑(디지털)",,,,,,,,34
2018-08-07,01관,"09:50,  신과함께-인과 연(디지털),  6,000원","12:30,  인랑(디지털),  6,000원","15:10,  신과함께-인과 연(디지털),  6,000원","17:50,  인랑(디지털),  5,000원","20:30,  신과함께-인과 연(디지털),  6,000원",,,,,,,,61
2018-08-07,02관,"10:00,  극장판 헬로카봇 : 백악기 시대(디지털),  6,000원","11:45,  신과함께-인과 연(디지털),  6,000원","14:25,  극장판 헬로카봇 : 백악기 시대(디지털),  6,000원","16:10,  신과함께-인과 연(디지털),  6,000원","18:50,  인랑(디지털),  6,000원",,,,,,,,34
2018-08-08,01관,"09:40,  신과함께-인과 연(디지털),  6,000원","12:20,  극장판 헬로카봇 : 백악기 시대(디지털),  6,000원","14:00,  신과함께-인과 연(디지털),  6,000원","16:40,  공작(디지털),  6,000원","19:15,  몬스터 호텔 3(디지털더빙),  6,000원","21:10,  공작(디지털),  6,000원",,,,,,,61
2018-08-08,02관,"09:50,  맘마미아!2(디지털),  6,000원","12:00,  신과함께-인과 연(디지털),  6,000원","14:40,  맘마미아!2(디지털),  6,000원","16:50,  몬스터 호텔 3(디지털더빙),  6,000원","18:45,  공작(디지털),  6,000원","21:20,  신과함께-인과 연(디지털),  6,000원",,,,,,,34
2018-08-09,01관,"09:40,  신과함께-인과 연(디지털),  6,000원","12:20,  맘마미아!2(디지털),  6,000원","14:30,  극장판 헬로카봇 : 백악기 시대(디지털),  6,000원","16:10,  공작(디지털),  6,000원","18:45,  맘마미아!2(디지털),  6,000원","20:55,  공작(디지털),  6,000원",,,,,,,61
2018-08-09,02관,"09:50,  몬스터 호텔 3(디지털더빙),  6,000원","11:45,  공작(디지털),  6,000원","14:20,  신과함께-인과 연(디지털),  6,000원","17:00,  몬스터 호텔 3(디지털더빙),  6,000원","18:55,  공작(디지털),  6,000원","21:30,  신과함께-인과 연(디지털),  6,000원",,,,,,,34
2018-08-10,01관,"09:40,  인랑(디지털),  6,000원","12:15,  극장판 헬로카봇 : 백악기 시대(디지털),  6,000원","13:55,  공작(디지털),  6,000원","16:30,  신과함께-인과 연(디지털),  6,000원","19:10,  맘마미아!2(디지털),  6,000원","21:20,  신과함께-인과 연(디지털),  6,000원",,,,,,,61
2018-08-10,02관,"09:50,  신과함께-인과 연(디지털),  6,000원","12:30,  몬스터 호텔 3(디지털더빙),  6,000원","14:25,  공작(디지털),  6,000원","17:00,  몬스터 호텔 3(디지털더빙),  6,000원","18:55,  맘마미아!2(디지털),  6,000원","21:05,  공작(디지털),  6,000원",,,,,,,34
2018-08-11,01관,"09:40,  공작(디지털),  6,000원","12:15,  극장판 헬로카봇 : 백악기 시대(디지털),  6,000원","13:55,  공작(디지털),  6,000원","16:30,  신과함께-인과 연(디지털),  6,000원","19:10,  맘마미아!2(디지털),  6,000원","21:20,  신과함께-인과 연(디지털),  6,000원",,,,,,,61
2018-08-11,02관,"09:50,  신과함께-인과 연(디지털),  6,000원","12:30,  몬스터 호텔 3(디지털더빙),  6,000원","14:25,  공작(디지털),  6,000원","17:00,  몬스터 호텔 3(디지털더빙),  6,000원","18:55,  맘마미아!2(디지털),  6,000원","21:05,  공작(디지털),  6,000원",,,,,,,34
2018-08-12,01관,"09:40,  신과함께-인과 연(디지털),  6,000원","12:20,  맘마미아!2(디지털),  6,000원","14:30,  극장판 헬로카봇 : 백악기 시대(디지털),  6,000원","16:10,  공작(디지털),  6,000원","18:45,  맘마미아!2(디지털),  6,000원","20:55,  공작(디지털),  6,000원",,,,,,,61
