상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,좌석수
2017-09-26,01관,"14:30,  아이 캔 스피크(디지털),  5,000원","18:30,  아이 캔 스피크(디지털),  5,000원",,,,,,,,,49
2017-09-26,02관,"14:30,  아이 캔 스피크(디지털),  5,000원","19:00,  아이 캔 스피크(디지털),  5,000원",,,,,,,,,49
2017-09-27,01관,"10:00,  베이비 드라이버(디지털),  5,000원","12:15,  부니베어: 나무 도둑의 습격(디지털더빙)","13:35,  아이 캔 스피크(디지털)","15:55,  아메리칸 메이드(디지털)","18:10,  아이 캔 스피크(디지털),  5,000원","20:30,  킹스맨: 골든 서클(디지털),  5,000원",,,,,49
2017-09-27,02관,"10:20,  부니베어: 나무 도둑의 습격(디지털더빙),  5,000원","11:40,  아이 캔 스피크(디지털),  5,000원","14:00,  베이비 드라이버(디지털),  5,000원","16:15,  아메리칸 메이드(디지털)","18:30,  킹스맨: 골든 서클(디지털),  5,000원","21:10,  아이 캔 스피크(디지털),  5,000원",,,,,49
2017-09-28,01관,"10:00,  베이비 드라이버(디지털)","12:15,  부니베어: 나무 도둑의 습격(디지털더빙)","13:35,  아이 캔 스피크(디지털),  5,000원","15:55,  아메리칸 메이드(디지털)","18:10,  아이 캔 스피크(디지털),  5,000원","20:30,  킹스맨: 골든 서클(디지털),  5,000원",,,,,49
2017-09-28,02관,"10:20,  부니베어: 나무 도둑의 습격(디지털더빙)","11:40,  아이 캔 스피크(디지털),  5,000원","14:00,  베이비 드라이버(디지털),  5,000원","16:15,  아메리칸 메이드(디지털)","18:30,  킹스맨: 골든 서클(디지털),  5,000원","21:10,  아이 캔 스피크(디지털),  5,000원",,,,,49
2017-09-29,01관,"10:00,  베이비 드라이버(디지털)","12:15,  부니베어: 나무 도둑의 습격(디지털더빙)","13:35,  아이 캔 스피크(디지털),  5,000원","15:55,  아메리칸 메이드(디지털),  5,000원","18:10,  아이 캔 스피크(디지털),  5,000원","20:30,  킹스맨: 골든 서클(디지털),  5,000원",,,,,49
2017-09-29,02관,"10:20,  부니베어: 나무 도둑의 습격(디지털더빙)","11:40,  아이 캔 스피크(디지털),  5,000원","14:00,  베이비 드라이버(디지털)","16:15,  아이 캔 스피크(디지털),  5,000원","18:35,  킹스맨: 골든 서클(디지털),  5,000원","21:15,  아메리칸 메이드(디지털),  5,000원",,,,,49
2017-09-30,01관,"10:00,  베이비 드라이버(디지털),  5,000원","12:15,  부니베어: 나무 도둑의 습격(디지털더빙),  5,000원","13:35,  아이 캔 스피크(디지털),  5,000원","15:55,  아메리칸 메이드(디지털),  5,000원","18:10,  아이 캔 스피크(디지털),  5,000원","20:30,  킹스맨: 골든 서클(디지털),  5,000원",,,,,49
2017-09-30,02관,"10:20,  부니베어: 나무 도둑의 습격(디지털더빙),  5,000원","11:40,  아이 캔 스피크(디지털),  5,000원","14:00,  베이비 드라이버(디지털)","16:15,  아이 캔 스피크(디지털),  5,000원","18:35,  킹스맨: 골든 서클(디지털),  5,000원","21:15,  아메리칸 메이드(디지털),  5,000원",,,,,49
2017-10-01,01관,"10:00,  베이비 드라이버(디지털),  5,000원","12:15,  부니베어: 나무 도둑의 습격(디지털더빙),  5,000원","13:35,  아이 캔 스피크(디지털),  5,000원","15:55,  아메리칸 메이드(디지털),  5,000원","18:10,  아이 캔 스피크(디지털),  5,000원","20:30,  킹스맨: 골든 서클(디지털),  5,000원",,,,,49
2017-10-01,02관,"10:20,  부니베어: 나무 도둑의 습격(디지털더빙),  5,000원","11:40,  아이 캔 스피크(디지털),  5,000원","14:00,  베이비 드라이버(디지털),  5,000원","16:15,  아이 캔 스피크(디지털),  5,000원","18:35,  킹스맨: 골든 서클(디지털),  5,000원","21:15,  아메리칸 메이드(디지털),  5,000원",,,,,49
2017-10-02,01관,"10:00,  베이비 드라이버(디지털)","12:15,  부니베어: 나무 도둑의 습격(디지털더빙),  5,000원","13:35,  아이 캔 스피크(디지털),  5,000원","15:55,  아메리칸 메이드(디지털),  5,000원","18:10,  아이 캔 스피크(디지털),  5,000원","20:30,  킹스맨: 골든 서클(디지털),  5,000원",,,,,49
2017-10-02,02관,"10:20,  부니베어: 나무 도둑의 습격(디지털더빙),  5,000원","11:40,  아이 캔 스피크(디지털),  5,000원","14:00,  베이비 드라이버(디지털),  5,000원","16:15,  아이 캔 스피크(디지털),  5,000원","18:35,  킹스맨: 골든 서클(디지털),  5,000원","21:15,  아메리칸 메이드(디지털),  5,000원",,,,,49
2017-10-03,01관,"10:00,  부니베어: 나무 도둑의 습격(디지털더빙)","11:20,  아이 캔 스피크(디지털),  5,000원","13:40,  딥(디지털더빙),  5,000원","15:25,  남한산성(디지털),  5,000원","18:05,  범죄도시(디지털),  5,000원","20:25,  킹스맨: 골든 서클(디지털),  5,000원",,,,,49
2017-10-03,02관,"10:20,  딥(디지털더빙),  5,000원","12:05,  아메리칸 메이드(디지털)","14:20,  남한산성(디지털),  5,000원","17:00,  베이비 드라이버(디지털),  5,000원","19:10,  범죄도시(디지털),  5,000원","21:30,  킹스맨: 골든 서클(디지털),  5,000원",,,,,49
2017-10-04,01관,,"11:20,  아이 캔 스피크(디지털),  5,000원","13:40,  딥(디지털더빙),  5,000원","15:25,  남한산성(디지털),  5,000원","18:05,  범죄도시(디지털),  5,000원","20:25,  킹스맨: 골든 서클(디지털),  5,000원",,,,,49
2017-10-04,02관,,"12:05,  아메리칸 메이드(디지털)","14:20,  남한산성(디지털),  5,000원","17:00,  베이비 드라이버(디지털),  5,000원","19:10,  범죄도시(디지털),  5,000원","21:30,  킹스맨: 골든 서클(디지털),  5,000원",,,,,49
2017-10-05,01관,"10:00,  부니베어: 나무 도둑의 습격(디지털더빙),  5,000원","11:20,  아이 캔 스피크(디지털),  5,000원","13:40,  딥(디지털더빙),  5,000원","15:25,  남한산성(디지털),  5,000원","18:05,  범죄도시(디지털),  5,000원","20:25,  킹스맨: 골든 서클(디지털),  5,000원",,,,,49
2017-10-05,02관,"10:20,  딥(디지털더빙),  5,000원","12:05,  아메리칸 메이드(디지털)","14:20,  남한산성(디지털),  5,000원","17:00,  베이비 드라이버(디지털),  5,000원","19:10,  범죄도시(디지털),  5,000원","21:30,  킹스맨: 골든 서클(디지털),  5,000원",,,,,49
2017-10-06,01관,"10:00,  부니베어: 나무 도둑의 습격(디지털더빙),  5,000원","11:20,  아이 캔 스피크(디지털),  5,000원","13:40,  딥(디지털더빙),  5,000원","15:25,  남한산성(디지털),  5,000원","18:05,  범죄도시(디지털),  5,000원","20:25,  킹스맨: 골든 서클(디지털),  5,000원",,,,,49
2017-10-06,02관,"10:20,  딥(디지털더빙),  5,000원","12:05,  아메리칸 메이드(디지털),  5,000원","14:20,  남한산성(디지털),  5,000원","17:00,  베이비 드라이버(디지털),  5,000원","19:10,  범죄도시(디지털),  5,000원","21:30,  킹스맨: 골든 서클(디지털),  5,000원",,,,,49
2017-10-07,01관,"10:00,  부니베어: 나무 도둑의 습격(디지털더빙),  5,000원","11:20,  아이 캔 스피크(디지털),  5,000원","13:40,  딥(디지털더빙),  5,000원","15:25,  남한산성(디지털),  5,000원","18:05,  범죄도시(디지털),  5,000원","20:25,  킹스맨: 골든 서클(디지털),  5,000원",,,,,49
2017-10-07,02관,"10:20,  딥(디지털더빙),  5,000원","12:05,  아메리칸 메이드(디지털)","14:20,  남한산성(디지털),  5,000원","17:00,  베이비 드라이버(디지털),  5,000원","19:10,  범죄도시(디지털),  5,000원","21:30,  킹스맨: 골든 서클(디지털),  5,000원",,,,,49
2017-10-08,01관,"08:40,  킹스맨: 골든 서클(디지털)","11:20,  아이 캔 스피크(디지털),  5,000원","13:40,  딥(디지털더빙),  5,000원","15:25,  남한산성(디지털),  5,000원","18:05,  범죄도시(디지털),  5,000원","20:25,  남한산성(디지털),  5,000원",,,,,49
2017-10-08,02관,"10:20,  딥(디지털더빙),  5,000원","12:05,  아메리칸 메이드(디지털),  5,000원","14:20,  남한산성(디지털),  5,000원","17:00,  베이비 드라이버(디지털),  5,000원","19:10,  범죄도시(디지털),  5,000원","21:30,  킹스맨: 골든 서클(디지털),  5,000원",,,,,49
2017-10-09,01관,"08:40,  킹스맨: 골든 서클(디지털),  5,000원","11:20,  아이 캔 스피크(디지털),  5,000원","13:40,  딥(디지털더빙),  5,000원","15:25,  남한산성(디지털),  5,000원","18:05,  범죄도시(디지털),  5,000원","20:25,  남한산성(디지털),  5,000원",,,,,49
2017-10-09,02관,"10:20,  딥(디지털더빙),  5,000원","12:05,  아메리칸 메이드(디지털),  5,000원","14:20,  남한산성(디지털),  5,000원","17:00,  베이비 드라이버(디지털),  5,000원","19:10,  범죄도시(디지털),  5,000원","21:30,  킹스맨: 골든 서클(디지털),  5,000원",,,,,49
