상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,좌석수
2018-09-13,01관,,,"14:00,  물괴(디지털),  6,000원","16:05,  바니부기: 드래곤 에그를 찾아서(디지털더빙),  6,000원","17:40,  더 프레데터(디지털),  6,000원","19:50,  물괴(디지털),  6,000원","21:55,  더 프레데터(디지털),  6,000원",,87
2018-09-14,01관,"10:00,  바니부기: 드래곤 에그를 찾아서(디지털더빙)","11:30,  물괴(디지털),  6,000원","13:45,  더 프레데터(디지털),  6,000원","15:55,  바니부기: 드래곤 에그를 찾아서(디지털더빙),  6,000원","17:30,  물괴(디지털),  6,000원","19:35,  더 프레데터(디지털),  6,000원","21:45,  물괴(디지털),  6,000원",,87
2018-09-15,01관,"10:00,  바니부기: 드래곤 에그를 찾아서(디지털더빙),  6,000원","11:30,  물괴(디지털),  6,000원","13:45,  더 프레데터(디지털),  6,000원","15:55,  바니부기: 드래곤 에그를 찾아서(디지털더빙),  6,000원","17:30,  물괴(디지털),  6,000원","19:35,  더 프레데터(디지털),  6,000원","21:45,  물괴(디지털),  6,000원",,87
2018-09-16,01관,"10:00,  바니부기: 드래곤 에그를 찾아서(디지털더빙),  6,000원","11:30,  물괴(디지털),  6,000원","13:45,  더 프레데터(디지털),  6,000원","15:55,  바니부기: 드래곤 에그를 찾아서(디지털더빙),  6,000원","17:30,  물괴(디지털),  6,000원","19:35,  더 프레데터(디지털),  6,000원","21:45,  물괴(디지털),  6,000원",,87
2018-09-17,01관,,,,"15:00,  물괴(디지털),  6,000원","17:10,  더 프레데터(디지털),  6,000원","19:25,  물괴(디지털),  6,000원","21:35,  더 프레데터(디지털),  6,000원",,87
2018-09-18,01관,"09:50,  바니부기: 드래곤 에그를 찾아서(디지털더빙)","11:20,  더 프레데터(디지털)","13:30,  물괴(디지털),  6,000원","15:35,  더 프레데터(디지털)","17:45,  바니부기: 드래곤 에그를 찾아서(디지털더빙),  6,000원","19:20,  물괴(디지털),  6,000원","21:30,  물괴(디지털),  6,000원",,87
2018-09-19,01관,"09:50,  물괴(디지털),  6,000원","11:55,  명당(디지털),  6,000원","14:20,  안시성(디지털),  6,000원","16:55,  명당(디지털),  6,000원","19:20,  안시성(디지털),  6,000원","21:55,  명당(디지털),  6,000원",,,87
2018-09-20,01관,"09:50,  명당(디지털),  6,000원","12:15,  극장판 요괴워치 섀도사이드: 도깨비왕의 부활(디지털더빙)","14:20,  안시성(디지털),  6,000원","16:55,  명당(디지털),  6,000원","19:20,  안시성(디지털),  6,000원","21:55,  더 프레데터(디지털),  6,000원",,,87
2018-09-21,01관,"09:45,  물괴(디지털),  6,000원","11:50,  바니부기: 드래곤 에그를 찾아서(디지털더빙)","13:25,  명당(디지털),  6,000원","15:50,  안시성(디지털),  6,000원","18:25,  명당(디지털),  6,000원","20:50,  안시성(디지털),  6,000원",,,87
2018-09-22,01관,"10:00,  안시성(디지털),  6,000원","12:35,  극장판 요괴워치 섀도사이드: 도깨비왕의 부활(디지털더빙),  6,000원","14:40,  명당(디지털),  6,000원","17:05,  안시성(디지털),  6,000원","19:40,  명당(디지털),  6,000원","22:05,  더 프레데터(디지털),  6,000원",,,87
2018-09-23,01관,"09:50,  물괴(디지털),  6,000원","11:55,  바니부기: 드래곤 에그를 찾아서(디지털더빙),  6,000원","13:30,  명당(디지털),  6,000원","15:55,  안시성(디지털),  6,000원","18:30,  명당(디지털),  6,000원","20:55,  안시성(디지털),  6,000원",,,87
2018-09-24,01관,"09:50,  안시성(디지털),  6,000원","12:25,  극장판 요괴워치 섀도사이드: 도깨비왕의 부활(디지털더빙),  6,000원","14:30,  명당(디지털),  6,000원","16:55,  안시성(디지털),  6,000원","19:30,  명당(디지털),  6,000원","21:55,  더 프레데터(디지털),  6,000원",,,87
2018-09-25,01관,"09:45,  안시성(디지털),  6,000원","12:15,  극장판 요괴워치 섀도사이드: 도깨비왕의 부활(디지털더빙),  6,000원","14:20,  명당(디지털),  6,000원","16:45,  안시성(디지털),  6,000원","19:20,  명당(디지털),  6,000원","21:45,  안시성(디지털),  6,000원",,,87
