상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,좌석수
2015-01-01,01관,"10:30,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  6,000원","14:30,  기술자들(디지털),  8,000원","17:30,  기술자들(디지털),  8,000원","19:50,  기술자들(디지털),  8,000원",,,,,117
2015-01-01,02관,"10:15,  숲속으로(디지털),  6,000원","15:10,  국제시장(디지털),  8,000원","17:40,  국제시장(디지털),  8,000원","20:00,  국제시장(디지털),  8,000원",,,,,117
2015-01-01,03관,"07:00,  극장판 파이널 (디지털),  5,000원","14:20,  님아, 그 강을 건너지 마오(디지털),  8,000원","16:00,  님아, 그 강을 건너지 마오(디지털),  8,000원",,,,,,91
2015-01-02,01관,"10:30,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  6,000원","14:30,  기술자들(디지털),  8,000원","17:30,  기술자들(디지털),  8,000원","19:50,  기술자들(디지털),  8,000원",,,,,117
2015-01-02,02관,"10:15,  숲속으로(디지털),  6,000원","15:10,  국제시장(디지털),  8,000원","17:40,  국제시장(디지털),  8,000원","20:00,  국제시장(디지털),  8,000원",,,,,117
2015-01-02,03관,"07:00,  극장판 파이널 (디지털),  5,000원","14:20,  님아, 그 강을 건너지 마오(디지털),  8,000원","16:00,  님아, 그 강을 건너지 마오(디지털),  8,000원",,,,,,91
2015-01-03,01관,"10:25,  마다가스카의 펭귄(디지털),  6,000원","14:30,  기술자들(디지털),  8,000원","17:30,  기술자들(디지털),  8,000원","19:50,  기술자들(디지털),  8,000원",,,"22:10,  기술자들(디지털),  8,000원",,117
2015-01-03,02관,"10:15,  숲속으로(디지털),  6,000원","15:10,  국제시장(디지털),  8,000원","17:40,  국제시장(디지털),  8,000원","20:00,  국제시장(디지털),  8,000원",,,"22:20,  국제시장(디지털),  8,000원",,117
2015-01-03,03관,"07:00,  극장판 파이널 (디지털),  5,000원","14:20,  님아, 그 강을 건너지 마오(디지털),  8,000원","16:00,  님아, 그 강을 건너지 마오(디지털),  8,000원",,,,"22:25,  상의원(디지털),  8,000원",,91
2015-01-04,01관,"10:25,  마다가스카의 펭귄(디지털),  6,000원","14:30,  기술자들(디지털),  8,000원","17:30,  기술자들(디지털),  8,000원","19:50,  기술자들(디지털),  8,000원",,,,,117
2015-01-04,02관,"10:15,  숲속으로(디지털),  6,000원","15:10,  국제시장(디지털),  8,000원","17:40,  국제시장(디지털),  8,000원","20:00,  국제시장(디지털),  8,000원",,,,,117
2015-01-04,03관,"07:00,  극장판 파이널 (디지털),  5,000원","14:20,  님아, 그 강을 건너지 마오(디지털),  8,000원","16:00,  님아, 그 강을 건너지 마오(디지털),  8,000원",,,,,,91
2015-01-05,01관,"10:25,  마다가스카의 펭귄(디지털),  6,000원","14:30,  기술자들(디지털),  8,000원","17:30,  기술자들(디지털),  8,000원","19:50,  기술자들(디지털)",,,,,117
2015-01-05,02관,"10:15,  숲속으로(디지털)","15:10,  국제시장(디지털),  8,000원","17:40,  국제시장(디지털),  8,000원","20:00,  국제시장(디지털),  8,000원",,,,,117
2015-01-05,03관,"07:00,  극장판 파이널 (디지털),  5,000원","14:20,  님아, 그 강을 건너지 마오(디지털),  8,000원","16:00,  님아, 그 강을 건너지 마오(디지털),  8,000원",,,,,,91
2015-01-06,01관,"10:25,  마다가스카의 펭귄(디지털),  6,000원","14:30,  기술자들(디지털),  8,000원","17:30,  기술자들(디지털),  8,000원","19:50,  기술자들(디지털),  8,000원",,,,,117
2015-01-06,02관,"10:15,  숲속으로(디지털)","15:10,  국제시장(디지털),  8,000원","17:40,  국제시장(디지털),  8,000원","20:00,  국제시장(디지털),  8,000원",,,,,117
2015-01-06,03관,"07:00,  극장판 파이널 (디지털),  5,000원","14:20,  님아, 그 강을 건너지 마오(디지털),  8,000원","16:00,  님아, 그 강을 건너지 마오(디지털),  8,000원",,,,,,91
2015-01-07,01관,"10:25,  마다가스카의 펭귄(디지털),  6,000원","14:30,  기술자들(디지털),  7,000원","17:30,  기술자들(디지털),  8,000원","19:50,  기술자들(디지털),  8,000원",,,,,117
2015-01-07,02관,"10:15,  숲속으로(디지털)","15:10,  국제시장(디지털),  8,000원","17:40,  국제시장(디지털),  8,000원","20:00,  국제시장(디지털),  8,000원",,,,,117
2015-01-07,03관,"07:00,  극장판 파이널 (디지털),  5,000원","14:20,  님아, 그 강을 건너지 마오(디지털),  8,000원","16:00,  님아, 그 강을 건너지 마오(디지털),  8,000원",,,,,,91
2015-01-08,01관,"10:25,  마다가스카의 펭귄(디지털),  6,000원","14:20,  기술자들(디지털),  8,000원","18:10,  기술자들(디지털),  8,000원","20:20,  기술자들(디지털),  8,000원",,,,,117
2015-01-08,02관,"10:15,  국제시장(디지털),  6,000원","12:40,  국제시장(디지털),  8,000원","15:10,  국제시장(디지털),  8,000원","17:40,  국제시장(디지털),  8,000원","20:00,  국제시장(디지털),  8,000원",,,,117
2015-01-08,03관,"10:20,  님아, 그 강을 건너지 마오(디지털)","14:10,  님아, 그 강을 건너지 마오(디지털),  8,000원","20:10,  워킹걸(디지털),  8,000원",,,,,,91
2015-01-09,01관,"10:25,  마다가스카의 펭귄(디지털),  6,000원","14:20,  기술자들(디지털),  8,000원","18:10,  기술자들(디지털),  8,000원","20:20,  기술자들(디지털),  8,000원",,,,,117
2015-01-09,02관,"10:15,  국제시장(디지털),  6,000원","12:40,  국제시장(디지털),  8,000원","15:10,  국제시장(디지털),  8,000원","17:40,  국제시장(디지털),  8,000원","20:00,  국제시장(디지털),  8,000원",,,,117
2015-01-09,03관,"10:20,  님아, 그 강을 건너지 마오(디지털)","14:10,  님아, 그 강을 건너지 마오(디지털),  8,000원","20:10,  워킹걸(디지털),  8,000원",,,,,,91
2015-01-10,01관,"10:25,  마다가스카의 펭귄(디지털),  6,000원","14:20,  기술자들(디지털),  8,000원","18:10,  기술자들(디지털),  8,000원","20:20,  기술자들(디지털),  8,000원",,,"22:30,  기술자들(디지털),  8,000원",,117
2015-01-10,02관,"10:15,  국제시장(디지털),  6,000원","12:40,  국제시장(디지털),  8,000원","15:10,  국제시장(디지털),  8,000원","17:40,  국제시장(디지털),  8,000원","20:00,  국제시장(디지털),  8,000원",,"22:25,  국제시장(디지털),  8,000원",,117
2015-01-10,03관,"10:20,  님아, 그 강을 건너지 마오(디지털),  6,000원","14:10,  님아, 그 강을 건너지 마오(디지털),  8,000원","20:10,  워킹걸(디지털),  8,000원",,,,"22:25,  워킹걸(디지털)",,91
2015-01-11,01관,"10:25,  마다가스카의 펭귄(디지털),  6,000원","14:20,  기술자들(디지털),  8,000원","18:10,  기술자들(디지털),  8,000원","20:20,  기술자들(디지털),  7,000원",,,,,117
2015-01-11,02관,"10:15,  국제시장(디지털),  6,000원","12:40,  국제시장(디지털),  8,000원","15:10,  국제시장(디지털),  8,000원","17:40,  국제시장(디지털),  8,000원","20:00,  국제시장(디지털),  8,000원",,,,117
2015-01-11,03관,"10:20,  님아, 그 강을 건너지 마오(디지털),  6,000원","14:10,  님아, 그 강을 건너지 마오(디지털),  8,000원","20:10,  워킹걸(디지털),  8,000원",,,,,,91
2015-01-12,01관,"10:25,  마다가스카의 펭귄(디지털),  6,000원","14:20,  기술자들(디지털),  8,000원","18:10,  기술자들(디지털),  8,000원","20:20,  기술자들(디지털),  8,000원",,,,,117
2015-01-12,02관,"10:15,  국제시장(디지털),  6,000원","12:40,  국제시장(디지털),  8,000원","15:10,  국제시장(디지털),  8,000원","17:40,  국제시장(디지털),  8,000원","20:00,  국제시장(디지털),  8,000원",,,,117
2015-01-12,03관,"10:20,  님아, 그 강을 건너지 마오(디지털),  6,000원","14:10,  님아, 그 강을 건너지 마오(디지털),  8,000원","20:10,  워킹걸(디지털),  8,000원",,,,,,91
2015-01-13,01관,"10:25,  마다가스카의 펭귄(디지털),  6,000원","14:20,  기술자들(디지털),  8,000원","18:10,  기술자들(디지털)","20:20,  기술자들(디지털)",,,,,117
2015-01-13,02관,"10:15,  국제시장(디지털),  6,000원","12:40,  국제시장(디지털),  8,000원","15:10,  국제시장(디지털),  8,000원","17:40,  국제시장(디지털),  8,000원","20:00,  국제시장(디지털),  8,000원",,,,117
2015-01-13,03관,"10:20,  님아, 그 강을 건너지 마오(디지털),  6,000원","14:10,  님아, 그 강을 건너지 마오(디지털),  8,000원","20:10,  워킹걸(디지털),  8,000원",,,,,,91
2015-01-14,01관,"10:20,  마다가스카의 펭귄(디지털),  6,000원","14:15,  허삼관(디지털),  8,000원","18:10,  허삼관(디지털)","20:20,  허삼관(디지털),  8,000원",,,,,117
2015-01-14,02관,"10:15,  국제시장(디지털),  6,000원","12:40,  국제시장(디지털),  8,000원","15:10,  국제시장(디지털),  8,000원","17:40,  국제시장(디지털),  8,000원","20:00,  국제시장(디지털),  8,000원",,,,117
