상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,좌석수
2015-01-01,01관,"11:00,  카트(디지털),  6,000원","13:00,  민우씨 오는 날(디지털),  5,000원","13:40,  다이빙벨(디지털),  7,000원","15:20,  목숨(디지털),  7,000원","17:10,  쿼바디스(디지털),  7,000원","19:10,  파티51(디지털),  7,000원",,,210
2015-01-02,01관,"11:00,  카트(디지털),  6,000원","13:00,  민우씨 오는 날(디지털),  5,000원","13:40,  다이빙벨(디지털),  8,000원","15:10,  쿼바디스(디지털),  8,000원","17:10,  파티51(디지털),  8,000원","19:00,  민우씨 오는 날(디지털),  5,000원","19:40,  목숨(디지털),  8,000원",,210
2015-01-03,01관,"10:20,  카트(디지털),  6,000원","12:20,  쿼바디스(디지털),  8,000원","14:20,  민우씨 오는 날(디지털),  5,000원","15:00,  목숨(디지털),  8,000원","16:50,  파티51(디지털),  8,000원","18:40,  다이빙벨(디지털),  8,000원","20:10,  쿼바디스(디지털),  8,000원",,210
2015-01-04,01관,"10:20,  목숨(디지털),  6,000원","12:10,  쿼바디스(디지털),  8,000원","14:00,  민우씨 오는 날(디지털),  5,000원","14:40,  파티51(디지털),  8,000원","16:30,  카트(디지털),  8,000원","18:30,  다이빙벨(디지털),  8,000원","20:00,  쿼바디스(디지털),  8,000원",,210
2015-01-05,01관,"10:30,  쿼바디스(디지털),  6,000원","12:30,  다이빙벨(디지털),  8,000원","14:00,  목숨(디지털),  8,000원","15:50,  카트(디지털),  8,000원","17:40,  파티51(디지털),  8,000원","19:30,  민우씨 오는 날(디지털),  5,000원","20:10,  쿼바디스(디지털),  8,000원",,210
2015-01-06,01관,"10:30,  쿼바디스(디지털),  6,000원","12:30,  다이빙벨(디지털),  8,000원","14:00,  목숨(디지털),  8,000원","15:40,  카트(디지털),  8,000원","17:30,  파티51(디지털),  8,000원","19:20,  민우씨 오는 날(디지털),  5,000원","20:00,  다이빙벨(디지털),  6,000원",,210
2015-01-07,01관,"10:30,  쿼바디스(디지털),  6,000원","12:20,  민우씨 오는 날(디지털),  5,000원","13:00,  다이빙벨(디지털),  8,000원","14:30,  파티51(디지털),  8,000원","16:20,  목숨(디지털),  8,000원","18:10,  춘하추동 로맨스(디지털),  8,000원","20:00,  카트(디지털),  8,000원",,210
2015-01-08,01관,"10:30,  다이빙벨(디지털),  6,000원","12:00,  쿼바디스(디지털),  8,000원","14:00,  카트(디지털),  8,000원","16:00,  안녕, 투이(디지털),  8,000원","18:10,  목숨(디지털),  8,000원","20:00,  못(디지털),  8,000원",,,210
2015-01-09,01관,"10:30,  다이빙벨(디지털),  6,000원","12:00,  쿼바디스(디지털),  8,000원","14:00,  파티51(디지털),  8,000원","16:00,  춘하추동 로맨스(디지털),  8,000원","18:00,  못(디지털)","20:00,  목숨(디지털),  8,000원",,,210
2015-01-10,01관,"10:30,  카트(디지털),  6,000원","12:30,  다이빙벨(디지털),  8,000원","14:00,  못(디지털),  8,000원","16:10,  목숨(디지털),  8,000원","18:00,  안녕, 투이(디지털),  8,000원","20:00,  쿼바디스(디지털),  8,000원",,,210
2015-01-11,01관,"10:30,  쿼바디스(디지털),  6,000원","12:30,  다이빙벨(디지털),  8,000원","14:00,  안녕, 투이(디지털),  8,000원","16:10,  목숨(디지털),  8,000원","18:00,  춘하추동 로맨스(디지털),  8,000원","20:00,  파티51(디지털),  8,000원",,,210
2015-01-12,01관,"10:40,  쿼바디스(디지털),  6,000원","12:40,  다이빙벨(디지털),  8,000원","14:10,  파티51(디지털),  8,000원","16:10,  목숨(디지털),  8,000원","18:00,  카트(디지털),  8,000원","20:00,  쿼바디스(디지털),  8,000원",,,210
2015-01-13,01관,"10:00,  쿼바디스(디지털),  6,000원","12:00,  다이빙벨(디지털),  8,000원","13:30,  목숨(디지털),  8,000원","15:20,  쿼바디스(디지털),  8,000원","17:20,  다이빙벨(디지털),  8,000원",,,,210
2015-01-14,01관,"10:40,  쿼바디스(디지털),  6,000원","12:40,  다이빙벨(디지털),  8,000원","14:10,  파티51(디지털),  8,000원","16:10,  목숨(디지털),  8,000원","18:00,  쿼바디스(디지털),  8,000원","20:00,  카트(디지털),  8,000원",,,210
