상영일자,상영관,1회,2회,3회,4회,좌석수
2017-02-17,01관,"23:00,  킹콩(필름)",,,,262
2017-02-20,01관,"23:00,  킹콩(필름)",,,,262
2017-02-22,01관,"14:00,  그림자들의 섬(디지털)","16:00,  다른 길이 있다(디지털)","18:40,  우리 손자 베스트(디지털)","21:10,  장기왕 : 가락시장 레볼루션(디지털)",262
2017-02-23,01관,"14:00,  다른 길이 있다(디지털)","16:00,  그림자들의 섬(디지털)","18:40,  장기왕 : 가락시장 레볼루션(디지털)","20:40,  우리 손자 베스트(디지털)",262
2017-02-24,01관,"14:00,  우리 손자 베스트(디지털)","16:30,  장기왕 : 가락시장 레볼루션(디지털)","19:00,  그림자들의 섬(디지털),  5,000원","21:00,  다른 길이 있다(디지털)",262
2017-02-25,01관,"14:00,  장기왕 : 가락시장 레볼루션(디지털),  5,000원","16:00,  우리 손자 베스트(디지털)","19:00,  다른 길이 있다(디지털),  5,000원","21:00,  그림자들의 섬(디지털)",262
2017-02-26,01관,"14:00,  그림자들의 섬(디지털),  5,000원","16:00,  다른 길이 있다(디지털),  5,000원","18:40,  우리 손자 베스트(디지털)","21:10,  장기왕 : 가락시장 레볼루션(디지털),  5,000원",262
2017-02-28,01관,"14:00,  다른 길이 있다(디지털)","16:00,  그림자들의 섬(디지털),  5,000원","18:40,  장기왕 : 가락시장 레볼루션(디지털)","20:40,  우리 손자 베스트(디지털)",262
2017-03-01,01관,"14:00,  우리 손자 베스트(디지털),  5,000원","16:30,  장기왕 : 가락시장 레볼루션(디지털),  5,000원","19:00,  그림자들의 섬(디지털)","21:00,  다른 길이 있다(디지털)",262
2017-03-02,01관,"14:00,  장기왕 : 가락시장 레볼루션(디지털),  5,000원","16:00,  우리 손자 베스트(디지털)","19:00,  다른 길이 있다(디지털),  5,000원","21:00,  그림자들의 섬(디지털)",262
2017-03-03,01관,"14:00,  우리 손자 베스트(디지털),  5,000원","16:30,  장기왕 : 가락시장 레볼루션(디지털)","19:00,  그림자들의 섬(디지털)","21:00,  다른 길이 있다(디지털),  5,000원",262
2017-03-04,01관,"14:00,  그림자들의 섬(디지털)","16:00,  다른 길이 있다(디지털)","18:40,  우리 손자 베스트(디지털),  4,000원","21:10,  장기왕 : 가락시장 레볼루션(디지털),  5,000원",262
2017-03-05,01관,"14:00,  다른 길이 있다(디지털)","16:00,  그림자들의 섬(디지털),  5,000원","18:40,  장기왕 : 가락시장 레볼루션(디지털),  5,000원","20:40,  우리 손자 베스트(디지털)",262
2017-03-07,01관,"14:00,  우리 손자 베스트(디지털),  5,000원","16:30,  장기왕 : 가락시장 레볼루션(디지털),  5,000원","19:00,  그림자들의 섬(디지털)","21:00,  다른 길이 있다(디지털),  5,000원",262
2017-03-08,01관,"14:00,  장기왕 : 가락시장 레볼루션(디지털),  5,000원","16:00,  우리 손자 베스트(디지털)","19:00,  다른 길이 있다(디지털),  5,000원","21:00,  그림자들의 섬(디지털)",262
