상영일자,상영관,1회,2회,3회,4회,좌석수
2016-11-14,01관,"23:00,  킹콩(필름)",,,,70
2016-11-15,01관,"22:00,  킹콩(필름)",,,,70
2016-11-21,01관,"22:00,  킹콩(필름)",,,,70
2016-11-25,01관,,"13:00,  혼자(디지털),  3,500원","16:00,  춘몽(디지털),  3,500원","19:30,  야근 대신 뜨개질(디지털),  3,500원",70
2016-11-26,01관,"10:30,  춘몽(디지털),  3,500원","13:00,  야근 대신 뜨개질(디지털),  3,500원","16:00,  혼자(디지털)","19:30,  워킹 스트리트(디지털)",70
2016-11-27,01관,"10:30,  야근 대신 뜨개질(디지털),  3,500원","13:00,  춘몽(디지털)","16:00,  워킹 스트리트(디지털),  3,500원","19:30,  혼자(디지털)",70
2016-11-29,01관,,"13:00,  워킹 스트리트(디지털)","16:00,  혼자(디지털),  3,500원","19:30,  야근 대신 뜨개질(디지털)",70
2016-11-30,01관,,"13:00,  혼자(디지털)","16:00,  워킹 스트리트(디지털)","19:30,  춘몽(디지털),  3,500원",70
2016-12-01,01관,,"13:00,  춘몽(디지털)","16:00,  야근 대신 뜨개질(디지털),  3,500원","19:30,  워킹 스트리트(디지털),  3,500원",70
2016-12-02,01관,,"13:00,  야근 대신 뜨개질(디지털)","16:00,  춘몽(디지털),  3,500원","19:30,  혼자(디지털),  3,500원",70
2016-12-03,01관,"10:30,  혼자(디지털)","13:00,  춘몽(디지털)","16:00,  야근 대신 뜨개질(디지털),  3,500원","19:30,  워킹 스트리트(디지털),  3,500원",70
2016-12-04,01관,"10:30,  야근 대신 뜨개질(디지털),  3,500원","13:00,  워킹 스트리트(디지털),  3,500원","16:00,  혼자(디지털),  3,500원","19:30,  춘몽(디지털),  3,500원",70
2016-12-06,01관,,"13:00,  야근 대신 뜨개질(디지털)","16:00,  워킹 스트리트(디지털)","19:30,  혼자(디지털),  3,500원",70
2016-12-07,01관,,"13:00,  춘몽(디지털),  3,500원","16:00,  야근 대신 뜨개질(디지털),  3,500원","19:30,  워킹 스트리트(디지털),  3,500원",70
2016-12-08,01관,,"13:00,  찡찡 막막(디지털),  3,500원","16:00,  커튼콜(디지털),  3,500원","19:30,  작은 형(디지털)",70
2016-12-09,01관,,"13:00,  작은 형(디지털)","16:00,  찡찡 막막(디지털),  3,500원","19:30,  딜쿠샤(디지털)",70
2016-12-10,01관,"10:30,  딜쿠샤(디지털)","13:00,  커튼콜(디지털),  3,500원","16:00,  작은 형(디지털)","19:30,  찡찡 막막(디지털)",70
2016-12-11,01관,"10:30,  작은 형(디지털)","13:00,  찡찡 막막(디지털)","16:00,  딜쿠샤(디지털)","19:30,  커튼콜(디지털)",70
2016-12-13,01관,,"13:00,  작은 형(디지털)","16:00,  딜쿠샤(디지털)","19:30,  커튼콜(디지털),  3,500원",70
2016-12-14,01관,,"13:00,  찡찡 막막(디지털)","16:00,  커튼콜(디지털)","19:30,  딜쿠샤(디지털),  3,500원",70
2016-12-15,01관,,"13:00,  커튼콜(디지털)","16:00,  딜쿠샤(디지털),  3,500원","19:30,  작은 형(디지털)",70
