상영일자,상영관,1회,2회,3회,4회,좌석수
2019-04-03,01관,"22:00,  킹콩(필름)",,,,156
2019-04-04,01관,"11:00,  애수(디지털)","13:30,  애수(디지털)","16:00,  애수(디지털)",,156
2019-04-05,01관,"11:00,  애수(디지털)","13:30,  애수(디지털)","16:00,  애수(디지털)",,156
2019-04-06,01관,"10:00,  러브 오브 시베리아(디지털)","13:20,  러브 오브 시베리아(디지털)","16:40,  러브 오브 시베리아(디지털)",,156
2019-04-07,01관,"10:00,  러브 오브 시베리아(디지털)","13:20,  러브 오브 시베리아(디지털)","16:40,  러브 오브 시베리아(디지털)",,156
2019-04-08,01관,"10:00,  러브 오브 시베리아(디지털)","13:20,  러브 오브 시베리아(디지털)","16:40,  러브 오브 시베리아(디지털),  2,000원",,156
2019-04-09,01관,"11:00,  장마(필름),  2,000원","13:30,  장마(필름),  2,000원","16:00,  장마(필름),  2,000원",,156
2019-04-10,01관,"11:00,  장마(필름),  2,000원","13:30,  장마(필름),  2,000원","16:00,  장마(필름),  2,000원",,156
2019-04-11,01관,"11:00,  티파니에서 아침을(디지털),  2,000원","13:30,  티파니에서 아침을(디지털),  2,000원","16:00,  티파니에서 아침을(디지털),  2,000원",,156
2019-04-12,01관,"11:00,  티파니에서 아침을(디지털),  2,000원","13:30,  티파니에서 아침을(디지털),  2,000원","16:00,  티파니에서 아침을(디지털),  2,000원",,156
2019-04-13,01관,"11:00,  티파니에서 아침을(디지털),  2,000원","13:30,  티파니에서 아침을(디지털),  2,000원","16:00,  티파니에서 아침을(디지털),  2,000원",,156
2019-04-14,01관,"10:30,  베라크루스(디지털),  2,000원","12:30,  베라크루스(디지털),  2,000원","14:30,  베라크루스(디지털),  2,000원","16:30,  베라크루스(디지털),  2,000원",156
2019-04-15,01관,"10:30,  베라크루스(디지털),  2,000원","12:30,  베라크루스(디지털),  2,000원","14:30,  베라크루스(디지털),  2,000원","16:30,  베라크루스(디지털),  2,000원",156
2019-04-16,01관,"10:30,  베라크루스(디지털),  2,000원","12:30,  베라크루스(디지털),  2,000원","14:30,  베라크루스(디지털),  2,000원","16:30,  베라크루스(디지털),  2,000원",156
2019-04-17,01관,"10:20,  빠삐용(디지털),  2,000원","13:20,  빠삐용(디지털),  2,000원","16:20,  빠삐용(디지털),  2,000원",,156
2019-04-18,01관,"10:20,  빠삐용(디지털),  2,000원","13:20,  빠삐용(디지털),  2,000원","16:20,  빠삐용(디지털),  2,000원",,156
2019-04-19,01관,"10:20,  빠삐용(디지털),  2,000원","13:20,  빠삐용(디지털),  2,000원","16:20,  빠삐용(디지털),  2,000원",,156
2019-04-20,01관,"11:00,  사랑과 영혼(디지털),  2,000원","13:30,  사랑과 영혼(디지털),  2,000원","16:00,  사랑과 영혼(디지털),  2,000원",,156
2019-04-21,01관,"11:00,  사랑과 영혼(디지털),  2,000원","13:30,  사랑과 영혼(디지털),  2,000원","16:00,  사랑과 영혼(디지털),  2,000원",,156
2019-04-22,01관,"11:00,  사랑과 영혼(디지털),  2,000원","13:30,  사랑과 영혼(디지털),  2,000원","16:00,  사랑과 영혼(디지털),  2,000원",,156
2019-04-23,01관,"10:30,  모정(디지털),  2,000원","12:30,  모정(디지털),  2,000원","14:30,  모정(디지털),  2,000원","16:30,  모정(디지털),  2,000원",156
2019-04-24,01관,"10:30,  모정(디지털),  2,000원","12:30,  모정(디지털),  2,000원","14:30,  모정(디지털),  2,000원","16:30,  모정(디지털),  2,000원",156
2019-04-25,01관,"10:30,  모정(디지털),  2,000원","12:30,  모정(디지털),  2,000원","14:30,  모정(디지털),  2,000원","16:30,  모정(디지털),  2,000원",156
