상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,좌석수
2015-01-01,01관,"11:00,  국제시장(디지털),  8,000원","13:10,  그 사람 그 사랑 그 세상(디지털),  8,000원","14:50,  님아, 그 강을 건너지 마오(디지털),  8,000원","16:20,  국제시장(디지털),  8,000원","18:30,  님아, 그 강을 건너지 마오(디지털),  8,000원","20:00,  님아, 그 강을 건너지 마오(디지털),  8,000원","21:30,  국제시장(디지털)",,,,,137
2015-01-01,02관,"11:00,  엑소더스: 신들과 왕들(디지털),  8,000원","13:30,  제자, 옥한흠(디지털),  8,000원","15:30,  님아, 그 강을 건너지 마오(디지털),  8,000원","17:00,  엑소더스: 신들과 왕들(디지털),  8,000원","19:30,  제자, 옥한흠(디지털),  8,000원","21:00,  엑소더스: 신들과 왕들(디지털),  8,000원","21:00,  엑소더스: 신들과 왕들(디지털)","23:30,  극장판 파이널 (디지털),  5,000원",,,,108
2015-01-02,01관,"11:00,  국제시장(디지털)","13:10,  그 사람 그 사랑 그 세상(디지털),  8,000원","14:50,  님아, 그 강을 건너지 마오(디지털),  8,000원","16:20,  국제시장(디지털),  8,000원","18:30,  님아, 그 강을 건너지 마오(디지털),  8,000원","20:00,  님아, 그 강을 건너지 마오(디지털)","21:30,  국제시장(디지털),  8,000원",,,,,137
2015-01-02,02관,"11:00,  엑소더스: 신들과 왕들(디지털)","13:30,  제자, 옥한흠(디지털),  8,000원","15:00,  다이빙벨(디지털),  8,000원","16:20,  엑소더스: 신들과 왕들(디지털),  8,000원","18:50,  제자, 옥한흠(디지털),  8,000원","20:20,  다이빙벨(디지털)","21:40,  엑소더스: 신들과 왕들(디지털)","09:00,  극장판 파이널 (디지털),  5,000원",,,,108
2015-01-03,01관,"11:00,  국제시장(디지털),  8,000원","13:10,  그 사람 그 사랑 그 세상(디지털),  8,000원","14:50,  님아, 그 강을 건너지 마오(디지털),  8,000원","16:20,  국제시장(디지털),  8,000원","18:30,  님아, 그 강을 건너지 마오(디지털),  8,000원","20:00,  님아, 그 강을 건너지 마오(디지털),  8,000원","21:30,  국제시장(디지털),  8,000원",,,,,137
2015-01-03,02관,"11:00,  엑소더스: 신들과 왕들(디지털),  8,000원","13:30,  제자, 옥한흠(디지털)","15:00,  다이빙벨(디지털),  8,000원","16:20,  엑소더스: 신들과 왕들(디지털),  8,000원","18:50,  제자, 옥한흠(디지털),  8,000원","20:20,  다이빙벨(디지털),  8,000원","21:40,  엑소더스: 신들과 왕들(디지털),  8,000원","09:00,  극장판 파이널 (디지털),  5,000원",,,,108
2015-01-04,01관,"11:00,  국제시장(디지털)","13:10,  그 사람 그 사랑 그 세상(디지털)","14:50,  님아, 그 강을 건너지 마오(디지털),  8,000원","16:20,  국제시장(디지털),  8,000원","18:30,  님아, 그 강을 건너지 마오(디지털),  8,000원","20:00,  님아, 그 강을 건너지 마오(디지털)","21:30,  국제시장(디지털),  8,000원",,,,,137
2015-01-04,02관,"11:00,  엑소더스: 신들과 왕들(디지털)","13:30,  제자, 옥한흠(디지털)","15:00,  다이빙벨(디지털),  8,000원","16:20,  엑소더스: 신들과 왕들(디지털),  8,000원","18:50,  제자, 옥한흠(디지털),  8,000원","20:20,  다이빙벨(디지털),  8,000원","21:40,  엑소더스: 신들과 왕들(디지털)","09:00,  극장판 파이널 (디지털),  5,000원",,,,108
2015-01-05,01관,"11:00,  국제시장(디지털),  8,000원","13:10,  그 사람 그 사랑 그 세상(디지털),  8,000원","14:50,  님아, 그 강을 건너지 마오(디지털),  8,000원","16:20,  국제시장(디지털),  8,000원","18:30,  님아, 그 강을 건너지 마오(디지털),  8,000원","20:00,  님아, 그 강을 건너지 마오(디지털)","21:30,  국제시장(디지털)",,,,,137
2015-01-05,02관,"11:00,  엑소더스: 신들과 왕들(디지털)","13:30,  제자, 옥한흠(디지털),  8,000원","15:00,  다이빙벨(디지털),  8,000원","16:20,  엑소더스: 신들과 왕들(디지털)","18:50,  제자, 옥한흠(디지털),  8,000원","20:20,  다이빙벨(디지털),  8,000원","21:40,  엑소더스: 신들과 왕들(디지털)","09:00,  극장판 파이널 (디지털),  5,000원",,,,108
2015-01-06,01관,"11:00,  국제시장(디지털)","13:10,  그 사람 그 사랑 그 세상(디지털),  8,000원","14:50,  님아, 그 강을 건너지 마오(디지털),  8,000원","16:20,  국제시장(디지털),  8,000원","18:30,  님아, 그 강을 건너지 마오(디지털)","20:00,  님아, 그 강을 건너지 마오(디지털)","21:30,  국제시장(디지털)",,,,,137
2015-01-06,02관,"10:50,  엑소더스: 신들과 왕들(디지털)","13:20,  제자, 옥한흠(디지털),  8,000원","14:50,  다이빙벨(디지털),  8,000원","16:10,  엑소더스: 신들과 왕들(디지털)","18:40,  제자, 옥한흠(디지털),  8,000원","20:10,  다이빙벨(디지털),  8,000원","21:30,  엑소더스: 신들과 왕들(디지털)","09:00,  극장판 파이널 (디지털),  5,000원",,,,108
2015-01-07,01관,"10:00,  국제시장(디지털)","13:10,  그 사람 그 사랑 그 세상(디지털)","14:50,  님아, 그 강을 건너지 마오(디지털)","16:20,  국제시장(디지털),  8,000원","18:30,  님아, 그 강을 건너지 마오(디지털),  8,000원","20:00,  님아, 그 강을 건너지 마오(디지털)","21:30,  국제시장(디지털)",,,,,137
2015-01-07,02관,"10:50,  상의원(디지털)","13:20,  제자, 옥한흠(디지털)","14:50,  다이빙벨(디지털)","16:10,  엑소더스: 신들과 왕들(디지털),  8,000원","18:40,  제자, 옥한흠(디지털)","20:10,  다이빙벨(디지털)","21:30,  엑소더스: 신들과 왕들(디지털)","09:00,  극장판 파이널 (디지털),  5,000원",,,,108
2015-01-08,01관,"11:00,  국제시장(디지털),  8,000원","13:10,  그 사람 그 사랑 그 세상(디지털)","15:20,  국제시장(디지털),  8,000원","17:30,  국제시장(디지털),  8,000원","19:40,  님아, 그 강을 건너지 마오(디지털)","21:10,  국제시장(디지털)",,,,,,137
2015-01-08,02관,"11:00,  상의원(디지털)","13:40,  제자, 옥한흠(디지털),  8,000원","15:10,  님아, 그 강을 건너지 마오(디지털)","16:40,  엑소더스: 신들과 왕들(디지털)","19:40,  다이빙벨(디지털)","21:10,  엑소더스: 신들과 왕들(디지털)",,,,,,108
2015-01-09,01관,"11:00,  국제시장(디지털),  8,000원","13:10,  그 사람 그 사랑 그 세상(디지털)","15:20,  국제시장(디지털)","17:30,  국제시장(디지털),  8,000원","19:40,  님아, 그 강을 건너지 마오(디지털)","21:10,  국제시장(디지털),  8,000원",,,,,,137
2015-01-09,02관,"11:00,  상의원(디지털)","13:40,  제자, 옥한흠(디지털)","15:10,  님아, 그 강을 건너지 마오(디지털),  8,000원","16:40,  엑소더스: 신들과 왕들(디지털),  8,000원","19:40,  다이빙벨(디지털),  8,000원","21:10,  엑소더스: 신들과 왕들(디지털),  8,000원",,,,,,108
2015-01-10,01관,"11:00,  국제시장(디지털)","13:10,  그 사람 그 사랑 그 세상(디지털),  8,000원","15:20,  국제시장(디지털),  8,000원","17:30,  국제시장(디지털),  8,000원","19:40,  님아, 그 강을 건너지 마오(디지털)","21:10,  국제시장(디지털),  8,000원",,,,,,137
2015-01-10,02관,"11:00,  상의원(디지털)","13:40,  제자, 옥한흠(디지털),  8,000원","15:10,  님아, 그 강을 건너지 마오(디지털),  8,000원","16:40,  엑소더스: 신들과 왕들(디지털),  8,000원","19:40,  다이빙벨(디지털),  8,000원","21:10,  엑소더스: 신들과 왕들(디지털)",,,,,,108
2015-01-11,01관,"11:00,  국제시장(디지털)","13:10,  그 사람 그 사랑 그 세상(디지털)","15:20,  국제시장(디지털),  8,000원","17:30,  국제시장(디지털),  8,000원","19:40,  님아, 그 강을 건너지 마오(디지털)","21:10,  국제시장(디지털)",,,,,,137
2015-01-11,02관,"11:00,  상의원(디지털),  8,000원","13:40,  제자, 옥한흠(디지털)","15:10,  님아, 그 강을 건너지 마오(디지털),  8,000원","16:40,  엑소더스: 신들과 왕들(디지털),  8,000원","19:40,  다이빙벨(디지털),  8,000원","21:10,  엑소더스: 신들과 왕들(디지털)",,,,,,108
2015-01-12,01관,"11:00,  국제시장(디지털),  8,000원","13:10,  그 사람 그 사랑 그 세상(디지털),  8,000원","15:20,  국제시장(디지털),  8,000원","17:30,  국제시장(디지털)","19:40,  님아, 그 강을 건너지 마오(디지털)","21:10,  국제시장(디지털),  8,000원",,,,,,137
2015-01-12,02관,"11:00,  상의원(디지털)","13:40,  제자, 옥한흠(디지털)","15:10,  님아, 그 강을 건너지 마오(디지털)","16:40,  엑소더스: 신들과 왕들(디지털)","19:40,  다이빙벨(디지털)","21:10,  엑소더스: 신들과 왕들(디지털)",,,,,,108
2015-01-13,01관,"11:00,  국제시장(디지털)","13:10,  그 사람 그 사랑 그 세상(디지털)","15:20,  국제시장(디지털),  8,000원","17:30,  국제시장(디지털),  8,000원","19:40,  님아, 그 강을 건너지 마오(디지털)","21:10,  국제시장(디지털)",,,,,,137
2015-01-13,02관,"11:00,  상의원(디지털)","13:40,  제자, 옥한흠(디지털),  8,000원","15:10,  님아, 그 강을 건너지 마오(디지털),  8,000원","16:40,  엑소더스: 신들과 왕들(디지털)","19:40,  다이빙벨(디지털),  8,000원","21:10,  엑소더스: 신들과 왕들(디지털)",,,,,,108
2015-01-14,01관,"11:00,  국제시장(디지털),  8,000원","13:10,  그 사람 그 사랑 그 세상(디지털)","15:20,  국제시장(디지털),  8,000원","17:30,  국제시장(디지털),  8,000원","19:40,  님아, 그 강을 건너지 마오(디지털)","21:10,  국제시장(디지털)",,,,,,137
2015-01-14,02관,"11:00,  상의원(디지털)","13:40,  제자, 옥한흠(디지털)","15:10,  님아, 그 강을 건너지 마오(디지털)","16:40,  엑소더스: 신들과 왕들(디지털)","19:40,  다이빙벨(디지털)","21:10,  엑소더스: 신들과 왕들(디지털)",,,,,,108
2015-01-15,01관,"11:00,  님아, 그 강을 건너지 마오(디지털)","13:10,  그 사람 그 사랑 그 세상(디지털)","14:40,  국제시장(디지털),  8,000원","16:50,  님아, 그 강을 건너지 마오(디지털)","18:30,  국제시장(디지털),  8,000원","21:10,  국제시장(디지털)",,,,,,137
2015-01-15,02관,"11:00,  상의원(디지털)","13:10,  제자, 옥한흠(디지털)","14:50,  엑소더스: 신들과 왕들(디지털)","17:30,  다이빙벨(디지털),  8,000원","18:50,  엑소더스: 신들과 왕들(디지털),  8,000원","21:20,  상의원(디지털)",,,,,,108
