상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,좌석수
2015-01-01,고추,"10:00,  숲속으로(디지털),  5,000원","12:30,  호빗: 다섯 군대 전투(디지털),  5,000원","15:20,  국제시장(디지털),  5,000원","17:50,  마다가스카의 펭귄(디지털더빙),  5,000원","19:50,  테이큰 3(디지털),  5,000원","22:00,  테이큰 3(디지털),  5,000원",,,,,39
2015-01-01,치즈,"10:00,  일곱난쟁이(디지털더빙),  5,000원","11:50,  마다가스카의 펭귄(3D 더빙),  8,000원","14:00,  기술자들(디지털),  5,000원","16:20,  님아, 그 강을 건너지 마오(디지털),  5,000원","18:10,  호빗: 다섯 군대 전투(3D 디지털),  8,000원","21:00,  국제시장(디지털),  5,000원",,,,,55
2015-01-02,고추,"10:00,  숲속으로(디지털),  5,000원","12:30,  호빗: 다섯 군대 전투(디지털),  5,000원","15:20,  마다가스카의 펭귄(디지털더빙),  5,000원","17:20,  일곱난쟁이(디지털더빙),  5,000원","19:10,  테이큰 3(디지털),  5,000원","21:30,  국제시장(디지털),  5,000원",,,,,39
2015-01-02,치즈,"10:00,  호빗: 다섯 군대 전투(3D 디지털)","13:00,  마다가스카의 펭귄(3D 더빙),  8,000원","15:00,  님아, 그 강을 건너지 마오(디지털),  5,000원","17:00,  국제시장(디지털),  5,000원","19:30,  기술자들(디지털),  5,000원","21:50,  테이큰 3(디지털),  5,000원",,,,,55
2015-01-03,고추,"10:30,  일곱난쟁이(디지털더빙),  5,000원","12:30,  테이큰 3(디지털),  5,000원","14:40,  숲속으로(디지털),  5,000원","17:20,  마다가스카의 펭귄(디지털더빙),  5,000원","19:20,  기술자들(디지털),  5,000원","21:40,  호빗: 다섯 군대 전투(디지털),  5,000원",,,,,39
2015-01-03,치즈,"10:00,  호빗: 다섯 군대 전투(3D 디지털),  8,000원","13:00,  님아, 그 강을 건너지 마오(디지털),  5,000원","15:00,  마다가스카의 펭귄(3D 더빙),  8,000원","17:00,  국제시장(디지털),  5,000원","19:30,  국제시장(디지털),  5,000원","21:50,  테이큰 3(디지털),  5,000원",,,,,55
2015-01-04,고추,"10:30,  일곱난쟁이(디지털더빙),  5,000원","12:30,  호빗: 다섯 군대 전투(디지털),  5,000원","15:20,  마다가스카의 펭귄(디지털더빙),  5,000원","17:10,  숲속으로(디지털),  5,000원","19:40,  테이큰 3(디지털),  5,000원","21:50,  기술자들(디지털),  5,000원",,,,,39
2015-01-04,치즈,"10:00,  호빗: 다섯 군대 전투(3D 디지털)","13:00,  마다가스카의 펭귄(3D 더빙),  8,000원","15:00,  님아, 그 강을 건너지 마오(디지털),  5,000원","17:00,  국제시장(디지털),  5,000원","19:30,  국제시장(디지털),  5,000원","21:50,  테이큰 3(디지털),  5,000원",,,,,55
2015-01-05,고추,"10:00,  테이큰 3(디지털),  5,000원","13:00,  마다가스카의 펭귄(디지털더빙),  5,000원","14:50,  님아, 그 강을 건너지 마오(디지털),  5,000원","16:40,  숲속으로(디지털)","19:10,  기술자들(디지털),  5,000원","21:30,  호빗: 다섯 군대 전투(디지털),  5,000원",,,,,39
2015-01-05,치즈,"10:00,  호빗: 다섯 군대 전투(3D 디지털)","13:20,  국제시장(디지털),  5,000원","15:50,  마다가스카의 펭귄(3D 더빙),  8,000원","17:40,  일곱난쟁이(3D 더빙)","19:30,  국제시장(디지털),  5,000원","22:00,  테이큰 3(디지털),  5,000원",,,,,55
2015-01-06,고추,"10:00,  숲속으로(디지털),  5,000원","12:30,  일곱난쟁이(디지털더빙),  5,000원","14:30,  마다가스카의 펭귄(디지털더빙),  5,000원","16:30,  호빗: 다섯 군대 전투(디지털),  5,000원","19:20,  테이큰 3(디지털),  5,000원","21:40,  기술자들(디지털),  5,000원",,,,,39
2015-01-06,치즈,"10:00,  호빗: 다섯 군대 전투(3D 디지털),  8,000원","13:10,  님아, 그 강을 건너지 마오(디지털),  5,000원","15:00,  국제시장(디지털),  5,000원","17:30,  마다가스카의 펭귄(3D 더빙),  8,000원","19:30,  국제시장(디지털),  5,000원","22:00,  테이큰 3(디지털)",,,,,55
2015-01-07,고추,"10:00,  마다가스카의 펭귄(디지털더빙),  5,000원","13:00,  마다가스카의 펭귄(디지털더빙),  5,000원","14:50,  호빗: 다섯 군대 전투(디지털)","17:30,  님아, 그 강을 건너지 마오(디지털),  5,000원","19:30,  테이큰 3(디지털),  5,000원","21:40,  기술자들(디지털),  5,000원",,,,,39
2015-01-07,치즈,"10:00,  호빗: 다섯 군대 전투(3D 디지털)","12:50,  숲속으로(디지털)","15:10,  국제시장(디지털),  5,000원","17:40,  일곱난쟁이(3D 더빙)","19:30,  국제시장(디지털),  5,000원","22:00,  테이큰 3(디지털)",,,,,55
2015-01-08,고추,"10:00,  기술자들(디지털),  5,000원","13:00,  숲속으로(디지털)","15:30,  님아, 그 강을 건너지 마오(디지털),  5,000원","17:20,  마다가스카의 펭귄(디지털더빙),  5,000원","19:30,  테이큰 3(디지털),  5,000원","21:50,  기술자들(디지털),  5,000원",,,,,39
2015-01-08,치즈,"10:00,  국제시장(디지털),  5,000원","13:30,  국제시장(디지털),  5,000원","16:00,  마다가스카의 펭귄(3D 더빙),  8,000원","17:50,  일곱난쟁이(3D 더빙),  8,000원","19:30,  국제시장(디지털),  5,000원","22:00,  테이큰 3(디지털),  5,000원",,,,,55
