상영일자,상영관,1회,2회,좌석수
2017-09-18,02관,"19:30,  아메리칸 메이드(디지털)","22:00,  아메리칸 메이드(디지털)",200
2017-09-21,01관,"02:30,  정사-두자매(디지털),  20,000원","21:50,  아이 캔 스피크(디지털)",200
2017-09-21,02관,"02:30,  가루지기: 변강쇠 더 비기닝 - 무삭제판(디지털),  20,000원",,200
2017-09-22,01관,"19:30,  아이 캔 스피크(디지털),  22,000원","21:50,  아이 캔 스피크(디지털),  22,000원",200
2017-09-22,02관,"23:50,  라스트 모히칸(디지털)",,200
2017-09-23,01관,"19:30,  아이 캔 스피크(디지털),  20,000원","21:50,  아이 캔 스피크(디지털)",200
2017-09-23,02관,"23:50,  라스트 모히칸(디지털)",,200
2017-09-24,01관,"19:30,  아이 캔 스피크(디지털),  22,000원","21:50,  아이 캔 스피크(디지털)",200
2017-09-24,02관,"23:50,  라스트 모히칸(디지털)",,200
2017-09-25,01관,"19:30,  아이 캔 스피크(디지털),  22,000원",,200
2017-09-26,01관,"19:30,  아이 캔 스피크(디지털)",,200
2017-09-27,01관,"19:30,  아이 캔 스피크(디지털)",,200
2017-09-27,02관,"19:30,  킹스맨: 골든 서클(디지털),  20,000원",,200
2017-09-28,01관,"02:30,  동거:친구의 여자친구(디지털),  20,000원",,200
2017-09-28,02관,"02:30,  위시 어폰(디지털),  20,000원",,200
2017-09-29,01관,"19:30,  아이 캔 스피크(디지털)",,200
2017-09-29,02관,"02:30,  위시 어폰(디지털),  20,000원",,200
2017-09-30,02관,"19:30,  킹스맨: 골든 서클(디지털),  20,000원",,200
2017-10-01,02관,"19:30,  킹스맨: 골든 서클(디지털)",,200
2017-10-03,01관,"19:20,  남한산성(디지털),  20,000원",,200
2017-10-03,02관,"19:30,  범죄도시(디지털),  20,000원",,200
2017-10-04,01관,"19:20,  남한산성(디지털)",,200
2017-10-04,02관,"19:30,  범죄도시(디지털)",,200
2017-10-05,01관,"19:20,  남한산성(디지털)",,200
2017-10-05,02관,"19:30,  범죄도시(디지털)",,200
2017-10-06,01관,"19:20,  남한산성(디지털)",,200
2017-10-06,02관,"19:30,  범죄도시(디지털)",,200
2017-10-07,01관,"19:20,  남한산성(디지털)",,200
2017-10-07,02관,"19:30,  범죄도시(디지털)",,200
2017-10-08,01관,"19:20,  남한산성(디지털)",,200
2017-10-08,02관,"19:30,  범죄도시(디지털)",,200
2017-10-12,01관,"02:30,  여자들 : 섹스의 만족도(디지털),  20,000원",,200
2017-10-12,02관,"02:00,  아름다운 엄마(디지털),  20,000원",,200
2017-10-13,01관,"19:30,  범죄도시(디지털)",,200
2017-10-13,02관,"19:30,  희생부활자(디지털)",,200
2017-10-14,01관,"19:30,  범죄도시(디지털)",,200
2017-10-14,02관,"19:30,  희생부활자(디지털)",,200
2017-10-15,01관,"19:30,  범죄도시(디지털)",,200
2017-10-15,02관,"19:30,  희생부활자(디지털)",,200
2017-10-16,01관,"19:30,  범죄도시(디지털)",,200
2017-10-16,02관,"19:30,  희생부활자(디지털)",,200
2017-10-17,01관,"19:30,  범죄도시(디지털)",,200
2017-10-17,02관,"19:30,  희생부활자(디지털)",,200
2017-10-18,01관,"02:30,  딸의 친구 2(디지털),  20,000원",,200
2017-10-18,02관,"19:30,  희생부활자(디지털)",,200
2017-10-19,01관,"02:30,  젊은남편 젊은아빠(디지털),  20,000원",,200
2017-10-19,02관,"02:30,  착한 형수 2(디지털),  20,000원",,200
2017-10-23,01관,"02:30,  수상한 종업원(디지털),  20,000원",,200
2017-10-23,02관,"21:40,  대장 김창수(디지털)",,200
2017-10-24,01관,"19:20,  범죄도시(디지털)",,200
2017-10-24,02관,"21:40,  대장 김창수(디지털)",,200
2017-10-26,01관,"01:20,  착한 엄마(디지털),  20,000원",,200
