상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,좌석수
2015-01-02,01관,"11:00,  무드 인디고(디지털),  5,000원","13:00,  갈증(디지털),  5,000원","15:20,  쿼바디스(디지털),  5,000원","17:30,  마미(디지털),  5,000원","20:10,  맵 투 더 스타(디지털),  5,000원",,,98
2015-01-03,01관,"11:00,  맵 투 더 스타(디지털),  5,000원","13:10,  클라우즈 오브 실스마리아(디지털),  5,000원","15:40,  무드 인디고(디지털),  5,000원","17:40,  갈증(디지털),  5,000원","20:00,  쿼바디스(디지털),  5,000원",,,98
2015-01-04,01관,"10:30,  쿼바디스(디지털),  5,000원","12:40,  마미(디지털),  5,000원","15:20,  맵 투 더 스타(디지털),  5,000원","17:30,  클라우즈 오브 실스마리아(디지털),  5,000원","20:00,  무드 인디고(디지털),  5,000원",,,98
2015-01-06,01관,"14:00,  벨과 세바스찬(디지털),  0원","17:00,  나이팅게일(디지털),  0원","19:00,  수면의 과학(디지털),  0원",,,,,98
2015-01-07,01관,"11:00,  무드 인디고(디지털),  5,000원","13:00,  갈증(디지털),  5,000원","15:20,  마미(디지털),  5,000원","18:00,  맵 투 더 스타(디지털),  4,000원","20:10,  클라우즈 오브 실스마리아(디지털),  5,000원",,,98
2015-01-08,01관,"11:00,  클라우즈 오브 실스마리아(디지털),  5,000원","13:30,  내일을 위한 시간(디지털),  5,000원","15:40,  쿼바디스(디지털),  5,000원","17:50,  무드 인디고(디지털),  5,000원","19:50,  나의 사적인 여자친구(디지털),  5,000원",,,98
2015-01-09,01관,"10:30,  마미(디지털),  5,000원","13:10,  맵 투 더 스타(디지털),  5,000원","15:20,  클라우즈 오브 실스마리아(디지털),  5,000원","17:50,  내일을 위한 시간(디지털),  5,000원","20:00,  쿼바디스(디지털),  5,000원",,,98
2015-01-10,01관,"11:00,  무드 인디고(디지털),  5,000원","13:00,  나의 사적인 여자친구(디지털),  5,000원","15:10,  마미(디지털),  5,000원","17:50,  맵 투 더 스타(디지털),  5,000원","20:00,  클라우즈 오브 실스마리아(디지털),  5,000원",,,98
2015-01-11,01관,"11:00,  내일을 위한 시간(디지털),  5,000원","13:00,  쿼바디스(디지털),  5,000원","15:10,  클라우즈 오브 실스마리아(디지털),  5,000원","17:40,  나의 사적인 여자친구(디지털),  5,000원","19:50,  마미(디지털),  5,000원",,,98
2015-01-13,01관,"14:00,  나이팅게일(디지털),  0원","17:00,  벨과 세바스찬(디지털),  0원","19:00,  안티크라이스트(디지털),  0원",,,,,98
2015-01-14,01관,"10:30,  마미(디지털),  5,000원","13:10,  쿼바디스(디지털),  5,000원","15:20,  맵 투 더 스타(디지털),  5,000원","17:30,  클라우즈 오브 실스마리아(디지털),  5,000원","20:00,  내일을 위한 시간(디지털),  5,000원",,,98
2015-01-15,01관,"11:00,  내일을 위한 시간(디지털),  5,000원","13:00,  맵 투 더 스타(디지털),  5,000원","15:10,  나의 사적인 여자친구(디지털),  5,000원","17:20,  이별까지 7일(디지털),  5,000원","19:40,  아메리칸 셰프(디지털),  5,000원",,,98
2015-01-16,01관,"11:00,  아메리칸 셰프(디지털),  5,000원","13:20,  내일을 위한 시간(디지털),  5,000원","15:20,  맵 투 더 스타(디지털),  5,000원","17:40,  나의 사적인 여자친구(디지털),  5,000원","19:50,  이별까지 7일(디지털),  4,000원",,,98
2015-01-17,01관,"11:00,  클라우즈 오브 실스마리아(디지털),  5,000원","13:30,  이별까지 7일(디지털),  5,000원","15:50,  아메리칸 셰프(디지털),  5,000원","18:10,  내일을 위한 시간(디지털),  5,000원","20:00,  나의 사적인 여자친구(디지털),  5,000원",,,98
2015-01-18,01관,"11:00,  나의 사적인 여자친구(디지털),  5,000원","13:10,  클라우즈 오브 실스마리아(디지털),  5,000원","15:40,  이별까지 7일(디지털),  5,000원","18:00,  내일을 위한 시간(디지털),  5,000원","20:00,  맵 투 더 스타(디지털),  5,000원",,,98
2015-01-20,01관,"14:00,  자전거 탄 소년(디지털),  0원","17:00,  오싱(디지털),  0원","19:00,  라 비 앙 로즈(디지털),  0원",,,,,98
2015-01-21,01관,"11:00,  맵 투 더 스타(디지털),  5,000원","13:20,  아메리칸 셰프(디지털),  5,000원","15:40,  내일을 위한 시간(디지털),  5,000원","17:40,  나의 사적인 여자친구(디지털),  5,000원","19:50,  이별까지 7일(디지털),  5,000원",,,98
2015-01-22,01관,"13:20,  나의 사적인 여자친구(디지털),  5,000원","15:30,  아이 킬드 마이 마더(디지털),  5,000원","17:40,  생각보다 맑은(디지털),  5,000원","19:30,  미스터 터너(디지털),  5,000원",,,,98
2015-01-23,01관,"11:00,  내일을 위한 시간(디지털),  5,000원","13:00,  이별까지 7일(디지털),  5,000원","15:30,  아메리칸 셰프(디지털),  5,000원","17:50,  아이 킬드 마이 마더(디지털),  5,000원","19:50,  생각보다 맑은(디지털),  5,000원",,,98
