상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,좌석수
2015-10-15,01관,"23:00,  킹콩(필름)",,,,,,,,60
2015-10-15,02관,"23:00,  킹콩(필름)",,,,,,,,39
2015-10-19,01관,"15:00,  성난 변호사(디지털),  5,000원",,,"18:00,  사도(디지털),  5,000원",,,,,60
2015-10-19,02관,"15:00,  사도(디지털),  5,000원","18:00,  성난 변호사(디지털),  5,000원",,,,,,,39
2015-10-20,01관,"11:00,  팬(디지털)","13:20,  팬(3D 디지털)","15:50,  사도(디지털),  5,000원","18:30,  팬(디지털),  5,000원","21:00,  성난 변호사(디지털),  5,000원",,,,60
2015-10-20,02관,"10:40,  성난 변호사(디지털),  5,000원","13:00,  사도(디지털),  5,000원","16:10,  성난 변호사(디지털),  5,000원","18:45,  성난 변호사(디지털),  5,000원","21:10,  사도(디지털),  5,000원",,,,39
2015-10-21,01관,"11:00,  팬(디지털)","13:20,  팬(3D 디지털)","15:50,  사도(디지털),  5,000원","18:30,  팬(디지털)","21:00,  성난 변호사(디지털),  5,000원",,,,60
2015-10-21,02관,"10:40,  성난 변호사(디지털),  5,000원","13:00,  사도(디지털),  5,000원","16:10,  성난 변호사(디지털),  5,000원","18:45,  성난 변호사(디지털),  5,000원","21:10,  사도(디지털),  5,000원",,,,39
2015-10-22,01관,"11:00,  성난 변호사(디지털),  5,000원","13:20,  특종: 량첸살인기(디지털),  5,000원","15:50,  더 폰(디지털),  5,000원","18:30,  특종: 량첸살인기(디지털),  5,000원","21:00,  더 폰(디지털),  5,000원",,,,60
2015-10-23,01관,"11:00,  성난 변호사(디지털),  5,000원","13:20,  특종: 량첸살인기(디지털),  5,000원","15:50,  더 폰(디지털),  5,000원","18:30,  특종: 량첸살인기(디지털),  5,000원","21:00,  더 폰(디지털),  5,000원",,,,60
2015-10-23,02관,"10:40,  팬(디지털)","13:00,  팬(디지털)","16:10,  사도(디지털)","18:50,  사도(디지털),  5,000원","21:20,  성난 변호사(디지털),  5,000원",,,,39
2015-10-24,01관,"10:20,  성난 변호사(디지털),  5,000원","12:40,  사도(디지털),  5,000원","15:10,  더 폰(디지털),  5,000원","17:40,  특종: 량첸살인기(디지털),  5,000원","20:10,  더 폰(디지털),  5,000원",,,,60
2015-10-24,02관,"10:00,  팬(디지털),  5,000원","12:10,  팬(디지털),  5,000원","14:30,  사도(디지털),  5,000원","17:00,  성난 변호사(디지털),  5,000원","19:30,  특종: 량첸살인기(디지털),  5,000원",,,,39
2015-10-25,01관,"10:20,  성난 변호사(디지털),  5,000원","12:40,  사도(디지털),  5,000원","15:10,  더 폰(디지털),  5,000원","17:40,  특종: 량첸살인기(디지털),  5,000원","20:10,  더 폰(디지털),  5,000원",,,,60
2015-10-25,02관,"10:00,  팬(디지털),  5,000원","12:10,  팬(디지털),  5,000원","14:30,  사도(디지털),  5,000원","17:00,  성난 변호사(디지털),  5,000원","19:30,  특종: 량첸살인기(디지털),  5,000원",,,,39
2015-10-26,01관,"11:30,  팬(3D 디지털),  8,000원","13:40,  성난 변호사(디지털),  5,000원","16:00,  사도(디지털),  5,000원","18:30,  더 폰(디지털),  5,000원","20:50,  특종: 량첸살인기(디지털),  5,000원",,,,60
