상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,좌석수
2016-08-18,01관,"22:00,  킹콩(필름)",,,,,,,,103
2016-08-23,01관,"00:05,  19금 정사: 말할 수 없는 비밀(디지털),  5,000원",,,,,,,,103
2016-08-24,01관,"00:05,  야설 쓰는 여자(디지털),  5,000원",,,,,,,,103
2016-08-25,01관,"00:05,  옥보단(디지털),  5,000원",,,,,,,,103
2016-08-26,01관,"00:05,  그레이브 인카운터 2(디지털),  5,000원",,,,,,,,103
2016-08-29,01관,"00:05,  그레이브 인카운터 2(디지털),  5,000원",,,,,,,,103
2016-08-30,01관,"00:05,  그레이브 인카운터 2(디지털),  5,000원",,,,,,,,103
2016-08-31,01관,"00:05,  형님아내2(디지털),  5,000원",,,,,,,,103
2016-09-01,01관,"00:05,  프레셔스 카고: 프로 범죄단(디지털),  5,000원",,,,,,,,103
2016-09-02,01관,"00:05,  19 섹스 맛있는 속 궁합(디지털),  5,000원",,,,,,,,103
2016-09-03,01관,"00:05,  프레셔스 카고: 프로 범죄단(디지털),  5,000원",,,,,,,,103
2016-09-04,01관,"00:05,  프레셔스 카고: 프로 범죄단(디지털),  5,000원",,,,,,,,103
2016-09-05,01관,"00:05,  프레셔스 카고: 프로 범죄단(디지털),  5,000원",,,,,,,,103
2016-09-06,01관,"00:05,  프레셔스 카고: 프로 범죄단(디지털),  5,000원",,,,,,,,103
2016-09-07,01관,"00:05,  프레셔스 카고: 프로 범죄단(디지털),  5,000원",,,,,,,,103
2016-09-08,01관,"00:05,  프레셔스 카고: 프로 범죄단(디지털),  5,000원",,,,,,,,103
2016-09-09,01관,"00:05,  프레셔스 카고: 프로 범죄단(디지털),  5,000원",,,,,,,,103
2016-09-10,01관,"00:05,  프레셔스 카고: 프로 범죄단(디지털),  5,000원",,,,,,,,103
2016-09-11,01관,"00:05,  프레셔스 카고: 프로 범죄단(디지털),  5,000원",,,,,,,,103
2016-09-12,01관,"00:05,  프레셔스 카고: 프로 범죄단(디지털),  5,000원",,,,,,,,103
2016-09-13,01관,"00:05,  프레셔스 카고: 프로 범죄단(디지털),  5,000원",,,,,,,,103
2016-09-14,01관,"00:05,  프레셔스 카고: 프로 범죄단(디지털),  5,000원",,,,,,,,103
2016-09-15,01관,"00:05,  프레셔스 카고: 프로 범죄단(디지털),  5,000원",,,,,,,,103
2016-09-16,01관,"00:05,  레프트 비하인드 : 휴거의 시작(디지털),  5,000원",,,,,,,,103
2016-09-17,01관,"00:05,  깡치(디지털),  5,000원",,,,,,,,103
2016-09-18,01관,"00:05,  깡치(디지털),  5,000원",,,,,,,,103
2016-09-19,01관,"00:05,  레프트 비하인드 : 휴거의 시작(디지털),  5,000원",,,,,,,,103
2016-09-20,01관,"00:05,  레프트 비하인드 : 휴거의 시작(디지털),  5,000원",,,,,,,,103
2016-09-21,01관,"00:05,  레프트 비하인드 : 휴거의 시작(디지털),  5,000원",,,,,,,,103
2016-09-22,01관,"00:05,  옹박 : 하얀 원숭이 전사(디지털),  5,000원",,,,,,,,103
2016-09-23,01관,"00:05,  천지영웅 장청(디지털),  5,000원",,,,,,,,103
2016-09-24,01관,"00:05,  천지영웅 장청(디지털),  5,000원",,,,,,,,103
2016-09-25,01관,"00:05,  천지영웅 장청(디지털),  5,000원",,,,,,,,103
2016-09-26,01관,"00:05,  천지영웅 장청(디지털),  5,000원",,,,,,,,103
2016-09-27,01관,"00:05,  천지영웅 장청(디지털),  5,000원",,,,,,,,103
2016-09-28,01관,"00:05,  천지영웅 장청(디지털),  5,000원",,,,,,,,103
2016-09-29,01관,"00:05,  천지영웅 장청(디지털),  5,000원",,,,,,,,103
2016-09-30,01관,"00:05,  천지영웅 장청(디지털),  5,000원",,,,,,,,103
2016-10-01,01관,"00:05,  천지영웅 장청(디지털),  5,000원",,,,,,,,103
2016-10-02,01관,"00:05,  천지영웅 장청(디지털),  5,000원",,,,,,,,103
2016-10-03,01관,"00:05,  몽키킹 제로(디지털),  5,000원",,,,,,,,103
2016-10-04,01관,"00:05,  몽키킹 제로(디지털),  5,000원",,,,,,,,103
2016-10-05,01관,"00:05,  몽키킹 제로(디지털),  5,000원",,,,,,,,103
2016-10-06,01관,"00:05,  리클레임(디지털),  5,000원",,,,,,,,103
2016-10-07,01관,"00:05,  리클레임(디지털),  5,000원",,,,,,,,103
2016-10-08,01관,"00:05,  리클레임(디지털),  5,000원",,,,,,,,103
2016-10-09,01관,"00:05,  리클레임(디지털),  5,000원",,,,,,,,103
2016-10-10,01관,"00:05,  정 검-금의위(디지털),  5,000원",,,,,,,,103
2016-10-11,01관,"00:05,  정 검-금의위(디지털),  5,000원",,,,,,,,103
2016-10-12,01관,"00:05,  정 검-금의위(디지털),  5,000원",,,,,,,,103
2016-10-13,01관,"00:05,  람보 4 : 라스트 블러드(필름)",,,,,,,,103
2016-10-14,01관,"00:05,  어린 형수 - 무삭제판(디지털),  5,000원",,,,,,,,103
2016-10-15,01관,"00:05,  글래디에이터 - 템플기사단(디지털),  5,000원",,,,,,,,103
2016-10-16,01관,"00:05,  글래디에이터 - 템플기사단(디지털),  5,000원",,,,,,,,103
2016-10-17,01관,"00:05,  글래디에이터 - 템플기사단(디지털),  5,000원",,,,,,,,103
2016-10-18,01관,"00:05,  글래디에이터 - 템플기사단(디지털),  5,000원",,,,,,,,103
2016-10-19,01관,"00:05,  람보 4 : 라스트 블러드(필름)",,,,,,,,103
2016-10-20,01관,"00:05,  글래디에이터 - 템플기사단(디지털),  5,000원",,,,,,,,103
2016-10-21,01관,"00:05,  글래디에이터 - 템플기사단(디지털),  5,000원",,,,,,,,103
2016-10-22,01관,"00:05,  글래디에이터 - 템플기사단(디지털),  5,000원",,,,,,,,103
2016-10-23,01관,"00:05,  글래디에이터 - 템플기사단(디지털),  5,000원",,,,,,,,103
2016-10-24,01관,"00:05,  글래디에이터 - 템플기사단(디지털),  5,000원",,,,,,,,103
2016-10-25,01관,"00:05,  글래디에이터 - 템플기사단(디지털),  5,000원",,,,,,,,103
2016-10-26,01관,"00:05,  글래디에이터 - 템플기사단(디지털),  5,000원",,,,,,,,103
2016-10-27,01관,"00:05,  로빈슨 크루소(디지털),  5,000원",,,,,,,,103
2016-10-28,01관,"00:05,  로빈슨 크루소(디지털),  5,000원",,,,,,,,103
2016-10-29,01관,"00:05,  까시(디지털),  5,000원",,,,,,,,103
2016-10-30,01관,"00:05,  까시(디지털),  5,000원",,,,,,,,103
