상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,좌석수
2015-01-01,01관,"10:00,  하울의 움직이는 성(디지털더빙)","17:40,  그 사람 그 사랑 그 세상(디지털)",,,,,,,,,,106
2015-01-01,02관,"10:30,  눈의 여왕 2: 트롤의 마법거울(디지털더빙)","18:10,  님아, 그 강을 건너지 마오(디지털)",,,,,,,,,,164
2015-01-02,01관,"00:29,  그녀, 섹스의 시작(디지털),  9,000원","17:40,  그 사람 그 사랑 그 세상(디지털)",,,,,,,,,,106
2015-01-02,02관,"10:30,  눈의 여왕 2: 트롤의 마법거울(디지털더빙)","18:10,  님아, 그 강을 건너지 마오(디지털)",,,,,,,,,,164
2015-01-03,01관,"01:00,  대복성(디지털),  9,000원","15:00,  님아, 그 강을 건너지 마오(디지털),  9,000원","17:00,  님아, 그 강을 건너지 마오(디지털)","19:00,  님아, 그 강을 건너지 마오(디지털)","21:00,  님아, 그 강을 건너지 마오(디지털)",,,,,,,106
2015-01-03,02관,"10:30,  눈의 여왕 2: 트롤의 마법거울(디지털더빙)","12:00,  눈의 여왕 2: 트롤의 마법거울(디지털더빙)","14:00,  눈의 여왕 2: 트롤의 마법거울(디지털더빙)",,,,,,,,,164
2015-01-04,01관,"00:45,  8광구: 몬스터의 부활(디지털),  9,000원","17:40,  그 사람 그 사랑 그 세상(디지털)","21:20,  그 사람 그 사랑 그 세상(디지털)",,,,,,,,,106
2015-01-04,02관,"10:30,  눈의 여왕 2: 트롤의 마법거울(디지털더빙)","16:35,  비긴 어게인(디지털)",,,,,,,,,,164
2015-01-05,01관,"00:20,  화소도(디지털),  9,000원",,,,,,,,,,,106
2015-01-06,01관,"10:00,  하울의 움직이는 성(디지털더빙)","17:40,  그 사람 그 사랑 그 세상(디지털)",,,,,,,,,,106
2015-01-06,02관,"16:15,  그 사람 그 사랑 그 세상(디지털)","19:55,  그 사람 그 사랑 그 세상(디지털)",,,,,,,,,,164
2015-01-07,01관,"10:00,  하울의 움직이는 성(디지털더빙)","17:40,  그 사람 그 사랑 그 세상(디지털)",,,,,,,,,,106
2015-01-07,02관,"10:30,  눈의 여왕 2: 트롤의 마법거울(디지털더빙)","18:10,  님아, 그 강을 건너지 마오(디지털)",,,,,,,,,,164
2015-01-08,01관,"09:00,  유고와 라라 : 신비의 숲 어드벤처(디지털더빙),  5,000원","15:35,  타임 패러독스(디지털)","17:35,  타임 패러독스(디지털),  7,000원","19:35,  타임 패러독스(디지털),  7,000원",,,,,,,,106
2015-01-08,02관,"10:00,  눈의 여왕 2: 트롤의 마법거울(디지털더빙)","17:45,  워킹걸(디지털)","20:00,  워킹걸(디지털),  7,000원",,,,,,,,,164
2015-01-09,01관,"00:35,  그녀, 섹스의 시작(디지털),  7,000원","15:35,  타임 패러독스(디지털),  7,000원","17:35,  타임 패러독스(디지털),  5,000원","19:35,  타임 패러독스(디지털)",,,,,,,,106
2015-01-09,02관,"01:10,  제거자(디지털),  7,000원","17:45,  워킹걸(디지털),  7,000원","20:00,  워킹걸(디지털),  7,000원",,,,,,,,,164
2015-01-10,01관,"09:00,  유고와 라라 : 신비의 숲 어드벤처(디지털더빙),  5,000원","15:35,  타임 패러독스(디지털),  5,000원","17:35,  타임 패러독스(디지털),  7,000원","19:35,  타임 패러독스(디지털),  7,000원",,,,,,,,106
2015-01-10,02관,"10:00,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  7,000원","17:45,  워킹걸(디지털),  7,000원","20:00,  워킹걸(디지털),  7,000원",,,,,,,,,164
2015-01-11,01관,"00:35,  아메리칸 섹스 파티(디지털),  7,000원","15:35,  타임 패러독스(디지털),  7,000원","17:35,  타임 패러독스(디지털),  7,000원","19:35,  타임 패러독스(디지털),  7,000원",,,,,,,,106
2015-01-11,02관,"10:00,  눈의 여왕 2: 트롤의 마법거울(디지털더빙)","17:45,  워킹걸(디지털),  7,000원","20:00,  워킹걸(디지털)",,,,,,,,,164
