상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,좌석수
2016-04-27,01관,"20:30,  맛있는 떡(디지털)",,,,,,,,100
2016-04-27,02관,"22:00,  킹콩(필름)",,,,,,,,198
2016-04-27,03관,"22:00,  킹콩(필름)",,,,,,,,143
2016-04-27,04관,"22:00,  킹콩(필름)",,,,,,,,198
2016-04-27,05관,"22:00,  킹콩(필름)",,,,,,,,143
2016-04-27,06관,"22:00,  킹콩(필름)",,,,,,,,
2016-04-30,01관,"16:10,  비포 선라이즈(디지털),  7,000원","18:20,  비포 선라이즈(디지털),  7,000원",,,,,,,100
2016-04-30,03관,"16:50,  캡틴 아메리카: 시빌 워(디지털)","19:50,  캡틴 아메리카: 시빌 워(디지털)",,,,,,,143
2016-04-30,04관,,"16:30,  캡틴 아메리카: 시빌 워(디지털),  7,000원","19:50,  캡틴 아메리카: 시빌 워(디지털),  7,000원",,,,,,198
2016-05-01,01관,"12:20,  비포 선라이즈(디지털),  7,000원","14:40,  비포 선라이즈(디지털),  7,000원","16:50,  비포 선라이즈(디지털),  7,000원",,,,,,100
2016-05-01,03관,"11:20,  캡틴 아메리카: 시빌 워(디지털),  7,000원","14:20,  캡틴 아메리카: 시빌 워(디지털),  7,000원","17:20,  캡틴 아메리카: 시빌 워(디지털),  7,000원","20:30,  캡틴 아메리카: 시빌 워(디지털),  7,000원",,,,,143
2016-05-01,04관,"13:40,  캡틴 아메리카: 시빌 워(디지털),  7,000원","16:40,  캡틴 아메리카: 시빌 워(디지털),  7,000원","19:30,  캡틴 아메리카: 시빌 워(디지털)",,,,,,198
2016-05-01,05관,"13:00,  캡틴 아메리카: 시빌 워(디지털),  7,000원","16:00,  캡틴 아메리카: 시빌 워(디지털),  7,000원","19:00,  캡틴 아메리카: 시빌 워(디지털),  7,000원",,,,,,143
2016-05-01,06관,"18:00,  캡틴 아메리카: 시빌 워(디지털),  7,000원",,,,,,,,
2016-05-02,01관,"00:05,  트리플 9(디지털)","14:40,  비포 선라이즈(디지털),  7,000원","16:50,  비포 선라이즈(디지털)",,,,,,100
2016-05-02,03관,"11:20,  캡틴 아메리카: 시빌 워(디지털)","14:20,  캡틴 아메리카: 시빌 워(디지털)","17:20,  캡틴 아메리카: 시빌 워(디지털),  5,000원","20:20,  캡틴 아메리카: 시빌 워(디지털),  7,000원",,,,,143
