상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,좌석수
2015-01-01,01관,"10:20,  마다가스카의 펭귄(디지털더빙),  5,000원","13:20,  상의원(디지털),  5,000원","16:10,  님아, 그 강을 건너지 마오(디지털),  5,000원","18:30,  국제시장(디지털),  5,000원","21:10,  상의원(디지털),  5,000원",,,,65
2015-01-01,02관,"10:00,  호빗: 다섯 군대 전투(디지털),  5,000원","13:00,  국제시장(디지털),  5,000원","15:50,  마다가스카의 펭귄(디지털더빙),  5,000원","18:50,  숲속으로(디지털),  5,000원","21:30,  님아, 그 강을 건너지 마오(디지털),  5,000원",,,,34
2015-01-02,01관,"10:20,  국제시장(디지털),  5,000원","13:20,  님아, 그 강을 건너지 마오(디지털),  5,000원","16:10,  님아, 그 강을 건너지 마오(디지털),  5,000원","18:30,  국제시장(디지털),  5,000원","21:10,  상의원(디지털),  5,000원",,,,65
2015-01-02,02관,"10:00,  호빗: 다섯 군대 전투(디지털),  5,000원","13:00,  국제시장(디지털),  5,000원","15:50,  마다가스카의 펭귄(디지털더빙),  5,000원","18:50,  숲속으로(디지털),  5,000원","21:30,  님아, 그 강을 건너지 마오(디지털),  5,000원",,,,34
2015-01-03,01관,"10:20,  마다가스카의 펭귄(디지털더빙),  5,000원","13:20,  님아, 그 강을 건너지 마오(디지털),  5,000원","16:10,  님아, 그 강을 건너지 마오(디지털),  5,000원","18:30,  국제시장(디지털),  5,000원","21:10,  상의원(디지털),  5,000원",,,,65
2015-01-03,02관,"10:00,  호빗: 다섯 군대 전투(디지털),  5,000원","13:00,  국제시장(디지털),  5,000원","15:50,  마다가스카의 펭귄(디지털더빙),  5,000원","18:50,  숲속으로(디지털),  5,000원","21:30,  님아, 그 강을 건너지 마오(디지털),  5,000원",,,,34
2015-01-04,01관,"10:20,  마다가스카의 펭귄(디지털더빙),  5,000원","13:20,  님아, 그 강을 건너지 마오(디지털),  5,000원","16:10,  님아, 그 강을 건너지 마오(디지털),  5,000원","18:30,  국제시장(디지털),  5,000원","21:10,  상의원(디지털),  5,000원",,,,65
2015-01-04,02관,"10:00,  호빗: 다섯 군대 전투(디지털),  5,000원","13:00,  국제시장(디지털),  5,000원","15:50,  마다가스카의 펭귄(디지털더빙),  5,000원","18:50,  숲속으로(디지털),  5,000원","21:30,  님아, 그 강을 건너지 마오(디지털),  5,000원",,,,34
2015-01-06,01관,"10:20,  국제시장(디지털),  5,000원","13:20,  님아, 그 강을 건너지 마오(디지털),  5,000원","16:10,  님아, 그 강을 건너지 마오(디지털),  5,000원","18:30,  국제시장(디지털),  5,000원","21:10,  상의원(디지털),  5,000원",,,,65
2015-01-06,02관,"10:00,  호빗: 다섯 군대 전투(디지털),  5,000원","13:00,  국제시장(디지털),  5,000원","15:50,  마다가스카의 펭귄(디지털더빙),  5,000원","18:50,  숲속으로(디지털),  5,000원","21:30,  님아, 그 강을 건너지 마오(디지털),  5,000원",,,,34
2015-01-07,01관,"10:20,  국제시장(디지털),  5,000원","13:20,  님아, 그 강을 건너지 마오(디지털),  5,000원","16:10,  님아, 그 강을 건너지 마오(디지털),  5,000원","18:30,  국제시장(디지털),  5,000원","21:10,  상의원(디지털),  5,000원",,,,65
2015-01-07,02관,"10:00,  호빗: 다섯 군대 전투(디지털),  5,000원","13:00,  국제시장(디지털),  5,000원","15:50,  마다가스카의 펭귄(디지털더빙),  5,000원","18:50,  숲속으로(디지털),  5,000원","21:30,  님아, 그 강을 건너지 마오(디지털),  5,000원",,,,34
2015-01-08,01관,"10:20,  설해(디지털),  5,000원","13:30,  님아, 그 강을 건너지 마오(디지털),  5,000원","15:50,  국제시장(디지털),  5,000원","18:40,  설해(디지털),  5,000원","21:20,  국제시장(디지털),  5,000원",,,,65
2015-01-08,02관,"10:00,  상의원(디지털),  5,000원","13:10,  언브로큰(디지털),  5,000원","16:10,  마다가스카의 펭귄(디지털),  5,000원","19:00,  님아, 그 강을 건너지 마오(디지털),  5,000원","21:00,  언브로큰(디지털),  5,000원",,,,34
2015-01-09,01관,"10:20,  설해(디지털),  5,000원","13:30,  님아, 그 강을 건너지 마오(디지털),  5,000원","15:50,  국제시장(디지털),  5,000원","18:40,  설해(디지털),  5,000원","21:20,  국제시장(디지털),  5,000원",,,,65
2015-01-09,02관,"10:00,  상의원(디지털),  5,000원","13:10,  언브로큰(디지털),  5,000원","16:10,  마다가스카의 펭귄(디지털),  5,000원","19:00,  님아, 그 강을 건너지 마오(디지털),  5,000원","21:00,  언브로큰(디지털),  5,000원",,,,34
