상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,12회,좌석수
2017-07-20,01관,"16:30,  박열(디지털),  5,000원","18:50,  박열(디지털),  5,000원","21:10,  박열(디지털),  5,000원",,,,,,,,,,59
2017-07-20,02관,"16:30,  옥자(디지털),  5,000원","18:40,  옥자(디지털),  5,000원","20:50,  옥자(디지털),  5,000원",,,,,,,,,,39
2017-07-21,01관,"10:00,  옥자(디지털),  5,000원","12:20,  카3: 새로운 도전(디지털),  5,000원","14:30,  덩케르크(디지털),  5,000원","16:40,  스파이더맨: 홈 커밍(3D 디지털),  8,000원","19:15,  박열(디지털),  5,000원","21:45,  47 미터(디지털),  5,000원",,,,,,,59
2017-07-21,02관,"10:20,  박열(디지털)","12:50,  카3: 새로운 도전(디지털더빙)","15:00,  47 미터(디지털),  5,000원","16:50,  옥자(디지털),  5,000원","19:10,  스파이더맨: 홈 커밍(디지털),  5,000원","21:45,  덩케르크(디지털),  5,000원",,,,,,,39
2017-07-22,01관,"10:00,  옥자(디지털),  5,000원","12:20,  카3: 새로운 도전(디지털),  5,000원","14:30,  카3: 새로운 도전(디지털더빙),  5,000원","16:40,  스파이더맨: 홈 커밍(3D 디지털),  8,000원","19:15,  박열(디지털),  5,000원","21:45,  47 미터(디지털)",,,,,,,59
2017-07-22,02관,"10:20,  박열(디지털),  5,000원","12:50,  덩케르크(디지털),  5,000원","15:00,  스파이더맨: 홈 커밍(디지털),  5,000원","17:35,  카3: 새로운 도전(디지털),  5,000원","19:45,  덩케르크(디지털),  5,000원","21:55,  47 미터(디지털),  5,000원",,,,,,,39
2017-07-23,01관,"09:50,  카3: 새로운 도전(디지털더빙)","12:00,  스파이더맨: 홈 커밍(3D 디지털)","14:35,  덩케르크(디지털),  5,000원","16:45,  박열(디지털),  5,000원","19:15,  옥자(디지털),  5,000원","21:35,  47 미터(디지털),  5,000원",,,,,,,59
2017-07-23,02관,"10:10,  박열(디지털),  5,000원","12:40,  카3: 새로운 도전(디지털),  5,000원","14:50,  47 미터(디지털),  5,000원","16:40,  카3: 새로운 도전(디지털),  5,000원","18:50,  덩케르크(디지털),  5,000원","21:00,  스파이더맨: 홈 커밍(디지털),  5,000원",,,,,,,39
2017-07-24,01관,"10:00,  옥자(디지털),  5,000원","12:20,  카3: 새로운 도전(디지털)","14:30,  덩케르크(디지털),  5,000원","16:40,  스파이더맨: 홈 커밍(3D 디지털),  8,000원","19:15,  박열(디지털),  5,000원","21:45,  47 미터(디지털),  5,000원",,,,,,,59
2017-07-24,02관,"10:20,  박열(디지털),  5,000원","12:50,  카3: 새로운 도전(디지털더빙),  5,000원","15:00,  47 미터(디지털),  5,000원","16:50,  스파이더맨: 홈 커밍(디지털),  5,000원","19:25,  카3: 새로운 도전(디지털),  5,000원","21:35,  덩케르크(디지털),  5,000원",,,,,,,39
2017-07-25,01관,"10:20,  박열(디지털),  5,000원","12:50,  카3: 새로운 도전(디지털더빙),  5,000원","15:00,  스파이더맨: 홈 커밍(3D 디지털),  8,000원","17:35,  옥자(디지털),  5,000원","19:55,  카3: 새로운 도전(디지털),  5,000원","22:05,  덩케르크(디지털),  5,000원",,,,,,,59
2017-07-25,02관,"10:00,  옥자(디지털)","12:20,  카3: 새로운 도전(디지털),  5,000원","14:30,  덩케르크(디지털),  5,000원","16:40,  47 미터(디지털),  5,000원","18:30,  스파이더맨: 홈 커밍(디지털),  5,000원","21:05,  47 미터(디지털),  5,000원",,,,,,,39
2017-07-26,01관,"09:20,  군함도(디지털),  5,000원","11:55,  스파이더맨: 홈 커밍(디지털)","14:30,  카3: 새로운 도전(디지털),  5,000원","16:40,  슈퍼배드 3(3D 더빙),  8,000원","18:30,  슈퍼배드 3(3D 더빙),  8,000원","20:20,  군함도(디지털),  5,000원",,,,,,,59
2017-07-26,02관,"10:15,  옥자(디지털),  5,000원","12:40,  군함도(디지털),  5,000원","15:15,  덩케르크(디지털),  5,000원","17:25,  군함도(디지털),  5,000원","20:00,  군함도(디지털),  5,000원","22:35,  47 미터(디지털),  5,000원",,,,,,,39
2017-07-27,01관,"10:05,  군함도(디지털),  5,000원","12:40,  슈퍼배드 3(3D 더빙),  8,000원","14:30,  스파이더맨: 홈 커밍(3D 디지털),  8,000원","17:05,  슈퍼배드 3(3D 더빙),  8,000원","18:55,  군함도(디지털),  5,000원","21:30,  47 미터(디지털),  5,000원",,,,,,,59
2017-07-27,02관,"10:15,  박열(디지털),  5,000원","12:45,  카3: 새로운 도전(디지털더빙),  5,000원","14:55,  군함도(디지털),  5,000원","17:30,  덩케르크(디지털),  5,000원","19:40,  군함도(디지털),  5,000원","22:15,  47 미터(디지털),  5,000원",,,,,,,39
2017-07-28,01관,"09:50,  군함도(디지털),  5,000원","12:25,  슈퍼배드 3(3D 더빙),  8,000원","14:15,  군함도(디지털),  5,000원","16:50,  슈퍼배드 3(3D 더빙),  8,000원","18:40,  군함도(디지털),  5,000원","21:15,  군함도(디지털),  5,000원",,,,,,,59
