상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,좌석수
2015-11-24,01관,"22:00,  킹콩(필름)",,,,,,,,,,101
2015-11-24,02관,"22:00,  킹콩(필름)",,,,,,,,,,48
2015-11-26,01관,"22:00,  킹콩(필름)",,,,,,,,,,101
2015-11-26,02관,"22:00,  킹콩(필름)",,,,,,,,,,48
2015-11-27,01관,"19:00,  도리화가(디지털),  5,000원",,,,,,,,,,101
2015-11-27,02관,"19:00,  도리화가(디지털),  5,000원",,,,,,,,,,48
2015-11-28,01관,"15:00,  도리화가(디지털),  5,000원",,,,,,,,,,101
2015-11-28,02관,"15:00,  꾸루꾸루와 친구들: 무지개 나무의 비밀(디지털),  5,000원",,,,,,,,,,48
2015-11-29,01관,"15:00,  도리화가(디지털),  5,000원",,,,,,,,,,101
2015-11-29,02관,"15:00,  도리화가(디지털),  5,000원",,,,,,,,,,48
2015-12-01,01관,"10:00,  도리화가(디지털)","13:00,  도리화가(디지털),  5,000원","15:30,  도리화가(디지털)","18:30,  도리화가(디지털)","20:50,  도리화가(디지털),  5,000원",,,,,,101
2015-12-01,02관,"11:00,  꾸루꾸루와 친구들: 무지개 나무의 비밀(디지털)","13:00,  꾸루꾸루와 친구들: 무지개 나무의 비밀(디지털)","15:00,  열정같은소리하고있네(디지털),  5,000원","18:40,  열정같은소리하고있네(디지털),  5,000원","21:10,  열정같은소리하고있네(디지털),  5,000원",,,,,,48
2015-12-02,01관,"10:30,  도리화가(디지털),  5,000원","13:00,  도리화가(디지털),  5,000원","15:30,  도리화가(디지털)","18:30,  도리화가(디지털),  5,000원","20:50,  도리화가(디지털)",,,,,,101
2015-12-02,02관,"11:00,  꾸루꾸루와 친구들: 무지개 나무의 비밀(디지털)","13:10,  꾸루꾸루와 친구들: 무지개 나무의 비밀(디지털)","15:00,  열정같은소리하고있네(디지털),  5,000원","18:40,  열정같은소리하고있네(디지털),  5,000원","21:10,  열정같은소리하고있네(디지털)",,,,,,48
2015-12-03,01관,"10:30,  도리화가(디지털),  5,000원","13:00,  하트 오브 더 씨(디지털),  5,000원","16:00,  내부자들(디지털),  5,000원","18:30,  하트 오브 더 씨(디지털),  5,000원","21:00,  내부자들(디지털),  5,000원",,,,,,101
2015-12-03,02관,"11:00,  꾸루꾸루와 친구들: 무지개 나무의 비밀(디지털)","13:10,  검은 사제들(디지털),  5,000원","15:30,  열정같은소리하고있네(디지털)","18:45,  도리화가(디지털),  5,000원","21:10,  열정같은소리하고있네(디지털),  5,000원",,,,,,48
2015-12-04,01관,"10:00,  하트 오브 더 씨(디지털),  5,000원","13:20,  꾸루꾸루와 친구들: 무지개 나무의 비밀(디지털),  5,000원","16:00,  도리화가(디지털)","18:30,  검은 사제들(디지털),  5,000원","20:50,  내부자들(디지털),  5,000원",,,,,,101
2015-12-04,02관,"10:00,  열정같은소리하고있네(디지털),  5,000원","13:00,  도리화가(디지털),  5,000원","15:30,  내부자들(디지털),  5,000원","18:45,  하트 오브 더 씨(디지털),  5,000원","21:10,  열정같은소리하고있네(디지털),  5,000원",,,,,,48
2015-12-05,01관,"10:30,  도리화가(디지털),  5,000원","13:00,  열정같은소리하고있네(디지털),  5,000원","15:30,  내부자들(디지털),  5,000원","18:30,  검은 사제들(디지털),  5,000원","20:50,  내부자들(디지털),  5,000원",,,,,,101
2015-12-05,02관,"11:00,  꾸루꾸루와 친구들: 무지개 나무의 비밀(디지털),  5,000원","13:10,  하트 오브 더 씨(디지털),  5,000원","15:30,  도리화가(디지털),  5,000원","18:45,  하트 오브 더 씨(디지털),  5,000원","21:10,  열정같은소리하고있네(디지털),  5,000원",,,,,,48
2015-12-06,01관,"10:30,  도리화가(디지털)","13:00,  열정같은소리하고있네(디지털)","15:30,  내부자들(디지털),  5,000원","18:30,  검은 사제들(디지털),  5,000원","20:50,  내부자들(디지털),  5,000원",,,,,,101
2015-12-06,02관,"11:00,  꾸루꾸루와 친구들: 무지개 나무의 비밀(디지털),  5,000원","13:10,  하트 오브 더 씨(디지털),  5,000원","15:30,  도리화가(디지털),  5,000원","18:45,  하트 오브 더 씨(디지털),  5,000원","21:10,  열정같은소리하고있네(디지털),  5,000원",,,,,,48
2015-12-07,01관,"10:30,  도리화가(디지털)","13:00,  열정같은소리하고있네(디지털)","15:30,  내부자들(디지털),  5,000원","18:30,  검은 사제들(디지털),  5,000원","20:50,  내부자들(디지털),  5,000원",,,,,,101
2015-12-07,02관,"11:00,  꾸루꾸루와 친구들: 무지개 나무의 비밀(디지털),  5,000원","13:10,  하트 오브 더 씨(디지털)","15:30,  열정같은소리하고있네(디지털)","18:45,  하트 오브 더 씨(디지털),  5,000원","21:10,  도리화가(디지털),  5,000원",,,,,,48
2015-12-08,01관,"10:30,  도리화가(디지털),  5,000원","13:00,  열정같은소리하고있네(디지털),  5,000원","15:30,  내부자들(디지털),  5,000원","18:30,  검은 사제들(디지털),  5,000원","20:50,  내부자들(디지털),  5,000원",,,,,,101
2015-12-08,02관,"11:00,  꾸루꾸루와 친구들: 무지개 나무의 비밀(디지털)","13:00,  하트 오브 더 씨(디지털)","15:30,  열정같은소리하고있네(디지털)","18:45,  하트 오브 더 씨(디지털),  5,000원","21:10,  도리화가(디지털),  5,000원",,,,,,48
2015-12-09,01관,"10:00,  검은 사제들(디지털),  5,000원","13:20,  내부자들(디지털),  5,000원","16:00,  도리화가(디지털),  5,000원","18:30,  내부자들(디지털),  5,000원","20:50,  검은 사제들(디지털),  5,000원",,,,,,101
2015-12-09,02관,"10:00,  하트 오브 더 씨(디지털),  5,000원","13:00,  꾸루꾸루와 친구들: 무지개 나무의 비밀(디지털),  5,000원","15:30,  열정같은소리하고있네(디지털),  5,000원","18:45,  하트 오브 더 씨(디지털),  5,000원","21:10,  도리화가(디지털),  5,000원",,,,,,48
2015-12-10,01관,"10:30,  도리화가(디지털)","13:00,  하트 오브 더 씨(디지털),  5,000원","15:30,  열정같은소리하고있네(디지털),  5,000원","18:30,  검은 사제들(디지털),  5,000원","20:50,  내부자들(디지털),  5,000원",,,,,,101
2015-12-10,02관,"11:00,  내부자들(디지털),  5,000원","13:10,  꾸루꾸루와 친구들: 무지개 나무의 비밀(디지털)","15:30,  도리화가(디지털),  5,000원","18:45,  하트 오브 더 씨(디지털),  5,000원","21:10,  검은 사제들(디지털),  5,000원",,,,,,48
2015-12-11,01관,"10:30,  하트 오브 더 씨(디지털),  5,000원","13:00,  열정같은소리하고있네(디지털),  5,000원","15:30,  내부자들(디지털),  5,000원",,"20:50,  도리화가(디지털),  5,000원",,,,,,101
2015-12-11,02관,"11:00,  꾸루꾸루와 친구들: 무지개 나무의 비밀(디지털)","13:10,  도리화가(디지털)","15:30,  검은 사제들(디지털),  5,000원","18:45,  내부자들(디지털),  5,000원","21:10,  하트 오브 더 씨(디지털),  5,000원",,,,,,48
2015-12-12,01관,"10:30,  도리화가(디지털),  5,000원","13:00,  열정같은소리하고있네(디지털),  5,000원","15:30,  내부자들(디지털),  5,000원","18:30,  검은 사제들(디지털),  5,000원","20:50,  내부자들(디지털),  5,000원",,,,,,101
