상영일자,상영관,1회,2회,3회,4회,5회,좌석수
2015-01-01,01관,"10:00,  대장 부리바(디지털),  2,000원","13:00,  애수(디지털),  2,000원","15:00,  자이언트(디지털),  2,000원",,,260
2015-01-02,01관,"10:00,  대장 부리바(디지털)","13:00,  애수(디지털),  2,000원","15:00,  자이언트(디지털),  2,000원",,,260
2015-01-03,01관,"10:00,  대장 부리바(디지털),  2,000원","12:00,  애수(디지털),  2,000원","15:00,  자이언트(디지털),  2,000원",,,260
2015-01-05,01관,"10:00,  클레오파트라와 이틀밤(디지털),  2,000원","13:00,  클레오파트라와 이틀밤(디지털),  2,000원","15:00,  클레오파트라와 이틀밤(디지털),  2,000원",,,260
2015-01-06,01관,"10:00,  클레오파트라와 이틀밤(디지털),  2,000원","13:00,  클레오파트라와 이틀밤(디지털),  2,000원","15:00,  클레오파트라와 이틀밤(디지털),  2,000원",,,260
2015-01-07,01관,"10:00,  황야의 7인(디지털),  2,000원","12:00,  황야의 7인(디지털),  2,000원","15:00,  황야의 7인(디지털),  2,000원",,,260
2015-01-08,01관,"10:00,  황야의 7인(디지털),  2,000원","13:00,  황야의 7인(디지털),  2,000원","15:00,  황야의 7인(디지털),  2,000원",,,260
2015-01-09,01관,"10:00,  미워도 다시 한번(디지털),  2,000원","13:00,  미워도 다시 한번(디지털),  2,000원","15:00,  미워도 다시 한번(디지털),  2,000원",,,260
2015-01-10,01관,"10:00,  미워도 다시 한번(디지털),  2,000원","12:00,  미워도 다시 한번(디지털),  2,000원","15:00,  미워도 다시 한번(디지털),  2,000원",,,260
2015-01-12,01관,"10:00,  카라마조프가의 형제들(디지털),  2,000원","13:00,  카라마조프가의 형제들(디지털),  2,000원","15:00,  카라마조프가의 형제들(디지털),  2,000원",,,260
2015-01-13,01관,"10:00,  카라마조프가의 형제들(디지털),  2,000원","13:00,  카라마조프가의 형제들(디지털),  2,000원","15:00,  카라마조프가의 형제들(디지털),  2,000원",,,260
2015-01-14,01관,"10:00,  카라마조프가의 형제들(디지털),  2,000원","12:00,  카라마조프가의 형제들(디지털),  2,000원","15:00,  카라마조프가의 형제들(디지털),  2,000원",,,260
2015-01-15,01관,"10:00,  알렉산더대왕(디지털),  2,000원","13:00,  알렉산더대왕(디지털),  2,000원","15:00,  알렉산더대왕(디지털),  2,000원",,,260
2015-01-16,01관,"10:00,  알렉산더대왕(디지털),  2,000원","13:00,  알렉산더대왕(디지털),  2,000원","15:00,  알렉산더대왕(디지털),  2,000원",,,260
2015-01-17,01관,"10:00,  알렉산더대왕(디지털),  2,000원","12:00,  알렉산더대왕(디지털),  2,000원","15:00,  알렉산더대왕(디지털),  2,000원",,,260
2015-01-19,01관,"10:00,  돈 보더 투 노크(디지털),  2,000원","13:00,  돈 보더 투 노크(디지털),  2,000원","15:00,  돈 보더 투 노크(디지털),  2,000원",,,260
2015-01-20,01관,"10:00,  돈 보더 투 노크(디지털),  2,000원","13:00,  돈 보더 투 노크(디지털),  2,000원","15:00,  돈 보더 투 노크(디지털),  2,000원",,,260
2015-01-21,01관,"10:00,  미워도 다시 한번 2(디지털),  2,000원","12:00,  미워도 다시 한번 2(디지털),  2,000원","15:00,  미워도 다시 한번 2(디지털),  2,000원",,,260
2015-01-22,01관,"10:00,  미워도 다시 한번 2(디지털),  2,000원","13:00,  미워도 다시 한번 2(디지털),  2,000원","15:00,  미워도 다시 한번 2(디지털),  2,000원",,,260
2015-01-23,01관,"10:00,  헨리 5세(디지털),  2,000원","13:00,  헨리 5세(디지털),  2,000원","15:00,  헨리 5세(디지털),  2,000원",,,260
2015-01-24,01관,"10:00,  헨리 5세(디지털),  2,000원","12:00,  헨리 5세(디지털),  2,000원","15:00,  헨리 5세(디지털),  2,000원",,,260
2015-01-26,01관,"10:00,  산하는 요원하다 / 수색(디지털),  2,000원","12:00,  산하는 요원하다 / 수색(디지털),  2,000원","15:00,  산하는 요원하다 / 수색(디지털),  2,000원",,,260
2015-01-27,01관,"10:00,  산하는 요원하다 / 수색(디지털),  2,000원","13:00,  산하는 요원하다 / 수색(디지털),  2,000원","15:00,  산하는 요원하다 / 수색(디지털),  2,000원",,,260
2015-01-28,01관,"10:00,  산하는 요원하다 / 수색(디지털),  2,000원","12:00,  산하는 요원하다 / 수색(디지털),  2,000원","15:00,  산하는 요원하다 / 수색(디지털),  2,000원",,,260
2015-01-29,01관,"10:00,  미워도 다시 한번 3(디지털),  2,000원","13:00,  미워도 다시 한번 3(디지털),  2,000원","15:00,  미워도 다시 한번 3(디지털),  2,000원",,,260
2015-01-30,01관,"10:00,  미워도 다시 한번 3(디지털),  2,000원","13:00,  미워도 다시 한번 3(디지털),  2,000원","15:00,  미워도 다시 한번 3(디지털),  2,000원",,,260
2015-01-31,01관,"10:00,  미워도 다시 한번 3(디지털),  2,000원","12:00,  미워도 다시 한번 3(디지털),  2,000원","15:00,  미워도 다시 한번 3(디지털),  2,000원",,,260
2015-02-02,01관,"10:00,  워터 프론트(필름),  2,000원","13:00,  워터 프론트(필름),  2,000원","15:00,  워터 프론트(필름),  2,000원",,,260
2015-02-03,01관,"10:00,  워터 프론트(필름),  2,000원","13:00,  워터 프론트(필름),  2,000원","15:00,  워터 프론트(필름),  2,000원",,,260
2015-02-04,01관,"10:00,  미움이 변하여(디지털),  2,000원","12:00,  미움이 변하여(디지털),  2,000원","15:00,  미움이 변하여(디지털),  2,000원",,,260
2015-02-05,01관,"10:00,  미움이 변하여(디지털),  2,000원","13:00,  미움이 변하여(디지털),  2,000원","15:00,  미움이 변하여(디지털),  2,000원",,,260
2015-02-06,01관,"10:00,  허슬러(디지털),  2,000원","13:00,  허슬러(디지털),  2,000원","15:00,  허슬러(디지털),  2,000원",,,260
2015-02-07,01관,"10:00,  허슬러(디지털),  2,000원","12:00,  허슬러(디지털),  2,000원","15:00,  허슬러(디지털),  2,000원",,,260
2015-02-09,01관,"10:00,  애혼(디지털),  2,000원","13:00,  애혼(디지털),  2,000원","15:00,  애혼(디지털),  2,000원",,,260
2015-02-10,01관,"10:00,  애혼(디지털),  2,000원","13:00,  애혼(디지털),  2,000원","15:00,  애혼(디지털),  2,000원",,,260
2015-02-11,01관,"10:00,  애혼(디지털),  2,000원","12:00,  애혼(디지털),  2,000원","15:00,  애혼(디지털),  2,000원",,,260
2015-02-12,01관,"10:00,  쇼처럼 즐거운 인생은 없다(디지털),  2,000원","13:00,  쇼처럼 즐거운 인생은 없다(디지털),  2,000원","15:00,  쇼처럼 즐거운 인생은 없다(디지털),  2,000원",,,260
