상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,좌석수
2015-01-01,01관,"10:30,  장군의 아들(디지털),  2,000원","12:30,  장군의 아들(디지털),  2,000원","14:30,  장군의 아들(디지털),  2,000원","16:30,  장군의 아들(디지털),  2,000원",,,,,,,283
2015-01-02,01관,"10:30,  장군의 아들(디지털),  2,000원","12:30,  장군의 아들(디지털),  2,000원","14:30,  장군의 아들(디지털),  2,000원","16:30,  장군의 아들(디지털),  2,000원",,,,,,,283
2015-01-03,01관,"10:30,  장군의 아들(디지털),  2,000원","12:30,  장군의 아들(디지털),  2,000원","14:30,  장군의 아들(디지털),  3,000원","16:30,  장군의 아들(디지털),  2,000원",,,,,,,283
2015-01-04,01관,"10:30,  왕과 나(필름),  2,000원","13:10,  왕과 나(필름),  2,000원","15:40,  왕과 나(필름),  3,000원",,,,,,,,283
2015-01-05,01관,"10:30,  왕과 나(필름),  2,000원","13:10,  왕과 나(필름),  2,000원","15:40,  왕과 나(필름),  2,000원","18:10,  순천(디지털),  2,000원","19:20,  순천(디지털),  2,000원","20:30,  순천(디지털),  2,000원",,,,,283
2015-01-06,01관,"10:30,  왕과 나(필름),  2,000원","13:10,  왕과 나(필름),  5,000원","15:40,  왕과 나(필름),  2,000원","08:00,  순천(디지털),  2,000원","09:10,  순천(디지털),  2,000원","18:10,  순천(디지털),  2,000원","19:20,  순천(디지털),  2,000원","20:30,  순천(디지털),  2,000원",,,283
2015-01-07,01관,"10:30,  왕과 나(필름),  2,000원","13:10,  왕과 나(필름),  5,000원","15:50,  왕과 나(필름),  2,000원","08:00,  순천(디지털),  2,000원","09:10,  순천(디지털),  2,000원","18:10,  순천(디지털),  2,000원","19:15,  순천(디지털),  2,000원",,,,283
2015-01-08,01관,"10:30,  리칭의 여선생(필름),  2,000원","12:30,  리칭의 여선생(필름),  2,000원","14:30,  리칭의 여선생(필름),  2,000원","16:30,  리칭의 여선생(필름),  2,000원","18:20,  지존본색(디지털),  2,000원","20:10,  제거자(디지털),  5,000원","08:00,  순천(디지털),  2,000원","09:10,  순천(디지털),  2,000원",,,283
2015-01-09,01관,"10:30,  리칭의 여선생(필름),  2,000원","12:30,  리칭의 여선생(필름),  2,000원","14:30,  리칭의 여선생(필름),  2,000원","16:30,  리칭의 여선생(필름),  2,000원","08:00,  순천(디지털),  2,000원","09:10,  순천(디지털),  2,000원","18:10,  순천(디지털),  2,000원","19:20,  순천(디지털),  2,000원",,,283
2015-01-10,01관,"10:30,  리칭의 여선생(필름),  2,000원","12:30,  리칭의 여선생(필름),  2,000원","14:30,  리칭의 여선생(필름),  5,000원","16:30,  리칭의 여선생(필름),  2,000원","08:00,  순천(디지털),  2,000원","09:10,  순천(디지털),  2,000원","18:10,  순천(디지털),  2,000원","19:15,  순천(디지털),  2,000원",,,283
2015-01-11,01관,"10:30,  리칭의 여선생(필름),  2,000원","12:30,  리칭의 여선생(필름),  2,000원","14:30,  리칭의 여선생(필름),  2,000원","16:30,  리칭의 여선생(필름),  5,000원","08:00,  순천(디지털),  2,000원","09:10,  순천(디지털),  2,000원","18:10,  순천(디지털),  2,000원","19:15,  순천(디지털),  2,000원",,,283
2015-01-12,01관,"10:30,  기적(필름),  2,000원","13:10,  기적(필름),  5,000원","15:50,  기적(필름),  2,000원","08:00,  순천(디지털),  2,000원","09:10,  순천(디지털),  2,000원","18:10,  순천(디지털),  2,000원","19:20,  순천(디지털),  2,000원","20:30,  순천(디지털),  2,000원",,,283
2015-01-13,01관,"10:30,  기적(필름),  2,000원","13:10,  기적(필름),  2,000원","15:50,  기적(필름),  2,000원","08:00,  순천(디지털),  2,000원","09:10,  순천(디지털),  2,000원","18:10,  순천(디지털),  2,000원","19:20,  순천(디지털),  2,000원","20:30,  순천(디지털),  2,000원",,,283
2015-01-14,01관,"10:30,  기적(필름),  2,000원","13:10,  기적(필름),  2,000원","15:50,  기적(필름),  2,000원","08:00,  순천(디지털),  2,000원","09:10,  순천(디지털),  2,000원","18:10,  순천(디지털),  2,000원","19:20,  순천(디지털),  2,000원","20:30,  순천(디지털),  2,000원",,,283
2015-01-15,01관,"10:30,  기적(필름),  2,000원","13:10,  기적(필름),  5,000원","15:50,  기적(필름),  5,000원","08:00,  순천(디지털),  2,000원","09:10,  순천(디지털),  2,000원","18:10,  서바이벌 워(디지털),  2,000원","19:40,  첩혈남아 (디지털),  5,000원",,,,283
2015-01-16,01관,"10:30,  벤허(디지털),  2,000원","14:30,  벤허(디지털),  2,000원","08:00,  순천(디지털),  2,000원","09:10,  순천(디지털),  2,000원","18:20,  순천(디지털),  2,000원","19:30,  순천(디지털),  2,000원","20:40,  순천(디지털),  2,000원",,,,283
2015-01-17,01관,"10:30,  벤허(디지털),  2,000원","14:30,  벤허(디지털),  5,000원","08:00,  순천(디지털),  2,000원","09:10,  순천(디지털),  2,000원","18:20,  순천(디지털),  2,000원","19:30,  순천(디지털),  2,000원","20:40,  순천(디지털),  2,000원",,,,283
2015-01-18,01관,"10:30,  벤허(디지털),  5,000원","14:30,  벤허(디지털),  2,000원","08:00,  순천(디지털),  2,000원","09:10,  순천(디지털),  2,000원","18:20,  순천(디지털),  2,000원","19:30,  순천(디지털),  2,000원","20:40,  순천(디지털),  2,000원",,,,283
