상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,12회,좌석수
2018-12-22,01관,"15:00,  칠곡 가시나들(디지털),  6,000원","17:00,  칠곡 가시나들(디지털),  6,000원",,"19:10,  스윙키즈(디지털),  6,000원",,,,,,,,,47
2018-12-22,02관,"15:10,  스윙키즈(디지털),  6,000원","15:10,  스윙키즈(디지털)","17:50,  그린치(디지털더빙)","19:40,  마약왕(디지털),  6,000원",,,,,,,,,47
2018-12-23,01관,"09:50,  아쿠아맨(디지털),  6,000원","12:30,  스윙키즈(디지털),  6,000원","15:00,  아쿠아맨(디지털),  6,000원","17:40,  그린치(디지털더빙),  6,000원","19:25,  마약왕(디지털),  6,000원","22:00,  스윙키즈(디지털),  6,000원",,,,,,,47
2018-12-23,02관,"10:00,  극장판 포켓몬스터 모두의 이야기(디지털더빙),  6,000원","11:55,  그린치(디지털더빙),  6,000원","13:40,  아쿠아맨(디지털),  6,000원","16:20,  스윙키즈(디지털),  6,000원","18:50,  그린치(디지털더빙)","20:35,  마약왕(디지털),  6,000원",,,,,,,47
2018-12-24,01관,"09:50,  아쿠아맨(디지털)","12:30,  스윙키즈(디지털),  6,000원","15:00,  아쿠아맨(디지털)","17:40,  그린치(디지털더빙)","19:25,  마약왕(디지털),  6,000원","22:00,  스윙키즈(디지털)",,,,,,,47
2018-12-24,02관,"10:00,  그린치(디지털더빙),  6,000원","11:45,  극장판 포켓몬스터 모두의 이야기(디지털더빙),  6,000원","13:40,  아쿠아맨(디지털)","16:20,  스윙키즈(디지털)","18:50,  그린치(디지털더빙),  6,000원","20:35,  마약왕(디지털)",,,,,,,47
2018-12-25,01관,"09:50,  점박이 한반도의 공룡2 : 새로운 낙원(디지털),  6,000원","11:40,  스윙키즈(디지털),  6,000원","14:10,  그린치(디지털더빙),  6,000원","15:55,  범블비(디지털),  6,000원","18:05,  아쿠아맨(디지털)","20:45,  마약왕(디지털),  6,000원",,,,,,,47
2018-12-25,02관,"10:00,  그린치(디지털더빙),  6,000원","11:45,  극장판 포켓몬스터 모두의 이야기(디지털더빙),  6,000원","13:40,  범블비(디지털),  6,000원","15:50,  아쿠아맨(디지털),  6,000원","18:30,  마약왕(디지털),  6,000원","21:05,  스윙키즈(디지털),  6,000원",,,,,,,47
2018-12-26,01관,"10:10,  극장판 포켓몬스터 모두의 이야기(디지털더빙),  5,000원","12:05,  점박이 한반도의 공룡2 : 새로운 낙원(디지털),  5,000원","13:55,  PMC: 더 벙커(디지털),  5,000원","16:15,  스윙키즈(디지털),  5,000원","18:45,  PMC: 더 벙커(디지털),  5,000원","21:05,  마약왕(디지털),  5,000원",,,,,,,47
2018-12-26,02관,"10:20,  극장판 포켓몬스터 모두의 이야기(디지털더빙),  5,000원","12:15,  그린치(디지털더빙),  5,000원","14:00,  범블비(디지털),  5,000원","16:10,  아쿠아맨(디지털),  5,000원","18:50,  마약왕(디지털),  5,000원","21:25,  범블비(디지털)",,,,,,,47
