상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,좌석수
2017-09-19,01관,"23:00,  킹콩(필름)",,,,,,,64
2017-09-20,01관,"22:00,  킹콩(필름),  5,000원",,,,,,,64
2017-09-25,01관,"19:00,  아이 캔 스피크(디지털),  5,000원",,,,,,,64
2017-09-25,02관,"19:00,  아이 캔 스피크(디지털),  5,000원",,,,,,,35
2017-09-26,01관,"10:00,  아이 캔 스피크(디지털)","12:25,  아이 캔 스피크(디지털),  5,000원","14:50,  아이 캔 스피크(디지털),  5,000원","17:15,  아이 캔 스피크(디지털)","19:40,  아이 캔 스피크(디지털),  5,000원",,,64
2017-09-26,02관,"11:00,  아이 캔 스피크(디지털),  5,000원",,"15:50,  아이 캔 스피크(디지털),  4,000원","18:15,  아이 캔 스피크(디지털),  5,000원","20:40,  아이 캔 스피크(디지털),  5,000원",,,35
2017-09-27,01관,"10:00,  아이 캔 스피크(디지털),  5,000원","12:25,  아이 캔 스피크(디지털),  5,000원","14:50,  아이 캔 스피크(디지털)","17:15,  아이 캔 스피크(디지털),  5,000원","19:40,  아이 캔 스피크(디지털),  5,000원",,,64
2017-09-27,02관,"11:00,  아이 캔 스피크(디지털),  5,000원",,"15:50,  아이 캔 스피크(디지털),  5,000원","18:15,  아이 캔 스피크(디지털),  4,000원","20:40,  아이 캔 스피크(디지털),  5,000원",,,35
2017-09-28,01관,"10:30,  아이 캔 스피크(디지털),  4,000원","12:50,  아이 캔 스피크(디지털),  5,000원","15:10,  아이 캔 스피크(디지털),  4,000원","17:30,  아이 캔 스피크(디지털),  4,000원","19:50,  아이 캔 스피크(디지털),  5,000원",,,64
2017-09-28,02관,,"11:50,  킹스맨: 골든 서클(디지털),  5,000원","14:30,  레고 닌자고 무비(디지털),  5,000원","16:30,  레고 닌자고 무비(디지털),  5,000원","18:40,  킹스맨: 골든 서클(디지털),  5,000원","21:20,  킹스맨: 골든 서클(디지털),  5,000원",,35
2017-09-29,01관,"10:30,  아이 캔 스피크(디지털),  5,000원","12:50,  아이 캔 스피크(디지털),  5,000원","15:10,  아이 캔 스피크(디지털),  5,000원","17:30,  아이 캔 스피크(디지털),  5,000원","19:50,  아이 캔 스피크(디지털),  5,000원",,,64
2017-09-29,02관,,"11:50,  킹스맨: 골든 서클(디지털),  5,000원",,"16:30,  레고 닌자고 무비(디지털),  5,000원","18:40,  킹스맨: 골든 서클(디지털),  5,000원","21:20,  킹스맨: 골든 서클(디지털),  5,000원",,35
2017-09-30,01관,"10:30,  아이 캔 스피크(디지털),  5,000원","12:50,  아이 캔 스피크(디지털),  5,000원","15:10,  아이 캔 스피크(디지털),  5,000원","17:30,  아이 캔 스피크(디지털),  5,000원","19:50,  아이 캔 스피크(디지털),  5,000원",,,64
2017-09-30,02관,"09:50,  레고 닌자고 무비(디지털),  5,000원","11:50,  킹스맨: 골든 서클(디지털),  5,000원","14:30,  레고 닌자고 무비(디지털),  5,000원","16:30,  레고 닌자고 무비(디지털),  5,000원","18:40,  킹스맨: 골든 서클(디지털),  5,000원","21:20,  킹스맨: 골든 서클(디지털),  5,000원",,35
2017-10-01,01관,"10:30,  아이 캔 스피크(디지털),  5,000원","12:50,  아이 캔 스피크(디지털),  5,000원","15:10,  아이 캔 스피크(디지털),  5,000원","17:30,  아이 캔 스피크(디지털),  5,000원","19:50,  아이 캔 스피크(디지털),  5,000원",,,64
2017-10-01,02관,"09:50,  레고 닌자고 무비(디지털),  5,000원","11:50,  킹스맨: 골든 서클(디지털),  5,000원","14:30,  레고 닌자고 무비(디지털),  5,000원","16:30,  레고 닌자고 무비(디지털),  5,000원","18:40,  킹스맨: 골든 서클(디지털),  5,000원","21:20,  킹스맨: 골든 서클(디지털),  5,000원",,35
2017-10-02,01관,"10:30,  아이 캔 스피크(디지털),  5,000원","12:50,  아이 캔 스피크(디지털),  5,000원","15:10,  아이 캔 스피크(디지털),  5,000원","17:30,  아이 캔 스피크(디지털),  5,000원","19:50,  아이 캔 스피크(디지털),  5,000원",,,64
2017-10-02,02관,"09:50,  레고 닌자고 무비(디지털),  5,000원","11:50,  킹스맨: 골든 서클(디지털),  5,000원","14:30,  레고 닌자고 무비(디지털),  5,000원","16:30,  레고 닌자고 무비(디지털),  5,000원","18:40,  킹스맨: 골든 서클(디지털),  5,000원","21:20,  킹스맨: 골든 서클(디지털),  5,000원",,35
2017-10-03,01관,"10:00,  아이 캔 스피크(디지털),  5,000원","12:25,  남한산성(디지털),  5,000원","15:10,  남한산성(디지털),  5,000원","17:55,  남한산성(디지털),  5,000원","20:40,  남한산성(디지털),  5,000원",,,64
2017-10-03,02관,,"11:40,  킹스맨: 골든 서클(디지털),  5,000원","14:20,  레고 닌자고 무비(디지털더빙),  5,000원","16:20,  아이 캔 스피크(디지털),  5,000원","18:40,  남한산성(디지털),  5,000원","21:20,  킹스맨: 골든 서클(디지털),  5,000원",,35
2017-10-04,01관,"10:00,  아이 캔 스피크(디지털),  5,000원","12:25,  남한산성(디지털),  5,000원","15:10,  남한산성(디지털),  5,000원","17:55,  남한산성(디지털),  5,000원","20:40,  남한산성(디지털),  5,000원",,,64
2017-10-04,02관,,"11:40,  킹스맨: 골든 서클(디지털),  5,000원","14:20,  레고 닌자고 무비(디지털더빙),  5,000원","16:20,  아이 캔 스피크(디지털),  5,000원","18:40,  남한산성(디지털),  5,000원","21:20,  킹스맨: 골든 서클(디지털),  5,000원",,35
2017-10-05,01관,"10:00,  아이 캔 스피크(디지털),  5,000원","12:25,  남한산성(디지털),  5,000원","15:10,  남한산성(디지털),  5,000원","17:55,  남한산성(디지털),  5,000원","20:40,  남한산성(디지털),  5,000원",,,64
2017-10-05,02관,"09:40,  레고 닌자고 무비(디지털더빙),  5,000원","11:40,  킹스맨: 골든 서클(디지털),  5,000원","14:20,  레고 닌자고 무비(디지털더빙),  5,000원","16:20,  아이 캔 스피크(디지털),  5,000원","18:40,  남한산성(디지털),  5,000원","21:20,  킹스맨: 골든 서클(디지털),  5,000원",,35
2017-10-06,01관,"10:00,  아이 캔 스피크(디지털),  5,000원","12:25,  남한산성(디지털),  5,000원","15:10,  남한산성(디지털),  5,000원","17:55,  남한산성(디지털),  5,000원","20:40,  남한산성(디지털),  5,000원",,,64
2017-10-06,02관,"09:40,  레고 닌자고 무비(디지털더빙),  5,000원","11:40,  킹스맨: 골든 서클(디지털),  5,000원","14:20,  레고 닌자고 무비(디지털더빙),  5,000원","16:20,  아이 캔 스피크(디지털),  5,000원","18:40,  남한산성(디지털),  5,000원","21:20,  킹스맨: 골든 서클(디지털),  5,000원",,35
2017-10-07,01관,"10:00,  아이 캔 스피크(디지털),  5,000원","12:25,  남한산성(디지털),  5,000원","15:10,  남한산성(디지털),  5,000원","17:55,  남한산성(디지털),  5,000원","20:40,  남한산성(디지털),  5,000원",,,64
2017-10-07,02관,"09:40,  레고 닌자고 무비(디지털더빙),  5,000원","11:40,  킹스맨: 골든 서클(디지털),  5,000원","14:20,  레고 닌자고 무비(디지털더빙),  5,000원","16:20,  아이 캔 스피크(디지털),  5,000원","18:40,  남한산성(디지털),  5,000원","21:20,  킹스맨: 골든 서클(디지털),  5,000원",,35
2017-10-08,01관,"10:00,  아이 캔 스피크(디지털),  5,000원","12:25,  남한산성(디지털),  5,000원","15:10,  남한산성(디지털),  5,000원","17:55,  남한산성(디지털),  5,000원","20:40,  남한산성(디지털),  5,000원",,,64
2017-10-08,02관,"09:40,  레고 닌자고 무비(디지털더빙),  5,000원","11:40,  킹스맨: 골든 서클(디지털),  5,000원","14:20,  레고 닌자고 무비(디지털더빙),  5,000원","16:20,  아이 캔 스피크(디지털),  5,000원","18:40,  남한산성(디지털),  5,000원","21:20,  킹스맨: 골든 서클(디지털),  5,000원",,35
2017-10-09,01관,"10:00,  아이 캔 스피크(디지털),  5,000원","12:25,  남한산성(디지털),  5,000원","15:10,  남한산성(디지털),  5,000원","17:55,  남한산성(디지털),  5,000원","20:40,  남한산성(디지털),  5,000원",,,64
