상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,좌석수
2015-01-01,01관,"10:00,  내일을 위한 시간(디지털),  5,000원","11:50,  꾸뻬씨의 행복여행(디지털),  8,000원","14:10,  무드 인디고(디지털),  8,000원","16:00,  클라우즈 오브 실스마리아(디지털),  8,000원","18:20,  내일을 위한 시간(디지털),  8,000원","20:10,  무드 인디고(디지털),  8,000원",,,,,90
2015-01-01,02관,"10:30,  님아, 그 강을 건너지 마오(디지털),  8,000원","12:20,  제자, 옥한흠(디지털),  8,000원","14:10,  쿼바디스(디지털),  8,000원","16:10,  그 사람 그 사랑 그 세상(디지털),  8,000원","18:00,  님아, 그 강을 건너지 마오(디지털),  8,000원","19:50,  쿼바디스(디지털),  8,000원",,,,,52
2015-01-02,01관,"13:00,  클라우즈 오브 실스마리아(디지털),  8,000원","15:20,  꾸뻬씨의 행복여행(디지털),  8,000원","17:40,  무드 인디고(디지털),  8,000원","19:40,  내일을 위한 시간(디지털),  8,000원",,,,,,,90
2015-01-02,02관,"12:50,  님아, 그 강을 건너지 마오(디지털),  8,000원","14:30,  쿼바디스(디지털),  8,000원","16:30,  그 사람 그 사랑 그 세상(디지털),  8,000원","18:20,  쿼바디스(디지털),  8,000원","20:20,  제자, 옥한흠(디지털),  6,000원",,,,,,52
2015-01-03,01관,"10:30,  꾸뻬씨의 행복여행(디지털),  8,000원","12:50,  클라우즈 오브 실스마리아(디지털),  8,000원","15:20,  내일을 위한 시간(디지털),  8,000원","17:20,  쿼바디스(디지털),  8,000원","19:30,  꾸뻬씨의 행복여행(디지털),  8,000원",,,,,,90
2015-01-03,02관,"10:00,  무드 인디고(디지털),  5,000원","11:50,  쿼바디스(디지털),  8,000원","13:50,  그 사람 그 사랑 그 세상(디지털),  8,000원","15:40,  무드 인디고(디지털),  8,000원","17:30,  클라우즈 오브 실스마리아(디지털),  8,000원","20:00,  내일을 위한 시간(디지털),  8,000원",,,,,52
2015-01-04,01관,"15:30,  클라우즈 오브 실스마리아(디지털),  8,000원","18:00,  꾸뻬씨의 행복여행(디지털),  8,000원","20:20,  쿼바디스(디지털),  8,000원",,,,,,,,90
2015-01-04,02관,"15:10,  님아, 그 강을 건너지 마오(디지털),  8,000원","16:50,  그 사람 그 사랑 그 세상(디지털),  8,000원","18:40,  제자, 옥한흠(디지털),  8,000원","20:30,  그 사람 그 사랑 그 세상(디지털),  8,000원",,,,,,,52
2015-01-05,01관,"10:30,  쿼바디스(디지털)","17:20,  내일을 위한 시간(디지털),  8,000원","19:20,  클라우즈 오브 실스마리아(디지털),  8,000원",,,,,,,,90
2015-01-05,02관,"10:00,  그 사람 그 사랑 그 세상(디지털),  5,000원","17:30,  무드 인디고(디지털),  8,000원","19:30,  꾸뻬씨의 행복여행(디지털),  8,000원",,,,,,,,52
