상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,좌석수
2015-01-02,만화영화상영관,"10:30,  뽀로로 극장판 눈요정 마을 대모험(디지털),  4,000원","11:30,  뽀로로 극장판 눈요정 마을 대모험(디지털),  4,000원","13:00,  뽀로로 극장판 눈요정 마을 대모험(디지털),  4,000원","14:00,  뽀로로 극장판 눈요정 마을 대모험(디지털),  4,000원","15:00,  뽀로로 극장판 눈요정 마을 대모험(디지털),  4,000원","16:00,  뽀로로 극장판 눈요정 마을 대모험(디지털),  4,000원","17:00,  뽀로로 극장판 눈요정 마을 대모험(디지털),  4,000원",386
2015-01-03,만화영화상영관,"10:30,  뽀로로 극장판 눈요정 마을 대모험(디지털),  4,000원","11:30,  뽀로로 극장판 눈요정 마을 대모험(디지털),  4,000원","13:00,  뽀로로 극장판 눈요정 마을 대모험(디지털),  4,000원","14:00,  뽀로로 극장판 눈요정 마을 대모험(디지털),  4,000원","15:00,  뽀로로 극장판 눈요정 마을 대모험(디지털),  4,000원","16:00,  뽀로로 극장판 눈요정 마을 대모험(디지털),  4,000원","17:00,  뽀로로 극장판 눈요정 마을 대모험(디지털),  4,000원",386
2015-01-04,만화영화상영관,"10:30,  뽀로로 극장판 눈요정 마을 대모험(디지털),  4,000원","11:30,  뽀로로 극장판 눈요정 마을 대모험(디지털),  4,000원","13:00,  뽀로로 극장판 눈요정 마을 대모험(디지털),  4,000원","14:00,  뽀로로 극장판 눈요정 마을 대모험(디지털),  4,000원","15:00,  뽀로로 극장판 눈요정 마을 대모험(디지털),  4,000원","16:00,  뽀로로 극장판 눈요정 마을 대모험(디지털),  4,000원","17:00,  뽀로로 극장판 눈요정 마을 대모험(디지털),  4,000원",386
2015-01-06,만화영화상영관,"10:30,  뽀로로 극장판 눈요정 마을 대모험(디지털),  4,000원","11:30,  뽀로로 극장판 눈요정 마을 대모험(디지털),  4,000원","13:00,  뽀로로 극장판 눈요정 마을 대모험(디지털),  4,000원","14:00,  뽀로로 극장판 눈요정 마을 대모험(디지털),  4,000원","15:00,  뽀로로 극장판 눈요정 마을 대모험(디지털),  4,000원","16:00,  뽀로로 극장판 눈요정 마을 대모험(디지털),  4,000원","17:00,  뽀로로 극장판 눈요정 마을 대모험(디지털),  4,000원",386
2015-01-07,만화영화상영관,"10:30,  뽀로로 극장판 눈요정 마을 대모험(디지털),  4,000원","11:30,  뽀로로 극장판 눈요정 마을 대모험(디지털),  3,000원","13:00,  뽀로로 극장판 눈요정 마을 대모험(디지털),  4,000원","14:00,  뽀로로 극장판 눈요정 마을 대모험(디지털),  4,000원","15:00,  뽀로로 극장판 눈요정 마을 대모험(디지털),  4,000원","16:00,  뽀로로 극장판 눈요정 마을 대모험(디지털),  4,000원","17:00,  뽀로로 극장판 눈요정 마을 대모험(디지털),  4,000원",386
2015-01-08,만화영화상영관,"10:30,  뽀로로 극장판 눈요정 마을 대모험(디지털),  4,000원","11:30,  뽀로로 극장판 눈요정 마을 대모험(디지털),  4,000원","13:00,  뽀로로 극장판 눈요정 마을 대모험(디지털),  4,000원","14:00,  뽀로로 극장판 눈요정 마을 대모험(디지털),  4,000원","15:00,  뽀로로 극장판 눈요정 마을 대모험(디지털),  4,000원","16:00,  뽀로로 극장판 눈요정 마을 대모험(디지털),  4,000원","17:00,  뽀로로 극장판 눈요정 마을 대모험(디지털),  4,000원",386
2015-01-09,만화영화상영관,"10:30,  뽀로로 극장판 눈요정 마을 대모험(디지털)","11:30,  뽀로로 극장판 눈요정 마을 대모험(디지털),  4,000원","13:00,  뽀로로 극장판 눈요정 마을 대모험(디지털),  4,000원","14:00,  뽀로로 극장판 눈요정 마을 대모험(디지털),  4,000원","15:00,  뽀로로 극장판 눈요정 마을 대모험(디지털),  4,000원","16:00,  뽀로로 극장판 눈요정 마을 대모험(디지털),  4,000원","17:00,  뽀로로 극장판 눈요정 마을 대모험(디지털),  4,000원",386
2015-01-11,만화영화상영관,"10:30,  뽀로로 극장판 눈요정 마을 대모험(디지털),  4,000원","11:30,  뽀로로 극장판 눈요정 마을 대모험(디지털),  4,000원","13:00,  뽀로로 극장판 눈요정 마을 대모험(디지털),  4,000원","14:00,  뽀로로 극장판 눈요정 마을 대모험(디지털),  4,000원","15:00,  뽀로로 극장판 눈요정 마을 대모험(디지털),  4,000원","16:00,  뽀로로 극장판 눈요정 마을 대모험(디지털),  4,000원","17:00,  뽀로로 극장판 눈요정 마을 대모험(디지털),  4,000원",386
2015-01-13,만화영화상영관,"10:30,  뽀로로 극장판 눈요정 마을 대모험(디지털),  4,000원","11:30,  뽀로로 극장판 눈요정 마을 대모험(디지털),  4,000원","13:00,  뽀로로 극장판 눈요정 마을 대모험(디지털),  4,000원","14:00,  뽀로로 극장판 눈요정 마을 대모험(디지털),  4,000원","16:00,  뽀로로 극장판 눈요정 마을 대모험(디지털),  4,000원","17:00,  뽀로로 극장판 눈요정 마을 대모험(디지털),  4,000원",,386
2015-01-14,만화영화상영관,"10:30,  뽀로로 극장판 눈요정 마을 대모험(디지털),  4,000원","11:30,  뽀로로 극장판 눈요정 마을 대모험(디지털),  4,000원","13:00,  뽀로로 극장판 눈요정 마을 대모험(디지털),  4,000원","14:00,  뽀로로 극장판 눈요정 마을 대모험(디지털),  4,000원","15:00,  뽀로로 극장판 눈요정 마을 대모험(디지털),  4,000원","16:00,  뽀로로 극장판 눈요정 마을 대모험(디지털),  4,000원","17:00,  뽀로로 극장판 눈요정 마을 대모험(디지털),  4,000원",386
