상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,좌석수
2015-01-01,01관,"09:30,  테이큰 3(디지털),  5,000원","11:50,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  5,000원","13:25,  국제시장(디지털),  5,000원","15:50,  호빗: 다섯 군대 전투(디지털),  5,000원","18:35,  기술자들(디지털),  5,000원","20:50,  테이큰 3(디지털),  5,000원",,,,,36
2015-01-01,02관,"10:30,  상의원(디지털),  5,000원","13:00,  님아, 그 강을 건너지 마오(디지털),  5,000원","14:40,  마다가스카의 펭귄(3D 더빙),  8,000원","16:40,  님아, 그 강을 건너지 마오(디지털),  5,000원","18:25,  국제시장(디지털),  5,000원","20:50,  국제시장(디지털),  5,000원",,,,,54
2015-01-02,01관,"09:30,  테이큰 3(디지털),  5,000원","11:40,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  5,000원","13:20,  상의원(디지털),  5,000원","15:50,  호빗: 다섯 군대 전투(디지털),  5,000원","18:35,  기술자들(디지털),  5,000원","20:50,  테이큰 3(디지털),  5,000원",,,,,36
2015-01-02,02관,"10:10,  마다가스카의 펭귄(3D 더빙),  8,000원","12:10,  국제시장(디지털),  5,000원","14:40,  마다가스카의 펭귄(3D 더빙),  8,000원","16:40,  님아, 그 강을 건너지 마오(디지털),  5,000원","18:25,  국제시장(디지털),  5,000원","20:50,  국제시장(디지털),  5,000원",,,,,54
2015-01-03,01관,"09:30,  상의원(디지털)","12:00,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  5,000원","13:40,  테이큰 3(디지털),  5,000원","15:50,  호빗: 다섯 군대 전투(디지털),  5,000원","18:35,  기술자들(디지털),  5,000원","20:50,  테이큰 3(디지털),  5,000원",,,,,36
2015-01-03,02관,"10:10,  마다가스카의 펭귄(3D 더빙),  8,000원","12:10,  국제시장(디지털),  5,000원","14:40,  마다가스카의 펭귄(3D 더빙),  8,000원","16:40,  님아, 그 강을 건너지 마오(디지털),  5,000원","18:25,  국제시장(디지털),  5,000원","20:50,  국제시장(디지털),  5,000원",,,,,54
2015-01-04,01관,"09:30,  테이큰 3(디지털),  5,000원","11:40,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  5,000원","13:20,  상의원(디지털),  5,000원","15:50,  호빗: 다섯 군대 전투(디지털),  5,000원","18:35,  기술자들(디지털),  5,000원","20:50,  테이큰 3(디지털),  5,000원",,,,,36
2015-01-04,02관,"10:10,  마다가스카의 펭귄(3D 더빙),  8,000원","12:10,  국제시장(디지털),  5,000원","14:40,  마다가스카의 펭귄(3D 더빙),  8,000원","16:40,  님아, 그 강을 건너지 마오(디지털),  5,000원","18:25,  국제시장(디지털),  5,000원","20:50,  국제시장(디지털),  5,000원",,,,,54
2015-01-05,01관,"10:00,  호빗: 다섯 군대 전투(디지털),  5,000원","12:50,  눈의 여왕 2: 트롤의 마법거울(디지털더빙)","14:30,  상의원(디지털),  5,000원","17:00,  님아, 그 강을 건너지 마오(디지털),  5,000원","18:50,  테이큰 3(디지털),  5,000원",,,,,,36
2015-01-05,02관,"09:40,  기술자들(디지털)","11:50,  마다가스카의 펭귄(3D 더빙),  8,000원","13:50,  국제시장(디지털),  5,000원","16:20,  마다가스카의 펭귄(3D 더빙),  8,000원","18:20,  국제시장(디지털),  5,000원","20:50,  국제시장(디지털),  5,000원",,,,,54
