상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,12회,13회,14회,15회,16회,17회,좌석수
2018-02-09,01관,"15:45,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원",,,,,,,,,,,,,,,,,59
2018-02-10,01관,"09:50,  염력(디지털),  6,000원","11:50,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","14:10,  아기돼지 3형제와 쿵푸랜드(디지털더빙),  6,000원","15:40,  겨울왕국의 무민(디지털더빙),  6,000원","17:20,  염력(디지털),  6,000원","19:20,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","21:40,  올 더 머니(디지털),  6,000원",,,,,,,,,,,59
2018-02-10,02관,"10:10,  아기돼지 3형제와 쿵푸랜드(디지털더빙),  6,000원","11:40,  겨울왕국의 무민(디지털더빙),  6,000원","13:20,  염력(디지털),  6,000원","15:20,  겨울왕국의 무민(디지털더빙),  6,000원","17:00,  올 더 머니(디지털),  6,000원","19:30,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","21:50,  염력(디지털),  6,000원",,,,,,,,,,,39
2018-02-11,01관,"10:00,  아기돼지 3형제와 쿵푸랜드(디지털더빙),  6,000원","11:30,  겨울왕국의 무민(디지털더빙),  6,000원","13:10,  염력(디지털),  6,000원","15:10,  겨울왕국의 무민(디지털더빙),  6,000원","16:50,  올 더 머니(디지털),  6,000원","19:20,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","21:40,  염력(디지털),  6,000원",,,,,,,,,,,59
2018-02-11,02관,"10:20,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","12:40,  올 더 머니(디지털),  6,000원",,"16:50,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","19:10,  염력(디지털),  6,000원","21:10,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원",,,,,,,,,,,,39
2018-02-12,01관,"10:00,  염력(디지털),  6,000원","12:00,  조선명탐정: 흡혈괴마의 비밀(디지털),  5,000원","14:20,  겨울왕국의 무민(디지털더빙),  6,000원","16:00,  아기돼지 3형제와 쿵푸랜드(디지털더빙),  6,000원","17:30,  올 더 머니(디지털),  6,000원","20:00,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원",,,,,,,,,,,,59
2018-02-12,02관,"10:20,  조선명탐정: 흡혈괴마의 비밀(디지털)","12:40,  겨울왕국의 무민(디지털더빙)","14:20,  아기돼지 3형제와 쿵푸랜드(디지털더빙)","15:50,  올 더 머니(디지털),  6,000원","18:20,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","20:40,  염력(디지털),  6,000원",,,,,,,,,,,,39
2018-02-13,01관,"10:00,  염력(디지털),  6,000원","12:00,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","14:20,  염력(디지털),  6,000원","16:20,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","18:40,  염력(디지털),  6,000원","20:40,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원",,,,,,,,,,,,59
2018-02-13,02관,"10:20,  아기돼지 3형제와 쿵푸랜드(디지털더빙)","11:50,  겨울왕국의 무민(디지털더빙)","13:30,  올 더 머니(디지털)","16:00,  겨울왕국의 무민(디지털더빙),  6,000원","17:40,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","20:00,  올 더 머니(디지털),  6,000원",,,,,,,,,,,,39
2018-02-14,01관,"09:50,  염력(디지털),  6,000원","11:50,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","14:05,  골든슬럼버(디지털),  6,000원","16:10,  흥부: 글로 세상을 바꾼 자(디지털),  6,000원","18:10,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","20:25,  골든슬럼버(디지털),  6,000원","22:30,  흥부: 글로 세상을 바꾼 자(디지털),  6,000원",,,,,,,,,,,59
2018-02-14,02관,"10:00,  아기돼지 3형제와 쿵푸랜드(디지털더빙),  6,000원","11:25,  겨울왕국의 무민(디지털더빙),  6,000원","13:05,  블랙 팬서(디지털),  6,000원","15:35,  올 더 머니(디지털)","18:05,  블랙 팬서(디지털),  6,000원","20:35,  흥부: 글로 세상을 바꾼 자(디지털),  6,000원","22:35,  골든슬럼버(디지털),  6,000원",,,,,,,,,,,39
2018-02-15,01관,"10:00,  염력(디지털)","12:00,  블랙 팬서(디지털),  6,000원","14:30,  골든슬럼버(디지털),  6,000원","16:35,  겨울왕국의 무민(디지털더빙),  6,000원","18:15,  흥부: 글로 세상을 바꾼 자(디지털),  6,000원","20:15,  골든슬럼버(디지털),  6,000원","22:20,  흥부: 글로 세상을 바꾼 자(디지털),  6,000원",,,,,,,,,,,59
2018-02-15,02관,"10:10,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","12:25,  아기돼지 3형제와 쿵푸랜드(디지털더빙),  6,000원","13:50,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","16:05,  블랙 팬서(디지털),  6,000원","18:35,  블랙 팬서(디지털),  6,000원","21:05,  블랙 팬서(디지털),  6,000원",,,,,,,,,,,,39
2018-02-16,01관,"10:00,  염력(디지털)","12:00,  블랙 팬서(디지털),  6,000원","14:30,  골든슬럼버(디지털),  6,000원","16:35,  겨울왕국의 무민(디지털더빙),  6,000원","18:15,  흥부: 글로 세상을 바꾼 자(디지털),  6,000원","20:15,  골든슬럼버(디지털),  6,000원","22:20,  흥부: 글로 세상을 바꾼 자(디지털),  6,000원",,,,,,,,,,,59
2018-02-16,02관,"10:10,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","12:25,  아기돼지 3형제와 쿵푸랜드(디지털더빙),  6,000원","13:50,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","16:05,  블랙 팬서(디지털),  6,000원","18:35,  블랙 팬서(디지털),  6,000원","21:05,  블랙 팬서(디지털),  6,000원",,,,,,,,,,,,39
2018-02-17,01관,"10:00,  염력(디지털),  6,000원","12:00,  블랙 팬서(디지털),  6,000원","14:30,  골든슬럼버(디지털),  6,000원","16:35,  겨울왕국의 무민(디지털더빙),  5,000원","18:15,  흥부: 글로 세상을 바꾼 자(디지털),  6,000원","20:15,  골든슬럼버(디지털),  6,000원","22:20,  흥부: 글로 세상을 바꾼 자(디지털),  6,000원",,,,,,,,,,,59
2018-02-17,02관,"10:10,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","12:25,  아기돼지 3형제와 쿵푸랜드(디지털더빙),  6,000원","13:50,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","16:05,  블랙 팬서(디지털),  6,000원","18:35,  블랙 팬서(디지털),  6,000원","21:05,  블랙 팬서(디지털),  6,000원",,,,,,,,,,,,39
2018-02-18,01관,"10:00,  염력(디지털),  6,000원","12:00,  블랙 팬서(디지털),  6,000원","14:30,  골든슬럼버(디지털),  6,000원","16:35,  겨울왕국의 무민(디지털더빙),  6,000원","18:15,  흥부: 글로 세상을 바꾼 자(디지털),  6,000원","20:15,  골든슬럼버(디지털),  6,000원","22:20,  흥부: 글로 세상을 바꾼 자(디지털),  6,000원",,,,,,,,,,,59
2018-02-18,02관,"10:10,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","12:25,  아기돼지 3형제와 쿵푸랜드(디지털더빙),  6,000원","13:50,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","16:05,  블랙 팬서(디지털),  6,000원","18:35,  블랙 팬서(디지털),  6,000원","21:05,  블랙 팬서(디지털),  6,000원",,,,,,,,,,,,39
2018-02-19,01관,"10:00,  염력(디지털),  6,000원","12:00,  블랙 팬서(디지털),  6,000원","14:30,  흥부: 글로 세상을 바꾼 자(디지털),  6,000원","16:30,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","18:45,  흥부: 글로 세상을 바꾼 자(디지털),  6,000원","20:45,  골든슬럼버(디지털),  6,000원",,,,,,,,,,,,59
2018-02-19,02관,"10:10,  아기돼지 3형제와 쿵푸랜드(디지털더빙),  6,000원","11:35,  겨울왕국의 무민(디지털더빙),  6,000원","13:15,  골든슬럼버(디지털),  6,000원","15:20,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","17:35,  블랙 팬서(디지털),  6,000원","20:05,  올 더 머니(디지털),  6,000원",,,,,,,,,,,,39
2018-02-20,01관,"10:00,  염력(디지털),  6,000원","12:00,  블랙 팬서(디지털),  6,000원","14:30,  흥부: 글로 세상을 바꾼 자(디지털),  6,000원","16:30,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","19:00,  골든슬럼버(디지털),  6,000원","21:05,  골든슬럼버(디지털),  6,000원",,,,,,,,,,,,59
2018-02-20,02관,"10:10,  아기돼지 3형제와 쿵푸랜드(디지털더빙),  6,000원","11:35,  겨울왕국의 무민(디지털더빙),  6,000원","13:15,  골든슬럼버(디지털),  6,000원","15:20,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","17:35,  블랙 팬서(디지털),  6,000원","20:05,  블랙 팬서(디지털),  6,000원",,,,,,,,,,,,39
2018-02-21,01관,"10:00,  염력(디지털),  6,000원","12:00,  블랙 팬서(디지털),  6,000원","14:30,  흥부: 글로 세상을 바꾼 자(디지털),  6,000원","16:30,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","18:45,  흥부: 글로 세상을 바꾼 자(디지털),  6,000원","20:45,  골든슬럼버(디지털),  6,000원",,,,,,,,,,,,59
2018-02-21,02관,"10:10,  아기돼지 3형제와 쿵푸랜드(디지털더빙),  6,000원","11:35,  겨울왕국의 무민(디지털더빙),  6,000원","13:15,  골든슬럼버(디지털),  6,000원","15:20,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","17:35,  블랙 팬서(디지털),  6,000원","20:05,  블랙 팬서(디지털),  6,000원",,,,,,,,,,,,39
2018-02-22,01관,"09:50,  골든슬럼버(디지털),  6,000원","11:55,  흥부: 글로 세상을 바꾼 자(디지털)","13:55,  골든슬럼버(디지털),  6,000원","16:00,  흥부: 글로 세상을 바꾼 자(디지털),  5,000원","18:00,  골든슬럼버(디지털),  6,000원","20:05,  흥부: 글로 세상을 바꾼 자(디지털),  6,000원","22:05,  골든슬럼버(디지털),  6,000원",,,,,,,,,,,59
