상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,좌석수
2015-01-01,01관,"10:30,  산(디지털),  2,000원","12:40,  산(디지털),  2,000원","14:50,  산(디지털),  7,000원","17:00,  산(디지털),  5,000원","19:00,  그 사람 그 사랑 그 세상(디지털),  7,000원","20:40,  카토 프로젝트(디지털),  2,000원",,,300
2015-01-02,01관,"10:30,  레드 리버(디지털),  2,000원","13:10,  레드 리버(디지털),  7,000원","15:50,  레드 리버(디지털),  2,000원","18:20,  레드 리버(디지털),  2,000원","20:40,  카토 프로젝트(디지털),  2,000원",,,,300
2015-01-03,01관,"10:30,  레드 리버(디지털),  2,000원","13:10,  레드 리버(디지털),  2,000원","15:50,  레드 리버(디지털),  7,000원","18:20,  레드 리버(디지털),  2,000원","20:40,  카토 프로젝트(디지털),  2,000원",,,,300
2015-01-04,01관,"10:30,  레드 리버(디지털),  2,000원","13:10,  레드 리버(디지털),  2,000원","15:50,  레드 리버(디지털),  2,000원","18:20,  레드 리버(디지털),  2,000원","20:40,  카토 프로젝트(디지털),  2,000원",,,,300
2015-01-05,01관,"10:30,  레드 리버(디지털),  2,000원","13:10,  레드 리버(디지털),  2,000원","15:50,  레드 리버(디지털),  2,000원","18:50,  레드 리버(디지털),  2,000원","21:10,  카토 프로젝트(디지털),  2,000원",,,,300
2015-01-06,01관,"10:30,  고종황제와 의사 안중근(디지털),  2,000원","12:50,  고종황제와 의사 안중근(디지털),  2,000원","15:10,  고종황제와 의사 안중근(디지털),  2,000원","17:20,  고종황제와 의사 안중근(디지털),  7,000원","19:20,  카토 프로젝트(디지털),  2,000원","20:30,  카토 프로젝트(디지털),  2,000원",,,300
2015-01-07,01관,"10:30,  고종황제와 의사 안중근(디지털),  2,000원","12:50,  고종황제와 의사 안중근(디지털),  7,000원","15:10,  고종황제와 의사 안중근(디지털),  2,000원","17:20,  고종황제와 의사 안중근(디지털),  2,000원",,,,,300
2015-01-08,01관,"10:30,  고종황제와 의사 안중근(디지털),  2,000원","12:50,  고종황제와 의사 안중근(디지털),  2,000원","15:10,  고종황제와 의사 안중근(디지털),  2,000원","17:20,  고종황제와 의사 안중근(디지털),  2,000원","19:20,  카토 프로젝트(디지털),  2,000원","20:30,  카토 프로젝트(디지털),  2,000원",,,300
2015-01-09,01관,"10:30,  엘머 갠트리(디지털),  7,000원","13:25,  엘머 갠트리(디지털),  2,000원","16:20,  엘머 갠트리(디지털),  7,000원","18:50,  엘머 갠트리(디지털),  2,000원","21:20,  카토 프로젝트(디지털),  2,000원",,,,300
2015-01-10,01관,"10:30,  엘머 갠트리(디지털),  2,000원","13:25,  엘머 갠트리(디지털),  2,000원","16:20,  엘머 갠트리(디지털),  2,000원","18:50,  엘머 갠트리(디지털),  2,000원","21:20,  카토 프로젝트(디지털),  2,000원",,,,300
2015-01-11,01관,"10:30,  엘머 갠트리(디지털),  2,000원","13:25,  엘머 갠트리(디지털),  2,000원","16:20,  엘머 갠트리(디지털),  2,000원","18:50,  엘머 갠트리(디지털),  2,000원","21:20,  카토 프로젝트(디지털),  2,000원",,,,300
2015-01-12,01관,"10:30,  엘머 갠트리(디지털),  2,000원","13:25,  엘머 갠트리(디지털),  2,000원","16:20,  엘머 갠트리(디지털),  2,000원","19:20,  엘머 갠트리(디지털),  2,000원","21:50,  카토 프로젝트(디지털),  2,000원",,,,300
2015-01-13,01관,"10:30,  추억의 장미(디지털),  2,000원","12:50,  추억의 장미(디지털),  7,000원","15:10,  추억의 장미(디지털),  2,000원","17:30,  추억의 장미(디지털),  2,000원","19:40,  카토 프로젝트(디지털),  2,000원","20:50,  카토 프로젝트(디지털),  2,000원",,,300
2015-01-14,01관,"10:30,  추억의 장미(디지털),  7,000원","12:50,  추억의 장미(디지털),  2,000원","15:10,  추억의 장미(디지털),  2,000원","17:30,  추억의 장미(디지털),  7,000원","19:40,  카토 프로젝트(디지털),  2,000원","20:50,  카토 프로젝트(디지털),  2,000원",,,300
2015-01-15,01관,"10:30,  추억의 장미(디지털),  2,000원","12:50,  추억의 장미(디지털),  2,000원","15:10,  추억의 장미(디지털),  7,000원","17:30,  추억의 장미(디지털),  2,000원","19:40,  도도하라(디지털),  2,000원",,,,300
2015-01-16,01관,"10:30,  존 휴스턴 회고전-용서받지 못할 자(디지털),  2,000원","13:00,  존 휴스턴 회고전-용서받지 못할 자(디지털),  0원","15:30,  존 휴스턴 회고전-용서받지 못할 자(디지털),  7,000원","17:50,  존 휴스턴 회고전-용서받지 못할 자(디지털),  2,000원","20:00,  카토 프로젝트(디지털),  2,000원","21:10,  카토 프로젝트(디지털),  2,000원",,,300
2015-01-17,01관,"10:30,  존 휴스턴 회고전-용서받지 못할 자(디지털),  2,000원","13:00,  존 휴스턴 회고전-용서받지 못할 자(디지털),  2,000원","15:30,  존 휴스턴 회고전-용서받지 못할 자(디지털),  7,000원","17:50,  존 휴스턴 회고전-용서받지 못할 자(디지털),  2,000원","20:00,  카토 프로젝트(디지털),  2,000원","21:10,  카토 프로젝트(디지털),  2,000원",,,300
