상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,좌석수
2016-06-20,01관,"22:00,  킹콩(필름)",,,,,,,,30
2016-06-22,01관,"10:30,  사돈의 팔촌(디지털)","12:40,  프랑코포니아(디지털)","14:30,  본 투 비 블루(디지털)","16:30,  프랑코포니아(디지털),  9,000원","18:30,  아가씨(디지털)",,,,30
2016-06-23,01관,"10:30,  본 투 비 블루(디지털)","12:30,  사돈의 팔촌(디지털),  7,000원","14:40,  아가씨(디지털)","17:30,  프랑코포니아(디지털),  8,000원","19:30,  본 투 비 블루(디지털),  9,000원",,,,30
2016-06-24,01관,"10:30,  아가씨(디지털)","13:20,  프랑코포니아(디지털),  7,000원","15:10,  사돈의 팔촌(디지털),  8,000원","17:10,  본 투 비 블루(디지털),  8,000원","19:10,  아가씨(디지털)",,,,30
2016-06-25,01관,"10:30,  사돈의 팔촌(디지털),  0원","12:30,  본 투 비 블루(디지털),  10,000원","14:30,  아가씨(디지털)","17:20,  프랑코포니아(디지털)","19:30,  본 투 비 블루(디지털),  10,000원",,,,30
2016-06-26,01관,"10:30,  아가씨(디지털)","13:20,  사돈의 팔촌(디지털)","15:20,  아가씨(디지털),  10,000원","18:10,  프랑코포니아(디지털),  7,000원","20:00,  본 투 비 블루(디지털),  10,000원",,,,30
2016-06-27,01관,"10:30,  아가씨(디지털)","13:20,  본 투 비 블루(디지털),  9,000원","15:10,  프랑코포니아(디지털)","17:00,  본 투 비 블루(디지털),  7,000원","19:00,  아가씨(디지털)",,,,30
2016-06-28,01관,"10:30,  프랑코포니아(디지털),  7,000원","12:30,  아가씨(디지털)","15:30,  프랑코포니아(디지털)","17:20,  사돈의 팔촌(디지털)","19:20,  본 투 비 블루(디지털)",,,,30
2016-06-29,01관,"10:30,  본 투 비 블루(디지털),  9,000원","12:40,  프랑코포니아(디지털)","14:30,  사돈의 팔촌(디지털)","16:40,  아가씨(디지털)","19:30,  프랑코포니아(디지털),  7,000원",,,,30
2016-06-30,01관,"10:30,  아가씨(디지털),  9,000원","13:20,  본 투 비 블루(디지털),  7,000원","15:20,  프랑코포니아(디지털),  9,000원","17:10,  본 투 비 블루(디지털),  7,000원","19:10,  아가씨(디지털),  7,000원",,,,30
2016-07-01,01관,"10:30,  사돈의 팔촌(디지털),  7,000원","12:30,  우리들(디지털),  7,000원","14:30,  베로니카의 이중생활(디지털),  9,000원","16:30,  아가씨(디지털)","19:30,  본 투 비 블루(디지털),  9,000원",,,,30
2016-07-02,01관,"10:30,  프랑코포니아(디지털),  9,000원",,,,,,,,30
2016-07-03,01관,"10:30,  우리들(디지털),  8,000원","12:20,  본 투 비 블루(디지털),  10,000원",,"17:00,  본 투 비 블루(디지털),  10,000원",,,,,30
2016-07-04,01관,"10:30,  사돈의 팔촌(디지털),  7,000원",,,,,,,,30
2016-07-05,01관,"15:20,  사돈의 팔촌(디지털),  7,000원",,,,,,,,30
2016-07-06,01관,"10:30,  아가씨(디지털),  9,000원",,,,,,,,30
2016-07-07,01관,"10:30,  프랑코포니아(디지털)","12:30,  우리들(디지털),  7,000원","14:30,  본 투 비 블루(디지털),  9,000원","16:30,  진짜로 일어날지도 몰라 기적(디지털),  7,000원","19:30,  환상의 빛(디지털),  7,000원",,,,30
2016-07-08,01관,"10:30,  환상의 빛(디지털),  7,000원","12:40,  진짜로 일어날지도 몰라 기적(디지털),  0원","15:00,  본 투 비 블루(디지털),  9,000원","16:50,  아가씨(디지털)","19:30,  우리들(디지털),  7,000원",,,,30
2016-07-09,01관,"10:30,  우리들(디지털),  8,000원","12:30,  본 투 비 블루(디지털),  10,000원","14:30,  환상의 빛(디지털),  9,000원",,"19:30,  본 투 비 블루(디지털),  9,000원",,,,30
2016-07-10,01관,"10:30,  진짜로 일어날지도 몰라 기적(디지털),  7,000원","13:00,  우리들(디지털),  8,000원","15:00,  프랑코포니아(디지털),  8,000원","17:00,  환상의 빛(디지털),  9,000원","19:30,  본 투 비 블루(디지털),  10,000원",,,,30
2016-07-11,01관,"10:30,  아가씨(디지털)","13:20,  드롭박스(디지털),  7,000원","15:00,  우리들(디지털),  7,000원","16:50,  아가씨(디지털),  9,000원","19:30,  우리들(디지털),  7,000원",,,,30
2016-07-12,01관,"10:30,  본 투 비 블루(디지털)","12:30,  환상의 빛(디지털),  7,000원","14:50,  우리들(디지털),  9,000원","16:50,  진짜로 일어날지도 몰라 기적(디지털),  9,000원","19:30,  환상의 빛(디지털),  7,000원",,,,30
2016-07-13,01관,"10:30,  우리들(디지털)","12:30,  진짜로 일어날지도 몰라 기적(디지털),  9,000원","15:00,  환상의 빛(디지털),  7,000원","17:20,  프랑코포니아(디지털)","19:30,  본 투 비 블루(디지털),  7,000원",,,,30
2016-07-14,01관,"10:30,  환상의 빛(디지털),  7,000원","12:40,  우리들(디지털)","14:30,  아가씨(디지털),  7,000원","17:20,  본 투 비 블루(디지털),  9,000원","19:30,  그렇게 아버지가 된다(필름),  7,000원",,,,30
2016-07-15,01관,"10:30,  그렇게 아버지가 된다(필름)","13:00,  우리들(디지털)","15:00,  본 투 비 블루(디지털),  7,000원","17:00,  환상의 빛(디지털),  9,000원","19:30,  데몰리션(디지털),  7,000원",,,,30
2016-07-16,01관,"10:00,  진짜로 일어날지도 몰라 기적(디지털)","12:30,  그렇게 아버지가 된다(필름),  8,000원","15:00,  바닷마을 다이어리(디지털),  8,000원","17:30,  환상의 빛(디지털),  9,000원","20:00,  데몰리션(디지털),  10,000원",,,,30
2016-07-17,01관,"10:30,  우리들(디지털)","12:30,  데몰리션(디지털),  10,000원","14:40,  환상의 빛(디지털),  8,000원","17:00,  그렇게 아버지가 된다(필름),  8,000원","19:30,  본 투 비 블루(디지털),  10,000원",,,,30
2016-07-18,01관,"10:30,  아가씨(디지털)","13:20,  드롭박스(디지털),  9,000원","15:00,  우리들(디지털),  8,000원","16:50,  아가씨(디지털),  9,000원","19:30,  우리들(디지털),  9,000원",,,,30
2016-07-19,01관,"10:30,  그렇게 아버지가 된다(필름)","13:00,  우리들(디지털)","15:00,  본 투 비 블루(디지털),  8,000원","17:00,  환상의 빛(디지털),  9,000원","19:30,  데몰리션(디지털),  8,000원",,,,30
2016-07-20,01관,"10:00,  환상의 빛(디지털),  9,000원","12:20,  그렇게 아버지가 된다(필름),  9,000원","14:50,  데몰리션(디지털),  9,000원","17:00,  본 투 비 블루(디지털),  9,000원","19:00,  아가씨(디지털)",,,,30
2016-07-21,01관,"10:30,  바그다드 카페 : 디렉터스컷(디지털),  8,000원","12:40,  바닷마을 다이어리(디지털),  8,000원","15:10,  우리들(디지털)","17:10,  데몰리션(디지털),  9,000원","19:20,  바그다드 카페 : 디렉터스컷(디지털),  8,000원",,,,30
2016-07-22,01관,"10:30,  데몰리션(디지털),  9,000원","12:40,  바그다드 카페 : 디렉터스컷(디지털),  9,000원","14:50,  본 투 비 블루(디지털),  9,000원","16:40,  환상의 빛(디지털),  9,000원","19:00,  바닷마을 다이어리(디지털),  9,000원",,,,30
2016-07-23,01관,"10:30,  우리들(디지털),  9,000원","12:30,  바닷마을 다이어리(디지털),  10,000원","15:00,  바그다드 카페 : 디렉터스컷(디지털),  9,000원","17:00,  본 투 비 블루(디지털),  10,000원","19:00,  데몰리션(디지털),  10,000원",,,,30
2016-07-24,01관,"10:30,  환상의 빛(디지털),  10,000원","12:50,  우리들(디지털),  9,000원","14:50,  바닷마을 다이어리(디지털)","17:20,  데몰리션(디지털),  10,000원","19:30,  바그다드 카페 : 디렉터스컷(디지털),  10,000원",,,,30
2016-07-25,01관,"11:30,  우리들(디지털)","13:30,  드롭박스(디지털)","15:30,  드롭박스(디지털)","17:30,  우리들(디지털),  9,000원","19:30,  우리들(디지털)",,,,30
2016-07-26,01관,"10:30,  바닷마을 다이어리(디지털),  9,000원","13:00,  바그다드 카페 : 디렉터스컷(디지털),  9,000원","15:20,  환상의 빛(디지털),  9,000원","17:30,  데몰리션(디지털)","19:30,  본 투 비 블루(디지털)",,,,30
2016-07-27,01관,"10:30,  바그다드 카페 : 디렉터스컷(디지털),  9,000원","12:40,  본 투 비 블루(디지털),  8,000원","14:40,  데몰리션(디지털),  9,000원","16:40,  우리들(디지털)","18:40,  바닷마을 다이어리(디지털),  9,000원",,,,30
2016-07-28,01관,"10:30,  태풍이 지나가고(디지털),  9,000원","12:50,  데몰리션(디지털)","15:00,  환상의 빛(디지털),  8,000원","17:20,  바그다드 카페 : 디렉터스컷(디지털),  9,000원","19:30,  태풍이 지나가고(디지털),  9,000원",,,,30
2016-07-29,01관,"10:30,  본 투 비 블루(디지털),  9,000원","12:30,  태풍이 지나가고(디지털),  9,000원","14:50,  바그다드 카페 : 디렉터스컷(디지털),  9,000원","17:00,  데몰리션(디지털),  8,000원","19:30,  바그다드 카페 : 디렉터스컷(디지털),  8,000원",,,,30
2016-07-30,01관,"10:00,  진짜로 일어날지도 몰라 기적(디지털),  9,000원","12:30,  바닷마을 다이어리(디지털),  9,000원","15:00,  환상의 빛(디지털),  10,000원","17:20,  태풍이 지나가고(디지털),  10,000원","19:40,  그렇게 아버지가 된다(필름),  9,000원",,,,30
2016-07-31,01관,"10:30,  태풍이 지나가고(디지털),  10,000원","12:50,  우리들(디지털),  9,000원","14:50,  바그다드 카페 : 디렉터스컷(디지털),  10,000원","17:00,  본 투 비 블루(디지털),  10,000원","19:00,  데몰리션(디지털),  10,000원",,,,30
2016-08-01,01관,"11:30,  우리들(디지털)","13:30,  드롭박스(디지털),  8,000원","15:10,  드롭박스(디지털),  9,000원","16:50,  우리들(디지털),  9,000원","18:50,  우리들(디지털),  9,000원",,,,30
2016-08-02,01관,"10:00,  바그다드 카페 : 디렉터스컷(디지털),  9,000원","12:20,  우리들(디지털),  9,000원","14:20,  태풍이 지나가고(디지털),  9,000원","16:40,  데몰리션(디지털),  9,000원","18:50,  본 투 비 블루(디지털),  8,000원",,,,30
2016-08-03,01관,"10:00,  본 투 비 블루(디지털),  8,000원","11:50,  환상의 빛(디지털),  9,000원","14:10,  덕혜옹주(디지털),  8,000원","16:30,  비거 스플래쉬(디지털),  9,000원","19:00,  태풍이 지나가고(디지털),  9,000원",,,,30
2016-08-04,01관,"10:00,  보이 앤 더 월드(디지털),  0원","11:50,  덕혜옹주(디지털),  8,000원","14:20,  바그다드 카페 : 디렉터스컷(디지털),  9,000원","16:20,  태풍이 지나가고(디지털),  9,000원","18:40,  비거 스플래쉬(디지털),  9,000원",,,,30
2016-08-05,01관,"10:30,  데몰리션(디지털),  8,000원","12:30,  보이 앤 더 월드(디지털),  7,000원","14:10,  태풍이 지나가고(디지털),  9,000원","16:20,  비거 스플래쉬(디지털),  9,000원","18:50,  덕혜옹주(디지털),  9,000원",,,,30
2016-08-06,01관,"10:30,  보이 앤 더 월드(디지털)","12:20,  태풍이 지나가고(디지털),  10,000원","14:30,  덕혜옹주(디지털),  10,000원","17:00,  바그다드 카페 : 디렉터스컷(디지털),  10,000원","19:20,  비거 스플래쉬(디지털),  10,000원",,,,30
2016-08-07,01관,"10:30,  태풍이 지나가고(디지털),  10,000원","12:50,  보이 앤 더 월드(디지털),  9,000원","14:30,  불의 전차(디지털),  10,000원","16:50,  비거 스플래쉬(디지털),  9,000원","19:20,  환상의 빛(디지털),  9,000원",,,,30
2016-08-08,01관,"11:00,  덕혜옹주(디지털)","13:30,  덕혜옹주(디지털),  8,000원","16:00,  덕혜옹주(디지털),  8,000원","18:30,  덕혜옹주(디지털),  8,000원",,,,,30
2016-08-09,01관,"10:30,  비거 스플래쉬(디지털),  9,000원","12:50,  덕혜옹주(디지털),  9,000원","15:20,  태풍이 지나가고(디지털),  9,000원","17:30,  보이 앤 더 월드(디지털),  9,000원","19:20,  바그다드 카페 : 디렉터스컷(디지털),  8,000원",,,,30
2016-08-10,01관,"10:30,  보이 앤 더 월드(디지털),  9,000원","12:20,  데몰리션(디지털),  9,000원","14:20,  비거 스플래쉬(디지털),  9,000원","16:40,  바그다드 카페 : 디렉터스컷(디지털),  8,000원","18:50,  태풍이 지나가고(디지털),  9,000원",,,,30
2016-08-11,01관,"10:30,  태풍이 지나가고(디지털),  9,000원","12:50,  보이 앤 더 월드(디지털),  9,000원","14:30,  환상의 빛(디지털),  9,000원","16:40,  덕혜옹주(디지털),  9,000원","19:00,  비거 스플래쉬(디지털),  8,000원",,,,30
2016-08-12,01관,"10:30,  바그다드 카페 : 디렉터스컷(디지털),  8,000원","12:40,  태풍이 지나가고(디지털),  9,000원","15:00,  보이 앤 더 월드(디지털)","16:40,  비거 스플래쉬(디지털),  8,000원","19:00,  데몰리션(디지털),  9,000원",,,,30
2016-08-13,01관,"10:30,  태풍이 지나가고(디지털),  10,000원","12:50,  보이 앤 더 월드(디지털),  9,000원","14:40,  덕혜옹주(디지털),  10,000원","17:00,  환상의 빛(디지털),  10,000원","19:20,  비거 스플래쉬(디지털),  10,000원",,,,30
2016-08-14,01관,"10:30,  비거 스플래쉬(디지털),  9,000원","12:50,  태풍이 지나가고(디지털),  10,000원","15:10,  불의 전차(디지털),  9,000원","17:30,  데몰리션(디지털),  10,000원","19:40,  바그다드 카페 : 디렉터스컷(디지털),  10,000원",,,,30
2016-08-15,01관,"10:30,  덕혜옹주(디지털),  9,000원","12:50,  태풍이 지나가고(디지털),  10,000원","15:10,  바그다드 카페 : 디렉터스컷(디지털),  10,000원","17:20,  태풍이 지나가고(디지털),  10,000원","19:30,  비거 스플래쉬(디지털),  9,000원",,,,30
2016-08-16,01관,"10:30,  환상의 빛(디지털),  8,000원","12:40,  보이 앤 더 월드(디지털),  8,000원","14:20,  태풍이 지나가고(디지털),  9,000원","16:40,  데몰리션(디지털),  9,000원","18:40,  바그다드 카페 : 디렉터스컷(디지털),  9,000원",,,,30
2016-08-17,01관,"11:00,  덕혜옹주(디지털),  9,000원",,"17:00,  덕혜옹주(디지털),  9,000원","19:30,  덕혜옹주(디지털),  8,000원",,,,,30
2016-08-18,01관,"10:30,  죽은 시인의 사회(디지털),  9,000원","12:50,  비거 스플래쉬(디지털),  9,000원","15:20,  굿 윌 헌팅(디지털),  9,000원","17:50,  보이 앤 더 월드(디지털)","19:30,  태풍이 지나가고(디지털),  9,000원",,,,30
2016-08-19,01관,"10:00,  태풍이 지나가고(디지털),  9,000원","12:20,  죽은 시인의 사회(디지털),  9,000원","14:50,  바그다드 카페 : 디렉터스컷(디지털),  9,000원","17:00,  굿 윌 헌팅(디지털),  9,000원","19:20,  덕혜옹주(디지털),  9,000원",,,,30
2016-08-20,01관,"10:30,  죽은 시인의 사회(디지털),  10,000원","13:00,  보이 앤 더 월드(디지털),  9,000원","14:40,  굿 윌 헌팅(디지털),  10,000원","17:10,  비거 스플래쉬(디지털),  10,000원","19:30,  태풍이 지나가고(디지털),  10,000원",,,,30
2016-08-21,01관,"10:30,  바그다드 카페 : 디렉터스컷(디지털),  10,000원","12:40,  불의 전차(디지털),  10,000원","15:00,  죽은 시인의 사회(디지털),  10,000원","17:20,  태풍이 지나가고(디지털),  10,000원","19:30,  굿 윌 헌팅(디지털),  10,000원",,,,30
2016-08-22,01관,"11:00,  덕혜옹주(디지털)","13:30,  덕혜옹주(디지털),  8,000원","16:00,  덕혜옹주(디지털),  9,000원","18:30,  덕혜옹주(디지털),  9,000원",,,,,30
2016-08-23,01관,"10:00,  태풍이 지나가고(디지털),  9,000원","12:20,  굿 윌 헌팅(디지털),  9,000원","14:50,  보이 앤 더 월드(디지털),  9,000원","16:30,  죽은 시인의 사회(디지털),  9,000원","19:00,  바그다드 카페 : 디렉터스컷(디지털),  9,000원",,,,30
2016-08-24,01관,"10:00,  비거 스플래쉬(디지털),  9,000원","12:20,  플로렌스(디지털),  9,000원","14:30,  굿 윌 헌팅(디지털),  8,000원","17:00,  덕혜옹주(디지털),  7,000원","19:20,  죽은 시인의 사회(디지털),  9,000원",,,,30
2016-08-25,01관,"10:30,  보이 앤 더 월드(디지털),  8,000원","12:10,  히치콕 트뤼포(디지털),  8,000원","14:00,  플로렌스(디지털),  9,000원","16:10,  굿 윌 헌팅(디지털),  9,000원","18:40,  태풍이 지나가고(디지털),  9,000원",,,,30
2016-08-26,01관,"10:30,  바그다드 카페 : 디렉터스컷(디지털),  9,000원","12:30,  비거 스플래쉬(디지털),  8,000원","14:50,  덕혜옹주(디지털)","17:20,  플로렌스(디지털)","19:30,  히치콕 트뤼포(디지털),  8,000원",,,,30
2016-08-27,01관,"10:30,  죽은 시인의 사회(디지털),  9,000원","13:00,  태풍이 지나가고(디지털),  10,000원","15:20,  히치콕 트뤼포(디지털),  10,000원","17:00,  덕혜옹주(디지털),  9,000원","19:30,  굿 윌 헌팅(디지털),  10,000원",,,,30
2016-08-28,01관,"10:30,  플로렌스(디지털),  9,000원","12:50,  불의 전차(디지털),  10,000원","15:20,  태풍이 지나가고(디지털),  10,000원","17:30,  히치콕 트뤼포(디지털)","19:20,  비거 스플래쉬(디지털),  9,000원",,,,30
2016-08-29,01관,"10:30,  최악의 하루(디지털),  9,000원","12:30,  덕혜옹주(디지털)","14:50,  최악의 하루(디지털),  9,000원","16:40,  덕혜옹주(디지털)","19:00,  최악의 하루(디지털),  9,000원",,,,30
2016-08-30,01관,"10:30,  굿 윌 헌팅(디지털),  9,000원","12:50,  플로렌스(디지털),  9,000원","15:00,  트루스(디지털),  8,000원","17:20,  최악의 하루(디지털),  9,000원","19:20,  히치콕 트뤼포(디지털)",,,,30
2016-08-31,01관,"10:30,  죽은 시인의 사회(디지털),  8,000원","12:50,  태풍이 지나가고(디지털),  8,000원","15:00,  최악의 하루(디지털)","16:50,  비거 스플래쉬(디지털),  9,000원","19:10,  트루스(디지털),  8,000원",,,,30
2016-09-01,01관,"10:30,  트루스(디지털),  9,000원","13:00,  히치콕 트뤼포(디지털),  9,000원","14:40,  덕혜옹주(디지털)","17:10,  최악의 하루(디지털),  9,000원","19:10,  플로렌스(디지털),  8,000원",,,,30
2016-09-02,01관,"10:30,  최악의 하루(디지털),  8,000원","12:20,  트루스(디지털),  9,000원","14:40,  태풍이 지나가고(디지털),  9,000원","17:00,  바그다드 카페 : 디렉터스컷(디지털),  9,000원","19:10,  굿 윌 헌팅(디지털),  9,000원",,,,30
2016-09-03,01관,"10:30,  트루스(디지털),  10,000원","13:00,  죽은 시인의 사회(디지털),  8,000원","15:30,  히치콕 트뤼포(디지털)","17:10,  태풍이 지나가고(디지털),  10,000원","19:10,  플로렌스(디지털),  10,000원",,,,30
2016-09-04,01관,"10:30,  바그다드 카페 : 디렉터스컷(디지털),  10,000원","12:40,  태풍이 지나가고(디지털),  10,000원","15:00,  죽은 시인의 사회(디지털),  9,000원","17:30,  최악의 하루(디지털),  10,000원","19:20,  트루스(디지털),  10,000원",,,,30
2016-09-05,01관,"10:30,  트루스(디지털),  8,000원","12:50,  벤허(디지털),  9,000원","16:50,  굿 윌 헌팅(디지털),  8,000원","19:20,  히치콕 트뤼포(디지털)",,,,,30
2016-09-06,01관,"10:30,  최악의 하루(디지털),  9,000원","12:20,  죽은 시인의 사회(디지털),  8,000원","14:40,  덕혜옹주(디지털)","17:10,  플로렌스(디지털)","19:30,  트루스(디지털),  8,000원",,,,30
2016-09-07,01관,"10:30,  덕혜옹주(디지털)","12:50,  최악의 하루(디지털),  8,000원","14:40,  최악의 하루(디지털),  8,000원","16:30,  덕혜옹주(디지털)","19:00,  최악의 하루(디지털),  9,000원",,,,30
2016-09-08,01관,"10:30,  트루스(디지털),  7,000원","12:50,  포레스트 검프(디지털),  8,000원","15:50,  다음 침공은 어디?(디지털),  8,000원","18:00,  히치콕 트뤼포(디지털),  8,000원","19:40,  죽은 시인의 사회(디지털)",,,,30
2016-09-09,01관,"10:30,  포레스트 검프(디지털),  9,000원","13:10,  플로렌스(디지털),  9,000원","15:20,  히치콕 트뤼포(디지털),  7,000원","17:00,  태풍이 지나가고(디지털),  8,000원","19:30,  다음 침공은 어디?(디지털),  9,000원",,,,30
2016-09-10,01관,"10:00,  굿 윌 헌팅(디지털),  9,000원","12:20,  포레스트 검프(디지털),  9,000원","15:00,  트루스(디지털),  10,000원","17:20,  다음 침공은 어디?(디지털),  10,000원","19:30,  최악의 하루(디지털),  10,000원",,,,30
2016-09-11,01관,"10:30,  포레스트 검프(디지털),  9,000원","13:20,  벤허(디지털),  10,000원","17:20,  태풍이 지나가고(디지털),  10,000원","19:30,  다음 침공은 어디?(디지털),  10,000원",,,,,30
2016-09-12,01관,"10:30,  다음 침공은 어디?(디지털),  9,000원","12:50,  벤허(디지털),  8,000원","16:50,  히치콕 트뤼포(디지털)","18:30,  포레스트 검프(디지털),  9,000원",,,,,30
2016-09-13,01관,"11:30,  최악의 하루(디지털),  9,000원","13:30,  최악의 하루(디지털),  8,000원","15:30,  최악의 하루(디지털),  8,000원","17:30,  최악의 하루(디지털),  9,000원","19:30,  최악의 하루(디지털),  9,000원",,,,30
2016-09-14,01관,"10:30,  굿 윌 헌팅(디지털),  10,000원","12:50,  히치콕 트뤼포(디지털),  10,000원","14:30,  포레스트 검프(디지털),  9,000원","17:20,  플로렌스(디지털),  10,000원","19:30,  다음 침공은 어디?(디지털),  9,000원",,,,30
2016-09-15,01관,"10:30,  다음 침공은 어디?(디지털),  9,000원","12:50,  플로렌스(디지털),  10,000원","15:10,  태풍이 지나가고(디지털),  10,000원","17:20,  최악의 하루(디지털),  10,000원","19:20,  포레스트 검프(디지털),  0원",,,,30
2016-09-16,01관,"10:00,  죽은 시인의 사회(디지털),  10,000원","12:20,  트루스(디지털),  10,000원","14:40,  포레스트 검프(디지털),  9,000원","17:20,  히치콕 트뤼포(디지털),  10,000원","19:20,  다음 침공은 어디?(디지털),  10,000원",,,,30
2016-09-17,01관,"10:30,  최악의 하루(디지털),  9,000원","12:20,  태풍이 지나가고(디지털),  10,000원","14:30,  다음 침공은 어디?(디지털),  10,000원","16:50,  죽은 시인의 사회(디지털),  10,000원","19:20,  트루스(디지털),  10,000원",,,,30
2016-09-18,01관,"10:30,  히치콕 트뤼포(디지털),  10,000원","12:10,  최악의 하루(디지털),  10,000원","14:00,  다음 침공은 어디?(디지털),  10,000원","19:00,  굿 윌 헌팅(디지털),  10,000원",,,,,30
2016-09-19,01관,"10:00,  포레스트 검프(디지털)","12:40,  벤허(디지털),  9,000원","16:40,  트루스(디지털),  9,000원","19:00,  다음 침공은 어디?(디지털),  9,000원",,,,,30
2016-09-20,01관,"10:30,  다음 침공은 어디?(디지털),  8,000원","12:50,  히치콕 트뤼포(디지털),  9,000원","14:30,  죽은 시인의 사회(디지털),  9,000원","16:50,  굿 윌 헌팅(디지털),  9,000원","19:20,  최악의 하루(디지털),  8,000원",,,,30
2016-09-21,01관,"11:30,  최악의 하루(디지털),  9,000원","13:30,  한강블루스(디지털),  8,000원","15:10,  최악의 하루(디지털)","17:00,  한강블루스(디지털)","18:40,  최악의 하루(디지털),  8,000원",,,,30
