상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,좌석수
2016-01-01,현대예술관 시네마1관,"09:50,  스타워즈: 깨어난 포스(디지털),  6,000원","12:20,  몬스터 호텔 2(디지털더빙),  8,000원","16:35,  스타워즈: 깨어난 포스(디지털),  8,000원","19:05,  스타워즈: 깨어난 포스(디지털),  8,000원",,,"21:35,  스타워즈: 깨어난 포스(디지털),  8,000원",,105
2016-01-01,현대예술관 시네마2관,"10:00,  몬스터 호텔 2(디지털더빙),  6,000원","16:20,  대호(디지털),  8,000원","19:00,  대호(디지털),  8,000원",,,,"21:35,  대호(디지털),  8,000원",,105
2016-01-01,현대예술관,"10:00,  조선마술사(디지털),  6,000원","12:20,  조선마술사(디지털),  8,000원","14:40,  조선마술사(디지털),  8,000원","17:00,  조선마술사(디지털),  8,000원","19:20,  조선마술사(디지털),  8,000원",,"21:40,  조선마술사(디지털),  8,000원",,942
2016-01-01,04관,"09:50,  히말라야(디지털),  6,000원","12:10,  히말라야(디지털),  8,000원","14:30,  히말라야(디지털),  8,000원","16:50,  히말라야(디지털),  8,000원","19:10,  히말라야(디지털),  8,000원",,"21:30,  히말라야(디지털),  8,000원",,0
2016-01-02,현대예술관 시네마1관,"10:10,  셜록: 유령신부(디지털),  6,000원","12:30,  몬스터 호텔 2(디지털더빙),  8,000원","16:50,  셜록: 유령신부(디지털),  8,000원","19:10,  셜록: 유령신부(디지털),  8,000원",,,"21:30,  셜록: 유령신부(디지털),  8,000원",,105
2016-01-02,현대예술관 시네마2관,"10:00,  몬스터 호텔 2(디지털더빙),  6,000원","18:50,  스타워즈: 깨어난 포스(디지털),  8,000원",,,,,"21:20,  대호(디지털),  8,000원",,105
2016-01-02,현대예술관,"10:00,  조선마술사(디지털),  6,000원","12:20,  조선마술사(디지털),  8,000원","14:40,  조선마술사(디지털),  8,000원","17:00,  조선마술사(디지털),  8,000원","19:20,  조선마술사(디지털),  8,000원",,"21:40,  조선마술사(디지털),  8,000원",,942
2016-01-02,04관,"09:50,  히말라야(디지털),  6,000원","12:10,  히말라야(디지털),  8,000원","14:30,  히말라야(디지털),  8,000원","16:50,  히말라야(디지털),  8,000원","19:10,  히말라야(디지털),  8,000원",,"21:30,  히말라야(디지털),  8,000원",,0
2016-01-03,현대예술관 시네마1관,"09:50,  셜록: 유령신부(디지털),  6,000원","12:20,  몬스터 호텔 2(디지털더빙),  8,000원","16:50,  셜록: 유령신부(디지털),  8,000원","19:20,  셜록: 유령신부(디지털),  8,000원",,,,,105
2016-01-03,현대예술관 시네마2관,"10:00,  몬스터 호텔 2(디지털더빙),  6,000원","19:20,  스타워즈: 깨어난 포스(디지털),  8,000원",,,,,,,105
