상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,좌석수
2015-01-01,01관,"10:30,  국제시장(디지털),  5,000원","13:10,  기술자들(디지털),  5,000원","15:40,  국제시장(디지털),  5,000원","18:20,  기술자들(디지털),  5,000원","20:50,  호빗: 다섯 군대 전투(디지털),  5,000원",,,,,,57
2015-01-01,02관,"10:10,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  5,000원","12:00,  기술자들(디지털),  5,000원","14:30,  님아, 그 강을 건너지 마오(디지털),  5,000원","16:30,  국제시장(디지털),  5,000원","19:10,  님아, 그 강을 건너지 마오(디지털),  5,000원","21:10,  테이큰 3(디지털),  5,000원",,,,,41
2015-01-02,01관,"10:30,  국제시장(디지털),  5,000원","13:10,  테이큰 3(디지털),  5,000원","15:40,  국제시장(디지털),  5,000원","18:20,  기술자들(디지털),  5,000원","20:50,  호빗: 다섯 군대 전투(디지털),  5,000원",,,,,,57
2015-01-02,02관,"10:10,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  5,000원","12:00,  기술자들(디지털),  5,000원","14:30,  님아, 그 강을 건너지 마오(디지털),  5,000원","16:30,  국제시장(디지털),  5,000원","19:10,  님아, 그 강을 건너지 마오(디지털),  5,000원","21:10,  테이큰 3(디지털),  5,000원",,,,,41
2015-01-03,01관,"10:30,  국제시장(디지털),  5,000원","13:10,  테이큰 3(디지털),  5,000원","15:40,  국제시장(디지털),  5,000원","18:20,  기술자들(디지털),  5,000원","20:50,  호빗: 다섯 군대 전투(디지털),  5,000원",,,,,,57
2015-01-03,02관,"10:00,  님아, 그 강을 건너지 마오(디지털),  5,000원","12:00,  기술자들(디지털),  5,000원","14:30,  님아, 그 강을 건너지 마오(디지털),  5,000원","16:30,  국제시장(디지털),  5,000원","19:10,  님아, 그 강을 건너지 마오(디지털),  5,000원","21:10,  테이큰 3(디지털),  5,000원",,,,,41
2015-01-04,01관,"10:30,  국제시장(디지털),  5,000원","13:10,  테이큰 3(디지털),  5,000원","15:40,  국제시장(디지털),  5,000원","18:20,  기술자들(디지털),  5,000원","20:50,  호빗: 다섯 군대 전투(디지털),  5,000원",,,,,,57
2015-01-04,02관,"10:00,  님아, 그 강을 건너지 마오(디지털),  5,000원","12:00,  기술자들(디지털),  5,000원","14:30,  님아, 그 강을 건너지 마오(디지털),  5,000원","16:30,  국제시장(디지털),  5,000원","19:10,  님아, 그 강을 건너지 마오(디지털),  5,000원","21:10,  테이큰 3(디지털),  5,000원",,,,,41
2015-01-05,01관,"10:30,  국제시장(디지털),  5,000원","13:10,  테이큰 3(디지털),  5,000원","15:40,  국제시장(디지털),  5,000원","18:20,  기술자들(디지털),  5,000원","20:50,  호빗: 다섯 군대 전투(디지털),  5,000원",,,,,,57
2015-01-05,02관,"10:10,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  5,000원","12:00,  기술자들(디지털),  5,000원","14:30,  님아, 그 강을 건너지 마오(디지털),  5,000원","16:30,  국제시장(디지털),  5,000원","19:10,  님아, 그 강을 건너지 마오(디지털),  5,000원","21:10,  테이큰 3(디지털),  5,000원",,,,,41
2015-01-06,01관,"10:30,  국제시장(디지털),  5,000원","13:00,  눈의 여왕 2: 트롤의 마법거울(디지털더빙)","15:40,  국제시장(디지털),  5,000원","18:20,  기술자들(디지털),  5,000원","20:50,  호빗: 다섯 군대 전투(디지털),  5,000원",,,,,,57
2015-01-06,02관,"10:00,  님아, 그 강을 건너지 마오(디지털),  5,000원","12:00,  기술자들(디지털),  5,000원","14:30,  님아, 그 강을 건너지 마오(디지털),  5,000원","16:30,  국제시장(디지털),  5,000원","19:10,  님아, 그 강을 건너지 마오(디지털),  5,000원","21:10,  테이큰 3(디지털),  5,000원",,,,,41
2015-01-07,01관,"10:20,  언브로큰(디지털),  5,000원","13:10,  님아, 그 강을 건너지 마오(디지털),  5,000원","15:10,  테이큰 3(디지털),  5,000원","17:40,  언브로큰(디지털),  5,000원","20:20,  국제시장(디지털),  5,000원",,,,,,57
2015-01-07,02관,"10:00,  국제시장(디지털),  5,000원","12:40,  눈의 여왕 2: 트롤의 마법거울(디지털),  5,000원","14:30,  님아, 그 강을 건너지 마오(디지털),  5,000원","16:30,  기술자들(디지털),  5,000원","19:00,  님아, 그 강을 건너지 마오(디지털),  5,000원","21:00,  테이큰 3(디지털),  5,000원",,,,,41
2015-01-08,01관,"10:20,  언브로큰(디지털),  5,000원","13:10,  님아, 그 강을 건너지 마오(디지털),  5,000원","15:10,  테이큰 3(디지털),  5,000원","17:40,  언브로큰(디지털),  5,000원","20:20,  국제시장(디지털),  5,000원",,,,,,57
2015-01-08,02관,"10:00,  국제시장(디지털),  5,000원","12:40,  눈의 여왕 2: 트롤의 마법거울(디지털),  5,000원","14:30,  님아, 그 강을 건너지 마오(디지털),  5,000원","16:30,  기술자들(디지털),  5,000원","19:00,  님아, 그 강을 건너지 마오(디지털),  5,000원","21:00,  테이큰 3(디지털),  5,000원",,,,,41
2015-01-09,01관,"10:20,  언브로큰(디지털),  5,000원","13:10,  님아, 그 강을 건너지 마오(디지털),  5,000원","15:10,  테이큰 3(디지털),  5,000원","17:40,  언브로큰(디지털),  5,000원","20:20,  국제시장(디지털),  5,000원",,,,,,57
2015-01-09,02관,"10:00,  국제시장(디지털),  5,000원","12:40,  눈의 여왕 2: 트롤의 마법거울(디지털),  5,000원","14:30,  님아, 그 강을 건너지 마오(디지털),  5,000원","16:30,  기술자들(디지털),  5,000원","19:00,  님아, 그 강을 건너지 마오(디지털),  5,000원","21:00,  테이큰 3(디지털),  5,000원",,,,,41
2015-01-10,01관,"10:20,  언브로큰(디지털),  5,000원","13:10,  님아, 그 강을 건너지 마오(디지털),  5,000원","15:10,  테이큰 3(디지털),  5,000원","17:40,  언브로큰(디지털),  5,000원","20:20,  국제시장(디지털),  5,000원",,,,,,57
2015-01-10,02관,"10:00,  국제시장(디지털),  5,000원","12:40,  눈의 여왕 2: 트롤의 마법거울(디지털),  5,000원","14:30,  님아, 그 강을 건너지 마오(디지털),  5,000원","16:30,  기술자들(디지털),  5,000원","19:00,  님아, 그 강을 건너지 마오(디지털),  5,000원","21:00,  테이큰 3(디지털),  5,000원",,,,,41
2015-01-11,01관,"10:20,  언브로큰(디지털),  5,000원","13:10,  님아, 그 강을 건너지 마오(디지털),  5,000원","15:10,  테이큰 3(디지털),  5,000원","17:40,  언브로큰(디지털),  5,000원","20:20,  국제시장(디지털),  5,000원",,,,,,57
2015-01-11,02관,"10:00,  국제시장(디지털),  5,000원","12:40,  눈의 여왕 2: 트롤의 마법거울(디지털),  5,000원","14:30,  님아, 그 강을 건너지 마오(디지털),  5,000원","16:30,  기술자들(디지털),  5,000원","19:00,  님아, 그 강을 건너지 마오(디지털),  5,000원","21:00,  테이큰 3(디지털),  5,000원",,,,,41
2015-01-12,01관,"10:20,  언브로큰(디지털),  5,000원","13:10,  님아, 그 강을 건너지 마오(디지털),  5,000원","15:10,  테이큰 3(디지털),  5,000원","17:40,  언브로큰(디지털),  5,000원","20:20,  국제시장(디지털),  5,000원",,,,,,57
2015-01-12,02관,"10:00,  국제시장(디지털),  5,000원","12:40,  눈의 여왕 2: 트롤의 마법거울(디지털),  5,000원","14:30,  님아, 그 강을 건너지 마오(디지털),  5,000원","16:30,  기술자들(디지털),  5,000원","19:00,  님아, 그 강을 건너지 마오(디지털),  5,000원","21:00,  테이큰 3(디지털),  5,000원",,,,,41
2015-01-13,01관,"10:20,  언브로큰(디지털),  5,000원","13:10,  님아, 그 강을 건너지 마오(디지털),  5,000원","15:10,  국제시장(디지털),  5,000원","17:40,  언브로큰(디지털),  5,000원","20:20,  국제시장(디지털),  5,000원",,,,,,57
2015-01-13,02관,"10:00,  국제시장(디지털),  5,000원","12:40,  눈의 여왕 2: 트롤의 마법거울(디지털),  5,000원","14:30,  님아, 그 강을 건너지 마오(디지털),  5,000원","16:30,  국제시장(디지털),  5,000원","19:00,  님아, 그 강을 건너지 마오(디지털),  5,000원","21:00,  테이큰 3(디지털),  5,000원",,,,,41
2015-01-14,01관,"11:00,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  5,000원","12:50,  국제시장(디지털),  5,000원","15:30,  국제시장(디지털),  5,000원","18:20,  국제시장(디지털),  5,000원","21:00,  국제시장(디지털),  5,000원",,,,,,57
2015-01-14,02관,"11:00,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  5,000원","12:30,  언브로큰(디지털),  5,000원","15:20,  기술자들(디지털),  5,000원","17:50,  언브로큰(디지털),  5,000원","20:40,  테이큰 3(디지털),  5,000원",,,,,,41
