상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,11회,12회,좌석수
2018-02-12,01관,"15:00,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","17:30,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","19:50,  염력(디지털),  6,000원",,,,,,,,,,77
2018-02-12,02관,"15:00,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","17:00,  겨울왕국의 무민(디지털더빙),  6,000원","19:00,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원",,,,,,,,,,47
2018-02-13,01관,"11:30,  염력(디지털),  6,000원","13:40,  염력(디지털),  5,000원","15:50,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","18:10,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","20:30,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원",,,,,,,,77
2018-02-13,02관,"10:50,  겨울왕국의 무민(디지털더빙),  6,000원","12:30,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","14:50,  겨울왕국의 무민(디지털더빙),  6,000원","16:40,  염력(디지털),  6,000원","18:50,  염력(디지털)",,,,,,,,47
2018-02-14,01관,"10:20,  염력(디지털)","12:30,  흥부: 글로 세상을 바꾼 자(디지털)","14:40,  골든슬럼버(디지털),  6,000원","16:50,  염력(디지털),  6,000원","19:00,  흥부: 글로 세상을 바꾼 자(디지털),  6,000원","21:10,  골든슬럼버(디지털),  6,000원",,,,,,,77
2018-02-14,02관,"11:20,  겨울왕국의 무민(디지털더빙),  6,000원","13:10,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","15:30,  블랙 팬서(디지털),  6,000원","18:10,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","20:30,  블랙 팬서(디지털),  6,000원",,,,,,,,47
2018-02-15,01관,"10:20,  염력(디지털)","12:30,  염력(디지털),  6,000원","14:40,  흥부: 글로 세상을 바꾼 자(디지털),  6,000원","16:50,  골든슬럼버(디지털),  6,000원","19:00,  흥부: 글로 세상을 바꾼 자(디지털),  6,000원","21:10,  골든슬럼버(디지털),  6,000원",,,,,,,77
2018-02-15,02관,"09:50,  겨울왕국의 무민(디지털더빙),  6,000원","11:30,  겨울왕국의 무민(디지털더빙),  6,000원","13:10,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","15:30,  블랙 팬서(디지털),  6,000원","18:10,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","20:30,  블랙 팬서(디지털),  6,000원",,,,,,,47
2018-02-16,01관,"10:20,  염력(디지털)","12:30,  염력(디지털),  6,000원","14:40,  흥부: 글로 세상을 바꾼 자(디지털),  6,000원","16:50,  골든슬럼버(디지털),  6,000원","19:00,  흥부: 글로 세상을 바꾼 자(디지털),  6,000원","21:10,  골든슬럼버(디지털),  6,000원",,,,,,,77
2018-02-16,02관,"09:50,  겨울왕국의 무민(디지털더빙),  6,000원","11:30,  겨울왕국의 무민(디지털더빙),  6,000원","13:10,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","15:30,  블랙 팬서(디지털),  6,000원","18:10,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","20:30,  블랙 팬서(디지털),  6,000원",,,,,,,47
2018-02-17,01관,"09:50,  겨울왕국의 무민(디지털더빙),  6,000원","11:30,  겨울왕국의 무민(디지털더빙),  6,000원","13:20,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","15:40,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","18:00,  블랙 팬서(디지털),  6,000원","20:40,  블랙 팬서(디지털),  6,000원",,,,,,,77
2018-02-17,02관,"10:10,  염력(디지털),  6,000원","12:10,  블랙 팬서(디지털),  6,000원","14:50,  골든슬럼버(디지털),  6,000원","17:00,  흥부: 글로 세상을 바꾼 자(디지털),  6,000원","19:10,  골든슬럼버(디지털),  6,000원","21:20,  흥부: 글로 세상을 바꾼 자(디지털),  6,000원",,,,,,,47
2018-02-18,01관,"09:50,  겨울왕국의 무민(디지털더빙),  6,000원","11:30,  겨울왕국의 무민(디지털더빙),  6,000원","13:20,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","15:40,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","18:00,  블랙 팬서(디지털),  6,000원","20:40,  블랙 팬서(디지털),  6,000원",,,,,,,77
