상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,10회,좌석수
2015-01-01,산천어관 [화천읍관],"10:00,  눈의 여왕 2: 트롤의 마법거울(3D 더빙),  8,000원","11:50,  님아, 그 강을 건너지 마오(디지털),  5,000원","13:50,  국제시장(디지털),  5,000원","16:20,  기술자들(디지털),  5,000원","19:10,  님아, 그 강을 건너지 마오(디지털),  5,000원","21:10,  국제시장(디지털),  5,000원",,,,,125
2015-01-02,산천어관 [화천읍관],"10:30,  인터스텔라(디지털),  5,000원","13:50,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  5,000원","15:40,  기술자들(디지털),  5,000원","18:10,  님아, 그 강을 건너지 마오(디지털),  5,000원","20:10,  국제시장(디지털),  5,000원",,,,,,125
2015-01-03,산천어관 [화천읍관],"10:30,  눈의 여왕 2: 트롤의 마법거울(3D 더빙),  8,000원","12:20,  기술자들(디지털),  5,000원","14:50,  국제시장(디지털),  5,000원","17:30,  님아, 그 강을 건너지 마오(디지털),  5,000원","20:30,  국제시장(디지털),  5,000원",,,,,,125
2015-01-04,산천어관 [화천읍관],"10:30,  인터스텔라(디지털),  5,000원","13:50,  기술자들(디지털),  5,000원","16:20,  국제시장(디지털),  5,000원","19:00,  님아, 그 강을 건너지 마오(디지털),  5,000원","21:00,  국제시장(디지털),  5,000원",,,,,,125
2015-01-05,산천어관 [화천읍관],"10:30,  국제시장(디지털),  5,000원","13:10,  기술자들(디지털),  5,000원","15:40,  국제시장(디지털),  5,000원","18:20,  님아, 그 강을 건너지 마오(디지털),  5,000원","21:20,  국제시장(디지털),  5,000원",,,,,,125
2015-01-06,산천어관 [화천읍관],"10:30,  국제시장(디지털),  5,000원","13:10,  눈의 여왕 2: 트롤의 마법거울(3D 더빙),  8,000원","15:00,  기술자들(디지털),  5,000원","17:30,  국제시장(디지털),  5,000원","20:10,  인터스텔라(디지털),  5,000원",,,,,,125
2015-01-07,산천어관 [화천읍관],"11:00,  눈의 여왕 2: 트롤의 마법거울(디지털더빙),  5,000원","14:00,  기술자들(디지털),  5,000원","16:30,  국제시장(디지털),  5,000원","19:10,  국제시장(디지털),  5,000원","21:50,  님아, 그 강을 건너지 마오(디지털),  5,000원",,,,,,125
2015-01-08,산천어관 [화천읍관],"10:30,  국제시장(디지털),  5,000원","13:30,  님아, 그 강을 건너지 마오(디지털),  5,000원","15:30,  마다가스카의 펭귄(3D 더빙),  8,000원","18:20,  국제시장(디지털),  5,000원","21:00,  님아, 그 강을 건너지 마오(디지털),  5,000원",,,,,,125
2015-01-09,산천어관 [화천읍관],"10:30,  국제시장(디지털),  5,000원","13:30,  마다가스카의 펭귄(3D 더빙),  8,000원","15:40,  기술자들(디지털),  5,000원","18:20,  국제시장(디지털),  5,000원","21:00,  님아, 그 강을 건너지 마오(디지털),  5,000원",,,,,,125
2015-01-10,산천어관 [화천읍관],"10:30,  마다가스카의 펭귄(3D 더빙),  8,000원","12:30,  기술자들(디지털),  5,000원","15:00,  님아, 그 강을 건너지 마오(디지털),  5,000원","17:00,  국제시장(디지털),  5,000원","20:00,  마다가스카의 펭귄(3D 더빙),  8,000원","22:30,  국제시장(디지털),  5,000원","01:10,  님아, 그 강을 건너지 마오(디지털),  5,000원",,,,125
2015-01-11,산천어관 [화천읍관],"10:30,  마다가스카의 펭귄(3D 더빙),  8,000원","12:50,  국제시장(디지털),  5,000원","15:50,  님아, 그 강을 건너지 마오(디지털),  5,000원","17:50,  마다가스카의 펭귄(3D 더빙),  8,000원","20:30,  국제시장(디지털),  5,000원",,,,,,125
2015-01-12,산천어관 [화천읍관],"10:30,  마다가스카의 펭귄(3D 더빙),  8,000원","12:50,  국제시장(디지털),  5,000원","15:50,  마다가스카의 펭귄(3D 더빙),  8,000원","18:00,  기술자들(디지털),  5,000원","20:30,  국제시장(디지털),  5,000원",,,,,,125
2015-01-13,산천어관 [화천읍관],"10:30,  마다가스카의 펭귄(3D 더빙),  8,000원","12:50,  국제시장(디지털),  5,000원","15:50,  마다가스카의 펭귄(3D 더빙),  8,000원","18:20,  님아, 그 강을 건너지 마오(디지털),  5,000원","20:30,  국제시장(디지털),  5,000원",,,,,,125
2015-01-14,산천어관 [화천읍관],"10:30,  마다가스카의 펭귄(3D 더빙),  8,000원","12:40,  기술자들(디지털),  5,000원","15:10,  국제시장(디지털),  5,000원","18:00,  님아, 그 강을 건너지 마오(디지털),  5,000원","20:10,  국제시장(디지털),  5,000원",,,,,,125
2015-01-15,산천어관 [화천읍관],"10:30,  마다가스카의 펭귄(디지털더빙),  5,000원","12:40,  국제시장(디지털),  5,000원","15:20,  허삼관(디지털),  5,000원","18:00,  테이큰 3(디지털),  5,000원","20:20,  허삼관(디지털),  5,000원","23:00,  테이큰 3(디지털),  5,000원",,,,,125
2015-01-16,산천어관 [화천읍관],"10:30,  마다가스카의 펭귄(디지털더빙),  5,000원","13:00,  님아, 그 강을 건너지 마오(디지털),  5,000원","15:20,  허삼관(디지털),  5,000원","18:00,  테이큰 3(디지털),  5,000원","20:20,  허삼관(디지털),  5,000원","23:00,  테이큰 3(디지털),  5,000원",,,,,125
2015-01-17,산천어관 [화천읍관],"10:30,  마다가스카의 펭귄(디지털더빙),  5,000원","12:40,  국제시장(디지털),  5,000원","15:20,  허삼관(디지털),  5,000원","18:00,  테이큰 3(디지털),  5,000원","20:20,  허삼관(디지털),  5,000원","23:00,  테이큰 3(디지털),  5,000원",,,,,125
2015-01-18,산천어관 [화천읍관],"10:30,  마다가스카의 펭귄(디지털더빙),  5,000원","13:00,  님아, 그 강을 건너지 마오(디지털),  5,000원","15:20,  허삼관(디지털),  5,000원","18:00,  테이큰 3(디지털),  5,000원","20:20,  허삼관(디지털),  5,000원",,,,,,125
2015-01-19,산천어관 [화천읍관],"10:30,  마다가스카의 펭귄(디지털더빙),  5,000원","12:40,  국제시장(디지털),  5,000원","15:20,  허삼관(디지털),  5,000원","18:00,  테이큰 3(디지털),  5,000원","20:20,  허삼관(디지털),  5,000원",,,,,,125
2015-01-20,산천어관 [화천읍관],"10:30,  마다가스카의 펭귄(디지털더빙),  5,000원","13:00,  님아, 그 강을 건너지 마오(디지털),  5,000원","15:20,  허삼관(디지털),  5,000원","18:00,  테이큰 3(디지털),  5,000원","20:20,  허삼관(디지털),  5,000원",,,,,,125
2015-01-21,산천어관 [화천읍관],"10:30,  마다가스카의 펭귄(디지털더빙),  5,000원","12:30,  테이큰 3(디지털),  5,000원","15:00,  오늘의 연애(디지털),  5,000원","17:30,  국제시장(디지털),  5,000원","20:10,  허삼관(디지털),  5,000원",,,,,,125
2015-01-22,산천어관 [화천읍관],"10:30,  테이큰 3(디지털),  5,000원","13:00,  오늘의 연애(디지털),  5,000원","15:30,  허삼관(디지털),  5,000원","18:10,  국제시장(디지털),  5,000원","20:50,  오늘의 연애(디지털),  5,000원","23:20,  허삼관(디지털),  4,000원",,,,,125
2015-01-23,산천어관 [화천읍관],"10:30,  국제시장(디지털),  5,000원","13:10,  테이큰 3(디지털),  5,000원","15:40,  오늘의 연애(디지털),  5,000원","18:20,  허삼관(디지털),  5,000원","20:50,  오늘의 연애(디지털),  5,000원","23:20,  허삼관(디지털),  5,000원",,,,,125
2015-01-24,산천어관 [화천읍관],"10:30,  마다가스카의 펭귄(디지털더빙),  5,000원","12:40,  오늘의 연애(디지털),  5,000원","15:20,  테이큰 3(디지털),  5,000원","17:50,  허삼관(디지털),  5,000원","20:30,  오늘의 연애(디지털),  5,000원","23:10,  허삼관(디지털),  5,000원",,,,,125
