상영일자,상영관,1회,2회,3회,4회,5회,6회,7회,8회,9회,좌석수
2018-02-14,01관,"13:05,  골든슬럼버(디지털),  6,000원","15:25,  흥부: 글로 세상을 바꾼 자(디지털),  6,000원","17:40,  골든슬럼버(디지털),  6,000원","20:00,  흥부: 글로 세상을 바꾼 자(디지털),  6,000원",,,,,,87
2018-02-14,02관,"11:00,  겨울왕국의 무민(디지털더빙),  6,000원","12:55,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","15:30,  블랙 팬서(디지털),  6,000원","18:15,  패딩턴 2(디지털더빙),  6,000원","20:30,  블랙 팬서(디지털),  6,000원",,,,,49
2018-02-15,01관,"09:50,  골든슬럼버(디지털),  6,000원","12:10,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","14:45,  흥부: 글로 세상을 바꾼 자(디지털),  6,000원","17:00,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","19:35,  흥부: 글로 세상을 바꾼 자(디지털),  6,000원","21:50,  골든슬럼버(디지털),  6,000원",,,,87
2018-02-15,02관,"10:00,  겨울왕국의 무민(디지털더빙),  6,000원","11:55,  패딩턴 2(디지털더빙),  6,000원","14:10,  블랙 팬서(디지털),  6,000원","16:55,  겨울왕국의 무민(디지털더빙),  6,000원","18:50,  패딩턴 2(디지털더빙),  6,000원","21:05,  블랙 팬서(디지털),  6,000원",,,,49
2018-02-16,01관,"13:00,  흥부: 글로 세상을 바꾼 자(디지털),  6,000원","15:15,  골든슬럼버(디지털),  6,000원","17:35,  흥부: 글로 세상을 바꾼 자(디지털),  6,000원","19:50,  겨울왕국의 무민(디지털더빙),  6,000원","21:45,  골든슬럼버(디지털),  6,000원",,,,,87
2018-02-16,02관,"13:00,  블랙 팬서(디지털),  6,000원","15:45,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","18:20,  블랙 팬서(디지털),  6,000원","21:05,  패딩턴 2(디지털더빙),  6,000원",,,,,,49
2018-02-17,01관,"09:50,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","12:25,  흥부: 글로 세상을 바꾼 자(디지털),  6,000원","14:40,  골든슬럼버(디지털),  6,000원","17:00,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","19:35,  골든슬럼버(디지털),  6,000원","21:55,  흥부: 글로 세상을 바꾼 자(디지털),  6,000원",,,,87
2018-02-17,02관,"10:00,  패딩턴 2(디지털더빙),  6,000원","12:15,  겨울왕국의 무민(디지털더빙),  6,000원","14:10,  블랙 팬서(디지털),  6,000원","16:55,  패딩턴 2(디지털더빙),  6,000원","19:10,  겨울왕국의 무민(디지털더빙),  6,000원","21:05,  블랙 팬서(디지털),  6,000원",,,,49
2018-02-18,01관,"10:00,  블랙 팬서(디지털),  6,000원","12:45,  겨울왕국의 무민(디지털더빙),  6,000원","14:40,  패딩턴 2(디지털더빙),  6,000원","16:55,  겨울왕국의 무민(디지털더빙),  6,000원","18:50,  패딩턴 2(디지털더빙),  6,000원","21:05,  블랙 팬서(디지털),  6,000원",,,,87
2018-02-18,02관,"09:50,  흥부: 글로 세상을 바꾼 자(디지털),  6,000원","12:05,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","14:40,  흥부: 글로 세상을 바꾼 자(디지털),  6,000원","16:55,  조선명탐정: 흡혈괴마의 비밀(디지털),  6,000원","19:30,  골든슬럼버(디지털),  6,000원","21:50,  골든슬럼버(디지털),  6,000원",,,,49
