filmoNames,movieNm,peopleCd,peopleNm,repRoleNm
"인질(가제)|다만 악에서 구하소서|공작|군함도|군함도 감독판|아수라|곡성|검사외전|히말라야|베테랑|국제시장|남자가 사랑할 때|전설의 주먹|신세계|댄싱퀸|모비딕|평양성|부당거래|끝과 시작|구르믈 버서난 달처럼|그림자 살인|슈퍼맨이었던 사나이|행복|검은 집|사생결단|내 생애 가장 아름다운 일주일|너는 내 운명|천군|달콤한 인생|여자, 정혜|마지막 늑대|바람난 가족|이공|로드무비|YMCA야구단|와이키키 브라더스|쉬리|그녀|오감도",베테랑,10090290,황정민,배우
소리도 없이|국가부도의 날|버닝|좋아해줘|사도|베테랑|우아한 거짓말|우리별 일호와 얼룩소|깡철이|완득이|하늘과 바다|서양 골동 양과자점 앤티크|좋지 아니한가|우리에게 내일은 없다|씨네 21 영화토크쇼,베테랑,10053802,유아인,배우
"봉오동 전투|승리호(가제)|말모이|완벽한 타인|레슬러|1987|택시운전사|공조|럭키|그놈이다|베테랑|극비수사|타짜-신의 손|해적: 바다로 간 산적|인간중독|소수의견|감기|가디언즈|간첩|미쓰GO|마마|적과의 동침|부당거래|이끼|작은 연못|죽이고 싶은|전우치|강철중: 공공의 적 1-1|트럭|권순분여사 납치사건|아들|이장과 군수|그해 여름|타짜|국경의 남쪽|왕의 남자|이대로, 죽을 순 없다(Short Time)|공공의 적 2|혈의 누|마파도|달마야, 서울 가자|바람의 전설|빙우|영어완전정복|나비|해안선|광복절 특사|라이터를 켜라|공공의 적|무사|신라의 달밤|주유소 습격사건|블랙잭|톰과 제리 ",베테랑,10054128,유해진,배우
"이웃 사촌|조선명탐정: 흡혈괴마의 비밀|신과함께-죄와 벌|니 부모 얼굴이 보고 싶다|살인자의 기억법 : 새로운 기억|살인자의 기억법|마스터|터널|국가대표 2|컨트롤|대배우|열정같은소리하고있네|암살|베테랑|조선명탐정 : 사라진 놉의 딸|국제시장|슬로우 비디오|해적: 바다로 간 산적|변호인|파파로티|7번방의 선물|자칼이 온다|공모자들|R2B: 리턴투베이스|도둑들|도둑들 영화를 만들다|미운오리새끼|술에 대하여 - 극장판|헤드|그대를 사랑합니다|조선명탐정 : 각시투구꽃의 비밀|페스티발|해결사|방자전|그림자 살인|박쥐|좋은 놈, 나쁜 놈, 이상한 놈 |가루지기|우아한 세계|언니가 간다|싸이보그지만 괜찮아|그해 여름|뚝방전설|괴물|구타유발자들|음란서생|친절한 금자씨|주먹이 운다(Crying Fist)|달콤한 인생|마파도|여자는 남자의 미래다|효자동 이발사|마지막 늑대|올드보이|해적 디스코왕 되다|사춘기 |믿거나 말거나, 찬드라의 경우|황금시대|여섯 개의 시선",베테랑,10050151,오달수,배우
베테랑,베테랑,20211726,장윤주,배우
커터|베테랑|소녀|마이 웨이|써니|구타유발자들|짝패|친절한 금자씨,베테랑,10004860,김시후,배우
안시성|브이아이피|더 킹|희생부활자|4등|오피스|베테랑|차이나타운|살인의뢰|비치하트애솔|춘하추동 로맨스|몽타주|고스톱 살인|스파이|환상속의 그대|부러진 화살|카운트다운|블라인드|모비딕|파주|마린보이|신부수업|어떤 질투|핫썸머 바캉스 |그녀는 위대하지 않다: 지혜우화|더 브라스 퀸텟|새끼여우|기린과 아프리카,베테랑,20111279,오대환,배우
가장 보통의 연애|프리즌|컨트롤|슈팅걸스|시간이탈자|베테랑|전설의 주먹|가문의 영광4 - 가문의 수난|위험한 상견례|유감스러운 도시|잘못된 만남|미친 거 아니야?! |투사부일체|마법사들|마법사(들)|돈 텔 파파|써클|2424|두사부일체|반칙왕,베테랑,10062050,정웅인,배우
"사선의 끝|지푸라기라도 잡고 싶은 짐승들|창궐|대장 김창수|보통사람|검객|그래, 가족|아수라|내부자들: 디 오리지널|대호|내부자들|간신|베테랑|헬머니|허삼관|군도: 민란의 시대|끝까지 간다|남자가 사랑할 때|7번방의 선물|간첩|은교|시체가 돌아왔다|특수본|카운트다운|가문의 영광4 - 가문의 수난|모비딕|수상한 고객들|황해|우리 만난 적 있나요|부당거래|심야의 F.M.|파주|똥파리|영화는 영화다|극락도 살인사건|수|예의없는 것들|살결|오로라 공주|잠복근무|총 냄새|여기자의 하루|원 나잇 스탠드",베테랑,10061699,정만식,배우
"정직한 후보|악질경찰|해빙|간신|베테랑|극비수사|살인의뢰|내 심장을 쏴라|역린|군도: 민란의 시대|하이힐|변호인|몽타주|용의자X|연가시|범죄와의 전쟁: 나쁜놈들 전성시대|히트|퀴즈왕|아저씨|구르믈 버서난 달처럼|전우치|내 사랑 내 곁에|이태원 살인사건|박쥐|눈에는 눈 이에는 이|좋은 놈, 나쁜 놈, 이상한 놈 |소년은 울지 않는다|그놈 목소리|형사 Duelist|반칙왕|인정사정 볼 것 없다|정사|남자는 괴로워|49일의 남자|첫사랑|사랑과 죽음의 메아리 2부|사랑과 죽음의 메아리 1부|인류멸망 보고서",베테랑,10037131,송영창,배우
도어락|마약왕|허스토리|게이트|택시운전사|악녀|대결|나홀로 휴가|베테랑|로사 |역린|관상|콘돌은 날아간다|범죄소년|청포도 사탕: 17년 전의 약속|웨딩스캔들|통통한 혁명|백프로|577 프로젝트|핑크|범죄와의 전쟁: 나쁜놈들 전성시대|회초리|짐승의 끝|서유기 리턴즈|나탈리|내 깡패 같은 애인|영도 다리|소월길,베테랑,20139768,진경,촬영팀
치즈인더트랩|시간위의 집|여교사|베테랑|바다위의 피아노|비처럼 음악처럼|아버지와 마리와 나|기다리다 미쳐|그대 없이는 못 살아|즐거웠던 시간만을 기억해줄래,베테랑,10053902,유인영,배우
기생충|후쿠오카|특송|언더독|군산: 거위를 노래하다|대장 김창수|설행_눈길을 걷다|검은 사제들|사도|베테랑|경성학교: 사라진 소녀들|쎄시봉|상의원|마담 뺑덕|일대일|이쁜 것들이 되어라|소녀|잉투기|뱀파이어는 우리 옆집에 산다|고리|아름다운임종,베테랑,20209686,박소담,배우
어린 의뢰인|콜|극한직업|국도극장|부라더|원라인|재심|공조|럭키|도리화가|뷰티 인사이드|베테랑|패션왕|타짜-신의 손|우는 남자|청춘예찬|집으로 가는 길|밤의 여왕|감시자들|남쪽으로 튀어|출국심사,베테랑,20186095,이동휘,배우
변신|출장수사|지푸라기라도 잡고 싶은 짐승들|안시성|꾼|더 킹|사랑하기 때문에|엽기적인 그녀 2|섬. 사라진 사람들|나를 잊지 말아요|내부자들: 디 오리지널|열정같은소리하고있네|내부자들|더 폰|특종: 량첸살인기|뷰티 인사이드|고백할 수 없는|오피스|베테랑|워킹걸|상의원|빅매치|나의 독재자|나의 사랑 나의 신부|인간중독|보호자|몬스터|캐치미|집으로 가는 길|파파로티|공정사회|남자사용설명서|범죄소년|내가 살인범이다|카운트다운|의뢰인|모비딕|오늘 뭐해?|김복남 살인사건의 전말|미쓰 홍당무|보스턴 1947|사랑의 묘약,베테랑,20136191,배성우,배우
반드시 잡는다|루시드 드림|퇴마: 무녀굴|간신|베테랑|배꼽|이웃사람|백프로|부당거래|악마를 보았다|죽이고 싶은|불꽃처럼 나비처럼|GP 506|좋지 아니한가|삼거리극장|비열한 거리|혈의 누|주먹이 운다(Crying Fist)|인형사|범죄의 재구성|말죽거리 잔혹사|2009로스트메모리즈|자유여자|쫄병수첩|며느리 밥풀꽃에 대한 보고서|지금은 양지|이장호의 외인구단 2|돌쇠바람|청(블루스케치),베테랑,10071900,천호진,배우
"가장 보통의 연애|어쩌다, 결혼|증인|비밥바룰라|게임회사 여직원들|다시..올래|오피스|베테랑|꿈보다 해몽|썸남썸녀|찌라시: 위험한 소문|남자가 사랑할 때|회사원|로맨스 조|굿바이 보이|그대를 사랑합니다|부당거래|옥희의 영화|내 깡패 같은 애인|육혈포 강도단|친구사이?|핸드폰|공공의 적 2|서울생활|주리|그녀와의 하룻밤|그들은 대화중|좋은 이웃|월세와 보증금|모퉁이의 남자|뜨거운 커피|송한나|서울연애|귀 鬼",베테랑,10057698,이채은,배우
베테랑|7번방의 선물|연가시|가비|나는 아빠다|불량남녀|퀴즈왕|무법자|주유소 습격사건 2|굿모닝 프레지던트|작전|1724 기방난동사건|그 남자의 책 198쪽|바보|다찌마와리|세븐 데이즈|바르게 살자|쏜다|좋지 아니한가|짝패|맨발의 기봉이|웰컴 투 동막골|아는 여자|목포는 항구다|화성으로 간 사나이|패밀리|킬러들의 수다|7인의 새벽|단적비연수|하피|쉬리|바캉스|묻지마 패밀리,베테랑,10065617,조덕현,배우
내부자들: 디 오리지널|내부자들|베테랑,베테랑,20231126,신지수,배우
"엑시트|PMC: 더 벙커|스윙키즈|성난황소|인랑|마약왕|챔피언|골든슬럼버|염력|강철비|7호실|미옥|범죄도시|남한산성|브이아이피|군함도|악녀|대립군|불한당: 나쁜 놈들의 세상|조작된 도시|목숨 건 연애|형|아수라|밀정|고산자, 대동여지도|부산행|검사외전|대호|더 폰|암살|순수의 시대|제 7기사단|베테랑|차이나타운|장수상회|스물|오늘의 연애|기술자들|봄|타짜-신의 손|두근두근 내 인생|신의 한 수|황제를 위하여|우는 남자|군도: 민란의 시대|남자가 사랑할 때|변호인|감시자들|파파로티|신세계|공모자들|이웃사람|도둑들|미쓰GO|가비|범죄와의 전쟁: 나쁜놈들 전성시대|오직 그대만|푸른소금|황해|초능력자|해결사|박쥐|신기전|숙명|다찌마와리|가면|권순분여사 납치사건|챔피언 마빡이|가을로|뚝방전설|바람의 파이터|아라한 장풍대작전|태극기 휘날리며|훈련소 가는 길",베테랑,20143687,권지훈,액션/스턴트코디네이터
"국가부도의 날|인랑|군함도|그래, 가족|스플릿|밀정|더 폰|베테랑|스물|신의 한 수|우는 남자|들개|화이: 괴물을 삼킨 아이|감기|감시자들|신세계|공모자들|도둑들|미쓰GO|범죄와의 전쟁: 나쁜놈들 전성시대|디워|우리에게 떡볶이를 먹을 권리가 있다",베테랑,20179766,정윤헌,액션/스턴트
"PMC: 더 벙커|성난황소|인랑|마약왕|골든슬럼버|염력|그것만이 내 세상|범죄도시|남한산성|군함도|악녀|대립군|불한당: 나쁜 놈들의 세상|보안관|원라인|프리즌|조작된 도시|아수라|덕혜옹주|부산행|아가씨|비밀은 없다|검사외전|대호|성난 변호사|암살|순수의 시대|베테랑|기술자들|해무(海霧)|신의 한 수|황제를 위하여|군도: 민란의 시대|화이: 괴물을 삼킨 아이|미쓰GO|범죄와의 전쟁: 나쁜놈들 전성시대|초능력자|해결사|악마를 보았다|좋은 놈, 나쁜 놈, 이상한 놈 |숙명|6년째 연애중|가면|우아한 세계|싸이보그지만 괜찮아|뚝방전설|예의없는 것들|괴물|홀리데이|강적|공공의 적 2|태풍태양|혈의 누|주먹이 운다(Crying Fist)",베테랑,10060600,장한승,액션/스턴트팀
