cast,movieCd,movieNm,peopleNm,repRoleNm,peopleCd,sex
서도철,20148048,베테랑,황정민,배우,10090290,남자
안옥윤,20148851,암살,전지현,배우,10061467,여자
안상구,20149314,내부자들,이병헌,배우,10055626,남자
,20145503,검은 사제들,김윤석,배우,10005276,남자
,20148846,사도,송강호,배우,10037018,남자
,20134798,연평해전,김무열,배우,10004099,남자
,20148845,스물,김우빈,배우,20170901,남자
,20136068,히말라야,황정민,배우,10090290,남자
,20149570,조선명탐정 : 사라진 놉의 딸,김명민,배우,10004060,남자
공길용,20148855,극비수사,김윤석,배우,10005276,남자
,20149569,악의 연대기,손현주,배우,20111125,남자
,20156557,탐정 : 더 비기닝,권상우,배우,10002387,남자
,20157464,더 폰,손현주,배우,20111125,남자
종대,20136888,강남 1970,이민호,배우,20185376,남자
구청여직원,20140703,장수상회,박해빛나,배우,20239046,여자
홍이수,20143572,뷰티 인사이드,한효주,배우,10087820,여자
,20148188,쎄시봉,김윤석,배우,10005276,남자
,20142407,오늘의 연애,이승기,배우,10056227,남자
엄마,20149266,차이나타운,김혜수,배우,10006380,여자
,20142402,간신,주지훈,배우,10069179,남자
,20145171,대호,최민식,배우,10072251,남자
장우,20157465,그놈이다,주원,배우,20112931,남자
우수제약 임원들 2,20142855,성난 변호사,오상철,배우,20238986,남자
,20148461,살인의뢰,김상경,배우,10004396,남자
허무혁,20145504,특종: 량첸살인기,조정석,배우,20121022,남자
하재관,20156748,열정같은소리하고있네,정재영,배우,10062184,남자
,20143513,미쓰 와이프,엄정화,배우,10047352,여자
허삼관,20131262,허삼관,하정우,배우,10087253,남자
,20148841,헬머니,김수미,배우,10004748,여자
,20130566,무뢰한,김남길,배우,10003788,남자
,20136063,순수의 시대,신하균,배우,10040665,남자
,20148844,손님,류승룡,배우,10019065,남자
,20148553,내 심장을 쏴라,이민기,배우,10055447,남자
신재효,20140144,도리화가,류승룡,배우,10019065,남자
,20140193,서부전선,설경구,배우,10035772,남자
,20143511,오피스,고아성,배우,10001670,여자
차주란,20141224,경성학교: 사라진 소녀들,박보영,배우,10028667,여자
박영희,20143512,위험한 상견례 2,진세연,배우,20195689,여자
,20157501,극적인 하룻밤,윤계상,배우,10054204,남자
,20136057,소수의견,윤계상,배우,10054204,남자
유백,20130021,"협녀, 칼의 기억",이병헌,배우,10055626,남자
,20155826,치외법권,임창정,배우,10058849,남자
,20141602,소셜포비아,변요한,배우,20147110,남자
지연 ,20136869,은밀한 유혹,임수정,배우,10058646,여자
오상무,20133682,화장,안성기,배우,10043371,남자
,20149062,연애의 맛,오지호,배우,10050782,남자
,20143510,함정,마동석,배우,10021341,남자
뽀로로,20156807,뽀로로 극장판 컴퓨터 왕국 대모험,이선,배우,10055966,여자
,20142856,나의 절친 악당들,류승범,배우,10019067,남자
,20147947,워킹걸,조여정,배우,10066680,여자
박구,20145501,돌연변이,이광수,배우,20111692,남자
,20100211,다이노 타임,멜라니 그리피스,배우,10025920,여자
,20149961,미안해 사랑해 고마워,지진희,배우,10070224,남자
,20158481,퇴마: 무녀굴,김성균,배우,20127194,남자
,20141060,쓰리 썸머 나잇,김동욱,배우,10003967,남자
,20156553,비밀,성동일,배우,10035832,남자
,20151782,지금은맞고그때는틀리다,정재영,배우,10062184,남자
,20144442,조선마술사,유승호,배우,10053782,남자
,20156441,최강전사 미니특공대 : 새로운 악당의 습격,엄상현,배우,10047326,남자
,20156321,약장수,김인권,배우,10005410,남자
,20149264,춘희막이,김춘희,배우,20190130,여자
,20157587,파울볼,김성근,배우,20207146,남자
,20156281,성실한 나라의 앨리스,이정현,배우,20159352,여자
,20147803,한여름의 판타지아,김새벽,배우,20126450,여자
,20141598,타이밍,엄상현,배우,10047326,남자
,20157986,검은손,김성수,배우,10004594,남자
,20143502,어떤살인,윤소이,배우,10054355,여자
,20151582,태양을 쏴라 무삭제판,강지환,배우,10000877,남자
,20140241,고녀석 맛나겠다2 : 함께라서 행복해,엄상현,배우,10047326,남자
팬트하우스녀1,20150025,내부자들: 디 오리지널,신지수,배우,20231126,여자
해림,20159161,마돈나,서영희,배우,10035492,여자
한지순,20147130,타투,송일국,배우,10037179,남자
레이든,20153422,제 7기사단,클라이브 오웬,배우,10078252,남자
재화,20135264,돼지 같은 여자,황정음,배우,10090300,여자
,20141702,위로공단,강명자,배우,20213846,여자
전우치,20153801,"안녕, 전우치! 도술로봇대결전",김율,배우,10005311,여자
유예은,20153311,기적의 피아노,유예은,배우,20214266,여자
자영,20158701,세상끝의 사랑,한은정,배우,10087693,여자
,20157431,명량: 회오리 바다를 향하여,김한민,배우,10006204,남자
,20141612,꿈보다 해몽,유준상,배우,10053981,남자
엔지(목소리),20154323,슈퍼레이서 엔지,손무성,배우,20217146,남자
2-4 최성호 학생 아버지,20156047,나쁜 나라,최경덕,배우,20228869,남자
환,20141002,앨리스: 원더랜드에서 온 소년,홍종현,배우,20112211,남자
