auditNo,movieCd,watchGradeNm
2014-MF01401 ,20148048,15세이상관람가
2015-MF00751 ,20148851,15세이상관람가
2015-MF01214 ,20149314,청소년관람불가
2015-MF01188 ,20145503,15세이상관람가
2015-MF01012 ,20148846,12세이상관람가
2015-MF00541 ,20134798,12세이상관람가
2015-MF00591 ,20134798,12세이상관람가
2015-MF00208 ,20148845,15세이상관람가
2015-MF01517,20136068,12세이상관람가
2015-MF00123 ,20149570,12세이상관람가
2015-MF00621 ,20148855,15세이상관람가
2015-MF00451,20149569,15세이상관람가
2015-MF01027 ,20156557,15세이상관람가
2015-MF01097 ,20157464,15세이상관람가
2014-MF01448 ,20136888,청소년관람불가
2015-MF00332 ,20140703,12세이상관람가
2015-MF00607 ,20143572,12세이상관람가
2015-MF00051 ,20148188,15세이상관람가
2014-MF01431,20142407,15세이상관람가
2015-MF00408 ,20149266,청소년관람불가
2015-MF00496 ,20142402,청소년관람불가
2015-MF01452 ,20145171,12세이상관람가
2015-MF01107 ,20157465,15세이상관람가
2015-MF00976 ,20142855,15세이상관람가
2015-MF00207 ,20148461,청소년관람불가
2015-MF01103 ,20145504,15세이상관람가
2015-MF01259 ,20156748,15세이상관람가
2015-MF00611,20143513,15세이상관람가
2014-MF01387 ,20131262,12세이상관람가
2015-MF00148,20148841,청소년관람불가
2015-MF00495 ,20130566,청소년관람불가
2015-MF00197,20136063,청소년관람불가
2015-MF00667 ,20148844,15세이상관람가
2015-MF00015 ,20148553,15세이상관람가
2015-MF01341 ,20140144,12세이상관람가
2015-MF00920 ,20140193,12세이상관람가
2015-MF00565 ,20143511,15세이상관람가
2015-MF00492,20141224,15세이상관람가
2015-MF00426 ,20143512,15세이상관람가
2015-MF01314 ,20157501,청소년관람불가
2015-MF00623 ,20136057,15세이상관람가
2015-MF00827 ,20130021,15세이상관람가
2015-MF00896,20155826,15세이상관람가
2015-MF00075,20141602,15세이상관람가
2015-MF00504 ,20136869,15세이상관람가
2015-MF00181,20133682,청소년관람불가
2015-MF00406 ,20149062,청소년관람불가
2015-MF00967 ,20143510,청소년관람불가
2015-MF01490 ,20156807,전체관람가
2015-MF00633,20142856,청소년관람불가
2014-MF01399 ,20147947,청소년관람불가
2015-MF01149 ,20145501,12세이상관람가
2015-MF00338 ,20100211,전체관람가
2015-MF00337 ,20100211,전체관람가
2015-MF01208 ,20149961,15세이상관람가
2015-MF00869 ,20158481,15세이상관람가
2015-MF00725 ,20141060,청소년관람불가
2015-MF01122 ,20156553,15세이상관람가
2015-MF00604,20151782,청소년관람불가
2015-MF01558 ,20144442,12세이상관람가
2015-MF00094 ,20156441,전체관람가
2015-MF00311 ,20156321,15세이상관람가
2015-MF00969 ,20149264,12세이상관람가
2015-MF00255 ,20157587,전체관람가
2015-MF00076 ,20156281,청소년관람불가
2015-MF00453 ,20147803,전체관람가
2015-MF01141 ,20141598,15세이상관람가
2015-MF00355 ,20157986,청소년관람불가
2015-MF01076 ,20143502,청소년관람불가
2015-MF00627 ,20151582,청소년관람불가
2015-MF00717 ,20140241,전체관람가
2015-MF01612 ,20150025,청소년관람불가
2015-MF00582 ,20159161,청소년관람불가
2015-MF01460 ,20147130,청소년관람불가
2015-MF01014 ,20153422,15세이상관람가
2015-MF00999 ,20135264,15세이상관람가
2015-MF00698 ,20141702,15세이상관람가
2015-MF01124 ,20153801,전체관람가
2015-MF00930 ,20153311,전체관람가
2015-MF01143 ,20158701,청소년관람불가
2015-MF00440 ,20157431,12세이상관람가
2015-MF00028 ,20141612,15세이상관람가
2015-MF01036,20154323,전체관람가
2015-MF00729,20152870,전체관람가
2015-MF01444 ,20156047,12세이상관람가
2015-MF01183 ,20141002,15세이상관람가
2015-MF00773 ,20140190,15세이상관람가
2015-MF00187 ,20134800,전체관람가
2015-MF00893 ,20158951,전체관람가
2015-MF00479 ,20148449,청소년관람불가
2015-MF00348 ,20148982,전체관람가
2015-MF00482 ,20141705,12세이상관람가
2015-MF01242 ,20141608,청소년관람불가
2015-MF01346 ,20158682,전체관람가
2013-F137 ,20127568,12세이상관람가
2015-MF00354 ,20148676,전체관람가
2014-MF01415 ,20145202,12세이상관람가
2015-MF00190 ,20148685,15세이상관람가
2014-MF01208 ,20133803,12세이상관람가
2015-MF00733 ,20143717,15세이상관람가
2014-MF01427 ,20144601,12세이상관람가
2015-MF00993 ,20141610,청소년관람불가
2014-MF01381 ,20149298,청소년관람불가
2015-MF01332 ,20153307,12세이상관람가
2014-MF01343 ,20124398,12세이상관람가
2014-MF01436 ,20148631,전체관람가
2015-MF01317 ,20142403,전체관람가
2015-MF01210 ,20152064,15세이상관람가
2016-MF00162 ,20163218,청소년관람불가
2015-MF00362,20133531,전체관람가
2015-MF01442 ,20144422,15세이상관람가
2015-MF00715 ,20141110,15세이상관람가
2015-MF01043 ,20130260,12세이상관람가
2015-MF00713 ,20141613,청소년관람불가
