companyCd,companyNm,companyPartNm,movieCd
20100374,(주)외유내강,제작사,20148048
20186561,(주)필름케이,제작사,20148048
20110854,씨제이이앤엠(주),배급사,20148048
20110854,씨제이이앤엠(주),제공,20148048
20100109,씨제이엔터테인먼트,해외세일즈사,20148048
20141399,(주)포스크리에이티브파티,제작서비스-시각효과/특수효과,20148048
20062083,(주)케이퍼필름,제작사,20148851
20100103,(주)쇼박스,배급사,20148851
20100103,(주)쇼박스,제공,20148851
20137115,(주)인터파크,공동제공,20148851
20100103,(주)쇼박스,해외세일즈사,20148851
20141399,(주)포스크리에이티브파티,제작서비스-시각효과/특수효과,20148851
20157297,(유)내부자들 문화전문회사,제작사,20149314
20100103,(주)쇼박스,배급사,20149314
20100103,(주)쇼박스,제공,20149314
20137115,(주)인터파크,공동제공,20149314
20100103,(주)쇼박스,해외세일즈사,20149314
20100450,영화사 집,제작사,20145503
20110854,씨제이이앤엠(주),배급사,20145503
20100410,오퍼스픽쳐스(유),제공,20145503
20110854,씨제이이앤엠(주),제공,20145503
20137115,(주)인터파크,공동제공,20145503
20100906,유나이티드픽처스(주),해외세일즈사,20145503
20100239,(주)타이거픽쳐스,제작사,20148846
20100103,(주)쇼박스,배급사,20148846
20100103,(주)쇼박스,제공,20148846
20137115,(주)인터파크,공동제공,20148846
20100103,(주)쇼박스,해외세일즈사,20148846
20062680,(주)로제타시네마,제작사,20134798
20100932,(주)넥스트엔터테인먼트월드(NEW),배급사,20134798
20100932,(주)넥스트엔터테인먼트월드(NEW),제공,20134798
20137277,IBK 기업은행,공동제공,20134798
20137276,IBK캐피탈,공동제공,20134798
20142968,(주)콘텐츠판다,해외세일즈사,20134798
20154488,(주)영화나무,제작사,20148845
20100514,(주)아이에이치큐,제작사,20148845
20100932,(주)넥스트엔터테인먼트월드(NEW),배급사,20148845
20100932,(주)넥스트엔터테인먼트월드(NEW),제공,20148845
20142968,(주)콘텐츠판다,해외세일즈사,20148845
20141399,(주)포스크리에이티브파티,제작서비스-시각효과/특수효과,20148845
