filmoNames,movieNm,peopleCd,peopleNm,repRoleNm
"엑시트|사바하|군함도|군함도 감독판|베테랑|베를린|평양성|부당거래|해결사|다찌마와리|감독들, 김기영을 말하다|짝패|주먹이 운다(Crying Fist)|아라한 장풍대작전|오아시스|피도 눈물도 없이|죽거나 혹은 나쁘거나|타임리스|남자니까 아시잖아요?|다찌마와리|현대인|패싸움|4월 단편 상상극장-박정민 헤는 밤|신촌좀비만화|제14회 미쟝센 단편 영화제 류승완 단편 특별전2|다섯 개의 시선|유령",베테랑,10019069,류승완,감독
"도청(가제)|암살|도둑들|전우치|중천|타짜|소년, 천국에 가다|그때 그 사람들|범죄의 재구성|눈물|간결한 여행|스미스씨 브라질에 가다",암살,10072187,최동훈,감독
남산의 부장들|마약왕|내부자들: 디 오리지널|내부자들|간첩|파괴된 사나이|누가 예수를 죽였는가?,내부자들,20111283,우민호,감독
"사바하|시간위의 집|검은 사제들|광해, 왕이 된 남자|특수본|바다|12번째 보조사제|버스|인도에서 온 말리|오오단편극장 - 이학주 배우전|어둑시니: 두려움을 먹는 자|제14회 미쟝센 단편영화제 전년도 수상작1|1월 단편 상상극장-해피 뉴 스타|제13회 미쟝센 단편영화제 심야의 절대구타 360|제13회 미쟝센 단편영화제 절대악몽1",검은 사제들,10060462,장재현,감독
"자산어보|변산|박열|대배우|동주|그날의 분위기|사도|소원|봄날의 입맞춤|평양성|구르믈 버서난 달처럼|님은 먼 곳에|궁녀|즐거운 인생|라디오 스타|도마뱀|왕의 남자|달마야, 서울 가자|황산벌|달마야 놀자|공포택시|아나키스트|키드캅",사도,10057485,이준익,감독
연평해전|비디오를 보는 남자|민들레,연평해전,10006188,김학순,감독
"드림(가제)|극한직업|레슬러|바람 바람 바람|스물|오늘의 연애|타짜-신의 손|힘내세요, 병헌씨|네버엔딩 스토리|써니|과속스캔들|냄새는 난다",스물,20125862,이병헌,감독
히말라야|해적: 바다로 간 산적|뜨거운 안녕|댄싱퀸|두 얼굴의 여친|방과후 옥상|이조여인 숙명사 청상계|순간접착제|포 더 피스 오브 올 맨카인드,히말라야,10055965,이석훈,감독
조선명탐정: 흡혈괴마의 비밀|조선명탐정 : 사라진 놉의 딸|조선명탐정 : 각시투구꽃의 비밀|올드미스다이어리,조선명탐정 : 사라진 놉의 딸,10004484,김석윤,감독
장사리 : 잊혀진 영웅들|암수살인|희생부활자|극비수사|친구 2|미운오리새끼|통증|굿바이 보이|킹콩을 들다|눈에는 눈 이에는 이|사랑|태풍|똥개|챔피언|친구|닥터 K|억수탕(3pm Paradise)|기억을 만나다,극비수사,10001931,곽경택,감독
