movieCd,movieNm,moviePartNm,peopleCd,peopleNm,sex,repRoleNm_x,filmoNames,repRoleNm_y
20177063,군함도 감독판,감독,10019069,류승완,남자,감독,"엑시트|사바하|군함도|군함도 감독판|베테랑|베를린|평양성|부당거래|해결사|다찌마와리|감독들, 김기영을 말하다|짝패|주먹이 운다(Crying Fist)|아라한 장풍대작전|오아시스|피도 눈물도 없이|죽거나 혹은 나쁘거나|타임리스|남자니까 아시잖아요?|다찌마와리|현대인|패싸움|4월 단편 상상극장-박정민 헤는 밤|신촌좀비만화|제14회 미쟝센 단편 영화제 류승완 단편 특별전2|다섯 개의 시선|유령",감독
20148048,베테랑,감독,10019069,류승완,남자,감독,"엑시트|사바하|군함도|군함도 감독판|베테랑|베를린|평양성|부당거래|해결사|다찌마와리|감독들, 김기영을 말하다|짝패|주먹이 운다(Crying Fist)|아라한 장풍대작전|오아시스|피도 눈물도 없이|죽거나 혹은 나쁘거나|타임리스|남자니까 아시잖아요?|다찌마와리|현대인|패싸움|4월 단편 상상극장-박정민 헤는 밤|신촌좀비만화|제14회 미쟝센 단편 영화제 류승완 단편 특별전2|다섯 개의 시선|유령",감독
20148048,베테랑,시나리오(각본),10019069,류승완,남자,감독,"엑시트|사바하|군함도|군함도 감독판|베테랑|베를린|평양성|부당거래|해결사|다찌마와리|감독들, 김기영을 말하다|짝패|주먹이 운다(Crying Fist)|아라한 장풍대작전|오아시스|피도 눈물도 없이|죽거나 혹은 나쁘거나|타임리스|남자니까 아시잖아요?|다찌마와리|현대인|패싸움|4월 단편 상상극장-박정민 헤는 밤|신촌좀비만화|제14회 미쟝센 단편 영화제 류승완 단편 특별전2|다섯 개의 시선|유령",감독
20148851,암살,감독,10072187,최동훈,남자,감독,"도청(가제)|암살|도둑들|전우치|중천|타짜|소년, 천국에 가다|그때 그 사람들|범죄의 재구성|눈물|간결한 여행|스미스씨 브라질에 가다",감독
20148851,암살,시나리오(각본),10072187,최동훈,남자,감독,"도청(가제)|암살|도둑들|전우치|중천|타짜|소년, 천국에 가다|그때 그 사람들|범죄의 재구성|눈물|간결한 여행|스미스씨 브라질에 가다",감독
20148851,암살,제작,10072187,최동훈,남자,감독,"도청(가제)|암살|도둑들|전우치|중천|타짜|소년, 천국에 가다|그때 그 사람들|범죄의 재구성|눈물|간결한 여행|스미스씨 브라질에 가다",감독
20168773,마약왕,감독,20111283,우민호,남자,감독,남산의 부장들|마약왕|내부자들: 디 오리지널|내부자들|간첩|파괴된 사나이|누가 예수를 죽였는가?,감독
20168773,마약왕,시나리오(각본),20111283,우민호,남자,감독,남산의 부장들|마약왕|내부자들: 디 오리지널|내부자들|간첩|파괴된 사나이|누가 예수를 죽였는가?,감독
20168773,마약왕,제작,20111283,우민호,남자,감독,남산의 부장들|마약왕|내부자들: 디 오리지널|내부자들|간첩|파괴된 사나이|누가 예수를 죽였는가?,감독
20150025,내부자들: 디 오리지널,감독,20111283,우민호,남자,감독,남산의 부장들|마약왕|내부자들: 디 오리지널|내부자들|간첩|파괴된 사나이|누가 예수를 죽였는가?,감독
20149314,내부자들,감독,20111283,우민호,남자,감독,남산의 부장들|마약왕|내부자들: 디 오리지널|내부자들|간첩|파괴된 사나이|누가 예수를 죽였는가?,감독
