movieCd,movieNm,peopleNm,repRoleNm
20148048,베테랑,류승완,감독
20148851,암살,최동훈,감독
20149314,내부자들,우민호,감독
20145503,검은 사제들,장재현,감독
20148846,사도,이준익,감독
20134798,연평해전,김학순,감독
20148845,스물,이병헌,감독
20136068,히말라야,이석훈,감독
20149570,조선명탐정 : 사라진 놉의 딸,김석윤,감독
20148855,극비수사,곽경택,감독
20149569,악의 연대기,백운학,감독
20156557,탐정 : 더 비기닝,김정훈,감독
20157464,더 폰,김봉주,감독
20136888,강남 1970,유하,감독
20140703,장수상회,강제규,감독
20143572,뷰티 인사이드,백,감독
20148188,쎄시봉,김현석,감독
20142407,오늘의 연애,박진표,감독
20149266,차이나타운,한준희,감독
20142402,간신,민규동,감독
20145171,대호,박훈정,감독
20157465,그놈이다,윤준형,감독
20142855,성난 변호사,허종호,감독
20148461,살인의뢰,손용호,감독
20145504,특종: 량첸살인기,노덕,감독
20156748,열정같은소리하고있네,정기훈,감독
20143513,미쓰 와이프,강효진,감독
20131262,허삼관,하정우,감독
20148841,헬머니,신한솔,감독
20130566,무뢰한,오승욱,감독
20136063,순수의 시대,안상훈,감독
20148844,손님,김광태,감독
20148553,내 심장을 쏴라,문제용,감독
20140144,도리화가,이종필,감독
20140193,서부전선,천성일,감독
20143511,오피스,홍원찬,감독
20141224,경성학교: 사라진 소녀들,이해영,감독
20143512,위험한 상견례 2,김진영,감독
20157501,극적인 하룻밤,하기호,감독
20136057,소수의견,김성제,감독
20130021,"협녀, 칼의 기억",박흥식,감독
20155826,치외법권,신동엽,감독
20141602,소셜포비아,홍석재,감독
20136869,은밀한 유혹,윤재구,감독
20133682,화장,임권택,감독
20149062,연애의 맛,김아론,감독
20143510,함정,권형진,감독
20156807,뽀로로 극장판 컴퓨터 왕국 대모험,박영균,감독
20142856,나의 절친 악당들,임상수,감독
20147947,워킹걸,정범식,감독
20145501,돌연변이,권오광,감독
20100211,다이노 타임,최윤석,감독
20100211,다이노 타임,존 카프카,감독
20149961,미안해 사랑해 고마워,전윤수,감독
20158481,퇴마: 무녀굴,김휘,감독
20141060,쓰리 썸머 나잇,김상진,감독
20156553,비밀,박은경,감독
20156553,비밀,이동하,감독
20151782,지금은맞고그때는틀리다,홍상수,감독
20144442,조선마술사,김대승,감독
20156441,최강전사 미니특공대 : 새로운 악당의 습격,이영준,감독
20156321,약장수,조치언,감독
20149264,춘희막이,박혁지,감독
20157587,파울볼,조정래,감독
20157587,파울볼,김보경,감독
20156281,성실한 나라의 앨리스,안국진,감독
20147803,한여름의 판타지아,장건재,감독
20141598,타이밍,박대열,감독
20141598,타이밍,민경조,감독
20157986,검은손,박재식,감독
20143502,어떤살인,안용훈,감독
20151582,태양을 쏴라 무삭제판,김태식,감독
20140241,고녀석 맛나겠다2 : 함께라서 행복해,최경석,감독
20140241,고녀석 맛나겠다2 : 함께라서 행복해,노나카 카즈미,감독
20150025,내부자들: 디 오리지널,우민호,감독
20159161,마돈나,신수원,감독
20147130,타투,이서,감독
20153422,제 7기사단,키리야 카즈아키,감독
20135264,돼지 같은 여자,장문일,감독
20141702,위로공단,임흥순,감독
20153801,"안녕, 전우치! 도술로봇대결전",김대창,감독
20153311,기적의 피아노,임성구,감독
20153311,기적의 피아노,김은주,감독
20158701,세상끝의 사랑,김인식,감독
20157431,명량: 회오리 바다를 향하여,정세교,감독
20157431,명량: 회오리 바다를 향하여,김한민,감독
20141612,꿈보다 해몽,이광국,감독
20154323,슈퍼레이서 엔지,허선,감독
20152870,에스엠타운 더 스테이지,배성상,감독
20156047,나쁜 나라,김진열,감독
20156047,나쁜 나라,이수정,감독
20156047,나쁜 나라,정일건,감독
20141002,앨리스: 원더랜드에서 온 소년,허은희,감독
20140190,사랑이 이긴다,민병훈,감독
20134800,그라운드의 이방인,김명준,감독
20158951,순교,김상철,감독
20148449,산다,박정범,감독
20148982,반짝이는 박수 소리,이길보라,감독
20141705,마이 페어 웨딩,장희선,감독
20141608,거짓말,김동명,감독
20158682,꾸루꾸루와 친구들: 무지개 나무의 비밀,문제대,감독
20127568,세계일주,이항배,감독
20148676,잡식가족의 딜레마,황윤,감독
20145202,생각보다 맑은,한지원,감독
20148685,조류인간,신연식,감독
20133803,망원동 인공위성,김형주,감독
20143717,오늘영화,이옥섭,감독
20143717,오늘영화,구교환,감독
20143717,오늘영화,윤성호,감독
20143717,오늘영화,강경태,감독
20144601,고양이 장례식,이종훈,감독
20141610,영도,손승웅,감독
20149298,어우동: 주인 없는 꽃,이수성,감독
20153307,어떤이의 꿈,조성규,감독
20124398,설해,김정권,감독
20148631,미라클 여행기,허철,감독
20142403,늙은 자전거,문희융,감독
20152064,필름시대사랑,장률,감독
20163218,위선자들: 감독판,김진홍,감독
20133531,"나의 아들, 나의 어머니",안재민,감독
20144422,아일랜드 - 시간을 훔치는 섬,박진성,감독
20141110,밀양 아리랑,박배일,감독
20130260,션샤인 러브,조은성,감독
20141613,살인재능,전재홍,감독
20141081,울보 권투부,이일하,감독
20136000,레드 툼,구자환,감독
20149259,막걸스,김기영,감독
20141583,그들이 죽었다,백재호,감독
20158795,해에게서 소년에게,안슬기,감독
20132801,파스카,안선경,감독
20152368,인 허 플레이스,알버트 신,감독
20143252,개: dog eat dog,황욱,감독
20143252,개: dog eat dog,박민우,감독
20141611,들꽃,박석영,감독
20133667,폴라로이드,주호성,감독
20157176,오디세오,정성복,감독
20159002,서태지밴드 콘서트투어 '콰이어트나이트',서태지,감독
20125648,코인라커,김태경,감독
20156353,설지,박진순,감독
20143726,명령불복종 교사,서동일,감독
20158504,맛있는 택배,기대호,감독
20152182,무서운 집,양병간,감독
20138314,후쿠시마의 미래,이홍기,감독
20150941,악인은 살아 있다,김회근,감독
20125246,부곡 하와이,하강훈,감독
20140191,플랑크 상수,조성규,감독
20149299,파일 : 4022일의 사육,박용집,감독
20152265,성난 화가 - 무삭제판,전규환,감독
20155042,젊은 처제,이세종,감독
20148634,디렉터스 컷,박준범,감독
20156709,맛있는 비행,전병철,감독
20159686,색끈한 퓨전사극 심청야사,강명진,감독
20141703,불안한 외출,김철민,감독
20158385,착한 처제,강훈,감독
20155926,몽골리안 프린세스,정단우,감독
20161904,용주골-무삭제판,최우성,감독
20101244,자가당착: 시대정신과 현실참여,김선,감독
20159224,혜경궁 홍씨,장동홍,감독
20143753,비치하트애솔,이난,감독
20158463,포장마차-무삭제판,최율권희,감독
20156870,새폴더2,황상원,감독
20158943,다이빙벨: 진실은 침몰하지 않습니다,안해룡,감독
20158943,다이빙벨: 진실은 침몰하지 않습니다,이상호,감독
20157155,고시원,이영민,감독
20150921,미션스쿨,강의석,감독
20153313,이바라키의 여름,전성호,감독
20189862,감금의 시간 2 무삭제,김대성,감독
20113634,덫: 치명적인 유혹,봉만대,감독
20150604,애인,이숭환,감독
20151801,미궁: 비밀애 무삭제 특별판,조조 히데오,감독
20161882,유부녀들(무삭제),경석호,감독
20162901,내 친구의 아내 (무삭제),탁승오,감독
20165441,나도 때론 포르노그라피의 주인공이고 싶다 : 감독판,장성수,감독
20158203,친구엄마,공자관,감독
20148843,스피드,이상우,감독
20155744,꽃보다 처녀귀신,최영민,감독
20147929,메이드 인 차이나,김동후,감독
20149491,기화,문정윤,감독
20156564,부산행,연상호,감독
20145507,검사외전,이일형,감독
20159646,밀정,김지운,감독
20154910,터널,김성훈,감독
20156250,인천상륙작전,이재한,감독
20153444,럭키,이계벽,감독
20140194,곡성,나홍진,감독
20150979,덕혜옹주,허진호,감독
20161725,마스터,조의석,감독
20144641,판도라,박정우,감독
20167301,아가씨(확장판),박찬욱,감독
20171164,"귀향, 끝나지 않은 이야기",조정래,감독
20154661,형,권수경,감독
20153443,아수라,김성수,감독
20150972,굿바이 싱글,김태곤,감독
20159644,봉이 김선달,박대민,감독
20142406,탐정 홍길동: 사라진 마을,조성희,감독
20159645,특별수사: 사형수의 편지,권종관,감독
20142621,시간이탈자,곽재용,감독
20158482,동주,이준익,감독
20153741,미씽: 사라진 여자,이언희,감독
20152371,"당신, 거기 있어줄래요",홍지영,감독
20158483,오빠생각,이한,감독
20152782,"날, 보러와요",이철하,감독
