감독,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,후속작 정보
이병헌,,,,,,,,,,,,,,,,,1,0,0,1,1,1,0,1,0,1,0,1
류승완,,,,1,1,1,1,1,0,1,0,1,3,1,0,1,1,1,0,1,0,2,1,0,1,0,0,0
김용화,,,,,,,,,,,1,0,0,1,0,0,1,0,0,0,1,0,0,0,2,0,0,0
최동환,,,,,,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0
박누리,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0
이언희,,,,,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
엄유나,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0
임순례,,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,1,0,1
장유정,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,1,0,0,1
이경미,,,,,,,,,,,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0
변영주,1,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
봉준호,,3,0,0,0,0,0,1,0,0,1,3,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0
김보라,,,,,,,,,,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
장훈,,,,,,,,,,,,,,,,1,0,1,1,1,0,0,0,0,1,0,0,0
