movieCd,movieNm,감독1,감독1코드,감독1성별,감독2,감독2코드,감독2성별,감독3,감독3코드,감독3성별,감독4,감독4코드,감독4성별
20068576,그날의 분위기,조규장,10065265,남자,,,,,,,,,
20078584,맞짱,차룡,10071097,남자,,,,,,,,,
20100211,다이노 타임,최윤석,20167014,남자,존 카프카,10068301,남자,,,,,,
20113634,덫: 치명적인 유혹,봉만대,10031639,남자,,,,,,,,,
20120422,거미의 땅,김동령,10003940,여자,박경태,10028435,남자,,,,,,
20124398,설해,김정권,10005546,남자,,,,,,,,,
20125648,코인라커,김태경,10006076,남자,,,,,,,,,
20127568,세계일주,이항배,10058032,남자,,,,,,,,,
20130021,"협녀, 칼의 기억",박흥식,20110989,남자,,,,,,,,,
20130260,션샤인 러브,조은성,20135269,남자,,,,,,,,,
20130566,무뢰한,오승욱,10050533,남자,,,,,,,,,
20131262,허삼관,하정우,10087253,남자,,,,,,,,,
20132801,파스카,안선경,10043363,여자,,,,,,,,,
20133071,브링 홈: 아버지의 땅,텐진 체탄 초클리,20113066,남자,,,,,,,,,
20133531,"나의 아들, 나의 어머니",안재민,20138626,남자,,,,,,,,,
20133667,폴라로이드,주호성,10069221,남자,,,,,,,,,
20133682,화장,임권택,10058483,남자,,,,,,,,,
20133803,망원동 인공위성,김형주,20179028,남자,,,,,,,,,
20134798,연평해전,김학순,10006188,남자,,,,,,,,,
20134800,그라운드의 이방인,김명준,20068433,남자,,,,,,,,,
20135264,돼지 같은 여자,장문일,10060160,남자,,,,,,,,,
20136000,레드 툼,구자환,10002241,남자,,,,,,,,,
20136057,소수의견,김성제,10004620,남자,,,,,,,,,
20136063,순수의 시대,안상훈,20111254,남자,,,,,,,,,
20136068,히말라야,이석훈,10055965,남자,,,,,,,,,
20136869,은밀한 유혹,윤재구,10054464,남자,,,,,,,,,
20136888,강남 1970,유하,20111250,남자,,,,,,,,,
20138314,후쿠시마의 미래,이홍기,20178633,남자,,,,,,,,,
20140144,도리화가,이종필,10057407,남자,,,,,,,,,
20140190,사랑이 이긴다,민병훈,10027804,남자,,,,,,,,,
20140191,플랑크 상수,조성규,10065915,남자,,,,,,,,,
20140193,서부전선,천성일,10071866,남자,,,,,,,,,
20140194,곡성,나홍진,10007437,남자,,,,,,,,,
20140241,고녀석 맛나겠다2 : 함께라서 행복해,최경석,20191153,남자,노나카 카즈미,20188032,남자,,,,,,
20140256,딜쿠샤,김태영,20146447,남자,이세영,20188668,남자,,,,,,
20140703,장수상회,강제규,10000854,남자,,,,,,,,,
20140704,비밀은 없다,이경미,10054739,여자,,,,,,,,,
20140723,달에 부는 바람,이승준,10056267,남자,,,,,,,,,
20141002,앨리스: 원더랜드에서 온 소년,허은희,20111756,여자,,,,,,,,,
20141060,쓰리 썸머 나잇,김상진,10004438,남자,,,,,,,,,
20141081,울보 권투부,이일하,20281769,남자,,,,,,,,,
20141110,밀양 아리랑,박배일,20100687,남자,,,,,,,,,
20141224,경성학교: 사라진 소녀들,이해영,10058049,남자,,,,,,,,,
20141583,그들이 죽었다,백재호,20177441,남자,,,,,,,,,
20141589,철원기행,김대환,20191466,남자,,,,,,,,,
20141591,한강블루스,이무영,10055390,남자,,,,,,,,,
20141598,타이밍,민경조,10027767,남자,박대열,10028546,남자,,,,,,
20141602,소셜포비아,홍석재,10089518,남자,,,,,,,,,
20141608,거짓말,김동명,10003943,여자,,,,,,,,,
20141610,영도,손승웅,20112554,남자,,,,,,,,,
20141611,들꽃,박석영,20191486,남자,,,,,,,,,
20141612,꿈보다 해몽,이광국,10054828,남자,,,,,,,,,
20141613,살인재능,전재홍,10061439,남자,,,,,,,,,
20141702,위로공단,임흥순,20120501,남자,,,,,,,,,
20141703,불안한 외출,김철민,20173380,남자,,,,,,,,,
20141705,마이 페어 웨딩,장희선,10060679,여자,,,,,,,,,
20141708,우리는 썰매를 탄다,김경만,10003533,남자,,,,,,,,,
20142221,경계,문정현,10026800,남자,다니엘 루디 하리얀토,20177121,남자,블라디미르 토도로비치,10085020,남자,,,
20142401,파리의 한국남자,전수일,10061331,남자,,,,,,,,,
20142402,간신,민규동,10027774,남자,,,,,,,,,
20142403,늙은 자전거,문희융,10026867,남자,,,,,,,,,
20142407,오늘의 연애,박진표,10029363,남자,,,,,,,,,
20142621,시간이탈자,곽재용,10002002,남자,,,,,,,,,
20142641,나를 잊지 말아요,이윤정,20065265,여자,,,,,,,,,
20142706,시소,고희영,20193079,여자,,,,,,,,,
20142855,성난 변호사,허종호,10088447,남자,,,,,,,,,
20142856,나의 절친 악당들,임상수,10058591,남자,,,,,,,,,
20143252,개: dog eat dog,박민우,20154667,남자,황욱,20183861,남자,,,,,,
20143502,어떤살인,안용훈,20195674,남자,,,,,,,,,
20143509,엽기적인 그녀 2,조근식,10065271,남자,,,,,,,,,
20143510,함정,권형진,10002567,남자,,,,,,,,,
20143511,오피스,홍원찬,10089708,남자,,,,,,,,,
20143512,위험한 상견례 2,김진영,10005932,남자,,,,,,,,,
20143513,미쓰 와이프,강효진,10000970,남자,,,,,,,,,
20143726,명령불복종 교사,서동일,10035368,남자,,,,,,,,,
20144422,아일랜드 - 시간을 훔치는 섬,박진성,20110918,남자,,,,,,,,,
20144441,섬. 사라진 사람들,이지승,10057552,남자,,,,,,,,,
20144442,조선마술사,김대승,10003845,남자,,,,,,,,,
20144601,고양이 장례식,이종훈,10057421,남자,,,,,,,,,
20144641,판도라,박정우,10029181,남자,,,,,,,,,
20145171,대호,박훈정,10029578,남자,,,,,,,,,
20145182,4등,정지우,10062256,남자,,,,,,,,,
20145202,생각보다 맑은,한지원,20180788,여자,,,,,,,,,
20145396,널 기다리며,모홍진,10026501,남자,,,,,,,,,
20145486,소시민,김병준,20167143,남자,,,,,,,,,
20145501,돌연변이,권오광,10002458,남자,,,,,,,,,
20145502,남과 여,이윤기,10056949,남자,,,,,,,,,
20145503,검은 사제들,장재현,10060462,남자,,,,,,,,,
20145504,특종: 량첸살인기,노덕,10015745,여자,,,,,,,,,
20145506,해어화,박흥식,20110989,남자,,,,,,,,,
20145507,검사외전,이일형,10057103,남자,,,,,,,,,
20147130,타투,이서,10055931,남자,,,,,,,,,
20147803,한여름의 판타지아,장건재,10060025,남자,,,,,,,,,
20147947,워킹걸,정범식,10061758,남자,,,,,,,,,
20148048,베테랑,류승완,10019069,남자,,,,,,,,,
20148188,쎄시봉,김현석,10006261,남자,,,,,,,,,
20148384,그림자들의 섬,김정근,20129592,남자,,,,,,,,,
20148449,산다,박정범,10029163,남자,,,,,,,,,
20148460,서울역,연상호,10049814,남자,,,,,,,,,
20148461,살인의뢰,손용호,20188569,남자,,,,,,,,,
20148553,내 심장을 쏴라,문제용,10026804,남자,,,,,,,,,
20148617,포항,모현신,10026500,여자,,,,,,,,,
20148631,미라클 여행기,허철,20114576,남자,,,,,,,,,
20148676,잡식가족의 딜레마,황윤,10090225,여자,,,,,,,,,
20148685,조류인간,신연식,10040499,남자,,,,,,,,,
20148841,헬머니,신한솔,10040668,남자,,,,,,,,,
20148844,손님,김광태,20147149,남자,,,,,,,,,
20148845,스물,이병헌,20125862,남자,,,,,,,,,
20148846,사도,이준익,10057485,남자,,,,,,,,,
20148851,암살,최동훈,10072187,남자,,,,,,,,,
20148855,극비수사,곽경택,10001931,남자,,,,,,,,,
20148982,반짝이는 박수 소리,이길보라,20188937,여자,,,,,,,,,
20149062,연애의 맛,김아론,10004879,남자,,,,,,,,,
20149258,작은 형,심광진,10040817,남자,,,,,,,,,
20149259,막걸스,김기영,10003718,남자,,,,,,,,,
20149264,춘희막이,박혁지,20187247,남자,,,,,,,,,
20149266,차이나타운,한준희,20183664,남자,,,,,,,,,
20149298,어우동: 주인 없는 꽃,이수성,10056145,남자,,,,,,,,,
20149299,파일 : 4022일의 사육,박용집,10028999,남자,,,,,,,,,
20149314,내부자들,우민호,20111283,남자,,,,,,,,,
20149491,기화,문정윤,10026795,남자,,,,,,,,,
20149569,악의 연대기,백운학,10030346,남자,,,,,,,,,
20149570,조선명탐정 : 사라진 놉의 딸,김석윤,10004484,남자,,,,,,,,,
20149571,중독노래방,김상찬,10004439,남자,,,,,,,,,
20149961,미안해 사랑해 고마워,전윤수,10061405,남자,,,,,,,,,
