주연배우,배우성별,배우필모,필모갯수
문소리,여자,"배심원들|메기|군산: 거위를 노래하다|리틀 포레스트|1987|여배우는 오늘도|특별시민|니 부모 얼굴이 보고 싶다|아가씨|아가씨(확장판)|나쁜 나라|필름시대사랑|자유의 언덕|만신|관능의 법칙|스파이|분노의 윤리학|다른나라에서|마당을 나온 암탉|하녀|하하하|날아라 펭귄|우리 생애 최고의 순간|태왕사신기|가족의 탄생|여교수의 은밀한 매력|사과|사랑해, 말순씨|한국 영화의 르네상스|효자동 이발사|바람난 가족|오아시스|박하사탕|빛의 제국|동행|최고의 감독|여배우|여배우는 오늘도|디 엔드|호랑이 푸로젝트|사랑의 힘|외계의 제 19호 계획|봄산에|블랙컷|오오단편극장 - 안녕하세요 전, 여빈입니다 |AISFF2015 특별상영 & 미스터쿠퍼 |AISFF2015 아시프 랑데부: 최고의 감독 & 동행|CWFF 단편모음1|서울독립영화제2015  심야상영2|FALLing in JEONJU - 코리아시네마스케이프 단편|서울독립영화제 2015 특별단편 2|2015 GSFF 단편 초청 1|제31회 인천시네마테크 -인생은 아름다워|아카이브의 유령들|제14회 미쟝센 단편 영화제 Direct-actress",55
김해숙,여자,크게 될 놈|허스토리|신과함께-죄와 벌|미스 푸줏간|재심|아가씨|아가씨(확장판)|희생부활자|암살|적도|사도|군도: 민란의 시대|소원|깡철이|음치 클리닉 |도둑들|도둑들 영화를 만들다|원더풀 라디오|마마|친정엄마|박쥐|눈에는 눈 이에는 이|경축! 우리사랑|무방비도시|해바라기|파랑주의보|몽정기2|우리 형|령|오! 해피데이|국화꽃 향기|가문의 영광|겨울미리내|부활의 노래|이브의 건넌방|비내리는 영동교|목없는 여살인마|그 어둠에 사랑이|반노2|여자가 더 좋아|정부|죽으면 살리라|화녀 '82|육체의 문|종군수첩|사랑하는 사람아,46
라미란,여자,정직한 후보|걸캅스|내안의 그놈|점박이 한반도의 공룡2 : 새로운 낙원|상류사회|특별시민|보통사람|덕혜옹주|봉이 김선달|히말라야|대호|미쓰 와이프|워킹걸|국제시장|나의 사랑 나의 신부|피끓는 청춘|소원|스파이|연애의 온도|남쪽으로 튀어|자칼이 온다|공모자들|두 개의 달|차형사|댄싱퀸|청춘그루브|댄스타운|그대를 사랑합니다|아이들...|헬로우 고스트|육혈포 강도단|죽이고 싶은|펜트하우스 코끼리|거북이 달린다|박쥐|미인도|미쓰 홍당무|그녀는 예뻤다|마을금고 연쇄습격사건|잘 살아보세|괴물|음란서생|친절한 금자씨,43
이상희,여자,"니나 내나|당신의 부탁|7년의 밤|국도극장|호랑이보다 무서운 겨울손님|아이 캔 스피크|컴, 투게더|춘천, 춘천|눈꺼풀|누에치던 방|연애담|터널|탐정 홍길동: 사라진 마을|비밀은 없다|글로리데이|퇴마: 무녀굴|마돈나|어떤날, 서울|철원기행|영도|차이나타운|쎄시봉|나의 사랑 나의 신부|만신|한 번도 안 해본 여자|여보세요|여자의 아내|아무것도 아니지만|벨빌|바람이 분다 |뜨개질|충심, 소소|초대|오늘, 우리|우리 지금 만나|노맨스랜드|2016 대단한단편영화제-배우 특별전: 이상희|9월 수요단편극장 ""여배우의 힘 - 이상희, 김새벽, 천우희""",38
김혜수,여자,국가부도의 날|미옥|굿바이 싱글|차이나타운|관상|도둑들|도둑들 영화를 만들다|이층의 악당|모던보이|열한번째 엄마|좋지 아니한가|바람피기 좋은 날|타짜|분홍신|얼굴 없는 미녀|YMCA야구단|쓰리|쓰리 메모리즈|신라의 달밤|닥터 K|투 타이어드 투 다이|찜|미스터 콘돔|닥터 봉|남자는 괴로워|영원한 제국|블루 시걸|첫사랑|잃어버린 너|오세암(극영화)|어른들은 몰라요|그 마지막 겨울|수렁에서 건진 내 딸 2|깜보|즐거운 나의 집,35
정유미,여자,82년생 김지영|염력|더 테이블|부산행|히말라야|맨홀|우리별 일호와 얼룩소|깡철이|우리 선희|다른나라에서|도가니|조금만 더 가까이|옥희의 영화|내 깡패 같은 애인|카페 느와르|10억|차우|잘 알지도 못하면서|그녀들의 방|오이시맨|좋지 아니한가|가족의 탄생|사랑니|달콤한 인생|산나물 처녀|겨울의 피아니스트|리스트|첩첩산중|폴라로이드 작동법|사이에 두고|연인들|9시 5분,32
윤여정,여자,지푸라기라도 잡고 싶은 짐승들|찬실이는 복도 많지|그것만이 내 세상|죽여주는 여자|계춘할망|지금은맞고그때는틀리다|나의 절친 악당들|장수상회|자유의 언덕|고령화 가족|뒷담화: 감독이 미쳤어요|돈의 맛|다른나라에서|푸른소금|하녀|하하하|여배우들|가루지기|황진이|우리들의 행복한 시간|그때 그 사람들|바람난 가족|죽어도 좋은 경험|천사여 악녀가 되라|어미|코메리칸의 낮과 밤|여대생 또순이|충녀|화녀|산나물 처녀|리스트,31
한예리,여자,"인랑|챔피언|더 테이블|춘몽|최악의 하루|사냥|극적인 하룻밤|필름시대사랑|해무(海霧)|군도: 민란의 시대|동창생|경복|스파이|환상속의 그대|남쪽으로 튀어|코리아|모험|다시 태어나고 싶어요, 안양에|바다 쪽으로, 한 뼘 더|푸른 강은 흘러라|동행|물리수업|사십구일째 날|잘 되길 바라|달세계여행|기린과 아프리카|촌철살인|평범한 날들|할 수 있는 자가 구하라|귀 鬼|AMONG ",31
김꽃비,여자,"메기|임을 위한 행진곡|미완의 여행길로 떠나다|호텔룸|거짓말|원 컷 - 어느 친절한 살인자의 기록|죽도록 아름다운 세상|명왕성|1999, 면회|나나나 : 여배우 민낯 프로젝트|돼지의 왕|창피해|집|향기의 상실|죽이러 갑니다|똥파리|삼거리극장|짝패|가족의 탄생|6월의 일기|화기애애|여자, 정혜|B형 남자친구|질투는 나의 힘|4학년 보경이|사라진 시간 |우주에서 물구나무서기|미로아|이슬 후(後)|귀 鬼|이제 난 용감해질거야",31
이주실,여자,"엄마의 공책|부산행|글로리데이|퇴마: 무녀굴|약장수|왓니껴|명량|결혼전야|동창생|타워|코리아|불꽃처럼 나비처럼|순정만화|서양 골동 양과자점 앤티크|아내가 결혼했다|님은 먼 곳에|식객|펀치레이디|검은 집|누가 그녀와 잤을까?|짝패|야수|사랑니|페이스|고독이 몸부림칠 때|4인용 식탁|굳세어라 금순아|결혼은, 미친짓이다|아름다운 청년 전태일|이혼하지 않은 여자",30
